"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BFC","2024-08-11","589.5","612.9","578","589","1.90 %","84,185.00"
"BFC","2024-08-08","606.8","618","575","578","-2.86 %","99,762.00"
"BFC","2024-08-07","545","602","541.5","595","8.58 %","98,912.00"
"BFC","2024-08-06","608","608","548","548","-9.87 %","156,327.00"
"BFC","2024-08-05","640","640","590","608","-3.87 %","151,637.00"
"BFC","2024-08-01","625.2","650","615","632.5","3.18 %","173,720.00"
"BFC","2024-07-31","571.2","616","562.5","613","9.46 %","192,949.00"
"BFC","2024-07-30","522.4","570","522.4","560","5.86 %","148,743.00"
"BFC","2024-07-29","533","543","523","529","-0.75 %","75,392.00"
"BFC","2024-07-28","535","555","525","533","-0.37 %","54,034.00"
"BFC","2024-07-25","536","544","530","535","0.56 %","64,654.00"
"BFC","2024-07-24","542","553","532","532","-0.24 %","108,066.00"
"BFC","2024-07-23","534.5","537.9","519","533.3","1.58 %","72,561.00"
"BFC","2024-07-22","536","536.5","522.4","525","-0.19 %","77,304.00"
"BFC","2024-07-21","535","537","521.1","526","-0.57 %","90,465.00"
"BFC","2024-07-18","540","552.9","528","529","-2.04 %","99,622.00"
"BFC","2024-07-17","512","545","512","540","5.41 %","108,141.00"
"BFC","2024-07-16","500","518","500","512.3","2.46 %","47,123.00"
"BFC","2024-07-15","506.1","511","493.3","500","-0.60 %","53,147.00"
"BFC","2024-07-14","518","528","495","503","-0.98 %","62,647.00"
"BFC","2024-07-11","516","516","495","508","0.20 %","50,446.00"
"BFC","2024-07-10","503","515","503","507","1.00 %","31,687.00"
"BFC","2024-07-09","508.9","508.9","499","502","0.40 %","23,824.00"
"BFC","2024-07-08","495.1","505","493","500","1.19 %","32,929.00"
"BFC","2024-07-07","510","512.5","493","494.1","-1.85 %","44,281.00"
"BFC","2024-07-04","523","525","502","503.4","-2.25 %","53,268.00"
"BFC","2024-07-03","490","523","476.1","515","5.10 %","162,688.00"
"BFC","2024-07-02","482","499","475","490","3.59 %","74,946.00"
"BFC","2024-07-01","470.6","477","466","473","0.64 %","34,771.00"
"BFC","2024-06-30","474","483","462","470","0.86 %","38,773.00"
"BFC","2024-06-27","458.7","476.7","458.7","466","-0.43 %","28,093.00"
"BFC","2024-06-26","484.5","484.5","466.6","468","-1.47 %","32,839.00"
"BFC","2024-06-25","483.1","499","472.7","475","-3.24 %","63,445.00"
"BFC","2024-06-24","482","496","470.6","490.9","3.57 %","119,204.00"
"BFC","2024-06-23","444","474","444","474","4.64 %","102,199.00"
"BFC","2024-06-20","469.2","470","451","453","-1.52 %","49,197.00"
"BFC","2024-06-19","459","473","448.5","460","2.02 %","52,265.00"
"BFC","2024-06-18","440.1","466","440","450.9","1.55 %","126,805.00"
"BFC","2024-06-16","457","460","444","444","-2.20 %","45,288.00"
"BFC","2024-06-13","455.9","470","443","454","1.57 %","81,767.00"
"BFC","2024-06-12","445","460","429.5","447","1.61 %","53,450.00"
"BFC","2024-06-11","430.7","442","418.5","439.9","4.12 %","42,914.00"
"BFC","2024-06-10","435.2","440","419","422.5","-0.98 %","42,099.00"
"BFC","2024-06-09","426","437","423","426.7","-1.68 %","21,729.00"
"BFC","2024-06-06","442","444","430","434","-1.36 %","45,546.00"
"BFC","2024-06-05","427.5","447","427.5","440","1.15 %","42,426.00"
"BFC","2024-06-04","436","436","427.3","435","1.16 %","33,566.00"
"BFC","2024-06-03","432","448","425","430","-0.46 %","102,568.00"
"BFC","2024-06-02","415","438.4","415","432","4.10 %","87,583.00"
"BFC","2024-05-30","396.9","416","396.9","415","2.49 %","49,536.00"
"BFC","2024-05-29","414.1","414.1","400","404.9","-0.27 %","42,971.00"
"BFC","2024-05-27","411.8","411.8","397.2","406","0.50 %","14,134.00"
"BFC","2024-05-26","409","413","398","404","-0.98 %","37,563.00"
"BFC","2024-05-22","419","425","408","408","-2.58 %","49,338.00"
"BFC","2024-05-21","406","422.2","401.1","418.8","4.73 %","80,517.00"
"BFC","2024-05-20","389","411","389","399.9","2.02 %","58,283.00"
"BFC","2024-05-19","385","402.9","381.2","392","1.29 %","41,715.00"
"BFC","2024-05-16","390","396","387","387","-1.02 %","44,055.00"
"BFC","2024-05-15","399","399","386.4","391","-0.76 %","27,035.00"
"BFC","2024-05-14","398","398.8","385","394","0.77 %","21,346.00"
