"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BHPL","2024-08-11","724","734","708.1","729.9","2.80 %","11,568.00"
"BHPL","2024-08-08","715","728","707","710","-0.70 %","9,790.00"
"BHPL","2024-08-07","695.5","715","690","715","2.80 %","13,119.00"
"BHPL","2024-08-06","755","755","680","695.5","-6.52 %","17,113.00"
"BHPL","2024-08-05","707","769.7","707","744","5.23 %","22,713.00"
"BHPL","2024-08-01","712","728","705","707","-0.98 %","17,574.00"
"BHPL","2024-07-31","713.1","720","706","714","0.14 %","11,894.00"
"BHPL","2024-07-30","732","750","696.8","713","-2.19 %","24,164.00"
"BHPL","2024-07-29","685","733","675.3","729","8.16 %","57,685.00"
"BHPL","2024-07-28","673.2","685.6","665","674","2.12 %","12,926.00"
"BHPL","2024-07-25","650","663","648","660","1.85 %","13,835.00"
"BHPL","2024-07-24","662","666","648","648","-2.11 %","16,958.00"
"BHPL","2024-07-23","657","667.9","657","662","0.76 %","19,800.00"
"BHPL","2024-07-22","661","672","652.2","657","-1.23 %","8,615.00"
"BHPL","2024-07-21","674","683.5","665.2","665.2","-1.31 %","11,834.00"
"BHPL","2024-07-18","644.2","685","644.2","674","2.54 %","13,743.00"
"BHPL","2024-07-17","670","678","652.2","657.3","-0.56 %","6,693.00"
"BHPL","2024-07-16","637","666","637","661","2.01 %","7,822.00"
"BHPL","2024-07-15","671.5","671.5","648","648","-2.99 %","9,641.00"
"BHPL","2024-07-14","686.4","690","665","668","-0.74 %","9,117.00"
"BHPL","2024-07-11","663","675","652","673","0.00 %","19,722.00"
"BHPL","2024-07-10","645","675","635","673","5.65 %","13,034.00"
"BHPL","2024-07-09","645","645","630","637","-0.31 %","14,780.00"
"BHPL","2024-07-08","630","650","630","639","0.63 %","8,924.00"
"BHPL","2024-07-07","615","638","615","635","2.42 %","9,846.00"
"BHPL","2024-07-04","640","640","620","620","-2.36 %","12,573.00"
"BHPL","2024-07-03","647","662","630","635","-2.46 %","8,312.00"
"BHPL","2024-07-02","668.1","707","630.1","651","-0.61 %","17,558.00"
"BHPL","2024-07-01","631.9","655","631.9","655","1.60 %","5,699.00"
"BHPL","2024-06-30","656","691","631.4","644.7","0.11 %","8,638.00"
"BHPL","2024-06-27","660","678","642","644","-3.16 %","7,231.00"
"BHPL","2024-06-26","665.5","681","653","665","-2.06 %","7,808.00"
"BHPL","2024-06-25","667.1","679","645","679","-0.12 %","24,455.00"
"BHPL","2024-06-24","678.2","718","665","679.8","-1.76 %","13,608.00"
"BHPL","2024-06-23","723","723","672","692","-4.42 %","16,030.00"
"BHPL","2024-06-20","668","735","662","724","6.63 %","18,860.00"
"BHPL","2024-06-19","658.6","709","658.6","679","1.04 %","10,297.00"
"BHPL","2024-06-18","720.3","720.3","672","672","-6.01 %","22,120.00"
"BHPL","2024-06-16","710","767","700","715","0.70 %","19,616.00"
"BHPL","2024-06-13","640","711","640","710","9.74 %","46,608.00"
"BHPL","2024-06-12","637","647","620.1","647","0.78 %","11,323.00"
"BHPL","2024-06-11","620.4","642","620.1","642","2.72 %","11,282.00"
"BHPL","2024-06-10","673","673","594","625","-5.29 %","21,443.00"
"BHPL","2024-06-09","607.6","660","573.4","659.9","6.44 %","29,818.00"
"BHPL","2024-06-06","588","648","566","620","3.33 %","16,630.00"
"BHPL","2024-06-05","559.6","607","559.6","600","5.08 %","15,300.00"
"BHPL","2024-06-04","570.4","603","550","571","-1.89 %","8,674.00"
"BHPL","2024-06-03","555","595","533.2","582","5.82 %","16,281.00"
"BHPL","2024-06-02","530.5","550","530","550","1.85 %","8,626.00"
"BHPL","2024-05-30","567.6","567.6","538","540","-6.74 %","13,987.00"
"BHPL","2024-05-29","631.3","631.3","562","579","-6.46 %","13,132.00"
"BHPL","2024-05-27","599.4","624","550.5","619","1.21 %","24,181.00"
"BHPL","2024-05-26","561.9","624","550","611.6","6.68 %","13,009.00"
"BHPL","2024-05-22","568.4","612","546.1","573.3","-1.16 %","10,259.00"
"BHPL","2024-05-21","544.8","601","535","580","4.34 %","14,553.00"
"BHPL","2024-05-20","519.7","559.7","519.7","555.9","9.09 %","11,284.00"
"BHPL","2024-05-19","544","587","509.6","509.6","-6.32 %","16,595.00"
"BHPL","2024-05-16","542","573","522","544","-1.63 %","5,998.00"
"BHPL","2024-05-15","577","577","530","553","-2.79 %","8,407.00"
"BHPL","2024-05-14","534.2","576","515","568.9","4.39 %","17,010.00"
"BHPL","2024-05-13","537.2","548.7","520","545","-0.55 %","5,362.00"
"BHPL","2024-05-12","522.4","548.6","515","548","2.81 %","9,040.00"
"BHPL","2024-05-09","523","535","523","533","0.00 %","8,001.00"
"BHPL","2024-05-08","511.8","567","511.8","533","2.09 %","5,872.00"
"BHPL","2024-05-07","529.3","550","512","522.1","-3.31 %","14,052.00"
"BHPL","2024-05-06","508.8","540.6","505.2","540","4.05 %","23,771.00"
"BHPL","2024-05-05","499","528","490.2","519","2.17 %","11,216.00"
"BHPL","2024-05-02","490","508.9","481.3","508","1.80 %","13,451.00"
"BHPL","2024-04-30","475","504","475","499","3.10 %","10,666.00"
"BHPL","2024-04-29","482","489.5","473","484","0.58 %","4,280.00"
"BHPL","2024-04-28","468.2","487","468.2","481.2","1.31 %","6,132.00"
"BHPL","2024-04-25","475.3","485","475","475","-0.06 %","2,741.00"
"BHPL","2024-04-24","464.1","490","464.1","475.3","1.13 %","2,844.00"
"BHPL","2024-04-22","497.5","497.5","470","470","-3.91 %","2,650.00"
"BHPL","2024-04-21","485","499","449","489.1","1.05 %","2,938.00"
"BHPL","2024-04-18","482","488","482","484","-2.75 %","2,420.00"
"BHPL","2024-04-16","500","500","481","497.7","-0.46 %","4,071.00"
"BHPL","2024-04-15","488.1","500","482","500","0.40 %","5,440.00"
"BHPL","2024-04-14","480.2","498","480.2","498","1.63 %","2,670.00"
"BHPL","2024-04-10","483","498.5","479.3","490","0.20 %","4,673.00"
"BHPL","2024-04-09","479","490","479","489","0.45 %","4,925.00"
"BHPL","2024-04-07","468","489","468","486.8","2.27 %","2,174.00"
"BHPL","2024-04-04","484","485","467.2","476","0.00 %","2,410.00"
"BHPL","2024-04-03","476.1","485","475.5","476","-1.86 %","3,497.00"
"BHPL","2024-04-02","481","490","478.1","485","0.62 %","4,413.00"
"BHPL","2024-04-01","473.5","490","473.5","482","0.21 %","3,087.00"
"BHPL","2024-03-31","476","494.7","470.2","481","0.38 %","3,898.00"
"BHPL","2024-03-28","475.1","485.5","475.1","479.2","-0.79 %","1,793.00"
"BHPL","2024-03-27","491","501","477.1","483","-0.21 %","2,444.00"
"BHPL","2024-03-26","480","518","473","484","2.76 %","4,252.00"
"BHPL","2024-03-25","478","490","471","471","-2.69 %","1,611.00"
"BHPL","2024-03-21","485","489","480.5","484","-1.22 %","2,240.00"
"BHPL","2024-03-20","477.1","490","475.7","490","0.66 %","2,510.00"
"BHPL","2024-03-19","480","489","477","486.8","0.37 %","3,008.00"
"BHPL","2024-03-18","471","485","471","485","1.78 %","1,315.00"
"BHPL","2024-03-17","476","482.5","471.2","476.5","0.29 %","2,300.00"
"BHPL","2024-03-14","490","495","475.1","475.1","-3.04 %","5,212.00"
"BHPL","2024-03-13","485.2","514","485.2","490","-1.01 %","3,006.00"
"BHPL","2024-03-12","492","509","492","495","-0.98 %","5,022.00"
"BHPL","2024-03-10","500","508","491","499.9","0.20 %","3,071.00"
"BHPL","2024-03-07","488.5","506.9","483.2","498.9","4.15 %","7,615.00"
"BHPL","2024-03-06","471.5","495","467","479","-0.42 %","7,052.00"
"BHPL","2024-03-05","512","512","479","481","-7.82 %","13,844.00"
"BHPL","2024-03-04","483.8","521.8","483.8","521.8","9.99 %","50.00"
"BHPL","2024-03-03","477","477","460.3","474.4","-0.75 %","1,410.00"
"BHPL","2024-02-29","490.1","506","478","478","-4.38 %","1,539.00"
"BHPL","2024-02-28","491.6","499.9","474","499.9","3.71 %","5,265.00"
"BHPL","2024-02-27","476.2","488.8","476.2","482","-0.62 %","2,287.00"
"BHPL","2024-02-26","484","490","466.1","485","0.02 %","5,670.00"
"BHPL","2024-02-25","485","494","467.9","484.9","1.87 %","4,875.00"
"BHPL","2024-02-22","506","506","476","476","-6.67 %","12,685.00"
"BHPL","2024-02-21","520","550","501","510","0.00 %","5,637.00"
"BHPL","2024-02-20","510","520","498","510","-1.54 %","6,882.00"
"BHPL","2024-02-18","540.1","540.1","509.8","518","-5.82 %","16,390.00"
"BHPL","2024-02-15","565","569.5","537","550","-1.59 %","13,998.00"
"BHPL","2024-02-14","547","558.9","530","558.9","3.98 %","23,635.00"
"BHPL","2024-02-13","520","549.9","510","537.5","3.37 %","25,609.00"
"BHPL","2024-02-12","510","525","503.3","520","2.16 %","17,167.00"
"BHPL","2024-02-11","500","515","494","509","2.81 %","12,124.00"
"BHPL","2024-02-08","484.2","504","476.5","495.1","0.22 %","9,704.00"
"BHPL","2024-02-07","488","505","470.2","494","3.13 %","9,750.00"
"BHPL","2024-02-06","461.9","488.9","461.5","479","1.91 %","5,250.00"
