"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BOKL","2023-01-08","211","213","207","207.3","0.05 %","76,723.00"
"BOKL","2023-01-05","212","215.5","207","207.2","-0.43 %","55,481.00"
"BOKL","2023-01-04","209","212","205","208.1","1.46 %","21,828.00"
"BOKL","2023-01-03","207","214","205.1","205.1","-0.92 %","31,356.00"
"BOKL","2023-01-02","208","212","207","207","-0.91 %","30,558.00"
"BOKL","2023-01-01","211.6","213","208.6","208.9","-0.57 %","32,432.00"
"BOKL","2022-12-29","210","212","205","210.1","1.01 %","23,346.00"
"BOKL","2022-12-28","211","214","205.9","208","-1.14 %","11,860.00"
"BOKL","2022-12-27","208","216","208","210.4","2.63 %","23,245.00"
"BOKL","2022-12-26","200.9","207","197.1","205","4.06 %","25,638.00"
"BOKL","2022-12-22","198","200","196.2","197","-1.01 %","9,710.00"
"BOKL","2022-12-21","200","202","198","199","0.00 %","6,022.00"
"BOKL","2022-12-20","197.6","205","195.2","199","0.71 %","12,000.00"
"BOKL","2022-12-19","198","204","196","197.6","-0.75 %","10,764.00"
"BOKL","2022-12-18","203","203","199","199.1","-1.92 %","19,480.00"
"BOKL","2022-12-15","202","207","202","203","-1.22 %","18,575.00"
"BOKL","2022-12-14","204","207.9","202","205.5","-0.24 %","12,243.00"
"BOKL","2022-12-13","208","213","205.1","206","-0.96 %","14,328.00"
"BOKL","2022-12-12","206","212","204","208","-0.81 %","17,181.00"
"BOKL","2022-12-11","216.6","216.6","209.4","209.7","-3.27 %","25,076.00"
"BOKL","2022-12-07","218","224","214.2","216.8","1.19 %","47,106.00"
"BOKL","2022-06-15","227","231","226","227.1","-1.26 %","227,130.00"
"BOKL","2022-06-14","231.5","233","228.6","230","-2.54 %","29,876.00"
"BOKL","2022-06-13","240.2","240.2","229","236","0.21 %","201,818.00"
"BOKL","2022-06-10","228.5","235.9","225","235.5","1.07 %","35,945.00"
"BOKL","2022-06-09","230","233","228","233","2.19 %","30,899.00"
"BOKL","2022-06-08","215.2","229","215","228","5.80 %","120,056.00"
"BOKL","2022-06-07","218.1","223","215","215.5","-2.93 %","39,909.00"
"BOKL","2022-06-06","226.1","227","219.3","222","-2.16 %","24,444.00"
"BOKL","2022-06-03","227","228","221","226.9","-0.04 %","23,285.00"
"BOKL","2022-06-02","231","231","225.5","227","-0.44 %","8,471.00"
"BOKL","2022-06-01","228.5","232","225.4","228","-0.87 %","17,781.00"
"BOKL","2022-05-31","230","232","228","230","-1.33 %","15,009.00"
"BOKL","2022-05-30","233.4","236","232","233.1","-2.06 %","15,122.00"
"BOKL","2022-05-27","239.9","244.6","231.3","238","0.85 %","22,343.00"
"BOKL","2022-05-26","238","238","232","236","0.85 %","8,012.00"
"BOKL","2022-05-25","235","235","232.2","234","0.43 %","6,950.00"
"BOKL","2022-05-24","229","237.6","229","233","0.00 %","15,443.00"
"BOKL","2022-05-23","232.5","236","227.9","233","-0.85 %","44,397.00"
"BOKL","2022-05-20","232.5","240","232.5","235","-0.21 %","11,016.00"
"BOKL","2022-05-19","232.5","239","232.5","235.5","-0.21 %","11,475.00"
"BOKL","2022-05-18","236.9","236.9","231.7","236","0.01 %","14,510.00"
"BOKL","2022-05-17","245","245","233","233","-3.04 %","18,086.00"
"BOKL","2022-05-12","248","248","240","240.3","-1.52 %","21,846.00"
"BOKL","2022-05-11","242","244","242","244","1.41 %","9,776.00"
"BOKL","2022-05-10","232.3","240.6","232.3","240.6","1.56 %","10,311.00"
"BOKL","2022-05-09","236.6","238","233","236.9","2.11 %","13,894.00"
"BOKL","2022-05-08","230","233","230","232","0.00 %","13,174.00"
"BOKL","2022-05-05","233","237","230","232","-2.07 %","39,729.00"
"BOKL","2022-05-04","235.5","240","235","236.9","-1.29 %","28,196.00"
"BOKL","2022-05-02","243","243","238.8","240","-1.23 %","17,197.00"
"BOKL","2022-04-28","244","247.1","242","243","-0.25 %","15,997.00"
"BOKL","2022-04-27","241.5","247.7","241.5","243.6","-0.98 %","7,767.00"
"BOKL","2022-04-26","244","248.8","243.4","246","-0.40 %","6,577.00"
"BOKL","2022-04-25","255.5","255.5","245","247","-1.40 %","19,863.00"
"BOKL","2022-04-24","243","253.1","239.4","250.5","4.81 %","20,740.00"
"BOKL","2022-04-21","246.4","246.4","236","239","-1.08 %","36,625.00"
"BOKL","2022-04-20","252.9","252.9","240.8","241.6","-2.58 %","28,286.00"
"BOKL","2022-04-19","251.9","251.9","244","248","0.40 %","31,765.00"
"BOKL","2022-04-18","248","250","246","247","-1.98 %","20,560.00"
"BOKL","2022-04-17","261.2","261.2","252","252","-1.60 %","31,041.00"
"BOKL","2022-04-13","256.9","259.8","250.9","256.1","1.59 %","15,575.00"
"BOKL","2022-04-12","255","255","250.2","252.1","-1.14 %","18,494.00"
"BOKL","2022-04-11","262.1","264","255","255","-0.78 %","28,442.00"
"BOKL","2022-04-07","255","258","251","257","1.34 %","28,169.00"
"BOKL","2022-04-06","252","258","252","253.6","-1.32 %","37,723.00"
"BOKL","2022-04-05","265.2","265.2","254.3","257","-1.15 %","38,670.00"
