"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CFCL","2024-08-11","638","650","620.2","635","1.44 %","145,025.00"
"CFCL","2024-08-08","651","665","614","626","-1.96 %","95,117.00"
"CFCL","2024-08-07","568.9","638.5","550","638.5","9.99 %","177,810.00"
"CFCL","2024-08-06","632.1","642","580.5","580.5","-10.00 %","260,310.00"
"CFCL","2024-08-05","675","684","636.5","645","-4.44 %","151,474.00"
"CFCL","2024-08-01","712.9","712.9","675","675","-3.43 %","221,768.00"
"CFCL","2024-07-31","660","710","658","699","6.07 %","187,688.00"
"CFCL","2024-07-30","623","671","622","659","6.29 %","151,494.00"
"CFCL","2024-07-29","608.7","632","590","620","3.51 %","169,058.00"
"CFCL","2024-07-28","610","610","585.1","599","0.00 %","102,388.00"
"CFCL","2024-07-25","588","611.9","588","599","-0.17 %","84,786.00"
"CFCL","2024-07-24","610","623","598","600","-1.32 %","139,090.00"
"CFCL","2024-07-23","607.9","616","602","608","0.83 %","76,854.00"
"CFCL","2024-07-22","622.2","622.2","592","603","-1.15 %","105,886.00"
"CFCL","2024-07-21","590.5","625","583.1","610","3.35 %","215,409.00"
"CFCL","2024-07-18","615","615.9","590","590.2","-2.27 %","132,037.00"
"CFCL","2024-07-17","559","603.9","557","603.9","10.00 %","209,104.00"
"CFCL","2024-07-16","537","553","533.6","549","3.20 %","88,263.00"
"CFCL","2024-07-15","543","543.6","530","532","-0.19 %","101,690.00"
"CFCL","2024-07-14","537.5","558","526","533","1.14 %","72,534.00"
"CFCL","2024-07-11","531","539","524","527","0.00 %","68,354.00"
"CFCL","2024-07-10","525","533.9","522","527","0.57 %","69,431.00"
"CFCL","2024-07-09","526.3","535.5","518.5","524","1.55 %","97,167.00"
"CFCL","2024-07-08","520.2","527.5","510.5","516","1.18 %","89,697.00"
"CFCL","2024-07-07","520.2","535","510","510","-3.41 %","130,082.00"
"CFCL","2024-07-04","537.4","555","515","528","0.21 %","154,024.00"
"CFCL","2024-07-03","488.5","526.9","474","526.9","10.00 %","253,521.00"
"CFCL","2024-07-02","468.1","504","462","479","4.36 %","108,394.00"
