"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CZBIL","2024-08-11","237","244","232.5","243","4.29 %","205,390.00"
"CZBIL","2024-08-08","241","244","232","233","-2.71 %","112,719.00"
"CZBIL","2024-08-07","235.6","249.6","225","239.5","3.68 %","191,655.00"
"CZBIL","2024-08-06","258.3","258.3","231","231","-9.55 %","324,070.00"
"CZBIL","2024-08-05","265.9","275.4","254","255.4","-3.95 %","418,260.00"
"CZBIL","2024-08-01","265","275","260","265.9","1.88 %","499,587.00"
"CZBIL","2024-07-31","261","274.5","258","261","0.00 %","406,856.00"
"CZBIL","2024-07-30","266.3","266.3","246","261","-0.04 %","466,263.00"
"CZBIL","2024-07-29","258","278.3","255","261.1","3.20 %","650,276.00"
"CZBIL","2024-07-28","234.6","253","234.6","253","10.00 %","416,739.00"
"CZBIL","2024-07-25","225","230","223","230","2.18 %","244,402.00"
"CZBIL","2024-07-24","231","233.5","225","225.1","-1.92 %","248,975.00"
"CZBIL","2024-07-23","217","229.5","217","229.5","4.32 %","282,980.00"
"CZBIL","2024-07-22","229","229","216.6","220","-2.65 %","327,052.00"
"CZBIL","2024-07-21","221","238.9","213.2","226","2.26 %","386,658.00"
"CZBIL","2024-07-18","209.2","225.6","203.9","221","7.75 %","329,458.00"
"CZBIL","2024-07-17","206.9","207.8","201","205.1","1.08 %","154,028.00"
"CZBIL","2024-07-16","197","203","190.2","202.9","4.86 %","131,514.00"
"CZBIL","2024-07-15","195","199.4","192","193.5","0.78 %","160,402.00"
"CZBIL","2024-07-14","192.7","196.5","187","192","1.59 %","134,302.00"
"CZBIL","2024-07-11","186","189","182.4","189","3.62 %","121,582.00"
"CZBIL","2024-07-10","182.5","182.5","178.5","182.4","1.90 %","86,190.00"
"CZBIL","2024-07-09","180","180","174","179","1.42 %","32,935.00"
"CZBIL","2024-07-08","180.4","181","176","176.5","-1.12 %","51,190.00"
"CZBIL","2024-07-07","179","179.9","175.1","178.5","1.42 %","84,618.00"
"CZBIL","2024-07-04","179.5","180","173.8","176","0.00 %","61,875.00"
"CZBIL","2024-07-03","169.4","176.2","167","176","3.90 %","47,964.00"
"CZBIL","2024-07-02","169.4","175.9","166.6","169.4","1.99 %","98,869.00"
"CZBIL","2024-07-01","160.1","166.1","160.1","166.1","2.59 %","46,504.00"
"CZBIL","2024-06-30","162","163","161","161.9","-1.10 %","12,224.00"
"CZBIL","2024-06-27","161","164","160.5","163.7","0.43 %","22,265.00"
"CZBIL","2024-06-26","162.6","165","162","163","-1.21 %","14,860.00"
"CZBIL","2024-06-25","164.9","165.1","163.8","165","0.00 %","20,176.00"
"CZBIL","2024-06-24","166","167.2","164","165","0.61 %","11,401.00"
"CZBIL","2024-06-23","163","174.2","162.3","164","-0.18 %","19,283.00"
"CZBIL","2024-06-20","170.3","170.3","164.1","164.3","-1.62 %","14,035.00"
"CZBIL","2024-06-19","167.7","167.7","163","167","1.52 %","20,484.00"
"CZBIL","2024-06-18","168","169","164.5","164.5","-2.08 %","30,182.00"
"CZBIL","2024-06-16","170","170","167.5","168","-1.18 %","13,061.00"
"CZBIL","2024-06-13","173","173","169.1","170","-0.12 %","26,268.00"
"CZBIL","2024-06-12","172","174.4","170.1","170.2","-0.47 %","26,007.00"
"CZBIL","2024-06-11","169.3","180","163.2","171","3.01 %","21,764.00"
"CZBIL","2024-06-10","168","168","165.1","166","0.00 %","15,052.00"
"CZBIL","2024-06-09","170.3","170.3","165.2","166","-0.60 %","31,297.00"
"CZBIL","2024-06-06","167.1","168","165.2","167","-0.60 %","29,887.00"
"CZBIL","2024-06-05","173.4","173.4","166.6","168","-1.18 %","18,217.00"
"CZBIL","2024-06-04","170.9","172","167.1","170","1.43 %","18,033.00"
"CZBIL","2024-06-03","175.4","175.4","167.6","167.6","-2.56 %","21,442.00"
"CZBIL","2024-06-02","167","173.4","167","172","1.06 %","48,239.00"
"CZBIL","2024-05-30","176","176","170.2","170.2","-2.74 %","58,003.00"
"CZBIL","2024-05-29","182.5","185","174","175","-2.23 %","87,229.00"
"CZBIL","2024-05-27","173.8","182","173.8","179","1.19 %","83,463.00"
"CZBIL","2024-05-26","181","182.5","175","176.9","-1.17 %","88,756.00"
"CZBIL","2024-05-22","172","183","172","179","2.40 %","135,262.00"
"CZBIL","2024-05-21","175.4","175.4","168.1","174.8","1.63 %","46,406.00"
"CZBIL","2024-05-20","167.2","175.9","165","172","4.88 %","114,601.00"
"CZBIL","2024-05-19","161.1","169","159","164","3.80 %","78,344.00"
"CZBIL","2024-05-16","165.1","165.1","158","158","-2.41 %","58,847.00"
"CZBIL","2024-05-15","165","165","160.6","161.9","-0.06 %","13,653.00"
"CZBIL","2024-05-14","164.7","166","160","162","0.31 %","23,049.00"
"CZBIL","2024-05-13","153.3","163.9","152.9","161.5","3.53 %","233,850.00"
"CZBIL","2024-05-12","158.1","158.1","153","156","0.65 %","10,444.00"
"CZBIL","2024-05-09","156.8","156.8","153","155","0.13 %","17,067.00"
"CZBIL","2024-05-08","153.1","156.1","152.5","154.8","0.45 %","26,871.00"
"CZBIL","2024-05-07","156.5","156.5","153.8","154.1","-0.39 %","10,687.00"
"CZBIL","2024-05-06","159","159","153.2","154.7","-0.77 %","17,389.00"
"CZBIL","2024-05-05","154.1","156.9","154.1","155.9","0.26 %","10,250.00"
"CZBIL","2024-05-02","160.1","160.1","154","155.5","-0.96 %","18,455.00"
