"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DDBL","2024-08-11","1032.8","1066","1015","1064","4.93 %","49,021.00"
"DDBL","2024-08-08","1012","1035","996","1014","-1.07 %","34,124.00"
"DDBL","2024-08-07","994","1025","994","1025","3.12 %","40,276.00"
"DDBL","2024-08-06","1035","1050","980","994","-4.42 %","73,467.00"
"DDBL","2024-08-05","1050","1060","1029","1040","-1.89 %","43,429.00"
"DDBL","2024-08-01","1080","1080","1040","1060","0.00 %","56,003.00"
"DDBL","2024-07-31","1065.9","1086","1058","1060","1.25 %","78,307.00"
"DDBL","2024-07-30","985.1","1050","985","1046.9","4.70 %","73,772.00"
"DDBL","2024-07-29","1020","1020","980.1","999.9","-2.45 %","89,893.00"
"DDBL","2024-07-28","1040","1044","990","1025","-0.10 %","68,666.00"
"DDBL","2024-07-25","955.7","1030","937","1026","9.50 %","113,963.00"
"DDBL","2024-07-24","962.8","962.8","915","937","-0.74 %","86,470.00"
"DDBL","2024-07-23","915","945","915","944","2.71 %","36,721.00"
"DDBL","2024-07-22","945","945","913","919.1","-2.09 %","34,651.00"
"DDBL","2024-07-21","930","938.7","901.1","938.7","2.70 %","24,833.00"
"DDBL","2024-07-18","900","946","891","914","2.24 %","43,085.00"
"DDBL","2024-07-17","866","894","865","894","2.88 %","36,753.00"
"DDBL","2024-07-16","856.8","869","830","869","3.33 %","16,533.00"
"DDBL","2024-07-15","865","865","840","841","-1.12 %","26,132.00"
"DDBL","2024-07-14","862","880.1","846","850.5","0.53 %","25,027.00"
"DDBL","2024-07-11","870","870","843.1","846","-0.82 %","23,786.00"
"DDBL","2024-07-10","844","855","840.2","853","2.51 %","45,712.00"
"DDBL","2024-07-09","816","836.9","813","832.1","1.11 %","30,871.00"
"DDBL","2024-07-08","815","825","810.1","823","2.07 %","27,577.00"
"DDBL","2024-07-07","790","814","785","806.3","2.84 %","32,850.00"
"DDBL","2024-07-04","786","795","780","784","-0.25 %","18,604.00"
"DDBL","2024-07-03","776","786","771","786","0.27 %","25,775.00"
"DDBL","2024-07-02","785.4","801","775","783.9","1.81 %","6,229.00"
"DDBL","2024-07-01","765","780","765","770","0.26 %","12,670.00"
"DDBL","2024-06-30","780.2","783.5","768","768","-1.56 %","14,507.00"
"DDBL","2024-06-27","777.7","797","777.1","780.2","-0.99 %","10,061.00"
"DDBL","2024-06-26","782.2","800.9","782.2","788","-1.25 %","4,735.00"
"DDBL","2024-06-25","788","818.9","776.5","798","1.27 %","10,461.00"
"DDBL","2024-06-24","772","797","772","788","0.77 %","9,540.00"
"DDBL","2024-06-23","785","799","782","782","-1.26 %","9,520.00"
"DDBL","2024-06-20","802.9","802.9","791.4","792","-1.37 %","7,636.00"
"DDBL","2024-06-19","782.1","803.9","782.1","803","0.63 %","11,070.00"
"DDBL","2024-06-18","785","809","785","798","0.00 %","16,482.00"
"DDBL","2024-06-16","811","815","796.1","798","-2.81 %","22,260.00"
"DDBL","2024-06-13","810","837","810","821.1","1.12 %","51,134.00"
"DDBL","2024-06-12","825","826","806.1","812","-0.61 %","31,787.00"
"DDBL","2024-06-11","810","818","808.3","817","1.49 %","28,172.00"
"DDBL","2024-06-10","790","806","785.7","805","1.90 %","56,756.00"
"DDBL","2024-06-09","760","800","760","790","4.22 %","103,034.00"
"DDBL","2024-06-06","742.1","775","742.1","758","2.54 %","54,175.00"
"DDBL","2024-06-05","748","748","725","739.2","0.71 %","10,520.00"
"DDBL","2024-06-04","742.4","744.6","716","734","0.84 %","15,389.00"
"DDBL","2024-06-03","734.4","734.4","713","727.9","1.10 %","7,650.00"
"DDBL","2024-06-02","717","724","713.1","720","0.42 %","3,841.00"
"DDBL","2024-05-30","731","735","713","717","-1.94 %","7,999.00"
"DDBL","2024-05-29","745","745","731.2","731.2","-1.59 %","5,484.00"
"DDBL","2024-05-27","755","755.8","740","743","0.27 %","3,510.00"
"DDBL","2024-05-26","772.1","772.1","740","741","-2.11 %","11,377.00"
"DDBL","2024-05-22","774","779.9","754.5","757","-1.05 %","11,295.00"
