"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DHPL","2024-08-11","242","261","242","261","8.75 %","102,514.00"
"DHPL","2024-08-08","251.9","262","238","240","-2.83 %","58,021.00"
"DHPL","2024-08-07","238","248","233","247","3.83 %","61,452.00"
"DHPL","2024-08-06","253","257","233.5","237.9","-5.97 %","62,984.00"
"DHPL","2024-08-05","259.9","264.2","245","253","-2.50 %","61,700.00"
"DHPL","2024-08-01","260","273","254.8","259.5","0.39 %","90,373.00"
"DHPL","2024-07-31","239.7","258.5","235.3","258.5","10.00 %","121,741.00"
"DHPL","2024-07-30","237","242.7","229.4","235","0.43 %","39,265.00"
"DHPL","2024-07-29","239.4","241","230","234","-0.34 %","56,333.00"
"DHPL","2024-07-28","241.7","246.5","226","234.8","-0.93 %","49,276.00"
"DHPL","2024-07-25","235","239","231","237","0.85 %","43,342.00"
"DHPL","2024-07-24","243","247.8","233.3","235","-1.43 %","63,136.00"
"DHPL","2024-07-23","230","239.3","227.6","238.4","3.65 %","74,892.00"
"DHPL","2024-07-22","237","237","220","230","-1.20 %","45,249.00"
"DHPL","2024-07-21","233.9","237","227","232.8","-1.56 %","50,249.00"
"DHPL","2024-07-18","241.9","245","231.3","236.5","-0.88 %","52,959.00"
"DHPL","2024-07-17","227.9","239.7","227.9","238.6","6.76 %","111,239.00"
"DHPL","2024-07-16","217.2","225","215","223.5","4.93 %","81,862.00"
"DHPL","2024-07-15","220.2","228","212.7","213","-1.34 %","35,242.00"
"DHPL","2024-07-14","215.2","221","212.5","215.9","2.32 %","30,620.00"
"DHPL","2024-07-11","209","213","205.4","211","2.93 %","29,743.00"
"DHPL","2024-07-10","209.1","213","204.2","205","0.00 %","16,307.00"
"DHPL","2024-07-09","211","211","200.9","205","-0.97 %","18,407.00"
"DHPL","2024-07-08","205.6","209","205","207","0.98 %","13,742.00"
"DHPL","2024-07-07","205","209","204.3","205","0.00 %","30,477.00"
"DHPL","2024-07-04","205","212","205","205","0.00 %","16,221.00"
"DHPL","2024-07-03","213.1","213.1","201.2","205","-1.91 %","18,140.00"
