"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GMFBS","2024-08-11","1650","1730","1650","1696","2.26 %","7,546.00"
"GMFBS","2024-08-08","1685","1700","1642","1658.5","-0.99 %","5,807.00"
"GMFBS","2024-08-07","1633","1690","1633","1675","0.54 %","3,986.00"
"GMFBS","2024-08-06","1760","1784","1656.3","1666","-4.80 %","23,277.00"
"GMFBS","2024-08-05","1750","1755","1686","1750","-0.13 %","7,746.00"
"GMFBS","2024-08-01","1822.8","1960","1752","1752.3","-5.79 %","21,429.00"
"GMFBS","2024-07-31","1854","1878.4","1820","1859.9","-1.64 %","8,853.00"
"GMFBS","2024-07-30","1974","1974","1826","1891","-6.11 %","6,356.00"
"GMFBS","2024-07-29","1855.2","2014","1740","2014","6.56 %","50,710.00"
"GMFBS","2024-07-28","2043.3","2043.3","1876.5","1890","-9.35 %","27,815.00"
"GMFBS","2024-07-25","1896","2085","1850","2085","9.97 %","41,784.00"
"GMFBS","2024-07-24","1949","2009","1895","1896","-2.03 %","12,785.00"
"GMFBS","2024-07-23","2014","2178","1930","1935.3","-5.83 %","43,689.00"
"GMFBS","2024-07-22","2327","2327","2053.8","2055.1","-9.94 %","15,201.00"
"GMFBS","2024-07-21","2033.5","2282","2030","2282","9.98 %","15,398.00"
"GMFBS","2024-07-18","2065","2217","2011","2075","2.41 %","26,606.00"
"GMFBS","2024-07-17","1984.5","2200","1961","2026.1","0.30 %","23,824.00"
"GMFBS","2024-07-16","2249.1","2249.1","2015","2020.1","-8.39 %","38,712.00"
"GMFBS","2024-07-15","2206.2","2206.2","2000","2205","1.94 %","8,190.00"
"GMFBS","2024-07-14","1961","2163","1923","2163","8.14 %","16,012.00"
"GMFBS","2024-07-11","1960.1","2037","1960.1","2000.2","0.01 %","20,600.00"
"GMFBS","2024-07-10","1831","2000","1831","2000","7.11 %","13,578.00"
"GMFBS","2024-07-09","1663.6","1867.2","1663.6","1867.2","10.00 %","24,205.00"
"GMFBS","2024-07-08","1679","1719","1653.2","1697.5","-0.90 %","9,093.00"
"GMFBS","2024-07-07","1625","1728","1625","1713","3.69 %","16,011.00"
"GMFBS","2024-07-04","1635","1733.9","1611.1","1652.1","-0.95 %","12,547.00"
"GMFBS","2024-07-03","1608","1685","1608","1668","1.71 %","18,903.00"
"GMFBS","2024-07-02","1693","1727","1636.2","1640","-1.20 %","7,109.00"
"GMFBS","2024-07-01","1620","1747","1608","1660","0.48 %","22,866.00"
"GMFBS","2024-06-30","1718","1718","1652.1","1652.1","-5.76 %","13,933.00"
"GMFBS","2024-06-27","1680","1840","1671","1753","2.28 %","20,974.00"
"GMFBS","2024-06-26","1568","1714","1568","1714","7.13 %","31,601.00"
"GMFBS","2024-06-25","1580","1683","1580","1600","0.56 %","12,032.00"
"GMFBS","2024-06-24","1475","1591.1","1452","1591.1","10.00 %","39,140.00"
"GMFBS","2024-06-23","1341.3","1446.5","1315","1446.5","10.00 %","34,938.00"
"GMFBS","2024-06-20","1325","1345","1300.1","1315","-1.86 %","4,263.00"
"GMFBS","2024-06-19","1338.2","1344","1312","1339.9","2.13 %","1,673.00"
"GMFBS","2024-06-18","1327","1349","1301","1312","-1.13 %","5,312.00"
"GMFBS","2024-06-16","1357","1367","1307","1327","-4.12 %","6,864.00"
"GMFBS","2024-06-13","1410","1458","1365","1384","-0.24 %","9,060.00"
"GMFBS","2024-06-12","1302","1404","1280","1387.3","8.64 %","14,285.00"
"GMFBS","2024-06-11","1257","1305","1257","1277","0.95 %","7,745.00"
"GMFBS","2024-06-10","1279","1300","1244.5","1265","0.80 %","5,360.00"
"GMFBS","2024-06-09","1256","1280.2","1235","1255","-0.88 %","4,059.00"
"GMFBS","2024-06-06","1277","1290","1255","1266.1","1.05 %","12,953.00"
"GMFBS","2024-06-05","1240.1","1300","1181.3","1253","1.04 %","8,095.00"
"GMFBS","2024-06-04","1290","1323","1240.1","1240.1","-4.53 %","2,623.00"
"GMFBS","2024-06-03","1258","1301","1205","1299","3.85 %","1,987.00"
"GMFBS","2024-06-02","1180","1280","1161.2","1250.8","6.00 %","2,988.00"
"GMFBS","2024-05-30","1215","1220","1172.1","1180","-4.07 %","848.00"
"GMFBS","2024-05-29","1243.1","1268","1217.3","1230","-3.00 %","2,160.00"
"GMFBS","2024-05-27","1250.5","1273.8","1230","1268","3.43 %","2,049.00"
"GMFBS","2024-05-26","1274","1310","1226","1226","-5.69 %","2,406.00"
"GMFBS","2024-05-22","1330","1350","1290","1300","-2.18 %","2,828.00"
"GMFBS","2024-05-21","1300.5","1340","1300","1329","0.15 %","1,596.00"
"GMFBS","2024-05-20","1320","1372.9","1294.5","1327","0.53 %","4,344.00"
"GMFBS","2024-05-19","1340","1348","1279","1320","-2.58 %","5,997.00"
"GMFBS","2024-05-16","1229.5","1370","1229.1","1355","8.05 %","6,659.00"
"GMFBS","2024-05-15","1247","1299","1232","1254","1.62 %","7,598.00"
"GMFBS","2024-05-14","1191.9","1239","1191.9","1234","5.46 %","3,382.00"
"GMFBS","2024-05-13","1181.9","1215","1168.9","1170.1","0.96 %","518.00"
"GMFBS","2024-05-12","1160.1","1180","1137.3","1159","-1.78 %","729.00"
"GMFBS","2024-05-09","1226","1226","1162","1180","-3.75 %","910.00"
"GMFBS","2024-05-08","1156.1","1226","1156.1","1226","4.16 %","2,859.00"
"GMFBS","2024-05-07","1169.2","1205","1169","1177","-1.09 %","2,197.00"
"GMFBS","2024-05-06","1200","1210","1156","1190","-2.46 %","3,299.00"
"GMFBS","2024-05-05","1195","1237.2","1176","1220","3.39 %","4,918.00"
"GMFBS","2024-05-02","1167","1215","1157.1","1180","3.06 %","4,755.00"
"GMFBS","2024-04-30","1100","1150","1100","1145","2.42 %","471.00"
"GMFBS","2024-04-29","1091","1118","1085.1","1118","1.18 %","504.00"
"GMFBS","2024-04-28","1103.9","1125.9","1100.2","1105","0.10 %","1,038.00"
"GMFBS","2024-04-25","1120","1120","1086","1103.9","-1.44 %","804.00"
"GMFBS","2024-04-24","1100","1122","1083","1120","2.19 %","296.00"
"GMFBS","2024-04-22","1075","1096","1075","1096","0.99 %","548.00"
"GMFBS","2024-04-21","1132","1132","1075","1085.3","-2.23 %","944.00"
"GMFBS","2024-04-18","1136.8","1136.8","1095","1110","-2.55 %","1,177.00"
"GMFBS","2024-04-16","1157","1160","1089","1139","-3.47 %","1,311.00"
"GMFBS","2024-04-15","1210","1214.8","1170","1180","-0.92 %","662.00"
"GMFBS","2024-04-14","1125","1237.2","1125","1191","5.02 %","2,171.00"
"GMFBS","2024-04-10","1150","1150","1126.1","1134.1","-3.07 %","2,032.00"
"GMFBS","2024-04-09","1133.4","1200","1122","1170","1.17 %","3,266.00"
"GMFBS","2024-04-07","1210","1210","1142.4","1156.5","-2.54 %","5,707.00"
"GMFBS","2024-04-04","1185","1208","1147","1186.7","2.13 %","4,454.00"
"GMFBS","2024-04-03","1051","1174","1050.6","1161.9","8.39 %","6,816.00"
"GMFBS","2024-04-02","981","1072","981","1072","9.95 %","3,434.00"
"GMFBS","2024-04-01","971","999","971","975","-0.91 %","710.00"
"GMFBS","2024-03-31","1001","1020","980.1","984","-3.53 %","3,780.00"
"GMFBS","2024-03-28","1038","1038","990","1020","0.18 %","3,677.00"
"GMFBS","2024-03-27","1048","1048","1018.1","1018.2","-2.84 %","7,018.00"
"GMFBS","2024-03-26","1055","1087.5","1029.1","1048","-0.03 %","5,199.00"
"GMFBS","2024-03-25","1012.4","1069","1005","1048.3","1.48 %","4,891.00"
"GMFBS","2024-03-21","1030","1100","1025","1033","2.28 %","3,238.00"
"GMFBS","2024-03-20","952","1027.4","952","1010","8.14 %","13,940.00"
"GMFBS","2024-03-19","919","991","900","934","3.66 %","10,202.00"
"GMFBS","2024-03-18","892","920","892","901","-0.99 %","918.00"
"GMFBS","2024-03-17","925","925","890","910","-3.19 %","2,381.00"
"GMFBS","2024-03-14","940.8","957","903.6","940","-2.08 %","1,302.00"
"GMFBS","2024-03-13","880","960","880","960","7.26 %","12,376.00"
"GMFBS","2024-03-12","883.9","895","870","895","3.23 %","531.00"
"GMFBS","2024-03-10","830","870","830","867","2.48 %","869.00"
"GMFBS","2024-03-07","842.8","846","813.5","846","-1.63 %","1,924.00"
"GMFBS","2024-03-06","834","867.9","817.4","860","1.06 %","996.00"
"GMFBS","2024-03-05","860","889","830.1","851","-2.60 %","1,423.00"
"GMFBS","2024-03-04","856.6","873.7","856.6","873.7","-0.03 %","1,010.00"
"GMFBS","2024-03-03","833.1","874","816.6","874","2.82 %","1,566.00"
"GMFBS","2024-02-29","822","850","820","850","1.67 %","516.00"
"GMFBS","2024-02-28","847.6","847.6","831.2","836","0.60 %","503.00"
"GMFBS","2024-02-27","813.4","846.1","813.4","831","0.12 %","215.00"
"GMFBS","2024-02-26","840","846.6","829.7","830","0.00 %","300.00"
"GMFBS","2024-02-25","801","840","800","830","1.92 %","1,870.00"
"GMFBS","2024-02-22","829","831","814.4","814.4","-0.07 %","558.00"
"GMFBS","2024-02-21","826","826","815","815","0.62 %","378.00"
"GMFBS","2024-02-20","820","826.2","809.7","810","0.00 %","295.00"
"GMFBS","2024-02-18","845","860","810","810","-4.71 %","885.00"
"GMFBS","2024-02-15","835.1","852.7","825","850","-0.12 %","876.00"
"GMFBS","2024-02-14","865","865","851","851","-1.66 %","223.00"
"GMFBS","2024-02-13","850.7","884","850.7","865.4","-0.30 %","350.00"
"GMFBS","2024-02-12","835","868","835","868","5.47 %","2,170.00"
"GMFBS","2024-02-11","851.1","887.4","823","823","-4.66 %","1,540.00"
"GMFBS","2024-02-08","880","880","863.1","863.2","-3.66 %","272.00"
"GMFBS","2024-02-07","862","896","852","896","4.19 %","540.00"
"GMFBS","2024-02-06","848","860","843.1","860","1.42 %","246.00"
"GMFBS","2024-02-05","850","850","833","848","-0.19 %","274.00"
"GMFBS","2024-02-04","833","849.6","830","849.6","-0.05 %","1,499.00"
"GMFBS","2024-02-01","846","850","846","850","-1.35 %","64.00"
"GMFBS","2024-01-31","879.1","879.1","861.6","861.6","-3.95 %","200.00"
"GMFBS","2024-01-30","878","897","878","897","0.22 %","1,161.00"
"GMFBS","2024-01-29","890","895","872.2","895","0.56 %","4,344.00"
"GMFBS","2024-01-28","902","902","870","890","-3.16 %","1,676.00"
"GMFBS","2024-01-25","887","919","871","919","1.55 %","1,406.00"
"GMFBS","2024-01-24","903.6","905","885.6","905","-1.84 %","1,353.00"
"GMFBS","2024-01-23","886","922","869","922","1.99 %","4,457.00"
"GMFBS","2024-01-22","890","911.8","878","904","1.12 %","6,382.00"
"GMFBS","2024-01-21","850","906.1","840","894","6.66 %","5,227.00"
"GMFBS","2024-01-18","776.9","838.2","776.9","838.2","10.00 %","8,189.00"
"GMFBS","2024-01-17","815","850","762","762","-5.34 %","1,672.00"
"GMFBS","2024-01-16","805","821.1","805","805","1.90 %","662.00"
"GMFBS","2024-01-14","774","805","761","790","3.81 %","1,528.00"
"GMFBS","2024-01-11","750","765","750","761","0.66 %","814.00"
"GMFBS","2024-01-10","758","763.9","756","756","0.93 %","1,206.00"
"GMFBS","2024-01-09","721","749","721","749","2.88 %","1,313.00"
"GMFBS","2024-01-08","702","728","702","728","1.82 %","1,052.00"
"GMFBS","2024-01-07","702","730.1","702","715","-0.14 %","272.00"
"GMFBS","2024-01-04","737.4","739.5","715.4","716","-0.97 %","1,012.00"
"GMFBS","2024-01-03","695.6","723","682.1","723","6.01 %","511.00"
"GMFBS","2024-01-02","690","695","682","682","-2.99 %","248.00"
"GMFBS","2024-01-01","741","741","695","703","-4.95 %","208.00"
"GMFBS","2023-12-28","696.7","739.6","682.8","739.6","4.04 %","840.00"
"GMFBS","2023-12-27","725","726","696","710.9","-3.28 %","146.00"
"GMFBS","2023-12-24","741.3","752","735","735","-2.75 %","309.00"
"GMFBS","2023-12-21","741","755.8","741","755.8","0.00 %","484.00"
"GMFBS","2023-12-20","766.4","766.4","736","755.8","-3.35 %","1,253.00"
"GMFBS","2023-12-19","760","782","710","782","4.38 %","1,485.00"
"GMFBS","2023-12-18","735","780","735","749.2","0.97 %","659.00"
"GMFBS","2023-12-17","714.9","742","689","742","3.79 %","1,180.00"
"GMFBS","2023-12-14","702","715","701.6","714.9","-0.14 %","141.00"
"GMFBS","2023-12-13","702","730","696","715.9","3.87 %","337.00"
"GMFBS","2023-12-12","729","729","689.2","689.2","-3.61 %","34.00"
"GMFBS","2023-12-11","719","730","701.1","715","1.42 %","431.00"
"GMFBS","2023-12-07","707.6","707.6","705","705","-2.35 %","24.00"
"GMFBS","2023-12-06","657","722","657","722","7.76 %","198.00"
"GMFBS","2023-12-05","670","670","670","670","-1.90 %","14.00"
"GMFBS","2023-12-04","661","683","661","683","1.34 %","62.00"
"GMFBS","2023-12-03","652","674","652","674","1.51 %","225.00"
"GMFBS","2023-11-30","664","665","664","664","-1.92 %","310.00"
"GMFBS","2023-11-29","677","677","677","677","-1.88 %","75.00"
"GMFBS","2023-11-28","684","690","684","690","0.73 %","74.00"
"GMFBS","2023-11-27","698.7","698.7","685","685","0.00 %","147.00"
"GMFBS","2023-11-26","685","692","685","685","-1.44 %","269.00"
"GMFBS","2023-11-23","695","695","695","695","-1.00 %","25.00"
"GMFBS","2023-11-22","706","706","700","702","1.31 %","36.00"
"GMFBS","2023-11-21","692.9","692.9","692.9","692.9","-1.99 %","50.00"
"GMFBS","2023-11-20","709","709","707","707","-0.41 %","43.00"
"GMFBS","2023-11-09","700","710","700","709.9","3.11 %","48.00"
"GMFBS","2023-11-08","675","688.5","675","688.5","1.70 %","23.00"
"GMFBS","2023-11-07","676","677","663","677","0.15 %","131.00"
"GMFBS","2023-11-06","663.2","676","663","676","0.00 %","43.00"
"GMFBS","2023-11-05","675","685","675","676","-1.31 %","93.00"
"GMFBS","2023-11-02","672","685","672","685","0.00 %","102.00"
"GMFBS","2023-11-01","683.5","685","683.4","685","-1.76 %","86.00"
"GMFBS","2023-10-31","711.5","711.5","697.3","697.3","-3.95 %","64.00"
"GMFBS","2023-10-30","726","726","726","726","0.00 %","2.00"
"GMFBS","2023-10-19","713.4","726","699.2","726","-0.26 %","78.00"
"GMFBS","2023-10-18","680.3","727.9","680.3","727.9","9.13 %","70.00"
"GMFBS","2023-10-17","667","667","667","667","0.00 %","30.00"
"GMFBS","2023-10-16","660","667","660","667","-0.89 %","125.00"
"GMFBS","2023-10-12","671.1","684.5","670","673","-1.17 %","691.00"
"GMFBS","2023-10-11","666.4","681","666.4","681","0.15 %","47.00"
"GMFBS","2023-10-10","690","690","680","680","-1.02 %","316.00"
"GMFBS","2023-10-09","685","687.1","685","687","-1.45 %","40.00"
"GMFBS","2023-10-08","724.2","724.2","696","697.1","-1.82 %","191.00"
"GMFBS","2023-10-05","700","710","700","710","1.43 %","60.00"
"GMFBS","2023-10-04","695","714","695","700","0.72 %","266.00"
"GMFBS","2023-10-03","692","695","692","695","-1.42 %","24.00"
"GMFBS","2023-10-02","689","719.1","689","705","0.57 %","342.00"
"GMFBS","2023-10-01","701","701","701","701","-1.82 %","14.00"
"GMFBS","2023-09-27","702.9","714","689","714","-0.42 %","66.00"
"GMFBS","2023-09-26","740","740","715.4","717","-3.11 %","172.00"
"GMFBS","2023-09-25","735","740","735","740","-1.33 %","245.00"
"GMFBS","2023-09-24","738","753","723.2","750","3.56 %","2,121.00"
"GMFBS","2023-09-21","719","728","710","724.2","2.00 %","244.00"
"GMFBS","2023-09-19","690","731.3","690","710","1.00 %","725.00"
"GMFBS","2023-09-18","690","703.5","690","703","1.88 %","62.00"
"GMFBS","2023-09-17","714","714","690","690","-3.36 %","106.00"
"GMFBS","2023-09-13","700","714","700","714","2.00 %","222.00"
"GMFBS","2023-09-12","700","713","700","700","0.00 %","242.00"
"GMFBS","2023-09-11","706.8","706.8","690","700","1.01 %","289.00"
"GMFBS","2023-09-10","699.7","714","687","693","1.02 %","860.00"
"GMFBS","2023-09-07","710.5","710.5","686","686","-1.52 %","242.00"
"GMFBS","2023-09-05","670.1","696.6","670","696.6","3.80 %","238.00"
"GMFBS","2023-09-04","680","717.8","670","671.1","-1.31 %","914.00"
"GMFBS","2023-09-03","680","680","680","680","0.00 %","10.00"
"GMFBS","2023-08-30","677","680","676","680","-0.73 %","49.00"
"GMFBS","2023-08-29","676","685","676","685","-0.15 %","114.00"
"GMFBS","2023-08-28","672.4","686","672.4","686","2.02 %","113.00"
"GMFBS","2023-08-27","672.3","672.4","672.3","672.4","-1.98 %","56.00"
"GMFBS","2023-08-24","696.4","696.4","685.1","686","-3.45 %","327.00"
"GMFBS","2023-08-23","711","711.2","710.5","710.5","-2.00 %","75.00"
"GMFBS","2023-08-22","675","725","665","725","7.85 %","755.00"
"GMFBS","2023-08-21","685","690","672.2","672.2","-1.87 %","50.00"
"GMFBS","2023-08-20","697","697","683.5","685","-3.59 %","333.00"
"GMFBS","2023-08-17","683","710.5","683","710.5","4.03 %","812.00"
"GMFBS","2023-08-15","683","683","683","683","-1.87 %","14.00"
"GMFBS","2023-08-14","708","710.9","696","696","-0.85 %","332.00"
"GMFBS","2023-08-13","679","704","673.1","702","5.34 %","1,203.00"
"GMFBS","2023-08-10","665","687.4","665","666.4","1.55 %","647.00"
"GMFBS","2023-08-09","660","681.2","643","656.2","-1.93 %","205.00"
"GMFBS","2023-08-08","677.1","681.1","669","669.1","-1.76 %","742.00"
"GMFBS","2023-08-07","642.1","700","641","681.1","4.62 %","1,175.00"
"GMFBS","2023-08-06","696","696","651","651","-6.47 %","2,379.00"
"GMFBS","2023-08-03","716","722","696","696","-4.16 %","1,269.00"
"GMFBS","2023-08-02","737.3","741","726.2","726.2","-2.25 %","1,793.00"
"GMFBS","2023-08-01","785","785","742.9","742.9","-3.54 %","734.00"
"GMFBS","2023-07-31","780","797","768","770.2","-0.36 %","89.00"
"GMFBS","2023-07-30","792","800","771.3","773","-2.40 %","904.00"
"GMFBS","2023-07-27","790","806.8","790","792","-1.41 %","324.00"
"GMFBS","2023-07-26","829.9","830","802.1","803.3","-2.98 %","462.00"
"GMFBS","2023-07-25","786","828","786","828","3.76 %","1,359.00"
"GMFBS","2023-07-24","805","830","798","798","-2.68 %","217.00"
"GMFBS","2023-07-23","803","824","773.3","820","2.12 %","1,061.00"
"GMFBS","2023-07-20","806","819","802.7","803","-0.37 %","452.00"
"GMFBS","2023-07-19","818","820","806","806","-3.36 %","365.00"
"GMFBS","2023-07-18","836","836","820","834","1.71 %","590.00"
"GMFBS","2023-07-17","820","827","799","820","1.12 %","368.00"
"GMFBS","2023-07-16","798","812","798","810.9","1.64 %","852.00"
"GMFBS","2023-07-13","844","861.3","797.8","797.8","-3.65 %","414.00"
"GMFBS","2023-07-12","787","851","787","828","5.16 %","739.00"
"GMFBS","2023-07-11","757","787.4","757","787.4","1.99 %","300.00"
"GMFBS","2023-07-10","775","789.9","772","772","1.58 %","384.00"
"GMFBS","2023-07-09","745","788.4","730.2","760","2.14 %","1,267.00"
"GMFBS","2023-07-06","751","752","738.1","744.1","-0.92 %","227.00"
"GMFBS","2023-07-05","761","776","748","751","-3.10 %","301.00"
"GMFBS","2023-07-04","785","785","775","775","-3.00 %","270.00"
"GMFBS","2023-07-03","784.1","799","784.1","799","-0.13 %","81.00"
"GMFBS","2023-07-02","825.2","829","792.6","800","-4.99 %","201.00"
"GMFBS","2023-06-28","906","906","840","842","-5.29 %","1,134.00"
"GMFBS","2023-06-27","807.6","897.5","807","889","7.89 %","1,537.00"
"GMFBS","2023-06-26","783.9","824","782","824","7.17 %","1,630.00"
"GMFBS","2023-06-25","725","768.9","724","768.9","5.85 %","734.00"
"GMFBS","2023-06-22","754.8","754.8","726","726.4","-1.84 %","52.00"
"GMFBS","2023-06-21","760","766","740","740","-4.39 %","576.00"
"GMFBS","2023-06-20","755","775","755","774","0.52 %","905.00"
"GMFBS","2023-06-19","760","770","757.6","770","-0.39 %","166.00"
"GMFBS","2023-06-18","747","774","746","773","1.71 %","261.00"
"GMFBS","2023-06-15","733.1","760","733.1","760","2.70 %","102.00"
"GMFBS","2023-06-14","768","783","740","740","-3.65 %","910.00"
"GMFBS","2023-06-13","738.7","768","738.7","768","3.94 %","827.00"
"GMFBS","2023-06-12","725","738.9","725","738.9","0.26 %","52.00"
"GMFBS","2023-06-11","720.1","737","720.1","737","0.68 %","561.00"
"GMFBS","2023-06-08","759","759","732","732","-1.88 %","38.00"
"GMFBS","2023-06-07","750","752","741","746","0.81 %","390.00"
"GMFBS","2023-06-06","725.1","754.5","725.1","740","0.03 %","91.00"
"GMFBS","2023-06-05","740","742","725.3","739.8","-1.88 %","413.00"
"GMFBS","2023-06-04","728","754","713.7","754","5.60 %","185.00"
"GMFBS","2023-06-01","717","717","702","714","1.56 %","58.00"
"GMFBS","2023-05-31","705.9","761","703","703","1.57 %","136.00"
"GMFBS","2023-05-30","720.3","720.3","691.1","692.1","-5.84 %","1,808.00"
"GMFBS","2023-05-28","750","750","735","735","-2.39 %","302.00"
"GMFBS","2023-05-24","745","755","730.1","753","1.21 %","242.00"
"GMFBS","2023-05-23","730","744","720","744","2.62 %","231.00"
"GMFBS","2023-05-22","725","725","725","725","0.00 %","30.00"
"GMFBS","2023-05-21","727","735","713","725","1.41 %","171.00"
"GMFBS","2023-05-18","650","714.9","650","714.9","7.83 %","80.00"
"GMFBS","2023-05-17","662","663","662","663","-0.75 %","69.00"
"GMFBS","2023-05-16","668","668","668","668","1.98 %","13.00"
"GMFBS","2023-05-15","662","662","650.2","655","-0.01 %","38.00"
"GMFBS","2023-05-14","670","671.9","658.8","660","0.00 %","149.00"
"GMFBS","2023-05-11","660","660","660","660","-1.20 %","10.00"
"GMFBS","2023-05-10","666.6","668","666.5","668","2.19 %","30.00"
"GMFBS","2023-05-09","654","654","653.7","653.7","-1.99 %","162.00"
"GMFBS","2023-05-08","667","667","667","667","0.00 %","20.00"
"GMFBS","2023-05-07","654","667","654","667","-0.01 %","24.00"
"GMFBS","2023-05-04","667.1","667.1","667.1","667.1","-1.90 %","14.00"
"GMFBS","2023-05-03","682","682","679","680","-1.73 %","100.00"
"GMFBS","2023-05-02","691","692","679","692","-1.84 %","33.00"
"GMFBS","2023-04-30","700","705","690","705","1.73 %","66.00"
"GMFBS","2023-04-27","696","700","693","693","-1.84 %","44.00"
"GMFBS","2023-04-26","720","720","706","706","-1.40 %","168.00"
"GMFBS","2023-04-25","716","716","716","716","-1.92 %","14.00"
"GMFBS","2023-04-24","748","748","718.6","730","-0.56 %","44.00"
"GMFBS","2023-04-23","793","793","734.1","734.1","-5.64 %","86.00"
"GMFBS","2023-04-20","778","778","778","778","1.83 %","10.00"
"GMFBS","2023-04-19","739.6","764","698","764","1.25 %","479.00"
"GMFBS","2023-04-18","756","756","754.6","754.6","-2.00 %","20.00"
"GMFBS","2023-04-17","770","770","770","770","1.72 %","12.00"
"GMFBS","2023-04-16","746","757","746","757","1.35 %","20.00"
"GMFBS","2023-04-13","733","746.9","733","746.9","-0.12 %","25.00"
"GMFBS","2023-04-12","693.6","747.8","693.6","747.8","9.97 %","319.00"
"GMFBS","2023-04-11","667.3","690","667.3","680","-0.13 %","113.00"
"GMFBS","2023-04-10","660","680.9","660","680.9","1.89 %","55.00"
"GMFBS","2023-04-09","667","670","660","668.3","-1.74 %","66.00"
"GMFBS","2023-04-06","694","695","671","680.1","-2.14 %","120.00"
"GMFBS","2023-04-05","699","700","695","695","-0.71 %","52.00"
"GMFBS","2023-04-04","701","701","692.1","700","0.00 %","44.00"
"GMFBS","2023-04-03","710","714","699.8","700","0.00 %","122.00"
"GMFBS","2023-04-02","725","720","700","700","-3.45 %","128.00"
"GMFBS","2023-03-30","735","735","725","725","-3.29 %","79.00"
"GMFBS","2023-03-29","754","765","749.7","749.7","-0.57 %","22.00"
"GMFBS","2023-03-28","727","754","726","754","4.71 %","148.00"
"GMFBS","2023-03-27","706","720.1","706","720.1","0.01 %","126.00"
"GMFBS","2023-03-26","720.3","720.3","692.2","720","-2.03 %","460.00"
"GMFBS","2023-03-23","735","737.4","709","734.9","-1.88 %","80.00"
"GMFBS","2023-03-22","755","755","740","749","-0.79 %","167.00"
"GMFBS","2023-03-20","731","774.1","731","755","3.28 %","279.00"
"GMFBS","2023-03-19","731","731","731","731","-1.88 %","14.00"
"GMFBS","2023-03-16","719.5","745","719.5","745","1.48 %","58.00"
"GMFBS","2023-03-15","720","734.1","711","734.1","1.80 %","178.00"
"GMFBS","2023-03-14","721","730","721","721.1","-1.35 %","109.00"
"GMFBS","2023-03-13","731","731","731","731","-1.23 %","25.00"
"GMFBS","2023-03-12","769","769","740.1","740.1","-3.76 %","208.00"
"GMFBS","2023-03-09","737","769","737","769","2.53 %","162.00"
"GMFBS","2023-03-07","749.7","750","749.7","750","2.04 %","185.00"
"GMFBS","2023-03-05","740","740","730","735","-1.34 %","87.00"
"GMFBS","2023-03-02","730.1","745","706.6","745","0.00 %","107.00"
"GMFBS","2023-03-01","745","745","745","745","-1.84 %","14.00"
"GMFBS","2023-02-28","731.1","759","731.1","759","1.80 %","250.00"
"GMFBS","2023-02-27","761","776","731","745.6","-0.17 %","200.00"
"GMFBS","2023-02-26","714.5","746.9","706","746.9","2.46 %","713.00"
