"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HHL","2024-08-11","421.9","436","417","430","3.61 %","71,574.00"
"HHL","2024-08-08","420.1","427","394","415","0.00 %","40,977.00"
"HHL","2024-08-07","400","418.8","395","415","4.75 %","26,003.00"
"HHL","2024-08-06","428","440","389","396.2","-5.67 %","86,499.00"
"HHL","2024-08-05","420","430","408.7","420","0.74 %","54,867.00"
"HHL","2024-08-01","415","427","407","416.9","-0.74 %","47,023.00"
"HHL","2024-07-31","423.1","428","411","420","1.23 %","62,573.00"
"HHL","2024-07-30","405","417.3","400.1","414.9","2.50 %","45,165.00"
"HHL","2024-07-29","414","415.1","400.1","404.8","-1.03 %","28,883.00"
"HHL","2024-07-28","419.1","427","400","409","-0.49 %","22,984.00"
"HHL","2024-07-25","428.4","428.4","410","411","-2.14 %","32,837.00"
"HHL","2024-07-24","425","444","414","420","-0.47 %","60,977.00"
"HHL","2024-07-23","420","432","412","422","0.48 %","54,820.00"
"HHL","2024-07-22","390","432","389.4","420","5.77 %","72,464.00"
"HHL","2024-07-21","397.3","406","390","397.1","-1.95 %","47,678.00"
"HHL","2024-07-18","422.2","422.2","400.2","405","-2.17 %","38,913.00"
"HHL","2024-07-17","402","414","395.1","414","2.73 %","56,614.00"
"HHL","2024-07-16","370.2","407","370.2","403","6.95 %","92,210.00"
"HHL","2024-07-15","387","390","373","376.8","-0.84 %","18,884.00"
"HHL","2024-07-14","370","390","370","380","0.82 %","28,125.00"
"HHL","2024-07-11","365.6","379.9","365.6","376.9","1.05 %","22,643.00"
"HHL","2024-07-10","355.1","374","355.1","373","3.32 %","23,427.00"
"HHL","2024-07-09","354.1","367.2","354.1","361","1.40 %","8,882.00"
"HHL","2024-07-08","364","368.3","356","356","-1.74 %","15,840.00"
"HHL","2024-07-07","373.8","373.8","361.5","362.3","-1.15 %","12,614.00"
"HHL","2024-07-04","358","372","358","366.5","0.41 %","6,277.00"
"HHL","2024-07-03","361","370","361","365","-0.82 %","9,099.00"
"HHL","2024-07-02","370.7","399.5","360","368","1.24 %","18,379.00"
"HHL","2024-07-01","348.6","369","348.6","363.5","2.22 %","7,611.00"
"HHL","2024-06-30","368","368","355.4","355.6","-2.44 %","7,523.00"
"HHL","2024-06-27","362.6","377","362.6","364.5","-1.49 %","9,210.00"
"HHL","2024-06-26","364.8","384","364.8","370","-0.59 %","34,468.00"
"HHL","2024-06-25","353.1","381.7","353.1","372.2","3.39 %","23,283.00"
"HHL","2024-06-24","357","371","357","360","-0.55 %","11,191.00"
"HHL","2024-06-23","357.3","372.7","357.3","362","-0.55 %","11,297.00"
"HHL","2024-06-20","363","377","363","364","-1.62 %","8,142.00"
"HHL","2024-06-19","362.2","375","362.2","370","0.49 %","9,469.00"
"HHL","2024-06-18","362.7","377.4","362.7","368.2","-0.49 %","16,683.00"
"HHL","2024-06-16","368.3","384","366.7","370","-0.78 %","22,200.00"
"HHL","2024-06-13","372.5","380.4","370.1","372.9","-1.61 %","25,545.00"
"HHL","2024-06-12","382.2","397","378.7","379","-2.82 %","28,370.00"
"HHL","2024-06-11","376","405.5","376","390","2.77 %","59,638.00"
"HHL","2024-06-10","363","387","362","379.5","4.60 %","65,764.00"
"HHL","2024-06-09","355","368","353.1","362.8","2.28 %","27,341.00"
"HHL","2024-06-06","360","365","349","354.7","-0.37 %","15,762.00"
"HHL","2024-06-05","353","357","349.9","356","-0.53 %","15,700.00"
"HHL","2024-06-04","369","369.2","354.8","357.9","-1.13 %","13,321.00"
"HHL","2024-06-03","377","377.2","355.1","362","-2.16 %","21,618.00"
"HHL","2024-06-02","365","372","359","370","1.65 %","29,253.00"
"HHL","2024-05-30","347.1","369","347.1","364","3.15 %","29,462.00"
"HHL","2024-05-29","350","360","347","352.9","1.70 %","21,592.00"
"HHL","2024-05-27","355.9","355.9","345","347","-0.57 %","10,785.00"
"HHL","2024-05-26","350","362","345","349","-1.94 %","9,770.00"
"HHL","2024-05-22","366","373.3","354.1","355.9","-2.49 %","22,736.00"
"HHL","2024-05-21","370","377","363","365","0.00 %","29,429.00"
"HHL","2024-05-20","362","372.5","347.1","365","2.82 %","21,946.00"
"HHL","2024-05-19","348","369","347.5","355","0.28 %","8,223.00"
"HHL","2024-05-16","342.6","356","342.6","354","1.46 %","9,638.00"
"HHL","2024-05-15","350","367","346","348.9","-1.16 %","22,953.00"
"HHL","2024-05-14","330.5","353","330.5","353","4.75 %","20,149.00"
"HHL","2024-05-13","333.1","346","333.1","337","0.00 %","10,022.00"
"HHL","2024-05-12","340.5","344.9","334.2","337","0.90 %","7,634.00"
"HHL","2024-05-09","342.7","350","334","334","-1.45 %","7,992.00"
"HHL","2024-05-08","348","348","333","338.9","-0.88 %","8,285.00"
"HHL","2024-05-07","332.1","346.8","332.1","341.9","0.91 %","5,406.00"
"HHL","2024-05-06","346","350","338.8","338.8","-3.89 %","13,236.00"
"HHL","2024-05-05","349.1","356","343","352.5","-0.98 %","15,660.00"
"HHL","2024-05-02","370","370","350","356","-4.09 %","18,099.00"
"HHL","2024-04-30","365.1","375","351","371.2","3.69 %","29,177.00"
"HHL","2024-04-29","361","361","351","358","1.13 %","16,486.00"
"HHL","2024-04-28","361","366","350","354","0.00 %","17,308.00"
"HHL","2024-04-25","360","368.9","353.7","354","-2.75 %","15,902.00"
"HHL","2024-04-24","359.6","380.9","358.1","364","-0.79 %","15,900.00"
"HHL","2024-04-22","363.3","369","357.1","366.9","3.00 %","25,519.00"
"HHL","2024-04-21","366.1","374","353","356.2","-0.78 %","12,571.00"
"HHL","2024-04-18","370.5","370.5","356","359","-3.88 %","15,057.00"
"HHL","2024-04-16","385","385","367","373.5","-2.99 %","24,981.00"
"HHL","2024-04-15","369.5","385","367","385","3.19 %","38,204.00"
"HHL","2024-04-14","387","394","372.6","373.1","-3.59 %","43,174.00"
"HHL","2024-04-10","416","420","387","387","-5.15 %","71,066.00"
"HHL","2024-04-09","388","416","383","408","6.25 %","78,512.00"
"HHL","2024-04-07","379","390","366","384","3.23 %","41,389.00"
"HHL","2024-04-04","362.5","378","355","372","2.62 %","30,263.00"
"HHL","2024-04-03","365","382.3","358","362.5","0.14 %","31,030.00"
