"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ICFC","2024-08-11","724.2","738","711","725","2.11 %","108,187.00"
"ICFC","2024-08-08","736.9","751","703","710","-1.80 %","87,699.00"
"ICFC","2024-08-07","676","739.9","656","723","6.48 %","119,754.00"
"ICFC","2024-08-06","727.2","734.9","677","679","-8.49 %","221,383.00"
"ICFC","2024-08-05","767","775","731","742","-3.26 %","139,363.00"
"ICFC","2024-08-01","777.1","798","758.6","767","-1.30 %","171,819.00"
"ICFC","2024-07-31","757.8","798","744","777.1","4.59 %","160,147.00"
"ICFC","2024-07-30","714","755","700","743","6.14 %","182,228.00"
"ICFC","2024-07-29","717","717","689.1","700","-0.43 %","145,638.00"
"ICFC","2024-07-28","721.2","721.2","690","703","-0.58 %","91,311.00"
"ICFC","2024-07-25","706","728","705","707.1","0.60 %","108,258.00"
"ICFC","2024-07-24","713.9","725","690.9","702.9","0.41 %","154,596.00"
"ICFC","2024-07-23","697.1","706","685.1","700","2.41 %","93,314.00"
"ICFC","2024-07-22","686.9","695","665","683.5","1.41 %","94,528.00"
"ICFC","2024-07-21","681.3","699.9","657","674","0.90 %","138,523.00"
"ICFC","2024-07-18","682","700","667","668","-1.91 %","150,815.00"
"ICFC","2024-07-17","642","689.9","630","681","8.10 %","135,044.00"
"ICFC","2024-07-16","617","636.4","612","630","1.78 %","60,256.00"
"ICFC","2024-07-15","635.4","635.4","615","619","-0.64 %","81,071.00"
"ICFC","2024-07-14","632.4","650","623","623","0.48 %","53,314.00"
"ICFC","2024-07-11","630","637","620","620","-0.63 %","73,077.00"
"ICFC","2024-07-10","627","634","619","623.9","1.09 %","53,787.00"
"ICFC","2024-07-09","630","630","615","617.2","-0.76 %","62,313.00"
"ICFC","2024-07-08","620","639.4","618.1","621.9","0.94 %","104,986.00"
"ICFC","2024-07-07","631","649.2","612.5","616.1","-4.18 %","107,555.00"
"ICFC","2024-07-04","635","673","612","643","3.28 %","193,415.00"
