"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ILBS","2024-08-11","1160","1207","1160","1182","2.88 %","17,968.00"
"ILBS","2024-08-08","1190","1190","1135","1148.9","-1.80 %","11,981.00"
"ILBS","2024-08-07","1150","1173","1130","1170","1.74 %","14,782.00"
"ILBS","2024-08-06","1183","1217","1150","1150","-3.77 %","14,165.00"
"ILBS","2024-08-05","1208","1212","1183","1195","-0.48 %","17,255.00"
"ILBS","2024-08-01","1239","1239","1200","1200.8","-1.17 %","18,079.00"
"ILBS","2024-07-31","1220","1229","1205","1215","-0.41 %","25,998.00"
"ILBS","2024-07-30","1211","1240","1200","1220","0.83 %","15,743.00"
"ILBS","2024-07-29","1236","1236","1200","1209.9","-2.43 %","23,159.00"
"ILBS","2024-07-28","1298.4","1298.4","1211","1240","-2.59 %","19,528.00"
"ILBS","2024-07-25","1202","1277","1200","1273","5.90 %","40,757.00"
"ILBS","2024-07-24","1232","1281","1200.3","1202.1","-0.66 %","11,626.00"
"ILBS","2024-07-23","1205","1240","1205","1210.1","0.01 %","16,639.00"
"ILBS","2024-07-22","1260","1260","1208","1210","-2.10 %","15,275.00"
"ILBS","2024-07-21","1245.4","1268","1216.4","1236","1.23 %","26,457.00"
"ILBS","2024-07-18","1249","1342.3","1195.6","1221","-0.97 %","41,141.00"
"ILBS","2024-07-17","1243","1260","1211","1233","1.15 %","15,434.00"
"ILBS","2024-07-16","1218","1243","1185","1219","1.92 %","12,778.00"
"ILBS","2024-07-15","1255","1255","1196","1196","-2.84 %","10,170.00"
"ILBS","2024-07-14","1244","1292","1207","1231","0.90 %","9,108.00"
"ILBS","2024-07-11","1225","1299","1215","1220","-2.01 %","15,563.00"
"ILBS","2024-07-10","1239","1260","1235","1245","0.57 %","17,074.00"
"ILBS","2024-07-09","1226","1253","1200","1238","3.00 %","18,303.00"
"ILBS","2024-07-08","1210","1231","1190","1202","-0.50 %","8,307.00"
"ILBS","2024-07-07","1230","1230","1190","1208","0.14 %","12,234.00"
"ILBS","2024-07-04","1243","1243","1180","1206.3","-1.12 %","9,432.00"
"ILBS","2024-07-03","1250","1250","1185","1220","-1.61 %","17,134.00"
"ILBS","2024-07-02","1244.4","1339","1210","1240","1.64 %","13,108.00"
"ILBS","2024-07-01","1187","1220","1165","1220","2.82 %","9,855.00"
"ILBS","2024-06-30","1183","1207","1183","1186.5","-1.49 %","5,155.00"
"ILBS","2024-06-27","1260","1260","1201","1204.5","-2.54 %","4,735.00"
"ILBS","2024-06-26","1235","1285","1211","1235.9","-1.90 %","9,255.00"
"ILBS","2024-06-25","1205","1296","1195","1259.9","6.33 %","17,538.00"
"ILBS","2024-06-24","1190.3","1199","1166.7","1184.9","1.53 %","12,426.00"
"ILBS","2024-06-23","1176.1","1203","1165","1167","-2.74 %","5,676.00"
"ILBS","2024-06-20","1190","1206","1184","1199.9","0.98 %","11,798.00"
"ILBS","2024-06-19","1210","1230","1185.8","1188.3","-1.79 %","9,869.00"
"ILBS","2024-06-18","1224","1248","1204","1210","-3.04 %","9,432.00"
"ILBS","2024-06-16","1285","1334","1220","1248","-3.04 %","33,350.00"
"ILBS","2024-06-13","1305","1327","1281","1287.1","-1.14 %","12,464.00"
"ILBS","2024-06-12","1350","1363","1293.6","1302","-2.84 %","11,578.00"
"ILBS","2024-06-11","1315","1370","1275","1340","3.55 %","24,223.00"
"ILBS","2024-06-10","1262.3","1304.9","1238","1294","0.47 %","15,018.00"
"ILBS","2024-06-09","1330","1330","1274","1288","-2.94 %","14,013.00"
"ILBS","2024-06-06","1360","1378","1327","1327","-2.43 %","13,562.00"
"ILBS","2024-06-05","1347.5","1400","1323","1360","-1.09 %","19,156.00"
"ILBS","2024-06-04","1305","1386","1305","1375","3.31 %","23,064.00"
"ILBS","2024-06-03","1264","1331","1264","1331","3.26 %","15,226.00"
"ILBS","2024-06-02","1329.9","1329.9","1258.4","1289","-1.59 %","10,174.00"
"ILBS","2024-05-30","1323","1331","1280","1309.8","-2.98 %","18,790.00"
"ILBS","2024-05-29","1365","1375","1310","1350","-1.10 %","14,948.00"
"ILBS","2024-05-27","1357.3","1409","1340","1365","-1.44 %","15,060.00"
"ILBS","2024-05-26","1479","1479","1375","1385","-6.36 %","22,936.00"
"ILBS","2024-05-22","1382","1489.6","1322.1","1479","4.89 %","33,817.00"
"ILBS","2024-05-21","1412","1440","1386.7","1410","-2.02 %","21,614.00"
"ILBS","2024-05-20","1388","1492","1388","1439","5.64 %","57,347.00"
"ILBS","2024-05-19","1400","1400","1345","1362.2","-1.28 %","13,996.00"
"ILBS","2024-05-16","1321","1380","1315","1379.9","2.98 %","24,046.00"
"ILBS","2024-05-15","1360","1383","1339","1340","-1.83 %","13,063.00"
"ILBS","2024-05-14","1379","1406.5","1354","1365","0.96 %","16,069.00"
"ILBS","2024-05-13","1360","1370","1333","1352","-0.95 %","23,851.00"
"ILBS","2024-05-12","1351","1368.8","1324.1","1365","-0.51 %","25,249.00"
"ILBS","2024-05-09","1407","1425","1350","1372","-2.55 %","21,966.00"
"ILBS","2024-05-08","1254.4","1407.9","1254.4","1407.9","9.99 %","37,829.00"
"ILBS","2024-05-07","1185","1290","1181","1280","8.47 %","30,042.00"
"ILBS","2024-05-06","1175","1200","1152","1180","-1.47 %","12,478.00"
"ILBS","2024-05-05","1186.9","1245","1186.9","1197.6","0.90 %","33,879.00"
"ILBS","2024-05-02","1057.5","1186.9","1037","1186.9","10.00 %","31,933.00"
"ILBS","2024-04-30","965","1079","965","1079","9.99 %","20,363.00"
"ILBS","2024-04-29","949.8","981","949.8","981","1.45 %","6,713.00"
"ILBS","2024-04-28","942","967","927","967","4.70 %","10,481.00"
"ILBS","2024-04-25","921","939.4","921","923.6","-1.22 %","2,095.00"
"ILBS","2024-04-24","951","951","925","935","-1.16 %","2,208.00"
"ILBS","2024-04-22","945","956","930","946","-1.14 %","4,885.00"
"ILBS","2024-04-21","940","966","931","956.9","-0.22 %","5,416.00"
"ILBS","2024-04-18","960","964","935.2","959","-1.03 %","5,442.00"
"ILBS","2024-04-16","978","988","959.5","969","-1.62 %","6,461.00"
"ILBS","2024-04-15","990.4","990.4","953","985","1.44 %","10,722.00"
"ILBS","2024-04-14","921.2","974","921.2","971","3.30 %","11,727.00"
"ILBS","2024-04-10","984","984.9","935.1","940","-2.99 %","7,704.00"
"ILBS","2024-04-09","953","990","953","969","0.52 %","22,304.00"
"ILBS","2024-04-07","950","970","938.2","964","1.37 %","21,898.00"
"ILBS","2024-04-04","906.5","966","906","951","2.82 %","21,939.00"
"ILBS","2024-04-03","925","927","906.6","924.9","1.88 %","11,560.00"
"ILBS","2024-04-02","899","932","882","907.8","2.00 %","24,602.00"
"ILBS","2024-04-01","875","892.5","875","890","0.11 %","7,595.00"
"ILBS","2024-03-31","866","897","865.2","889","0.91 %","7,009.00"
"ILBS","2024-03-28","908","915","880.1","881","-2.97 %","7,875.00"
"ILBS","2024-03-27","904.7","941.1","870","908","2.37 %","14,175.00"
