"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBL","2024-08-11","210","215","205.1","213","3.40 %","1,037,422.00"
"KBL","2024-08-08","212.1","212.1","206","206","-0.96 %","569,352.00"
"KBL","2024-08-07","203.5","209","200.1","208","2.21 %","700,896.00"
"KBL","2024-08-06","218.7","218.7","202","203.5","-5.13 %","1,288,798.00"
"KBL","2024-08-05","220.4","227.9","214","214.5","-0.74 %","1,262,747.00"
"KBL","2024-08-01","226.4","226.4","216","216.1","-2.66 %","920,507.00"
"KBL","2024-07-31","222","227.3","216","222","0.68 %","1,035,434.00"
"KBL","2024-07-30","224","225","208.1","220.5","-0.68 %","1,169,528.00"
"KBL","2024-07-29","216.6","233.5","216.6","222","4.52 %","2,463,069.00"
"KBL","2024-07-28","196.9","212.4","196.9","212.4","9.99 %","1,706,582.00"
"KBL","2024-07-25","189.7","195.4","189.7","193.1","-0.05 %","575,420.00"
"KBL","2024-07-24","197","205","192","193.2","-1.73 %","927,814.00"
"KBL","2024-07-23","190.9","196.8","185.5","196.6","2.99 %","773,314.00"
"KBL","2024-07-22","196","197.8","186.3","190.9","-1.85 %","1,476,657.00"
"KBL","2024-07-21","180","194.8","176.6","194.5","9.21 %","1,490,550.00"
"KBL","2024-07-18","165","178.8","162","178.1","9.53 %","1,370,389.00"
"KBL","2024-07-17","160","164.7","158","162.6","2.01 %","402,147.00"
"KBL","2024-07-16","150.7","159.5","150.7","159.4","3.71 %","291,266.00"
"KBL","2024-07-15","159.3","162","153","153.7","-1.60 %","375,066.00"
"KBL","2024-07-14","149.9","158.1","149.9","156.2","6.26 %","379,761.00"
"KBL","2024-07-11","147","150.2","145.2","147","0.00 %","372,558.00"
"KBL","2024-07-10","140.7","147","140.7","147","2.44 %","212,576.00"
"KBL","2024-07-09","145.8","145.8","140","143.5","0.35 %","130,497.00"
"KBL","2024-07-08","140","145","140","143","0.14 %","71,144.00"
"KBL","2024-07-07","144.8","144.8","141","142.8","0.56 %","115,705.00"
"KBL","2024-07-04","143","143.5","140.1","142","0.00 %","174,339.00"
