"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KDBY","2024-08-11","10.14","10.75","10.14","10.35","0.10 %","166,660.00"
"KDBY","2024-08-08","10.11","11","10.11","10.34","1.37 %","132,007.00"
"KDBY","2024-08-07","10.2","10.81","10.03","10.2","0.00 %","37,275.00"
"KDBY","2024-08-06","10.97","10.97","10.16","10.2","-5.20 %","206,925.00"
"KDBY","2024-08-05","10.26","10.78","10.11","10.76","2.87 %","503,385.00"
"KDBY","2024-08-01","10.2","10.55","10.14","10.46","1.55 %","759,050.00"
"KDBY","2024-07-31","10","10.3","10","10.3","1.48 %","229,080.00"
"KDBY","2024-07-30","10.2","10.4","10","10.15","-0.49 %","191,045.00"
"KDBY","2024-07-29","10.01","10.21","9.85","10.2","0.00 %","359,305.00"
"KDBY","2024-07-28","10.12","10.48","9.95","10.2","1.09 %","220,985.00"
"KDBY","2024-07-25","9.94","10.09","9.9","10.09","0.00 %","31,605.00"
"KDBY","2024-07-24","9.91","10.1","9.91","10.09","0.90 %","22,075.00"
"KDBY","2024-07-23","9.89","10.09","9.61","10","-0.89 %","231,910.00"
"KDBY","2024-07-22","10.25","10.45","9.52","10.09","0.40 %","17,575.00"
"KDBY","2024-07-21","9.61","10.17","9.42","10.05","2.55 %","161,515.00"
"KDBY","2024-07-18","9.7","10.08","9.7","9.8","0.62 %","67,230.00"
"KDBY","2024-07-17","9.6","9.9","9.35","9.74","-0.51 %","81,530.00"
"KDBY","2024-07-16","9.48","10.05","9.45","9.79","1.24 %","50,530.00"
"KDBY","2024-07-15","9.4","9.69","9.4","9.67","0.94 %","27,165.00"
"KDBY","2024-07-14","9.36","9.74","9.18","9.58","0.31 %","7,800.00"
"KDBY","2024-07-11","9.13","9.55","9.02","9.55","2.58 %","209,590.00"
"KDBY","2024-07-10","9.2","9.47","9.2","9.31","0.43 %","19,200.00"
"KDBY","2024-07-09","9.1","9.27","9.02","9.27","0.00 %","4,050.00"
"KDBY","2024-07-08","9.02","9.44","9.02","9.27","0.76 %","5,450.00"
"KDBY","2024-07-07","9.01","9.25","9.01","9.2","1.88 %","4,600.00"
"KDBY","2024-07-04","9","9.19","9","9.03","-1.31 %","3,800.00"
"KDBY","2024-07-03","9.02","9.15","9.02","9.15","-0.54 %","4,500.00"
"KDBY","2024-07-02","8.97","9.33","8.97","9.2","0.55 %","2,700.00"
"KDBY","2024-07-01","9.02","9.18","8.95","9.15","-0.54 %","1,900.00"
"KDBY","2024-06-30","9.18","9.3","9.1","9.2","-1.71 %","67,457.00"
"KDBY","2024-06-27","8.83","9.36","8.83","9.36","3.88 %","1,900.00"
"KDBY","2024-06-26","9","9.03","8.83","9.01","-1.74 %","3,500.00"
"KDBY","2024-06-25","9.17","9.35","8.99","9.17","-1.93 %","2,400.00"
"KDBY","2024-06-24","9.35","9.35","9.35","9.35","1.96 %","125.00"
