"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LGIL","2023-03-12","529.9","529.9","488","509.9","-4.15 %","86,177.00"
"LGIL","2023-03-09","507.9","532","495","532","6.61 %","22,010.00"
"LGIL","2023-03-07","490","504.9","490","499","1.84 %","10,378.00"
"LGIL","2023-03-05","490.1","499.9","481.2","490","-1.39 %","6,254.00"
"LGIL","2023-03-02","488","498","488","496.9","0.38 %","14,385.00"
"LGIL","2023-03-01","490.2","503.8","490.2","495","0.20 %","14,406.00"
"LGIL","2023-02-28","500","504","494","494","-1.98 %","11,055.00"
"LGIL","2023-02-27","505","509","489","504","-1.18 %","9,951.00"
"LGIL","2023-02-26","492.6","512","482.2","510","1.59 %","13,077.00"
"LGIL","2023-02-23","508","510","500","502","-3.14 %","14,949.00"
"LGIL","2023-02-22","511.9","521","500.1","518.3","3.04 %","5,626.00"
"LGIL","2023-02-20","510","510","498","503","-1.57 %","10,540.00"
"LGIL","2023-02-16","521","522","509.1","511","-1.92 %","9,799.00"
"LGIL","2023-02-15","521.2","527","516","521","-0.57 %","8,857.00"
"LGIL","2023-02-14","522","527.5","517.1","524","-0.57 %","21,061.00"
"LGIL","2023-02-12","531","536","521","527","-0.91 %","23,015.00"
"LGIL","2023-02-09","555","570","553","569","2.52 %","51,077.00"
"LGIL","2023-02-08","555.7","563.9","550","555","0.73 %","39,958.00"
"LGIL","2023-02-07","541","551","535","551","3.53 %","26,908.00"
"LGIL","2023-02-06","528.1","534","525.7","532.2","0.42 %","17,114.00"
"LGIL","2023-02-05","541","544","530","530","-1.65 %","28,881.00"
"LGIL","2023-02-02","555.8","555.9","532.2","538.9","-1.30 %","26,249.00"
"LGIL","2023-02-01","550","562","530","546","1.13 %","81,074.00"
"LGIL","2023-01-31","518.5","559.2","518.5","539.9","6.20 %","262,970.00"
"LGIL","2023-01-30","471.4","508.4","471.4","508.4","10.00 %","2,099.00"
"LGIL","2023-01-29","428.6","462.2","428.6","462.2","10.00 %","907.00"
"LGIL","2023-01-26","382","420.2","382","420.2","10.00 %","689.00"
"LGIL","2022-07-13","380","387.6","372.4","382","1.06 %","8,056.00"
"LGIL","2022-07-12","374","383.5","370.1","378","1.07 %","4,102.00"
"LGIL","2022-07-11","383","383","365.6","374","-4.05 %","11,322.00"
"LGIL","2022-07-08","385.2","389.8","375","389.8","-0.79 %","8,009.00"
"LGIL","2022-07-07","404.9","415","386","392.9","-1.03 %","15,789.00"
"LGIL","2022-07-06","400.9","402","390","397","-2.93 %","21,944.00"
"LGIL","2022-07-05","418","420","401.1","409","-2.39 %","7,931.00"
"LGIL","2022-07-04","404","433.5","400","419","4.02 %","45,389.00"
"LGIL","2022-07-03","399.9","404","390.1","402.8","0.73 %","16,852.00"
"LGIL","2022-07-01","395","408.8","387.1","399.9","-0.77 %","33,773.00"
"LGIL","2022-06-30","385.1","409.9","385","403","3.07 %","17,157.00"
"LGIL","2022-06-29","373.7","396.9","373.7","391","3.92 %","9,344.00"
"LGIL","2022-06-28","400.1","413","400","412","0.98 %","32,802.00"
"LGIL","2022-06-27","414.7","429.9","402.5","408","-3.55 %","9,847.00"
"LGIL","2022-06-26","410","425","395","423","4.96 %","17,524.00"
"LGIL","2022-06-24","402","409.9","375","403","1.00 %","12,573.00"
"LGIL","2022-06-23","405.7","412.9","392","399","-1.68 %","9,632.00"
"LGIL","2022-06-22","406","416","395","405.8","-1.72 %","9,239.00"
"LGIL","2022-06-21","404","413","395","412.9","4.06 %","3,850.00"
"LGIL","2022-06-20","403.1","403.1","390.1","396.8","-1.56 %","9,715.00"
"LGIL","2022-06-19","410.7","417","403","403.1","-3.79 %","3,366.00"
"LGIL","2022-06-17","410","423.9","402","419","3.46 %","2,990.00"
"LGIL","2022-06-16","412.6","429","405","405","-3.80 %","4,053.00"
"LGIL","2022-06-15","427","427","402","421","-1.41 %","17,240.00"
"LGIL","2022-06-14","436.2","436.2","427","427","-4.04 %","2,690.00"
"LGIL","2022-06-13","435","445","430","445","1.37 %","5,151.00"
"LGIL","2022-06-10","444.1","449.9","436.2","439","-3.09 %","6,154.00"
"LGIL","2022-06-09","452.8","471","444","453","-1.95 %","13,587.00"
"LGIL","2022-06-08","446","464","433","462","5.24 %","12,914.00"
"LGIL","2022-06-07","445","451.9","429","439","-3.30 %","4,417.00"
"LGIL","2022-06-06","463","463","439","454","-0.15 %","5,805.00"
"LGIL","2022-06-03","454.7","458","438","454.7","-1.98 %","5,474.00"
"LGIL","2022-06-02","442.1","463.9","435.5","463.9","4.01 %","10,404.00"
"LGIL","2022-06-01","469.9","470","444","446","-3.67 %","10,417.00"
"LGIL","2022-05-31","476","485","456","463","-4.52 %","6,313.00"
"LGIL","2022-05-30","493","493","476","484.9","-3.60 %","4,342.00"
"LGIL","2022-05-27","509.9","509.9","490","503","-0.40 %","7,327.00"
"LGIL","2022-05-26","507.7","509","498","505","-2.51 %","4,135.00"
"LGIL","2022-05-25","506","518","488","518","4.23 %","7,554.00"
"LGIL","2022-05-24","517","517","477.2","497","-5.39 %","11,211.00"
"LGIL","2022-05-23","497","525.3","484.1","525.3","4.02 %","17,947.00"
"LGIL","2022-05-20","534","534","503","505","-3.81 %","12,142.00"
"LGIL","2022-05-19","554","554","520","525","-7.08 %","15,881.00"
"LGIL","2022-05-18","554","565","535","565","0.02 %","10,657.00"
"LGIL","2022-05-17","603.7","603.7","554.4","554.4","-10.00 %","31,521.00"
"LGIL","2022-05-12","637","637","608.2","616","-2.99 %","4,742.00"
"LGIL","2022-05-11","629.9","636","607","635","1.76 %","5,787.00"
"LGIL","2022-05-10","590","624","590","624","3.83 %","5,684.00"
"LGIL","2022-05-09","595","610","591","601","0.17 %","3,956.00"
"LGIL","2022-05-08","590","600","575.4","600","0.50 %","10,614.00"
"LGIL","2022-05-05","620","620","597","597","-3.08 %","7,154.00"
"LGIL","2022-05-04","627","632","615.3","616","-1.75 %","5,753.00"
"LGIL","2022-05-02","643","643","625.1","627","-4.42 %","3,775.00"
"LGIL","2022-04-28","664.9","666","647","656","0.17 %","3,504.00"
"LGIL","2022-04-27","651.1","657","649","654.9","-0.77 %","3,669.00"
"LGIL","2022-04-26","672","672","649","660","-0.09 %","4,964.00"
"LGIL","2022-04-25","683","683","660.6","660.6","-3.28 %","6,414.00"
"LGIL","2022-04-24","655","693.5","647","683","5.58 %","7,895.00"
"LGIL","2022-04-21","632","655.8","632","646.9","0.61 %","5,725.00"
"LGIL","2022-04-20","668","668","643","643","-3.31 %","9,174.00"
"LGIL","2022-04-19","678","682.9","655","665","-1.95 %","5,578.00"
"LGIL","2022-04-18","696.8","696.8","678","678.2","-4.61 %","9,063.00"
"LGIL","2022-04-17","694","711","667","711","1.86 %","10,616.00"
"LGIL","2022-04-13","690","703.8","678.2","698","0.72 %","4,177.00"
"LGIL","2022-04-12","700","706","687","693","-2.38 %","6,031.00"
"LGIL","2022-04-11","737","737","705","709.9","-1.95 %","6,907.00"
"LGIL","2022-04-07","710","724","706.1","724","1.69 %","6,506.00"
"LGIL","2022-04-06","710","720","701","712","-0.97 %","8,381.00"
"LGIL","2022-04-05","726","734","707.5","719","-2.31 %","41,151.00"
"LGIL","2022-04-04","727","740","718","736","1.78 %","22,731.00"
"LGIL","2022-04-03","721","729","720","723.1","0.29 %","9,031.00"
"LGIL","2022-03-31","749","750","721","721","-2.70 %","8,647.00"
"LGIL","2022-03-30","715","741","715","741","2.92 %","8,919.00"
"LGIL","2022-03-29","733","735","715.7","720","-1.37 %","8,425.00"
"LGIL","2022-03-28","740","748","727","730","-2.01 %","21,406.00"
"LGIL","2022-03-27","768","800.1","745","745","-1.06 %","77,126.00"
"LGIL","2022-03-24","731","761","730","753","2.45 %","26,211.00"
"LGIL","2022-03-23","730","755","726.3","735","-0.68 %","7,838.00"
"LGIL","2022-03-22","742","742","735","740","0.68 %","12,630.00"
"LGIL","2022-03-21","735","738","726","735","1.51 %","7,270.00"
"LGIL","2022-03-20","730","738","724","724.1","-0.81 %","14,286.00"
"LGIL","2022-03-16","729","739.5","721","730","1.39 %","28,423.00"
"LGIL","2022-03-15","727","731","718","720","0.42 %","11,662.00"
"LGIL","2022-03-14","716","726.9","707.3","717","-0.55 %","5,527.00"
"LGIL","2022-03-13","686","721","679.2","721","5.10 %","26,507.00"
"LGIL","2022-03-10","640","686","639.2","686","5.54 %","12,388.00"
"LGIL","2022-03-09","662","663","650","650","-1.69 %","12,353.00"
"LGIL","2022-03-07","684","684","661.1","661.2","-1.90 %","7,360.00"
"LGIL","2022-03-06","680","680","659.2","674","-0.88 %","5,447.00"
"LGIL","2022-03-02","679.2","685","673.2","680","-1.73 %","11,608.00"
"LGIL","2022-02-28","712","713","688","692","-3.62 %","12,391.00"
"LGIL","2022-02-27","708.1","722","706.2","718","-0.28 %","9,446.00"
"LGIL","2022-02-24","719.4","730","696","720","-1.91 %","38,911.00"
"LGIL","2022-02-23","736","748.8","729","734","-0.94 %","4,851.00"
"LGIL","2022-02-22","734","741","725","741","2.63 %","25,205.00"
