"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LLBS","2024-08-11","1201","1239.9","1201","1237","4.74 %","11,694.00"
"LLBS","2024-08-08","1248.9","1248.9","1181","1181","-3.91 %","14,911.00"
"LLBS","2024-08-07","1240","1244","1213","1229","0.99 %","8,516.00"
"LLBS","2024-08-06","1260","1260","1216","1217","-4.62 %","10,077.00"
"LLBS","2024-08-05","1270","1294","1251","1276","0.47 %","8,290.00"
"LLBS","2024-08-01","1310","1329.9","1268","1270","-3.05 %","10,625.00"
"LLBS","2024-07-31","1330","1350","1289","1310","-1.50 %","9,622.00"
"LLBS","2024-07-30","1300","1330","1285.3","1330","2.07 %","9,288.00"
"LLBS","2024-07-29","1331","1335","1303","1303","-3.41 %","10,967.00"
"LLBS","2024-07-28","1400","1428","1285.2","1349","-4.60 %","25,447.00"
"LLBS","2024-07-25","1300.1","1414","1276","1414","9.70 %","34,311.00"
"LLBS","2024-07-24","1317","1317","1265","1289","-0.77 %","12,919.00"
"LLBS","2024-07-23","1321","1321","1271","1299","-0.65 %","13,166.00"
"LLBS","2024-07-22","1299.9","1308","1252","1307.5","2.53 %","9,172.00"
"LLBS","2024-07-21","1265","1305","1265","1275.2","-0.38 %","10,941.00"
"LLBS","2024-07-18","1276.1","1377","1270","1280","0.31 %","12,452.00"
"LLBS","2024-07-17","1293.8","1293.8","1245.1","1276","0.59 %","4,796.00"
"LLBS","2024-07-16","1247","1270","1230","1268.5","3.64 %","4,215.00"
"LLBS","2024-07-15","1236","1252","1220.5","1224","-1.92 %","6,642.00"
"LLBS","2024-07-14","1299.4","1299.4","1240","1248","-2.04 %","4,969.00"
"LLBS","2024-07-11","1314","1314","1245","1274","-1.16 %","4,125.00"
"LLBS","2024-07-10","1299","1324","1265","1289","1.10 %","7,343.00"
"LLBS","2024-07-09","1210.8","1299","1210.8","1275","3.25 %","12,460.00"
"LLBS","2024-07-08","1244","1244","1210.5","1234.9","1.06 %","7,690.00"
"LLBS","2024-07-07","1244","1244","1211","1222","0.00 %","3,861.00"
"LLBS","2024-07-04","1200","1243","1199","1222","1.83 %","3,540.00"
"LLBS","2024-07-03","1200.5","1200.5","1191.1","1200","-2.04 %","732.00"
"LLBS","2024-07-02","1225","1249","1205.1","1225","1.66 %","4,384.00"
"LLBS","2024-07-01","1219","1219","1200.3","1205","0.42 %","6,329.00"
"LLBS","2024-06-30","1200","1209","1180","1200","0.84 %","4,765.00"
"LLBS","2024-06-27","1201.2","1212","1190","1190","-2.37 %","4,914.00"
"LLBS","2024-06-26","1226","1233.9","1210.1","1218.9","0.64 %","9,195.00"
"LLBS","2024-06-25","1227","1227","1206.1","1211.2","0.18 %","9,186.00"
"LLBS","2024-06-24","1203.5","1227.5","1197","1209","2.46 %","16,791.00"
"LLBS","2024-06-23","1212","1234.9","1177.1","1180","-0.84 %","5,025.00"
"LLBS","2024-06-20","1232","1232","1190","1190","-1.57 %","7,797.00"
"LLBS","2024-06-19","1187","1210","1180","1209","3.78 %","12,856.00"
"LLBS","2024-06-18","1181","1200","1165","1165","-1.56 %","9,324.00"
"LLBS","2024-06-16","1225","1229","1164","1183.5","-1.70 %","15,682.00"
"LLBS","2024-06-13","1241.3","1266","1182","1204","-1.07 %","12,367.00"
"LLBS","2024-06-12","1236.2","1245","1207","1217","0.41 %","9,264.00"
"LLBS","2024-06-11","1227","1269","1179","1212","0.75 %","10,994.00"
"LLBS","2024-06-10","1209.5","1232","1185","1203","1.43 %","10,013.00"
"LLBS","2024-06-09","1288","1288","1165","1186","-6.61 %","31,122.00"
"LLBS","2024-06-06","1249","1305","1249","1270","3.59 %","38,309.00"
"LLBS","2024-06-05","1125.6","1252","1125","1226","7.64 %","44,389.00"
"LLBS","2024-06-04","1121","1170","1113.2","1139","3.55 %","24,536.00"
"LLBS","2024-06-03","1060","1120","1060","1100","3.58 %","13,031.00"
"LLBS","2024-06-02","1074","1074","1055","1062","0.85 %","1,848.00"
"LLBS","2024-05-30","1065","1068","1053","1053","-2.95 %","3,053.00"
"LLBS","2024-05-29","1111","1122.9","1081","1085","-0.46 %","6,574.00"
"LLBS","2024-05-27","1060","1099","1060","1090","2.25 %","2,259.00"
"LLBS","2024-05-26","1088","1090","1062.2","1066","-3.88 %","6,167.00"
"LLBS","2024-05-22","1157.7","1157.7","1100","1109","-2.29 %","7,970.00"
"LLBS","2024-05-21","1100","1135","1083","1135","3.28 %","6,256.00"
"LLBS","2024-05-20","1103","1147","1082.4","1099","-2.31 %","12,396.00"
"LLBS","2024-05-19","1154","1154","1095","1125","-1.75 %","18,246.00"
"LLBS","2024-05-16","1078.8","1150","1066","1145","6.80 %","17,952.00"
"LLBS","2024-05-15","1106","1128","1070.1","1072.1","-3.15 %","17,065.00"
"LLBS","2024-05-14","1060","1114","1050","1107","4.43 %","28,127.00"
"LLBS","2024-05-13","1055","1066","1021.1","1060","0.47 %","6,257.00"
"LLBS","2024-05-12","1058.4","1073.3","1037.3","1055","-2.31 %","14,026.00"
"LLBS","2024-05-09","1101","1101","1036.9","1080","0.01 %","12,098.00"
"LLBS","2024-05-08","1026","1079.9","1020.1","1079.9","5.37 %","14,049.00"
"LLBS","2024-05-07","975","1025","975","1024.9","5.12 %","26,208.00"
"LLBS","2024-05-06","951","975","941","975","0.55 %","5,818.00"
"LLBS","2024-05-05","928","1001","927","969.7","2.65 %","14,952.00"
"LLBS","2024-05-02","925","963.9","917","944.7","3.93 %","16,092.00"
"LLBS","2024-04-30","888.1","918.9","888.1","909","0.46 %","614.00"
"LLBS","2024-04-29","893","904.8","885.2","904.8","0.47 %","2,649.00"
"LLBS","2024-04-28","870","902","860","900.6","1.53 %","1,144.00"
"LLBS","2024-04-25","880","887","870","887","-1.18 %","867.00"
"LLBS","2024-04-24","885","909","840","897.6","-0.04 %","8,599.00"
"LLBS","2024-04-22","904","921","875.2","898","0.56 %","471.00"
"LLBS","2024-04-21","879.9","915.6","862.4","893","-0.52 %","1,960.00"
"LLBS","2024-04-18","903","935","855","897.7","-2.54 %","948.00"
"LLBS","2024-04-16","945","958","921.1","921.1","-2.53 %","891.00"
