"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LUK","2024-08-11","9.8","10","9.8","9.91","0.71 %","13,950.00"
"LUK","2024-08-08","9.81","9.98","9.81","9.84","-1.60 %","5,700.00"
"LUK","2024-08-07","9.65","10","9.65","10","1.63 %","32,350.00"
"LUK","2024-08-06","9.97","9.97","9.54","9.84","-3.24 %","21,790.00"
"LUK","2024-08-05","9.89","10.17","9.81","10.17","1.80 %","221,689.00"
"LUK","2024-08-01","9.88","10.05","9.88","9.99","-0.40 %","603,102.00"
"LUK","2024-07-31","9.8","10.07","9.8","10.03","0.40 %","107,350.00"
"LUK","2024-07-30","9.87","9.99","9.71","9.99","3.20 %","108,995.00"
"LUK","2024-07-29","9.87","9.88","9.53","9.68","-1.93 %","64,378.00"
"LUK","2024-07-28","9.68","9.9","9.68","9.87","0.30 %","132,827.00"
"LUK","2024-07-25","9.57","9.84","9.56","9.84","0.92 %","53,950.00"
"LUK","2024-07-24","9.53","9.94","9.52","9.75","0.52 %","262,884.00"
"LUK","2024-07-23","9.69","10.07","9.33","9.7","-1.82 %","200,881.00"
"LUK","2024-07-22","9.5","9.88","9.48","9.88","2.28 %","141,400.00"
"LUK","2024-07-21","9.3","9.67","9.3","9.66","3.21 %","150,233.00"
"LUK","2024-07-18","9.13","9.66","9","9.36","0.65 %","30,200.00"
"LUK","2024-07-17","9.03","9.38","9.01","9.3","1.20 %","195,450.00"
"LUK","2024-07-16","9","9.36","8.65","9.19","2.11 %","9,730.00"
"LUK","2024-07-15","8.93","9.1","8.93","9","-1.21 %","18,100.00"
"LUK","2024-07-14","9","9.28","9","9.11","1.33 %","38,729.00"
"LUK","2024-07-11","8.91","9.17","8.91","8.99","-0.11 %","3,620.00"
"LUK","2024-07-10","9.04","9.06","8.9","9","-2.39 %","1,007,350.00"
"LUK","2024-07-09","8.86","9.22","8.86","9.22","1.99 %","13,300.00"
"LUK","2024-07-08","8.85","9.2","8.85","9.04","2.03 %","376,650.00"
"LUK","2024-07-07","8.54","8.86","8.54","8.86","2.78 %","15,250.00"
"LUK","2024-07-04","8.71","8.85","8.62","8.62","-2.93 %","23,980.00"
"LUK","2024-07-03","8.55","8.88","8.55","8.88","1.83 %","1,050.00"
"LUK","2024-07-02","8.69","8.75","8.69","8.72","2.35 %","20,000.00"
"LUK","2024-07-01","8.5","8.52","8.5","8.52","-0.93 %","11,400.00"
"LUK","2024-06-30","8.2","8.67","8.2","8.6","4.88 %","3,000.00"
"LUK","2024-06-27","8.2","8.2","8.2","8.2","-1.09 %","500.00"
"LUK","2024-06-26","8.29","8.29","8.29","8.29","-1.89 %","300.00"
"LUK","2024-06-25","8.4","8.45","8.4","8.45","-0.94 %","300.00"
"LUK","2024-06-24","8.38","8.53","8.37","8.53","1.31 %","4,355.00"
