"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBL","2024-08-11","235","244","231.3","244","4.72 %","230,628.00"
"MBL","2024-08-08","239.9","240","232.1","233","-1.27 %","118,886.00"
"MBL","2024-08-07","231","236","227.1","236","2.16 %","171,512.00"
"MBL","2024-08-06","247","248","230","231","-7.60 %","252,768.00"
"MBL","2024-08-05","262","262","243","250","-3.47 %","351,053.00"
"MBL","2024-08-01","257.7","266","255","259","-1.48 %","237,823.00"
"MBL","2024-07-31","256","265","252","262.9","3.50 %","338,441.00"
"MBL","2024-07-30","256","259.9","242","254","-0.78 %","311,675.00"
"MBL","2024-07-29","256.4","274","253","256","1.83 %","591,488.00"
"MBL","2024-07-28","233.1","251.4","233.1","251.4","9.97 %","460,015.00"
"MBL","2024-07-25","222","231","222","228.6","1.60 %","259,850.00"
"MBL","2024-07-24","228","232","223.8","225","-1.10 %","228,139.00"
"MBL","2024-07-23","223.9","228.5","220","227.5","2.29 %","200,115.00"
"MBL","2024-07-22","229","232.5","218.7","222.4","-3.26 %","337,766.00"
"MBL","2024-07-21","227","237","218","229.9","3.09 %","313,687.00"
"MBL","2024-07-18","212.1","227","204","223","7.21 %","388,304.00"
"MBL","2024-07-17","209.2","209.2","204.5","208","1.41 %","102,963.00"
"MBL","2024-07-16","200","206.1","196","205.1","2.55 %","122,463.00"
"MBL","2024-07-15","208","210","199","200","-1.96 %","144,210.00"
"MBL","2024-07-14","200.9","212.1","200","204","3.55 %","118,190.00"
"MBL","2024-07-11","191.7","197","188","197","4.79 %","181,401.00"
"MBL","2024-07-10","187.6","188","184","188","2.17 %","89,716.00"
"MBL","2024-07-09","180.1","184","180.1","184","0.55 %","50,948.00"
"MBL","2024-07-08","186.6","187.4","181","183","-0.54 %","47,877.00"
"MBL","2024-07-07","178","185.7","178","184","4.01 %","134,286.00"
"MBL","2024-07-04","176","179.5","175","176.9","0.51 %","48,405.00"
"MBL","2024-07-03","175","177","172","176","0.80 %","41,539.00"
"MBL","2024-07-02","174.2","181","174","174.6","2.22 %","44,498.00"
"MBL","2024-07-01","166","170.9","164.2","170.8","3.52 %","33,765.00"
"MBL","2024-06-30","169","169","165","165","-0.60 %","32,755.00"
"MBL","2024-06-27","165.5","167.8","165.5","166","0.30 %","13,180.00"
"MBL","2024-06-26","167","168.9","165","165.5","-1.02 %","27,838.00"
"MBL","2024-06-25","170.1","170.1","165.4","167.2","-1.59 %","86,791.00"
"MBL","2024-06-24","170","171.8","168","169.9","-0.06 %","42,062.00"
"MBL","2024-06-23","169","172","169","170","0.29 %","25,047.00"
"MBL","2024-06-20","175.4","175.4","165.3","169.5","-1.45 %","22,245.00"
"MBL","2024-06-19","172","173.1","172","172","0.00 %","17,375.00"
"MBL","2024-06-18","173.3","173.8","171","172","-2.27 %","59,176.00"
"MBL","2024-06-16","178","178","175","176","-1.40 %","57,534.00"
"MBL","2024-06-13","173.5","179","173.5","178.5","0.85 %","55,468.00"
"MBL","2024-06-12","177","179.5","175","177","0.57 %","41,805.00"
"MBL","2024-06-11","175.4","176.3","171.2","176","2.33 %","64,054.00"
"MBL","2024-06-10","175.3","175.3","170.1","172","0.06 %","22,262.00"
"MBL","2024-06-09","174.5","174.5","171","171.9","0.47 %","29,968.00"
"MBL","2024-06-06","171","173","171","171.1","0.06 %","32,683.00"
"MBL","2024-06-05","173","173","171","171","-1.50 %","19,837.00"
"MBL","2024-06-04","171.2","175","171.1","173.6","0.93 %","29,494.00"
"MBL","2024-06-03","175","175","171","172","-1.09 %","28,035.00"
"MBL","2024-06-02","178.6","178.6","166.6","173.9","-0.69 %","110,628.00"
"MBL","2024-05-30","178.1","179","175.1","175.1","-2.72 %","45,371.00"
"MBL","2024-05-29","189.7","190","179","180","-3.23 %","33,520.00"
"MBL","2024-05-27","186","190","184","186","-0.91 %","69,180.00"
"MBL","2024-05-26","193.8","193.8","185.1","187.7","-1.21 %","85,413.00"
"MBL","2024-05-22","178.7","194","178.7","190","4.22 %","153,672.00"
"MBL","2024-05-21","182.8","185","179.2","182.3","-0.27 %","41,163.00"
"MBL","2024-05-20","175","187.4","175","182.8","4.58 %","102,409.00"
