"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MERO","2024-08-11","890","940","890","926","3.93 %","97,117.00"
"MERO","2024-08-08","900","913","870.3","891","-0.78 %","37,004.00"
"MERO","2024-08-07","882","917","867","898","3.82 %","64,574.00"
"MERO","2024-08-06","886.7","917","854","865","-2.43 %","87,527.00"
"MERO","2024-08-05","915","915","885","886.5","-1.50 %","46,098.00"
"MERO","2024-08-01","918","946","900","900","-1.10 %","56,249.00"
"MERO","2024-07-31","917.9","940","905","910","1.11 %","66,490.00"
"MERO","2024-07-30","890","910","865.1","900","1.24 %","62,853.00"
"MERO","2024-07-29","935","935","885","889","-4.92 %","89,884.00"
"MERO","2024-07-28","966","980","906.4","935","-1.37 %","77,603.00"
"MERO","2024-07-25","880","948","880","948","7.85 %","100,883.00"
"MERO","2024-07-24","885","908","865.4","879","-0.68 %","79,128.00"
"MERO","2024-07-23","820","887","810","885","8.59 %","88,891.00"
"MERO","2024-07-22","811.1","821","795.2","815","0.87 %","69,597.00"
"MERO","2024-07-21","800","824","784","808","1.00 %","81,594.00"
"MERO","2024-07-18","745","810.7","745","800","8.55 %","148,034.00"
"MERO","2024-07-17","733","745.9","726.5","737","0.70 %","40,736.00"
"MERO","2024-07-16","709","736","707","731.9","4.56 %","48,613.00"
"MERO","2024-07-15","730","730","700","700","-2.64 %","37,710.00"
"MERO","2024-07-14","729.1","743","716","719","0.57 %","39,310.00"
"MERO","2024-07-11","725","725","707","714.9","-0.15 %","43,631.00"
"MERO","2024-07-10","713","724","700","716","2.29 %","95,724.00"
"MERO","2024-07-09","700","703.9","686.2","700","1.39 %","40,327.00"
"MERO","2024-07-08","699","699","682.2","690.4","0.45 %","24,811.00"
"MERO","2024-07-07","692","693","675.1","687.3","1.12 %","26,880.00"
"MERO","2024-07-04","698.5","698.5","674","679.7","-0.76 %","34,573.00"
"MERO","2024-07-03","680","693","668","684.9","0.72 %","27,880.00"
"MERO","2024-07-02","690.6","718.4","680","680","0.43 %","26,964.00"
"MERO","2024-07-01","675","683.5","670","677.1","0.16 %","9,338.00"
"MERO","2024-06-30","670.3","694.9","670","676","-0.97 %","17,214.00"
"MERO","2024-06-27","695","701","682.6","682.6","-2.89 %","57,274.00"
"MERO","2024-06-26","695","736","695","702.9","-0.86 %","83,800.00"
"MERO","2024-06-25","728.1","728.1","700","709","-0.69 %","33,907.00"
"MERO","2024-06-24","660.1","725","650","713.9","6.08 %","364,695.00"
"MERO","2024-06-23","694","694","670.2","673","-1.17 %","9,931.00"
"MERO","2024-06-20","690","693","681","681","-1.45 %","6,462.00"
"MERO","2024-06-19","699","699","685.6","691","0.14 %","7,865.00"
"MERO","2024-06-18","700","705","686.5","690","-1.74 %","14,115.00"
"MERO","2024-06-16","730.3","730.3","701.3","702.2","-1.93 %","24,061.00"
"MERO","2024-06-13","712.1","725","711","716","0.85 %","26,468.00"
"MERO","2024-06-12","702","718.9","702","710","0.00 %","18,360.00"
"MERO","2024-06-11","706","718","701.1","710","0.57 %","23,640.00"
"MERO","2024-06-10","710","719","703","706","-0.49 %","28,400.00"
"MERO","2024-06-09","700","720.9","694.5","709.5","1.79 %","55,039.00"
"MERO","2024-06-06","688.3","714","683","697","1.31 %","46,067.00"
"MERO","2024-06-05","702","702","678","688","-0.15 %","13,147.00"
"MERO","2024-06-04","681","701","681","689","1.32 %","14,007.00"
"MERO","2024-06-03","686","698.6","666.1","680","0.76 %","12,715.00"
"MERO","2024-06-02","652","674.9","652","674.9","2.72 %","7,208.00"
"MERO","2024-05-30","655.1","669.9","650","657","-0.79 %","11,969.00"
"MERO","2024-05-29","703.5","703.5","662","662.2","-4.02 %","17,716.00"
"MERO","2024-05-27","702.7","702.7","682.1","689.9","0.13 %","8,169.00"
"MERO","2024-05-26","709","723.1","685.2","689","-1.01 %","13,357.00"
"MERO","2024-05-22","702","719.9","690","696","-2.66 %","29,440.00"
"MERO","2024-05-21","686","724","681.1","715","2.88 %","42,859.00"
"MERO","2024-05-20","718","733","695","695","-1.97 %","23,078.00"
"MERO","2024-05-19","701.7","748","700","709","-0.98 %","31,288.00"
"MERO","2024-05-16","683","730","675","716","3.32 %","56,962.00"
"MERO","2024-05-15","705","715","687","693","0.00 %","35,155.00"
"MERO","2024-05-14","675","704","670","693","3.43 %","38,857.00"
"MERO","2024-05-13","666","688","657.1","670","0.60 %","11,576.00"
"MERO","2024-05-12","693","693","666","666","-2.77 %","9,621.00"
"MERO","2024-05-09","695","700","681.5","685","-1.72 %","22,817.00"
"MERO","2024-05-08","695","705","684","697","1.75 %","23,475.00"
"MERO","2024-05-07","670","692","670","685","2.70 %","26,390.00"
"MERO","2024-05-06","693","693","654","667","-1.91 %","16,609.00"
"MERO","2024-05-05","704","721","660.9","680","-1.88 %","60,181.00"
"MERO","2024-05-02","652.6","703.8","652.6","693","8.30 %","80,858.00"
"MERO","2024-04-30","627","655","623.5","639.9","0.61 %","11,433.00"
"MERO","2024-04-29","639","650","627","636","-0.47 %","7,214.00"
"MERO","2024-04-28","619","639.9","610","639","5.10 %","7,780.00"
"MERO","2024-04-25","610","610","603.1","608","-0.82 %","3,484.00"
"MERO","2024-04-24","620","624","608","613","0.16 %","3,287.00"
"MERO","2024-04-22","630","630","608.2","612","-0.97 %","9,586.00"
"MERO","2024-04-21","602","618","602","618","1.31 %","5,323.00"
"MERO","2024-04-18","615.4","620","610","610","-1.61 %","4,543.00"
"MERO","2024-04-16","620.2","626","617.9","620","-0.64 %","5,185.00"
"MERO","2024-04-15","650","660","624","624","-2.19 %","17,775.00"
"MERO","2024-04-14","618","644.5","618","638","3.40 %","9,936.00"
"MERO","2024-04-10","629","635","612.3","617","-3.29 %","12,868.00"
"MERO","2024-04-09","652","660","629.2","638","-1.69 %","13,869.00"
"MERO","2024-04-07","659","665","643","649","-1.52 %","16,391.00"
"MERO","2024-04-04","650","671","632.1","659","2.97 %","26,190.00"
"MERO","2024-04-03","630","648","617.6","640","3.23 %","20,812.00"
"MERO","2024-04-02","593","629.9","593","620","2.48 %","9,994.00"
"MERO","2024-04-01","603","610","600","605","0.33 %","6,882.00"
"MERO","2024-03-31","611.5","611.5","602.5","603","-2.11 %","4,870.00"
"MERO","2024-03-28","605.1","620","605.1","616","-0.13 %","7,870.00"
"MERO","2024-03-27","621","632","610","616.8","-0.77 %","14,814.00"
"MERO","2024-03-26","602","622.1","602","621.6","1.90 %","8,395.00"
"MERO","2024-03-25","606","616.9","604.2","610","-0.97 %","19,840.00"
"MERO","2024-03-21","630","640","615","616","-2.22 %","13,582.00"
"MERO","2024-03-20","590","649","590","630","6.56 %","66,115.00"
"MERO","2024-03-19","580","614.9","580","591.2","2.30 %","19,651.00"
"MERO","2024-03-18","572","577.9","563.2","577.9","1.39 %","5,102.00"
"MERO","2024-03-17","574","590","565","570","-0.35 %","5,866.00"
"MERO","2024-03-14","579","590.4","568","572","-3.05 %","7,609.00"
"MERO","2024-03-13","603","603","586","590","-0.69 %","12,450.00"
"MERO","2024-03-12","572","600","569.1","594.1","4.96 %","12,832.00"
