"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MSLB","2024-08-11","1457.5","1457.5","1405.5","1448","1.33 %","3,791.00"
"MSLB","2024-08-08","1438","1438.2","1410","1429","1.35 %","5,993.00"
"MSLB","2024-08-07","1340.1","1471.1","1340.1","1410","5.22 %","2,698.00"
"MSLB","2024-08-06","1419","1419","1335.8","1340.1","-5.42 %","3,346.00"
"MSLB","2024-08-05","1400","1416.9","1353","1416.9","0.70 %","2,314.00"
"MSLB","2024-08-01","1415","1448","1378","1407","-0.92 %","2,918.00"
"MSLB","2024-07-31","1420","1430","1405","1420","0.00 %","2,481.00"
"MSLB","2024-07-30","1358","1420.8","1351.1","1420","3.73 %","9,562.00"
"MSLB","2024-07-29","1425","1426","1350","1369","-4.00 %","5,556.00"
"MSLB","2024-07-28","1454","1483","1379.3","1426","-1.99 %","3,899.00"
"MSLB","2024-07-25","1428","1462","1412","1455","2.90 %","4,865.00"
"MSLB","2024-07-24","1420","1423","1390","1414","-0.07 %","4,006.00"
"MSLB","2024-07-23","1392.1","1415","1392.1","1415","0.35 %","2,278.00"
"MSLB","2024-07-22","1430","1449","1402.1","1410","-1.34 %","2,433.00"
"MSLB","2024-07-21","1430","1445","1401.5","1429.1","-0.06 %","4,459.00"
"MSLB","2024-07-18","1391","1450","1391","1430","1.43 %","10,393.00"
"MSLB","2024-07-17","1412","1420","1385","1409.9","1.07 %","1,591.00"
"MSLB","2024-07-16","1378","1400","1350.5","1395","3.26 %","2,496.00"
"MSLB","2024-07-15","1419.8","1419.8","1351","1351","-2.95 %","20,699.00"
"MSLB","2024-07-14","1405.5","1430","1360","1392","1.02 %","4,208.00"
"MSLB","2024-07-11","1408","1429","1357","1378","-0.19 %","1,312.00"
"MSLB","2024-07-10","1426.9","1426.9","1372.4","1380.6","-1.32 %","3,891.00"
"MSLB","2024-07-09","1378","1404.5","1377","1399","1.60 %","5,013.00"
"MSLB","2024-07-08","1330","1412","1328","1377","3.92 %","12,981.00"
"MSLB","2024-07-07","1332.9","1340","1310","1325","1.38 %","2,389.00"
"MSLB","2024-07-04","1338","1345","1301","1307","-0.98 %","3,931.00"
"MSLB","2024-07-03","1320","1320","1310.3","1320","-1.27 %","1,005.00"
"MSLB","2024-07-02","1331.3","1357.9","1320","1337","2.44 %","2,595.00"
"MSLB","2024-07-01","1302","1325","1302","1305.2","-0.90 %","853.00"
"MSLB","2024-06-30","1331","1349","1317","1317.1","-1.36 %","1,902.00"
"MSLB","2024-06-27","1330","1365","1330","1335.2","0.62 %","3,872.00"
"MSLB","2024-06-26","1320","1377","1293.6","1327","-0.52 %","11,477.00"
"MSLB","2024-06-25","1320","1372","1320","1334","-0.29 %","6,502.00"
"MSLB","2024-06-24","1366.7","1366.7","1323","1337.9","-0.16 %","9,990.00"
"MSLB","2024-06-23","1366.5","1393.8","1339.2","1340","0.00 %","4,371.00"
"MSLB","2024-06-20","1331.1","1369.9","1331","1340","-0.23 %","2,214.00"
"MSLB","2024-06-19","1372","1390","1342","1343.1","-0.29 %","1,910.00"
"MSLB","2024-06-18","1399","1399","1347","1347","-2.23 %","2,071.00"
"MSLB","2024-06-16","1435","1435","1360","1377.7","-2.29 %","1,660.00"
"MSLB","2024-06-13","1490","1497.9","1391","1410","-5.62 %","2,403.00"
"MSLB","2024-06-12","1412.7","1523.5","1341","1494","7.87 %","14,602.00"
"MSLB","2024-06-11","1369","1390","1347.1","1385","1.47 %","2,134.00"
"MSLB","2024-06-10","1323","1365","1323","1365","1.65 %","4,597.00"
"MSLB","2024-06-09","1323","1377","1310","1342.9","-0.53 %","5,068.00"
"MSLB","2024-06-06","1400","1407","1343","1350","-2.81 %","4,591.00"
"MSLB","2024-06-05","1355","1400","1333","1389","0.65 %","3,200.00"
"MSLB","2024-06-04","1298","1380","1280","1380","7.89 %","20,577.00"
"MSLB","2024-06-03","1257","1282","1210.1","1279.1","3.74 %","3,148.00"
"MSLB","2024-06-02","1232","1281","1210.4","1233","2.07 %","2,238.00"
"MSLB","2024-05-30","1249","1250.5","1187","1208","-1.47 %","1,968.00"
"MSLB","2024-05-29","1305.6","1305.6","1226","1226","-4.22 %","2,444.00"
"MSLB","2024-05-27","1314","1314","1263","1280","-1.54 %","1,994.00"
"MSLB","2024-05-26","1400","1400","1273","1300","-5.39 %","2,075.00"
"MSLB","2024-05-22","1438","1445","1328.9","1374","-4.45 %","3,787.00"
"MSLB","2024-05-21","1290","1440","1289.8","1438","9.27 %","7,501.00"
"MSLB","2024-05-20","1298","1404","1282","1316","1.39 %","7,187.00"
"MSLB","2024-05-19","1255","1301","1255","1298","1.41 %","4,956.00"
"MSLB","2024-05-16","1218","1290","1216","1280","5.00 %","8,696.00"
"MSLB","2024-05-15","1262.7","1262.7","1202","1219","-1.53 %","3,575.00"
"MSLB","2024-05-14","1195.4","1265.8","1180","1238","5.63 %","2,454.00"
"MSLB","2024-05-13","1205","1229","1165","1172","-1.26 %","8,450.00"
"MSLB","2024-05-12","1199","1215","1160.1","1187","-2.94 %","533.00"
"MSLB","2024-05-09","1241","1250","1191","1223","-3.32 %","713.00"
"MSLB","2024-05-08","1199.9","1298","1195","1265","7.20 %","5,250.00"
"MSLB","2024-05-07","1154","1209","1154","1180","0.34 %","5,865.00"
"MSLB","2024-05-06","1163","1199","1155","1176","-0.84 %","2,151.00"
"MSLB","2024-05-05","1163","1248","1163","1186","0.08 %","8,187.00"
"MSLB","2024-05-02","1122","1230.9","1122","1185","5.90 %","8,666.00"
"MSLB","2024-04-30","1110.1","1150","1110","1119","-0.97 %","1,375.00"
"MSLB","2024-04-29","1130","1140","1130","1130","0.00 %","2,127.00"
"MSLB","2024-04-28","1102","1158.9","1096","1130","1.35 %","1,122.00"
"MSLB","2024-04-25","1125","1130","1093.7","1115","0.45 %","2,217.00"
"MSLB","2024-04-24","1117","1117.9","1096","1110","1.28 %","999.00"
"MSLB","2024-04-22","1080.1","1101.6","1065.1","1096","1.48 %","1,198.00"
"MSLB","2024-04-21","1080","1095","1064.1","1080","-0.09 %","657.00"
"MSLB","2024-04-18","1110","1111","1081","1081","-4.67 %","757.00"
"MSLB","2024-04-16","1160","1160","1111","1134","-2.24 %","527.00"
"MSLB","2024-04-15","1118","1233","1118","1160","1.75 %","10,396.00"
"MSLB","2024-04-14","1070","1150","1070","1140","7.32 %","1,937.00"
"MSLB","2024-04-10","1118","1139.9","1062.1","1062.2","-4.99 %","3,668.00"
"MSLB","2024-04-09","1157.4","1157.4","1117.2","1118","-5.33 %","2,968.00"
"MSLB","2024-04-07","1179","1197","1127","1181","1.81 %","6,447.00"
"MSLB","2024-04-04","1064.8","1186","1064.1","1160","6.91 %","17,757.00"
"MSLB","2024-04-03","1055.5","1097","1022.1","1085","0.74 %","6,766.00"
"MSLB","2024-04-02","1080.5","1080.5","994.7","1077","1.66 %","5,527.00"
"MSLB","2024-04-01","948.7","1059.4","948.7","1059.4","9.44 %","1,242.00"
"MSLB","2024-03-31","985","1005.7","967","968","-3.69 %","4,137.00"
"MSLB","2024-03-28","1003.1","1012.8","990.1","1005.1","-1.75 %","849.00"
"MSLB","2024-03-27","1044","1044","1008.1","1023","-0.10 %","658.00"
"MSLB","2024-03-26","1008.5","1025.1","1005","1024","-0.49 %","576.00"
"MSLB","2024-03-25","1048","1048","1011.1","1029","-3.74 %","541.00"
"MSLB","2024-03-21","1101","1101","1019","1069","-1.02 %","1,660.00"
"MSLB","2024-03-20","1037","1080","1000","1080","6.09 %","11,692.00"
"MSLB","2024-03-19","1010","1031","1000.1","1018","2.72 %","2,854.00"
"MSLB","2024-03-18","1010","1010","970.2","991","-1.88 %","1,789.00"
"MSLB","2024-03-17","960","1070.3","923.3","1010","3.80 %","3,499.00"
"MSLB","2024-03-14","960.4","974","940","973","-0.71 %","1,356.00"
"MSLB","2024-03-13","1020","1020","966","980","-2.00 %","2,707.00"
"MSLB","2024-03-12","938","1023","892","1000","6.61 %","4,714.00"
"MSLB","2024-03-10","880","938","860","938","8.72 %","4,193.00"
"MSLB","2024-03-07","846","880.4","813.4","862.8","3.98 %","1,783.00"
"MSLB","2024-03-06","804","829.8","800","829.8","1.94 %","520.00"
"MSLB","2024-03-05","830","846.8","790","814","0.00 %","6,890.00"
"MSLB","2024-03-03","826","826","811","814","-1.48 %","685.00"
"MSLB","2024-02-29","844","845","826.2","826.2","-3.93 %","883.00"
"MSLB","2024-02-28","832","860","832","860","1.78 %","174.00"
"MSLB","2024-02-27","821","845","815","845","1.82 %","855.00"
"MSLB","2024-02-26","820","829.9","820","829.9","1.21 %","164.00"
"MSLB","2024-02-25","815.1","820","814","820","-1.23 %","363.00"
"MSLB","2024-02-22","846.8","846.8","830","830.2","-3.91 %","357.00"
"MSLB","2024-02-21","818.6","864","818.6","864","3.85 %","1,435.00"
"MSLB","2024-02-20","845","845","832","832","-1.54 %","516.00"
"MSLB","2024-02-18","850","850","840","845","-1.97 %","712.00"
"MSLB","2024-02-15","893.2","893.2","862","862","-5.42 %","251.00"
"MSLB","2024-02-13","930","930","911.4","911.4","-1.36 %","20.00"
"MSLB","2024-02-12","845.3","924","844.1","924","8.12 %","1,784.00"
"MSLB","2024-02-11","872.2","872.2","840","854.6","-3.98 %","1,050.00"
"MSLB","2024-02-08","885","895","884","890","-1.33 %","532.00"
"MSLB","2024-02-07","900","902","899","902","1.69 %","241.00"
"MSLB","2024-02-06","872","887","872","887","0.23 %","214.00"
"MSLB","2024-02-05","871","888.4","865","885","1.61 %","349.00"
"MSLB","2024-02-04","904","905","871","871","-2.02 %","374.00"
"MSLB","2024-02-01","890","890","878","889","-0.67 %","80.00"
"MSLB","2024-01-31","910","910","875","895","0.11 %","212.00"
"MSLB","2024-01-30","910.8","910.8","861","894","0.11 %","432.00"
"MSLB","2024-01-29","924","924","893","893","-3.46 %","1,054.00"
"MSLB","2024-01-28","882","925","881","925","3.35 %","1,208.00"
"MSLB","2024-01-25","930","930","894","895","-4.10 %","1,500.00"
"MSLB","2024-01-24","915","933.3","897","933.3","3.93 %","1,161.00"
"MSLB","2024-01-23","908","908","874","898","-1.10 %","565.00"
"MSLB","2024-01-22","915","915","885","908","-1.30 %","4,201.00"
