"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MSMBS","2021-01-21","1167","1259","1167","1259","0.10 %","4,871.00"
"MSMBS","2021-01-20","1102","1155","1030","1145","0.09 %","8,642.00"
"MSMBS","2021-01-19","1090","1111","1036","1050","-0.02 %","5,065.00"
"MSMBS","2021-01-18","1073","1137","1069","1069","0.02 %","8,318.00"
"MSMBS","2021-01-17","976","1052","950","1052","0.10 %","11,079.00"
"MSMBS","2021-01-13","976","980","950","957","-0.04 %","6,568.00"
"MSMBS","2021-01-12","921","995","921","995","0.06 %","2,892.00"
"MSMBS","2021-01-11","963","964","910","939","-0.01 %","560.00"
"MSMBS","2021-01-10","917","962","917","945","0.01 %","2,918.00"
"MSMBS","2021-01-07","900","945","900","935","0.05 %","4,838.00"
"MSMBS","2021-01-06","875","910","875","891","0.02 %","644.00"
"MSMBS","2021-01-05","862","875","862","875","-0.00 %","87.00"
"MSMBS","2021-01-04","865","889","862","879","0.01 %","928.00"
"MSMBS","2021-01-03","872","889","856","872","0.00 %","1,138.00"
"MSMBS","2020-12-31","850","888","850","872","0.01 %","488.00"
"MSMBS","2020-12-30","875","912","860","862","-0.01 %","1,013.00"
"MSMBS","2020-12-29","860","894","860","870","0.02 %","418.00"
"MSMBS","2020-12-28","850","870","850","856","-0.01 %","409.00"
"MSMBS","2020-12-27","889","889","865","866","-0.03 %","149.00"
"MSMBS","2020-12-24","926","926","891","891","-0.06 %","274.00"
"MSMBS","2020-12-23","945","957","942","943","-0.02 %","6,326.00"
"MSMBS","2020-12-22","901","961","901","961","0.08 %","1,505.00"
"MSMBS","2020-12-21","861","895","861","886","0.01 %","2,577.00"
"MSMBS","2020-12-20","937","940","876","876","-0.07 %","5,146.00"
"MSMBS","2020-12-17","940","974","930","939","-0.00 %","4,498.00"
"MSMBS","2020-12-16","950","979","936","940","-0.01 %","6,882.00"
"MSMBS","2020-12-15","956","957","941","950","-0.01 %","4,196.00"
"MSMBS","2020-12-14","889","959","875","957","0.10 %","7,531.00"
"MSMBS","2020-12-13","855","891","855","872","0.00 %","913.00"
"MSMBS","2020-12-10","850","872","850","871","0.02 %","2,041.00"
"MSMBS","2020-12-09","865","880","850","851","-0.03 %","2,564.00"
"MSMBS","2020-12-08","875","927","870","874","0.02 %","10,211.00"
"MSMBS","2020-12-07","790","858","790","858","0.08 %","3,361.00"
"MSMBS","2020-12-06","843","843","795","795","-0.08 %","1,574.00"
"MSMBS","2020-12-03","892","892","858","860","-0.02 %","2,073.00"
"MSMBS","2020-12-02","852","880","822","875","0.05 %","5,049.00"
"MSMBS","2020-12-01","833","880","833","836","-0.02 %","3,152.00"
"MSMBS","2020-11-30","821","862","821","849","0.02 %","3,625.00"
"MSMBS","2020-11-29","841","841","810","830","-0.03 %","1,981.00"
"MSMBS","2020-11-26","870","870","850","855","-0.03 %","2,372.00"
"MSMBS","2020-11-25","846","884","831","884","0.07 %","3,349.00"
"MSMBS","2020-11-24","790","830","780","830","0.06 %","6,166.00"
"MSMBS","2020-11-23","759","785","746","785","0.05 %","5,756.00"
"MSMBS","2020-11-22","727","759","727","745","0.03 %","2,896.00"
"MSMBS","2020-11-19","720","758","720","725","0.00 %","4,517.00"
"MSMBS","2020-11-18","722","728","712","725","0.00 %","859.00"
"MSMBS","2020-11-12","725","735","720","722","- %","2,742.00"
"MSMBS","2020-11-11","718","728","718","725","-0.96 %","387.00"
"MSMBS","2020-11-10","740","740","726","732","-0.68 %","492.00"
