"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NCCB","2022-12-29","185","190","184","189","0.91 %","91,550.00"
"NCCB","2022-12-28","192","192.5","185","187.3","-1.42 %","89,490.00"
"NCCB","2022-12-27","187.1","192","183","190","2.98 %","155,822.00"
"NCCB","2022-12-26","179.2","184.5","178.1","184.5","4.41 %","69,465.00"
"NCCB","2022-12-22","180","181","175.7","176.7","-1.01 %","62,181.00"
"NCCB","2022-12-21","179","181","177.7","178.5","-0.28 %","22,534.00"
"NCCB","2022-12-20","179","181","177.3","179","-0.50 %","16,289.00"
"NCCB","2022-12-19","179","181.5","176.1","179.9","0.50 %","19,078.00"
"NCCB","2022-12-18","179.7","180","177","179","-0.39 %","35,335.00"
"NCCB","2022-12-15","181","181.8","179.1","179.7","-1.16 %","27,980.00"
"NCCB","2022-12-14","183.5","183.5","181.2","181.8","-0.93 %","13,780.00"
"NCCB","2022-12-13","180","185.3","180","183.5","0.94 %","43,930.00"
"NCCB","2022-12-12","177","182.1","177","181.8","1.00 %","109,996.00"
"NCCB","2022-12-11","184.4","185.1","177.9","180","-0.99 %","43,497.00"
"NCCB","2022-12-07","181.1","183.4","181","181.8","-0.55 %","42,276.00"
"NCCB","2022-12-06","182","185","181","182.8","-1.46 %","49,383.00"
"NCCB","2022-12-05","185","186","182","185.5","-0.22 %","40,870.00"
"NCCB","2022-12-04","181.2","186.6","181.1","185.9","1.58 %","48,613.00"
"NCCB","2022-12-01","186","186","182.2","183","-1.61 %","51,336.00"
"NCCB","2022-11-30","187","187.4","184","186","-0.53 %","41,127.00"
"NCCB","2022-11-29","181.5","192.5","181.5","187","5.05 %","135,659.00"
"NCCB","2022-09-25","190","190","182.5","184","-3.16 %","43,081.00"
"NCCB","2022-09-22","186.9","190","182.5","190","2.43 %","70,925.00"
"NCCB","2022-09-21","187","187","183","185.5","0.00 %","59,527.00"
"NCCB","2022-09-20","189","189","184.1","185.5","-1.85 %","78,764.00"
"NCCB","2022-09-18","191.1","193.6","187.5","189","-1.87 %","60,132.00"
"NCCB","2022-09-16","194","194","190.1","192.6","-1.73 %","31,550.00"
"NCCB","2022-09-15","200","200.5","193","196","-1.66 %","68,699.00"
"NCCB","2022-09-14","194.1","199.5","194.1","199.3","2.21 %","44,218.00"
"NCCB","2022-09-13","195","196.9","193.6","195","0.41 %","61,771.00"
"NCCB","2022-09-12","198","198.8","194","194.2","-0.97 %","50,310.00"
"NCCB","2022-09-11","198.7","200","196","196.1","-0.46 %","28,323.00"
"NCCB","2022-09-08","197","198.5","196","197","-0.40 %","31,796.00"
"NCCB","2022-09-07","198.1","199","197","197.8","-1.05 %","31,501.00"
"NCCB","2022-09-06","200","202","198","199.9","-1.04 %","54,438.00"
"NCCB","2022-09-05","202","202","199","202","1.00 %","50,701.00"
"NCCB","2022-09-04","200","203","199.3","200","-1.48 %","52,310.00"
"NCCB","2022-09-02","198","204","198","203","0.50 %","33,849.00"
"NCCB","2022-09-01","200","203","200","202","0.25 %","46,184.00"
"NCCB","2022-08-31","204","204.6","200.8","201.5","-0.74 %","51,150.00"
"NCCB","2022-08-30","203.4","205.9","201.3","203","0.00 %","92,411.00"
"NCCB","2022-08-29","203.2","205","202.6","203","-1.41 %","110,322.00"
"NCCB","2022-08-28","211","211","202.7","205.9","-0.53 %","114,378.00"
"NCCB","2022-08-26","205.8","207","205.2","207","-0.43 %","44,780.00"
"NCCB","2022-08-25","206","210.1","206","207.9","-0.62 %","43,899.00"
"NCCB","2022-08-24","206","212","206","209.2","-0.24 %","95,410.00"
"NCCB","2022-08-23","205","212","205","209.7","0.43 %","55,188.00"
"NCCB","2022-08-22","206.5","208.8","206","208.8","0.14 %","28,980.00"
"NCCB","2022-08-21","210","211","207.1","208.5","-0.05 %","52,702.00"
"NCCB","2022-08-18","208","209","206.5","208.6","0.29 %","72,366.00"
"NCCB","2022-08-17","206.1","208.9","206.1","208","0.00 %","40,180.00"
