"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIB","2023-01-10","245","265","240.1","251","4.15 %","185,345.00"
"NIB","2023-01-09","233","241.7","233","241","1.69 %","88,058.00"
"NIB","2023-01-08","240.8","241","232","237","0.38 %","71,120.00"
"NIB","2023-01-05","241.7","242","236","236.1","-1.17 %","50,743.00"
"NIB","2023-01-04","236","239","234.3","238.9","2.01 %","41,993.00"
"NIB","2023-01-03","236","241.7","233","234.2","-1.60 %","64,638.00"
"NIB","2023-01-02","234.9","241.8","233","238","-0.67 %","55,611.00"
"NIB","2023-01-01","240","247","234","239.6","0.67 %","156,046.00"
"NIB","2022-12-29","227.5","240.6","227.5","238","2.99 %","53,891.00"
"NIB","2022-12-28","240","240","230","231.1","-2.90 %","33,506.00"
"NIB","2022-12-27","232","242.9","232","238","3.25 %","73,757.00"
"NIB","2022-12-26","215.9","230.5","215","230.5","8.27 %","83,771.00"
"NIB","2022-12-22","212.2","214","211","212.9","0.33 %","28,957.00"
"NIB","2022-12-21","215","217","211","212.2","-0.84 %","28,492.00"
"NIB","2022-12-20","216","216","212","214","0.00 %","40,217.00"
"NIB","2022-12-19","214.7","218","212","214","-0.33 %","26,669.00"
"NIB","2022-12-18","217","219","214","214.7","-1.83 %","40,103.00"
"NIB","2022-12-15","217.4","220","216","218.7","0.23 %","36,650.00"
"NIB","2022-12-14","223","223","217","218.2","-0.37 %","25,147.00"
"NIB","2022-12-13","222","228","218.1","219","-1.35 %","22,448.00"
"NIB","2022-12-12","217.3","228.9","217.3","222","0.23 %","36,750.00"
"NIB","2022-12-11","231","232","221.2","221.5","-5.74 %","45,184.00"
"NIB","2022-12-07","242.1","242.1","234","235","-2.94 %","27,482.00"
"NIB","2022-12-06","249.9","255","249.1","251.8","0.76 %","65,096.00"
"NIB","2022-12-05","251","252.1","248.1","249.9","-0.44 %","44,058.00"
"NIB","2022-12-04","253","255.1","250","251","-0.59 %","64,447.00"
"NIB","2022-12-01","255","255","252","252.5","-0.59 %","33,931.00"
"NIB","2022-11-30","257","257","253.1","254","-1.17 %","32,385.00"
"NIB","2022-11-29","263","263","255.8","257","-0.35 %","23,271.00"
"NIB","2022-11-28","260.4","261.9","257.1","257.9","0.04 %","38,362.00"
"NIB","2022-11-27","258","261","255.2","257.8","-0.73 %","45,459.00"
"NIB","2022-11-24","260","263","258","259.7","-0.88 %","56,171.00"
"NIB","2022-11-23","267","270","260","262","-1.87 %","35,294.00"
"NIB","2022-11-22","270.3","278.4","262","267","0.75 %","67,227.00"
"NIB","2022-06-10","270","270","262","265","-2.25 %","160,736.00"
"NIB","2022-06-09","277","279.9","271.1","271.1","-1.60 %","65,391.00"
"NIB","2022-06-08","276","279","264.8","275.5","0.51 %","174,787.00"
"NIB","2022-06-07","285","286.9","274","274.1","-4.49 %","71,679.00"
"NIB","2022-06-06","287","293","279.3","287","0.00 %","91,258.00"
"NIB","2022-06-03","299.1","301","287","287","-4.05 %","107,746.00"
"NIB","2022-06-02","300.9","308.9","299","299.1","-2.57 %","87,488.00"
"NIB","2022-06-01","324.4","324.4","297.9","307","-7.25 %","399,556.00"
"NIB","2022-05-31","360.4","360.4","331","331","-9.98 %","12,666.00"
"NIB","2022-05-30","405","405","367.7","367.7","-9.99 %","9,320.00"
"NIB","2022-01-02","234.9","241.8","233","238","-0.67 %","55,611.00"
"NIB","2021-05-13","462","484","455","460","1.55 %","395,752.00"
"NIB","2021-05-12","456","456","448","453","0.89 %","55,626.00"
