"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICL","2024-08-11","1012","1043","1000","1040","3.07 %","81,169.00"
"NICL","2024-08-08","1029","1053","985","1009","-1.85 %","84,625.00"
"NICL","2024-08-07","999.6","1029","980.1","1028","4.90 %","53,081.00"
"NICL","2024-08-06","1065","1065.9","978","980","-6.22 %","149,925.00"
"NICL","2024-08-05","1070","1091.4","1043","1045","-0.48 %","129,733.00"
"NICL","2024-08-01","1005","1074","997","1050","5.01 %","177,536.00"
"NICL","2024-07-31","972.1","1014","972.1","999.9","2.55 %","95,569.00"
"NICL","2024-07-30","977","990","953","975","-0.15 %","59,379.00"
"NICL","2024-07-29","1012","1012","974","976.5","-1.66 %","54,113.00"
"NICL","2024-07-28","990","1018.4","970","993","1.43 %","64,518.00"
"NICL","2024-07-25","950","982.2","948","979","1.45 %","80,240.00"
"NICL","2024-07-24","995","998","951","965","-1.53 %","63,142.00"
"NICL","2024-07-23","965.9","996.9","942.3","980","3.48 %","56,144.00"
"NICL","2024-07-22","955","960","935","947","-0.58 %","56,637.00"
"NICL","2024-07-21","952.1","960","933.1","952.5","0.26 %","81,667.00"
"NICL","2024-07-18","952","970","930","950","-0.51 %","74,289.00"
"NICL","2024-07-17","910","957","901","954.9","4.93 %","95,944.00"
"NICL","2024-07-16","880","910","877.1","910","3.41 %","31,868.00"
"NICL","2024-07-15","902.9","902.9","870.4","880","-0.79 %","52,526.00"
"NICL","2024-07-14","900","925","885","887","0.45 %","39,222.00"
"NICL","2024-07-11","873.5","890","873","883","1.09 %","33,545.00"
"NICL","2024-07-10","855","875.6","855","873.5","1.93 %","29,738.00"
"NICL","2024-07-09","856","862.9","850.4","857","-0.22 %","13,343.00"
"NICL","2024-07-08","869","870","857","858.9","-0.35 %","24,299.00"
"NICL","2024-07-07","855","865","850","861.9","1.64 %","50,977.00"
"NICL","2024-07-04","837","855","837","848","1.21 %","24,820.00"
"NICL","2024-07-03","840.1","840.1","829.2","837.9","-0.37 %","5,949.00"
"NICL","2024-07-02","843","876","835.1","841","1.75 %","22,954.00"
"NICL","2024-07-01","811.2","827.8","811.2","826.5","0.66 %","7,746.00"
"NICL","2024-06-30","838","838","820","821.1","-0.71 %","9,427.00"
"NICL","2024-06-27","827.5","830","824.4","827","-0.36 %","11,466.00"
"NICL","2024-06-26","848","848","828","830","-0.94 %","8,646.00"
"NICL","2024-06-25","839","840","834.1","837.9","-0.08 %","11,499.00"
"NICL","2024-06-24","834","846.5","831","838.6","0.55 %","9,146.00"
"NICL","2024-06-23","833","840","830","834","0.12 %","18,328.00"
"NICL","2024-06-20","830.1","835","826","833","0.08 %","12,335.00"
"NICL","2024-06-19","833","839","830.1","832.3","-0.08 %","9,656.00"
"NICL","2024-06-18","840","840","827.4","833","-0.83 %","16,614.00"
"NICL","2024-06-16","840","850","835","840","-0.36 %","16,008.00"
"NICL","2024-06-13","850","857","841.2","843","-1.40 %","21,058.00"
"NICL","2024-06-12","870","871","854","855","-0.52 %","18,565.00"
"NICL","2024-06-11","820.4","865","820.4","859.5","3.06 %","32,872.00"
"NICL","2024-06-10","830","839.7","826","834","1.29 %","13,100.00"
"NICL","2024-06-09","830","836","822.7","823.4","-0.80 %","11,712.00"
"NICL","2024-06-06","830","835","824.2","830","0.00 %","11,102.00"
"NICL","2024-06-05","835.1","840","825","830","-0.61 %","19,540.00"
"NICL","2024-06-04","846","846","830","835.1","0.61 %","13,590.00"
"NICL","2024-06-03","852","852","827","830","-0.72 %","23,393.00"
"NICL","2024-06-02","839.7","839.8","831","836","0.30 %","10,651.00"
"NICL","2024-05-30","831.6","847","830","833.5","-0.89 %","16,931.00"
"NICL","2024-05-29","865.1","865.1","838","841","-0.85 %","20,130.00"
"NICL","2024-05-27","852","867","846.6","848.2","-0.91 %","16,653.00"
"NICL","2024-05-26","875","875","850.1","856","-0.93 %","41,444.00"
"NICL","2024-05-22","873","876","860","864","-0.92 %","20,902.00"
"NICL","2024-05-21","854","872.1","842","872","1.99 %","20,207.00"
"NICL","2024-05-20","872.9","886.9","851","855","-0.58 %","45,577.00"
"NICL","2024-05-19","842.5","880","837","860","4.12 %","65,808.00"
"NICL","2024-05-16","857","857","825","826","-1.77 %","39,361.00"
"NICL","2024-05-15","828.2","859","828.2","840.9","-0.49 %","22,951.00"
"NICL","2024-05-14","850","852.8","840","845","0.26 %","21,451.00"
"NICL","2024-05-13","854","854","827.4","842.8","0.10 %","21,408.00"
"NICL","2024-05-12","831.3","855.7","827","842","3.31 %","82,557.00"
"NICL","2024-05-09","811","818.9","806.2","815","0.62 %","18,227.00"
"NICL","2024-05-08","817","818","802.2","810","-1.04 %","27,912.00"
"NICL","2024-05-07","829","829.9","818.5","818.5","0.53 %","9,598.00"
"NICL","2024-05-06","830","835.5","813.4","814.2","-1.68 %","25,199.00"
"NICL","2024-05-05","850","850","824","828.1","-1.19 %","45,168.00"
"NICL","2024-05-02","862","878","838","838.1","-0.93 %","56,929.00"
"NICL","2024-04-30","810.1","855","810.1","846","4.17 %","39,805.00"
"NICL","2024-04-29","836.4","836.4","805.1","812.1","-0.96 %","15,407.00"
"NICL","2024-04-28","810","820","806","820","1.86 %","6,453.00"
"NICL","2024-04-25","805","823","802.2","805","-0.37 %","36,619.00"
"NICL","2024-04-24","810","816","803.9","808","-0.01 %","3,437.00"
"NICL","2024-04-22","811","819","806.2","808.1","-0.47 %","7,224.00"
"NICL","2024-04-21","805","815","800","811.9","0.86 %","7,673.00"
"NICL","2024-04-18","820","820","803.2","805","-1.59 %","6,300.00"
"NICL","2024-04-16","812.1","820","812","818","-0.61 %","6,278.00"
"NICL","2024-04-15","830","830","822.5","823","-1.13 %","4,796.00"
"NICL","2024-04-14","842.9","843","825","832.4","-0.19 %","7,579.00"
"NICL","2024-04-10","843","844.9","832","834","-1.53 %","10,143.00"
"NICL","2024-04-09","864","864","834","847","-0.58 %","15,780.00"
"NICL","2024-04-07","853","853","834","851.9","1.18 %","12,644.00"
"NICL","2024-04-04","820.1","842","820.1","842","1.81 %","14,221.00"
"NICL","2024-04-03","820.1","830","820.1","827","0.61 %","6,473.00"
"NICL","2024-04-02","823","825.2","819.2","822","-0.12 %","6,057.00"
"NICL","2024-04-01","819","829.9","816","823","0.00 %","8,779.00"
"NICL","2024-03-31","847.8","847.8","821.4","823","-1.67 %","12,121.00"
"NICL","2024-03-28","845","845","827.1","837","-0.71 %","9,677.00"
"NICL","2024-03-27","840","843","827.1","843","0.48 %","7,432.00"
"NICL","2024-03-26","832","843","832","839","0.00 %","13,991.00"
"NICL","2024-03-25","838.1","840","826.3","839","-0.36 %","14,903.00"
"NICL","2024-03-21","868","868","840","842","-1.86 %","20,524.00"
"NICL","2024-03-20","865","866","853","858","1.02 %","12,309.00"
"NICL","2024-03-19","852","875","849.3","849.3","-1.93 %","10,718.00"
"NICL","2024-03-18","851.5","867.9","851","866","1.41 %","12,188.00"
"NICL","2024-03-17","860","873","853.1","854","-1.27 %","18,324.00"
"NICL","2024-03-14","865","877.5","860","865","-1.14 %","24,467.00"
"NICL","2024-03-13","900","905","875","875","-1.91 %","34,519.00"
"NICL","2024-03-12","855","892.7","855","892","5.20 %","32,879.00"
"NICL","2024-03-10","854","866","845","847.9","-0.25 %","20,079.00"
"NICL","2024-03-07","845","850","830","850","2.57 %","10,991.00"
"NICL","2024-03-06","844","844","814.1","828.7","0.08 %","20,954.00"
"NICL","2024-03-05","876","876","823","828","-3.60 %","33,309.00"
"NICL","2024-03-04","826.2","859.5","826.2","858.9","6.04 %","2,410.00"
"NICL","2024-03-03","802.1","819","800.3","810","0.25 %","17,209.00"
"NICL","2024-02-29","830.5","831","805.1","808","-1.48 %","17,809.00"
"NICL","2024-02-28","821","831","818","820.1","-0.59 %","10,599.00"
"NICL","2024-02-27","830","839","817","825","0.00 %","14,185.00"
"NICL","2024-02-26","843.5","843.5","812","825","-0.24 %","27,464.00"
"NICL","2024-02-25","834","848.5","826","827","-1.06 %","15,772.00"
"NICL","2024-02-22","850","860","835","835.9","-1.66 %","17,416.00"
"NICL","2024-02-21","864.9","869","845","850","0.24 %","13,866.00"
"NICL","2024-02-20","866.1","892.3","848","848","-1.85 %","33,287.00"
"NICL","2024-02-18","885","890","858.7","864","-2.37 %","30,695.00"
"NICL","2024-02-15","914.9","914.9","880","885","-2.53 %","32,951.00"
"NICL","2024-02-14","909","915","894.2","908","-0.10 %","35,937.00"
"NICL","2024-02-13","940","940","900","908.9","-3.00 %","54,041.00"
"NICL","2024-02-12","922","945","910","937","3.65 %","121,903.00"
"NICL","2024-02-11","915","928","902","904","0.22 %","21,432.00"
"NICL","2024-02-08","895","908.7","891.1","902","0.78 %","16,401.00"
"NICL","2024-02-07","906.7","914.9","890.1","895","-0.22 %","18,972.00"
"NICL","2024-02-06","900","900","880","897","1.36 %","13,150.00"
"NICL","2024-02-05","900.1","900.1","870","885","0.28 %","10,418.00"
"NICL","2024-02-04","872.1","900","872.1","882.5","-0.73 %","12,804.00"
"NICL","2024-02-01","890","893","880","889","-1.00 %","31,862.00"
"NICL","2024-01-31","901.3","917","881.1","898","-0.99 %","22,066.00"
