"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLICL","2024-08-11","700","717","695.2","713","2.15 %","78,131.00"
"NLICL","2024-08-08","719.8","719.8","690.1","698","-1.10 %","67,410.00"
"NLICL","2024-08-07","701","734","701","734","4.56 %","140,447.00"
"NLICL","2024-08-06","750","759.9","702","702","-6.40 %","119,594.00"
"NLICL","2024-08-05","730","760","718.5","750","4.14 %","124,093.00"
"NLICL","2024-08-01","707","751","692.1","720.2","2.89 %","149,419.00"
"NLICL","2024-07-31","703","716","698","700","1.45 %","60,733.00"
"NLICL","2024-07-30","681","697","675.2","690","0.00 %","57,916.00"
"NLICL","2024-07-29","694","695","680","690","1.32 %","125,372.00"
"NLICL","2024-07-28","668.1","697","650","681","3.97 %","96,779.00"
"NLICL","2024-07-25","638","660","638","655","0.77 %","74,454.00"
"NLICL","2024-07-24","672","685.5","646","650","-1.37 %","75,670.00"
"NLICL","2024-07-23","630","675","630","659","5.17 %","114,014.00"
"NLICL","2024-07-22","633","633","617.5","626.6","-1.01 %","43,668.00"
"NLICL","2024-07-21","642.6","650","622.3","633","0.48 %","60,198.00"
"NLICL","2024-07-18","625","641","618","630","1.58 %","65,640.00"
"NLICL","2024-07-17","621","624.8","610","620.2","1.67 %","91,245.00"
"NLICL","2024-07-16","595","611.9","588","610","2.52 %","53,302.00"
"NLICL","2024-07-15","621.9","621.9","590.1","595","-2.43 %","56,324.00"
"NLICL","2024-07-14","592.6","614","591","609.8","4.96 %","57,046.00"
"NLICL","2024-07-11","564","586","563.6","581","3.53 %","51,595.00"
"NLICL","2024-07-10","563","566.9","557.1","561.2","0.39 %","25,584.00"
"NLICL","2024-07-09","557","561","548.1","559","0.54 %","14,917.00"
"NLICL","2024-07-08","560","560","552","556","0.31 %","20,432.00"
"NLICL","2024-07-07","555","563","552.2","554.3","0.07 %","24,520.00"
"NLICL","2024-07-04","555","558","546.7","553.9","1.63 %","15,668.00"
"NLICL","2024-07-03","540","547.9","535.5","545","0.18 %","19,392.00"
"NLICL","2024-07-02","544.1","576","536.1","544","1.97 %","9,584.00"
"NLICL","2024-07-01","532","536","528","533.5","0.28 %","12,398.00"
"NLICL","2024-06-30","533.1","535","531.5","532","0.08 %","15,783.00"
"NLICL","2024-06-27","537","537","531","531.6","-1.74 %","9,215.00"
"NLICL","2024-06-26","556.5","556.5","538.4","541","-1.28 %","7,549.00"
"NLICL","2024-06-25","541","549","540","548","1.67 %","7,099.00"
"NLICL","2024-06-24","545","549","538","539","-1.10 %","12,918.00"
"NLICL","2024-06-23","540","545","537.2","545","0.13 %","13,031.00"
"NLICL","2024-06-20","560","560","542.5","544.3","-1.02 %","11,612.00"
"NLICL","2024-06-19","558","558","542","549.9","0.15 %","3,732.00"
"NLICL","2024-06-18","563.5","563.5","547.2","549.1","-0.88 %","10,450.00"
"NLICL","2024-06-16","547","556","545","554","0.54 %","12,636.00"
"NLICL","2024-06-13","565","565","550","551","-1.94 %","9,944.00"
"NLICL","2024-06-12","562","571.9","555","561.9","-0.20 %","19,174.00"
"NLICL","2024-06-11","546.4","563","542.2","563","3.13 %","18,679.00"
"NLICL","2024-06-10","550","550","543","545.9","0.35 %","14,935.00"
"NLICL","2024-06-09","542","550","540","544","-0.18 %","10,609.00"
"NLICL","2024-06-06","542.3","548","541.2","545","-0.02 %","4,857.00"
"NLICL","2024-06-05","553","553","542.2","545.1","-0.42 %","3,754.00"
"NLICL","2024-06-04","540","557","540","547.4","0.26 %","10,645.00"
"NLICL","2024-06-03","558","558","543.1","546","-0.64 %","12,137.00"
"NLICL","2024-06-02","553","553","545.3","549.5","1.20 %","4,003.00"
"NLICL","2024-05-30","543.5","553.8","541.9","543","-1.77 %","9,758.00"
"NLICL","2024-05-29","565","565","547.2","552.8","-1.30 %","7,365.00"
"NLICL","2024-05-27","564","569","558.1","560.1","0.25 %","7,815.00"
"NLICL","2024-05-26","557.1","566.9","556","558.7","-1.45 %","11,159.00"
"NLICL","2024-05-22","564","572","562.1","566.9","-1.06 %","12,340.00"
"NLICL","2024-05-21","570.1","575","569.1","573","0.53 %","13,032.00"
"NLICL","2024-05-20","587","588","567","570","-1.38 %","15,890.00"
"NLICL","2024-05-19","560.8","580.9","546","578","5.11 %","39,480.00"
"NLICL","2024-05-16","552.9","552.9","537.3","549.9","0.90 %","6,438.00"
"NLICL","2024-05-15","550","557.6","540","545","-0.73 %","9,761.00"
"NLICL","2024-05-14","543","550","539.3","549","0.92 %","10,550.00"
"NLICL","2024-05-13","549.8","549.8","538","544","0.91 %","4,718.00"
"NLICL","2024-05-12","544.4","545","533.2","539.1","0.99 %","8,510.00"
"NLICL","2024-05-09","533.1","540","532","533.8","0.53 %","19,757.00"
"NLICL","2024-05-08","525","536","521.3","531","0.70 %","5,859.00"
"NLICL","2024-05-07","534.9","534.9","526","527.3","0.06 %","4,491.00"
"NLICL","2024-05-06","538.6","538.6","525","527","-0.21 %","15,942.00"
"NLICL","2024-05-05","543.1","545","525","528.1","-2.38 %","29,168.00"
"NLICL","2024-05-02","542","560","540","541","-0.18 %","27,391.00"
"NLICL","2024-04-30","547","555","539","542","-0.73 %","15,268.00"
"NLICL","2024-04-29","549","549","540","546","-0.67 %","6,757.00"
"NLICL","2024-04-28","545","549.7","536.2","549.7","0.68 %","7,010.00"
"NLICL","2024-04-25","545","550","540.3","546","0.18 %","5,035.00"
"NLICL","2024-04-24","540","549","540","545","-0.46 %","1,269.00"
"NLICL","2024-04-22","551","555","542","547.5","-0.64 %","6,374.00"
"NLICL","2024-04-21","545","552","540.1","551","1.40 %","14,118.00"
"NLICL","2024-04-18","541.1","548","541.1","543.4","-1.20 %","8,357.00"
"NLICL","2024-04-16","549.5","552","549","550","0.18 %","4,331.00"
"NLICL","2024-04-15","562","562","549","549","-1.08 %","5,185.00"
"NLICL","2024-04-14","560","571","553.1","555","-2.12 %","7,613.00"
"NLICL","2024-04-10","572","574.9","566","567","-1.34 %","10,180.00"
"NLICL","2024-04-09","570","575","560.2","574.7","2.44 %","11,806.00"
"NLICL","2024-04-07","552","564","552","561","1.52 %","10,072.00"
"NLICL","2024-04-04","550","558","550","552.6","-0.77 %","7,593.00"
"NLICL","2024-04-03","557","563","550","556.9","-0.38 %","11,500.00"
"NLICL","2024-04-02","550","560","548.1","559","1.08 %","10,987.00"
"NLICL","2024-04-01","548","560","540","553","0.47 %","9,392.00"
"NLICL","2024-03-31","560","560","550","550.4","-1.18 %","9,733.00"
"NLICL","2024-03-28","555.1","562","555","557","0.09 %","9,017.00"
"NLICL","2024-03-27","572.9","572.9","555","556.5","-1.29 %","6,221.00"
"NLICL","2024-03-26","556.6","571.5","556.6","563.8","0.62 %","18,721.00"
"NLICL","2024-03-25","564","567","555.2","560.3","-0.57 %","10,351.00"
"NLICL","2024-03-21","570","574","560","563.5","-0.25 %","7,207.00"
"NLICL","2024-03-20","568.1","570","560","564.9","-0.72 %","9,010.00"
"NLICL","2024-03-19","564","575.5","564","569","0.00 %","4,522.00"
