"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NYADI","2024-08-11","362","373","357","367","1.66 %","29,121.00"
"NYADI","2024-08-08","370","376","352","361","-2.43 %","19,933.00"
"NYADI","2024-08-07","360","370","343","370","4.23 %","37,351.00"
"NYADI","2024-08-06","382.5","382.5","337.5","355","-5.33 %","50,175.00"
"NYADI","2024-08-05","365","382.5","360.1","375","0.81 %","30,281.00"
"NYADI","2024-08-01","387.4","387.4","366","372","-2.11 %","39,247.00"
"NYADI","2024-07-31","370","386","370","380","0.82 %","37,259.00"
"NYADI","2024-07-30","372","380","365","376.9","1.32 %","28,794.00"
"NYADI","2024-07-29","375","389.9","365","372","1.09 %","57,362.00"
"NYADI","2024-07-28","370","385","351","368","-1.87 %","40,422.00"
"NYADI","2024-07-25","387.5","387.5","365","375","-1.32 %","33,758.00"
"NYADI","2024-07-24","377","397.5","370","380","0.80 %","62,599.00"
"NYADI","2024-07-23","362","380","362","377","3.29 %","34,583.00"
"NYADI","2024-07-22","359.9","367","350","365","1.42 %","31,203.00"
"NYADI","2024-07-21","365.4","370.5","358","359.9","-0.30 %","30,945.00"
"NYADI","2024-07-18","370","377","360.8","361","-2.43 %","46,571.00"
"NYADI","2024-07-17","368","379","362.1","370","-1.33 %","30,485.00"
"NYADI","2024-07-16","350","381","348","375","7.14 %","32,405.00"
"NYADI","2024-07-15","360","360","340.2","350","-2.51 %","38,250.00"
"NYADI","2024-07-14","369.1","380","353","359","-0.80 %","36,288.00"
"NYADI","2024-07-11","358","366","353","361.9","2.81 %","39,766.00"
"NYADI","2024-07-10","339","355","339","352","3.65 %","58,861.00"
"NYADI","2024-07-09","323","339.6","323","339.6","3.54 %","29,092.00"
"NYADI","2024-07-08","318.8","331.2","318.8","328","0.92 %","11,729.00"
"NYADI","2024-07-07","333.2","333.2","320.6","325","-0.61 %","24,504.00"
"NYADI","2024-07-04","333","339","323.1","327","-3.25 %","30,300.00"
"NYADI","2024-07-03","335","340.3","331","338","-0.88 %","12,884.00"
"NYADI","2024-07-02","336.6","360","325","341","3.33 %","34,040.00"
"NYADI","2024-07-01","333","339.6","326.4","330","-0.90 %","12,118.00"
"NYADI","2024-06-30","321","342.5","321","333","4.36 %","65,344.00"
"NYADI","2024-06-27","330","330","319","319.1","-2.39 %","36,214.00"
"NYADI","2024-06-26","340","342.9","326","326.9","-2.94 %","33,150.00"
"NYADI","2024-06-25","316.2","338","310.3","336.8","8.65 %","87,428.00"
"NYADI","2024-06-24","308","314","303","310","2.65 %","34,937.00"
"NYADI","2024-06-23","296.1","311","296.1","302","0.67 %","21,540.00"
"NYADI","2024-06-20","304","308","296.5","300","-1.32 %","4,488.00"
"NYADI","2024-06-19","298.1","307","298.1","304","0.16 %","15,249.00"
"NYADI","2024-06-18","300.6","312","300.6","303.5","-1.04 %","15,301.00"
"NYADI","2024-06-16","301","311","301","306.7","-0.10 %","14,591.00"
"NYADI","2024-06-13","302","316","301","307","-0.32 %","17,399.00"
"NYADI","2024-06-12","311.1","320","303.1","308","-1.91 %","26,266.00"
"NYADI","2024-06-11","297.1","324","297.1","314","3.63 %","49,088.00"
"NYADI","2024-06-10","290","306.3","290","303","3.06 %","29,516.00"
"NYADI","2024-06-09","285","298","284.9","294","3.16 %","15,475.00"
"NYADI","2024-06-06","285.2","290","283.4","285","-2.06 %","8,812.00"
"NYADI","2024-06-05","283.3","294.2","283.3","291","0.83 %","2,911.00"
"NYADI","2024-06-04","290","295.8","288","288.6","-2.04 %","5,073.00"
"NYADI","2024-06-03","300","305","289.4","294.6","-0.14 %","9,385.00"
"NYADI","2024-06-02","284.1","300.5","284.1","295","4.24 %","13,517.00"
"NYADI","2024-05-30","287","292.5","280","283","-2.75 %","10,978.00"
"NYADI","2024-05-29","298.8","298.8","288","291","-0.68 %","3,900.00"
"NYADI","2024-05-27","288","299.5","283","293","1.74 %","3,810.00"
"NYADI","2024-05-26","295","295.8","287","288","-3.68 %","7,203.00"
"NYADI","2024-05-22","300","308","296","299","-0.99 %","12,560.00"
"NYADI","2024-05-21","288.4","306","288.4","302","2.65 %","19,869.00"
"NYADI","2024-05-20","285","302","285","294.2","2.87 %","17,773.00"
"NYADI","2024-05-19","292.8","298.5","281.4","286","-0.38 %","2,888.00"
"NYADI","2024-05-16","285","290.7","280","287.1","0.74 %","3,610.00"
"NYADI","2024-05-15","285.2","290.9","282.6","285","-2.06 %","6,278.00"
"NYADI","2024-05-14","281","295","281","291","2.46 %","7,296.00"
"NYADI","2024-05-13","276","284","276","284","1.07 %","4,436.00"
"NYADI","2024-05-12","282","285.7","279","281","-0.35 %","5,148.00"
"NYADI","2024-05-09","284","289.6","278.4","282","-1.40 %","6,865.00"
"NYADI","2024-05-08","283","289.9","283","286","0.03 %","4,910.00"
