"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"OHL","2024-08-11","1098","1098","1051.1","1061","-2.48 %","36,659.00"
"OHL","2024-08-08","1103","1134","1088","1088","-2.68 %","14,969.00"
"OHL","2024-08-07","1071","1123","1051","1118","4.39 %","37,194.00"
"OHL","2024-08-06","1189","1190","1071","1071","-9.99 %","52,830.00"
"OHL","2024-08-05","1103","1205","1081","1189.9","5.77 %","36,530.00"
"OHL","2024-08-01","1125","1182","1069.2","1125","1.90 %","32,926.00"
"OHL","2024-07-31","985","1104","985","1104","9.96 %","45,003.00"
"OHL","2024-07-30","908.2","1017","908","1004","8.42 %","39,763.00"
"OHL","2024-07-29","940","940","908","926","-0.43 %","50,569.00"
"OHL","2024-07-28","930","949","896","930","0.00 %","23,475.00"
"OHL","2024-07-25","888","946","888","930","2.65 %","16,232.00"
"OHL","2024-07-24","923","949","906","906","-3.59 %","23,139.00"
"OHL","2024-07-23","882.2","945","882.2","939.7","4.41 %","35,334.00"
"OHL","2024-07-22","890.5","944","875","900","-0.88 %","27,324.00"
"OHL","2024-07-21","889","919","865.7","908","2.22 %","30,959.00"
"OHL","2024-07-18","870","900","840","888.3","3.77 %","20,536.00"
"OHL","2024-07-17","827.7","864.9","825","856","5.42 %","24,211.00"
"OHL","2024-07-16","785","825","777.1","812","3.44 %","22,195.00"
"OHL","2024-07-15","795","808","773.4","785","-1.26 %","6,323.00"
"OHL","2024-07-14","813.9","830.1","792.9","795","-0.38 %","11,744.00"
"OHL","2024-07-11","800","810","790.1","798","-0.25 %","9,800.00"
"OHL","2024-07-10","791","800","790","800","1.13 %","13,085.00"
"OHL","2024-07-09","800","800","787.1","791.1","-0.45 %","15,080.00"
"OHL","2024-07-08","810.7","810.7","785.2","794.7","-0.03 %","17,638.00"
"OHL","2024-07-07","780","797.9","771.1","794.9","3.50 %","18,698.00"
"OHL","2024-07-04","778","778","753.1","768","0.26 %","11,676.00"
"OHL","2024-07-03","752","767","752","766","0.13 %","1,663.00"
"OHL","2024-07-02","778.2","793.5","762.2","765","0.26 %","1,911.00"
"OHL","2024-07-01","747","763","747","763","2.10 %","6,527.00"
"OHL","2024-06-30","755","755","747.2","747.3","-0.09 %","4,469.00"
"OHL","2024-06-27","747.6","760","747.6","748","-0.13 %","12,444.00"
"OHL","2024-06-26","752","763","748","749","-1.27 %","4,155.00"
"OHL","2024-06-25","767.8","784","757","758.6","0.61 %","3,545.00"
"OHL","2024-06-24","764","765","750","754","0.65 %","2,491.00"
"OHL","2024-06-23","748.6","767","748.6","749.1","-1.43 %","2,840.00"
"OHL","2024-06-20","760.2","775.2","746","760","0.00 %","10,227.00"
"OHL","2024-06-19","760.5","761","755","760","-0.82 %","1,665.00"
"OHL","2024-06-18","789","790","765","766.3","-1.66 %","3,259.00"
"OHL","2024-06-16","794.5","794.5","763.4","779.2","0.03 %","9,844.00"
"OHL","2024-06-13","780","807.2","775.1","779","0.40 %","21,100.00"
"OHL","2024-06-12","763.1","784.8","763.1","775.9","0.38 %","3,340.00"
"OHL","2024-06-11","777","777","751","773","1.44 %","5,505.00"
"OHL","2024-06-10","766","774.9","760","762","-1.54 %","5,413.00"
"OHL","2024-06-09","756.9","788","756.3","773.9","4.16 %","16,392.00"
"OHL","2024-06-06","745.5","751","740","743","-0.81 %","6,500.00"
"OHL","2024-06-05","754","755","748.3","749.1","-0.65 %","5,482.00"
"OHL","2024-06-04","753","762","752.1","754","-1.18 %","4,675.00"
"OHL","2024-06-03","756","770","750.4","763","1.33 %","6,552.00"
"OHL","2024-06-02","754.8","780","750","753","-2.21 %","11,854.00"
"OHL","2024-05-30","770","795","755","770","-1.53 %","8,066.00"
"OHL","2024-05-29","783","806","774.5","782","1.56 %","19,607.00"
"OHL","2024-05-27","789.9","789.9","770","770","-1.53 %","4,134.00"
"OHL","2024-05-26","769","793","764.2","782","1.69 %","30,315.00"
"OHL","2024-05-22","769","784","755","769","0.39 %","10,721.00"
"OHL","2024-05-21","775","775","755.4","766","0.39 %","3,190.00"
"OHL","2024-05-20","780","787","760","763","-0.26 %","6,454.00"
"OHL","2024-05-19","774","774.1","751","765","0.79 %","4,977.00"
"OHL","2024-05-16","750.5","759","750","759","0.66 %","1,900.00"
"OHL","2024-05-15","783","790.5","754","754","-5.58 %","13,762.00"
"OHL","2024-05-14","767.9","798.6","750.1","798.6","5.80 %","11,866.00"
"OHL","2024-05-13","754.9","762.9","742","754.8","-0.11 %","6,606.00"
"OHL","2024-05-12","779.9","779.9","740.9","755.6","-1.74 %","10,271.00"
"OHL","2024-05-09","708","774","708","769","8.46 %","17,660.00"
"OHL","2024-05-08","706","720","706","709","-0.71 %","2,647.00"
"OHL","2024-05-07","721","725","714.1","714.1","-0.82 %","1,030.00"
"OHL","2024-05-06","721","728","716.1","720","-0.41 %","717.00"
"OHL","2024-05-05","730.2","742","713.5","723","-1.77 %","2,966.00"
"OHL","2024-05-02","725","745","725","736","2.21 %","2,673.00"
"OHL","2024-04-30","704.1","744","704.1","720.1","1.42 %","5,021.00"
"OHL","2024-04-29","707","720","707","710","-0.42 %","679.00"
"OHL","2024-04-28","706","716","705","713","0.99 %","6,504.00"
"OHL","2024-04-25","717","717","704","706","-1.67 %","4,584.00"
"OHL","2024-04-24","720","733","708.4","718","-0.44 %","5,922.00"
"OHL","2024-04-22","730","730","719","721.2","-0.80 %","12,900.00"
"OHL","2024-04-21","716.6","736.9","716","727","0.40 %","3,923.00"
