"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PLIC","2023-05-08","350","352","340","340","-3.87 %","18,155.00"
"PLIC","2023-05-07","352.2","355","347","353.7","-1.56 %","8,720.00"
"PLIC","2023-05-04","358","359.3","351","359.3","-0.75 %","12,067.00"
"PLIC","2023-05-03","360.2","365.8","355","362","-1.01 %","8,435.00"
"PLIC","2023-05-02","366","367","362","365.7","0.47 %","3,493.00"
"PLIC","2023-04-30","367","367","364","364","-2.12 %","4,482.00"
"PLIC","2023-04-27","372.8","372.8","362.3","371.9","1.36 %","3,235.00"
"PLIC","2023-04-26","372.1","381.4","360.1","366.9","-1.90 %","19,093.00"
"PLIC","2023-04-25","374.3","378","373","374","0.54 %","3,992.00"
"PLIC","2023-04-24","362.6","372.9","362.6","372","0.54 %","2,983.00"
"PLIC","2023-04-23","376","376","369.1","370","-1.65 %","10,348.00"
"PLIC","2023-04-20","375","389.9","375","376.2","-1.49 %","4,167.00"
"PLIC","2023-04-19","388","388","375.2","381.9","0.24 %","2,314.00"
"PLIC","2023-04-18","386","387","378.8","381","-1.30 %","3,011.00"
"PLIC","2023-04-17","389","389","378.8","386","0.00 %","6,127.00"
"PLIC","2023-04-16","384","390","381.2","386","-0.75 %","3,927.00"
"PLIC","2023-04-13","385.1","405","385","388.9","-0.26 %","18,756.00"
"PLIC","2023-04-12","375","390","375","389.9","4.84 %","12,348.00"
"PLIC","2023-04-11","363.1","372.3","363.1","371.9","1.89 %","8,813.00"
"PLIC","2023-04-10","375","375","362.2","365","-0.82 %","9,459.00"
"PLIC","2023-04-09","381","381","367","368","-3.41 %","8,651.00"
"PLIC","2023-04-06","392","392","381","381","-1.55 %","12,123.00"
"PLIC","2023-04-05","395","395","381.3","387","-2.03 %","18,138.00"
"PLIC","2023-04-04","395","399","392","395","-0.50 %","6,626.00"
"PLIC","2023-04-03","396","405","394.2","397","-0.75 %","9,003.00"
"PLIC","2023-04-02","403","411","400","400","-0.74 %","7,154.00"
"PLIC","2023-03-30","407","413","403","403","-0.74 %","7,359.00"
"PLIC","2023-03-29","413","413","405.4","406","-1.93 %","7,559.00"
"PLIC","2023-03-28","405","420","405","414","0.51 %","16,042.00"
"PLIC","2023-03-27","393","411.9","392.3","411.9","3.75 %","18,962.00"
"PLIC","2023-03-26","405","405.1","395.5","397","-1.98 %","12,923.00"
"PLIC","2023-03-23","405","410","402","405","-1.22 %","3,426.00"
"PLIC","2023-03-22","407","415.9","403","410","0.49 %","8,444.00"
"PLIC","2023-03-20","407.9","409","401.4","408","1.75 %","3,485.00"
"PLIC","2023-03-19","400","406.9","400","401","-0.07 %","6,760.00"
"PLIC","2023-03-16","400.4","408","400.4","401.3","-1.40 %","7,542.00"
"PLIC","2023-03-15","405.1","411.9","405.1","407","-1.45 %","7,936.00"
"PLIC","2023-03-14","407","418","406","413","1.47 %","14,339.00"
"PLIC","2023-03-13","411","418","406.1","407","-2.63 %","5,879.00"
"PLIC","2023-03-12","423.1","426.2","415","418","-0.95 %","8,119.00"
