"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RULB","2023-07-13","775","835","745","755","-0.64 %","3,395.00"
"RULB","2023-07-12","740","764.9","740","759.9","1.32 %","813.00"
"RULB","2023-07-11","721","754","721","750","2.32 %","1,370.00"
"RULB","2023-07-10","754","769","730","733","-0.95 %","1,645.00"
"RULB","2023-07-09","730","740","726","740","1.37 %","819.00"
"RULB","2023-07-06","721","748.9","711","730","-0.68 %","1,056.00"
"RULB","2023-07-05","732","764.5","717.4","735","-1.34 %","2,120.00"
"RULB","2023-07-04","750","795","728","745","0.00 %","1,770.00"
"RULB","2023-07-03","735","765","735","745","-0.67 %","2,984.00"
"RULB","2023-07-02","785","785","750","750","-5.66 %","4,844.00"
"RULB","2023-06-28","846.6","863","790","795","-4.22 %","7,567.00"
"RULB","2023-06-27","765","839.4","765","830","8.50 %","12,945.00"
"RULB","2023-06-26","742","786","715.4","765","5.08 %","6,689.00"
"RULB","2023-06-25","697.5","728","693","728","2.55 %","3,492.00"
"RULB","2023-06-22","690","711","689","709.9","0.98 %","2,335.00"
"RULB","2023-06-21","699","715","699","703","-1.40 %","1,757.00"
"RULB","2023-06-20","730","742","706.1","713","-3.65 %","4,075.00"
"RULB","2023-06-19","730","746","730","740","-0.54 %","3,062.00"
"RULB","2023-06-18","745","750","716.1","744","0.13 %","4,220.00"
"RULB","2023-06-15","716","743","705","743","1.78 %","3,577.00"
"RULB","2023-06-14","724","752.7","695.8","730","2.82 %","4,114.00"
"RULB","2023-06-13","694","745","677","710","2.90 %","6,170.00"
"RULB","2023-06-12","705","705","680","690","-0.46 %","2,618.00"
"RULB","2023-06-11","667","695.9","667","693.2","2.17 %","4,649.00"
"RULB","2023-06-08","671.3","680","660","678.5","-0.93 %","1,955.00"
"RULB","2023-06-07","680","690","662.2","684.9","1.63 %","1,393.00"
"RULB","2023-06-06","679.6","679.6","657","673.9","0.58 %","1,105.00"
"RULB","2023-06-05","663.5","689","663.5","670","-1.03 %","1,587.00"
"RULB","2023-06-04","670","683","657","677","3.04 %","1,420.00"
"RULB","2023-06-01","650","670","634","657","0.31 %","1,567.00"
"RULB","2023-05-31","641.1","666","641.1","655","0.15 %","1,902.00"
"RULB","2023-05-30","689","689","649","654","-5.01 %","4,545.00"
"RULB","2023-05-28","691","727.9","673","688.5","-1.64 %","3,205.00"
"RULB","2023-05-24","711","721","671","700","0.29 %","4,254.00"
"RULB","2023-05-23","649.1","698","638.2","698","7.40 %","3,678.00"
"RULB","2023-05-22","625","650","625","649.9","2.19 %","1,543.00"
"RULB","2023-05-21","645","653","613","636","-0.63 %","2,328.00"
