"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAMAJ","2024-08-11","2835","2927.3","2835","2905","4.50 %","2,506.00"
"SAMAJ","2024-08-08","2870","2875","2765","2780","-1.38 %","1,193.00"
"SAMAJ","2024-08-07","2650.1","2863","2650","2819","4.41 %","858.00"
"SAMAJ","2024-08-06","2691.1","2725","2691.1","2700","-1.64 %","1,842.00"
"SAMAJ","2024-08-05","2810","2810","2695","2745","-2.31 %","2,363.00"
"SAMAJ","2024-08-01","2825","2880","2808","2810","-2.43 %","1,848.00"
"SAMAJ","2024-07-31","2900.1","2900.1","2804.8","2880","-1.37 %","1,915.00"
"SAMAJ","2024-07-30","2875","2940","2820","2920","1.11 %","1,054.00"
"SAMAJ","2024-07-29","2900","2915","2815","2888","-0.41 %","1,280.00"
"SAMAJ","2024-07-28","3048.9","3108.9","2875.6","2900","-3.01 %","1,053.00"
"SAMAJ","2024-07-25","2883","3060","2870","2990","5.77 %","3,008.00"
"SAMAJ","2024-07-24","2882.3","2900","2826","2827","-1.94 %","1,178.00"
"SAMAJ","2024-07-23","2900","2982","2866.6","2883","0.45 %","1,252.00"
"SAMAJ","2024-07-22","2894","2949.8","2850","2870","-2.71 %","1,431.00"
"SAMAJ","2024-07-21","2945","3000","2891","2950","2.08 %","2,568.00"
"SAMAJ","2024-07-18","3048","3048","2863","2890","-3.54 %","2,980.00"
"SAMAJ","2024-07-17","2983.5","3043","2924.1","2996","2.43 %","1,333.00"
"SAMAJ","2024-07-16","2890","2975","2890","2925","-0.03 %","825.00"
"SAMAJ","2024-07-15","3054.9","3114","2926","2926","-2.30 %","1,276.00"
"SAMAJ","2024-07-14","2990.6","3050","2951","2995","2.15 %","1,858.00"
"SAMAJ","2024-07-11","3073","3073","2850","2932","-4.59 %","4,563.00"
"SAMAJ","2024-07-10","3350","3350","3073","3073","-9.88 %","4,823.00"
"SAMAJ","2024-07-09","3332","3519","3060","3410","0.29 %","7,165.00"
"SAMAJ","2024-07-08","3038","3400","2861","3400","9.68 %","8,836.00"
"SAMAJ","2024-07-07","3019.2","3141","2750.2","3100","4.73 %","5,168.00"
"SAMAJ","2024-07-04","2750","2980","2666","2960","9.23 %","1,807.00"
"SAMAJ","2024-07-03","2725","2980","2630","2710","-2.52 %","2,014.00"
"SAMAJ","2024-07-02","2599","2780","2558","2780","6.96 %","1,621.00"
"SAMAJ","2024-07-01","2600","2600","2500.1","2599","-2.04 %","1,040.00"
"SAMAJ","2024-06-30","2500","2653","2450","2653","4.20 %","2,710.00"
"SAMAJ","2024-06-27","2450","2548","2450","2546","1.84 %","721.00"
"SAMAJ","2024-06-26","2458.5","2585","2410","2500","3.72 %","1,091.00"
"SAMAJ","2024-06-25","2397","2496.9","2397","2410.3","-1.42 %","841.00"
"SAMAJ","2024-06-24","2477","2520","2392","2445","-3.26 %","1,121.00"
"SAMAJ","2024-06-23","2579","2579","2335","2527.5","-0.10 %","1,780.00"
"SAMAJ","2024-06-20","2690","2690","2475","2530","-4.42 %","2,623.00"
"SAMAJ","2024-06-19","2457.1","2649.9","2457.1","2647","9.88 %","2,524.00"
"SAMAJ","2024-06-18","2151","2409","2151","2409","10.00 %","10,537.00"
"SAMAJ","2024-06-16","2263","2264.4","2185.1","2190","-1.35 %","610.00"
"SAMAJ","2024-06-13","2200","2264.9","2176.1","2220","1.98 %","1,340.00"
"SAMAJ","2024-06-12","2200","2222","2176","2177","-0.59 %","2,422.00"
"SAMAJ","2024-06-11","2097","2210","2097","2190","2.38 %","1,725.00"
"SAMAJ","2024-06-10","2140","2223.9","2112","2139","0.00 %","752.00"
"SAMAJ","2024-06-09","2150","2150","2115","2139","-0.51 %","728.00"
"SAMAJ","2024-06-06","2161","2193","2140","2150","1.46 %","1,165.00"
"SAMAJ","2024-06-05","2129.6","2225","2115","2119","-1.90 %","710.00"
"SAMAJ","2024-06-04","2200","2266.9","2160","2160","-0.23 %","745.00"
"SAMAJ","2024-06-03","2040","2222","2000","2165","4.04 %","2,074.00"
"SAMAJ","2024-06-02","2070","2111","2028.6","2081","0.53 %","695.00"
"SAMAJ","2024-05-30","2070","2095.9","2028.6","2070","1.02 %","480.00"
"SAMAJ","2024-05-29","2130","2142","2049","2049","-2.43 %","470.00"
"SAMAJ","2024-05-27","2076","2200","2076","2100","-0.80 %","400.00"
"SAMAJ","2024-05-26","2080","2160","2080","2117","-0.05 %","385.00"
"SAMAJ","2024-05-22","2260","2280","2118","2118","-5.32 %","1,068.00"
"SAMAJ","2024-05-21","2230","2275","2230","2237","0.31 %","785.00"
"SAMAJ","2024-05-20","2346","2392","2220","2230","-3.04 %","1,797.00"
"SAMAJ","2024-05-19","2305","2440","2267","2300","-2.21 %","2,330.00"
"SAMAJ","2024-05-16","2352","2444","2265","2352","-2.00 %","4,745.00"
"SAMAJ","2024-05-15","2344","2488.2","2253.1","2400","4.39 %","2,326.00"
"SAMAJ","2024-05-14","2090","2299","2090","2299","10.00 %","6,828.00"
