"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHEL","2024-08-11","249","268.6","249","268.6","9.99 %","855,766.00"
"SHEL","2024-08-08","239.1","253.3","239.1","244.2","0.12 %","665,554.00"
"SHEL","2024-08-07","230","246","226.4","243.9","5.63 %","562,403.00"
"SHEL","2024-08-06","243","250","223","230.9","-4.98 %","729,549.00"
"SHEL","2024-08-05","240","250","236","243","0.83 %","583,939.00"
"SHEL","2024-08-01","235.5","256","235","241","2.34 %","816,902.00"
"SHEL","2024-07-31","218.9","237.6","218.9","235.5","9.03 %","998,743.00"
"SHEL","2024-07-30","215","217","209.2","216","1.89 %","430,164.00"
"SHEL","2024-07-29","215.2","220.2","211","212","0.47 %","509,808.00"
"SHEL","2024-07-28","212.2","219","208.1","211","1.39 %","404,653.00"
"SHEL","2024-07-25","208.3","214","206.7","208.1","-1.33 %","380,882.00"
"SHEL","2024-07-24","215","219","208.1","210.9","-1.91 %","566,805.00"
"SHEL","2024-07-23","211","219.3","208.1","215","1.90 %","523,872.00"
"SHEL","2024-07-22","200","217.2","196.5","211","4.98 %","537,683.00"
"SHEL","2024-07-21","205","206","197","201","-1.95 %","580,850.00"
"SHEL","2024-07-18","211.5","215.8","203","205","-1.16 %","643,069.00"
"SHEL","2024-07-17","192.3","207.4","192.3","207.4","9.97 %","1,163,724.00"
"SHEL","2024-07-16","172","188.6","172","188.6","9.97 %","823,631.00"
"SHEL","2024-07-15","175","179.5","170","171.5","-0.35 %","368,126.00"
"SHEL","2024-07-14","167.5","174.3","164","172.1","4.62 %","397,557.00"
"SHEL","2024-07-11","161.8","164.9","161","164.5","1.67 %","182,623.00"
"SHEL","2024-07-10","159","162","157.6","161.8","1.95 %","136,857.00"
"SHEL","2024-07-09","155.6","158.7","154.5","158.7","1.99 %","128,057.00"
"SHEL","2024-07-08","160.6","160.6","155","155.6","-1.21 %","69,157.00"
"SHEL","2024-07-07","158.8","158.8","155.6","157.5","0.64 %","86,399.00"
"SHEL","2024-07-04","159.1","159.1","154.5","156.5","0.32 %","108,456.00"
"SHEL","2024-07-03","156","158.1","154.2","156","-0.64 %","61,243.00"
"SHEL","2024-07-02","156","165.3","156","157","2.61 %","93,175.00"
"SHEL","2024-07-01","151.9","155","151.7","153","-0.26 %","62,451.00"
"SHEL","2024-06-30","151.9","158.8","151.5","153.4","-0.90 %","85,826.00"
"SHEL","2024-06-27","156","158.5","154.1","154.8","-1.09 %","68,776.00"
"SHEL","2024-06-26","160","160","156.2","156.5","-0.63 %","44,094.00"
"SHEL","2024-06-25","160","163.7","157.1","157.5","0.00 %","105,993.00"
"SHEL","2024-06-24","156","159","155.3","157.5","0.32 %","84,538.00"
"SHEL","2024-06-23","157.3","160.4","157","157","-1.26 %","84,287.00"
"SHEL","2024-06-20","160","162","158.1","159","-0.63 %","144,529.00"
"SHEL","2024-06-19","163","163","159.3","160","-0.56 %","70,995.00"
"SHEL","2024-06-18","164","164","159.1","160.9","-0.62 %","189,888.00"
"SHEL","2024-06-16","162.2","165.4","161","161.9","-0.18 %","215,226.00"
"SHEL","2024-06-13","165","166.9","162.1","162.2","-1.40 %","214,102.00"
"SHEL","2024-06-12","166","168.9","164","164.5","0.30 %","320,545.00"
"SHEL","2024-06-11","157","165.1","155.5","164","5.94 %","481,657.00"
"SHEL","2024-06-10","157.5","158.1","152","154.8","0.19 %","299,391.00"
"SHEL","2024-06-09","157","158","152","154.5","-0.71 %","146,164.00"
"SHEL","2024-06-06","158.6","158.6","154.5","155.6","0.06 %","64,586.00"
"SHEL","2024-06-05","160","160","155.2","155.5","-1.89 %","66,562.00"
"SHEL","2024-06-04","161.9","161.9","157.2","158.5","-0.19 %","74,204.00"
"SHEL","2024-06-03","161.8","162","157","158.8","0.06 %","83,265.00"
"SHEL","2024-06-02","160.1","161","157","158.7","1.08 %","109,835.00"
"SHEL","2024-05-30","164.2","164.2","156.9","157","-2.48 %","173,129.00"
"SHEL","2024-05-29","166.9","170","159","161","-1.77 %","236,609.00"
"SHEL","2024-05-27","166","168.7","163","163.9","-0.36 %","132,698.00"
"SHEL","2024-05-26","171","171","164","164.5","-3.52 %","268,135.00"
"SHEL","2024-05-22","171","177.7","168.5","170.5","1.49 %","473,896.00"
"SHEL","2024-05-21","157","168","154","168","7.69 %","620,334.00"
"SHEL","2024-05-20","151.9","160","151.9","156","0.65 %","99,015.00"
"SHEL","2024-05-19","155.8","158.6","152","155","1.31 %","130,936.00"
"SHEL","2024-05-16","158.6","158.6","153","153","-1.61 %","48,035.00"
"SHEL","2024-05-15","160","161","153.5","155.5","-0.89 %","222,293.00"
