"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHINE","2024-08-11","540","545","532","536","0.19 %","380,187.00"
"SHINE","2024-08-08","549","550","533","535","-3.25 %","365,149.00"
"SHINE","2024-08-07","503","553","495.1","553","9.94 %","427,959.00"
"SHINE","2024-08-06","537","537","502.1","503","-4.91 %","373,427.00"
"SHINE","2024-08-05","520","532.9","507","529","1.15 %","466,076.00"
"SHINE","2024-08-01","535.1","545.8","519","523","-4.21 %","461,422.00"
"SHINE","2024-07-31","560","562.9","540","546","-1.62 %","546,154.00"
"SHINE","2024-07-30","511","560.8","503","555","8.84 %","498,346.00"
"SHINE","2024-07-29","541.1","541.1","508","509.9","-3.88 %","278,052.00"
"SHINE","2024-07-28","503.8","539","481","530.5","7.39 %","314,620.00"
"SHINE","2024-07-25","499","504","487","494","-0.40 %","300,224.00"
"SHINE","2024-07-24","506.9","516","492","496","-0.20 %","314,094.00"
"SHINE","2024-07-23","482","502.8","478","497","3.20 %","436,308.00"
"SHINE","2024-07-22","487","490.9","472","481.6","-0.70 %","306,352.00"
"SHINE","2024-07-21","475","494.4","467.1","485","2.11 %","431,093.00"
"SHINE","2024-07-18","458","486.3","457","475","4.40 %","585,731.00"
"SHINE","2024-07-17","434","472.2","425","455","5.57 %","369,745.00"
"SHINE","2024-07-16","405.2","431.7","405.2","431","6.39 %","237,614.00"
"SHINE","2024-07-15","418","421.1","405.1","405.1","-2.39 %","169,518.00"
"SHINE","2024-07-14","410","417","407","415","1.97 %","223,727.00"
"SHINE","2024-07-11","412","416.1","405.1","407","-0.25 %","99,745.00"
"SHINE","2024-07-10","418.2","418.2","404.6","408","-0.49 %","87,246.00"
"SHINE","2024-07-09","405","416","403.3","410","1.99 %","190,709.00"
"SHINE","2024-07-08","403","408","397.5","402","0.00 %","89,606.00"
"SHINE","2024-07-07","412","412","400","402","-0.50 %","166,439.00"
"SHINE","2024-07-04","398.3","407","385","404","3.46 %","340,626.00"
"SHINE","2024-07-03","384","394","378.1","390.5","1.45 %","90,472.00"
"SHINE","2024-07-02","385.5","401","380.1","384.9","1.83 %","47,629.00"
"SHINE","2024-07-01","374","379","374","378","1.23 %","33,031.00"
"SHINE","2024-06-30","373.2","378.9","373.2","373.4","-0.69 %","22,320.00"
"SHINE","2024-06-27","380","383","373.4","376","-1.05 %","45,867.00"
"SHINE","2024-06-26","389.8","389.8","378.2","380","-0.78 %","20,465.00"
"SHINE","2024-06-25","385","388","382","383","-0.26 %","32,142.00"
"SHINE","2024-06-24","378","386","378","384","1.19 %","61,285.00"
"SHINE","2024-06-23","378.1","384","378","379.5","-0.16 %","29,608.00"
"SHINE","2024-06-20","389.1","389.1","380","380.1","-0.37 %","35,425.00"
"SHINE","2024-06-19","381","385","380.5","381.5","-0.13 %","14,945.00"
"SHINE","2024-06-18","379.3","387","379.3","382","-1.29 %","30,406.00"
"SHINE","2024-06-16","390","392","384.2","387","-0.51 %","29,925.00"
"SHINE","2024-06-13","385","405","384.2","389","0.52 %","128,580.00"
"SHINE","2024-06-12","393.9","393.9","385.7","387","0.00 %","34,430.00"
"SHINE","2024-06-11","389","391","379.1","387","1.36 %","81,522.00"
"SHINE","2024-06-10","380","385","379.7","381.8","0.47 %","60,509.00"
"SHINE","2024-06-09","384","387","378.6","380","-1.04 %","66,776.00"
"SHINE","2024-06-06","391","391","384","384","-0.26 %","85,460.00"
"SHINE","2024-06-05","387","392","385","385","-0.31 %","61,212.00"
"SHINE","2024-06-04","393","393.9","385","386.2","-0.72 %","38,719.00"
"SHINE","2024-06-03","398","398","388.5","389","-0.33 %","34,976.00"
"SHINE","2024-06-02","394.4","397","388","390.3","0.59 %","48,278.00"
"SHINE","2024-05-30","401","401","387","388","-1.77 %","92,489.00"
"SHINE","2024-05-29","405.9","407","391","395","-0.75 %","161,778.00"
"SHINE","2024-05-27","399","402","391.2","398","1.38 %","92,363.00"
"SHINE","2024-05-26","399.8","405.9","392.6","392.6","-1.85 %","73,064.00"
