"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHL","2024-08-11","575","600.7","568","594","2.77 %","271,619.00"
"SHL","2024-08-08","599.7","611.6","565","578","-1.70 %","371,098.00"
"SHL","2024-08-07","555","594","550","588","5.95 %","286,409.00"
"SHL","2024-08-06","613","617","555","555","-7.65 %","511,497.00"
"SHL","2024-08-05","564","603.9","549","601","8.52 %","505,999.00"
"SHL","2024-08-01","570","570","545.1","553.8","-1.30 %","369,102.00"
"SHL","2024-07-31","570","580","548.8","561.1","0.38 %","324,978.00"
"SHL","2024-07-30","512","561","511","559","7.71 %","663,561.00"
"SHL","2024-07-29","528.9","528.9","506.1","519","0.08 %","294,150.00"
"SHL","2024-07-28","520","530","504.1","518.6","0.21 %","270,720.00"
"SHL","2024-07-25","512","532.4","510","517.5","0.10 %","264,891.00"
"SHL","2024-07-24","524","528","497.9","517","-1.34 %","405,858.00"
"SHL","2024-07-23","520","528.9","508.7","524","1.65 %","223,141.00"
"SHL","2024-07-22","517","527.3","500.8","515.5","0.68 %","361,548.00"
"SHL","2024-07-21","481.1","522","475.1","512","7.29 %","678,574.00"
"SHL","2024-07-18","482","491","471.4","477.2","-1.00 %","205,712.00"
"SHL","2024-07-17","464.9","489","455","482","5.70 %","341,883.00"
"SHL","2024-07-16","442.1","458.5","440","456","3.17 %","118,323.00"
"SHL","2024-07-15","453","455","439.9","442","-2.00 %","56,867.00"
"SHL","2024-07-14","454.9","462","445","451","1.12 %","69,731.00"
"SHL","2024-07-11","442","450.1","432.2","446","1.09 %","83,393.00"
"SHL","2024-07-10","448","448","431.5","441.2","0.27 %","53,167.00"
"SHL","2024-07-09","440","441.8","438","440","-0.45 %","53,976.00"
"SHL","2024-07-08","444.6","448.4","440.4","442","-0.45 %","58,504.00"
"SHL","2024-07-07","436","446.8","430.1","444","3.26 %","164,987.00"
"SHL","2024-07-04","430","432","422.2","430","0.70 %","75,919.00"
"SHL","2024-07-03","424.5","428.8","417","427","0.02 %","33,526.00"
"SHL","2024-07-02","430.6","447","424.1","426.9","1.11 %","39,729.00"
"SHL","2024-07-01","422","425","420","422.2","0.48 %","20,589.00"
"SHL","2024-06-30","422.7","423.5","420.2","420.2","-0.43 %","35,905.00"
"SHL","2024-06-27","424.9","430.7","421.5","422","-0.82 %","28,010.00"
"SHL","2024-06-26","422","429.9","419","425.5","0.24 %","41,149.00"
"SHL","2024-06-25","422","428","417","424.5","0.83 %","36,994.00"
"SHL","2024-06-24","422","427","416.5","421","0.00 %","46,367.00"
"SHL","2024-06-23","425.4","429.9","420.2","421","-0.99 %","56,865.00"
"SHL","2024-06-20","434.5","434.5","425","425.2","-1.12 %","53,911.00"
"SHL","2024-06-19","430","432.5","428","430","-0.46 %","56,948.00"
"SHL","2024-06-18","432.5","436.1","432","432","-0.35 %","25,296.00"
"SHL","2024-06-16","437","441","433.5","433.5","-0.57 %","32,087.00"
"SHL","2024-06-13","442","443","429.4","436","-0.11 %","75,446.00"
"SHL","2024-06-12","440","445.1","430","436.5","-0.34 %","84,800.00"
"SHL","2024-06-11","440","440","426.5","438","0.69 %","45,261.00"
"SHL","2024-06-10","435.5","441","426.8","435","-1.11 %","76,850.00"
"SHL","2024-06-09","436","445","431.5","439.9","1.43 %","71,795.00"
"SHL","2024-06-06","431","439.9","426.6","433.7","0.39 %","35,450.00"
"SHL","2024-06-05","433","438.9","424.4","432","-0.46 %","38,975.00"
"SHL","2024-06-04","444.7","444.7","426.3","434","-0.46 %","62,805.00"
"SHL","2024-06-03","439","443","430","436","-0.46 %","33,916.00"
"SHL","2024-06-02","437.8","444.9","428.5","438","0.05 %","42,346.00"
"SHL","2024-05-30","454","454","433.2","437.8","-1.84 %","122,032.00"
"SHL","2024-05-29","458","459","441","446","-0.89 %","95,456.00"
"SHL","2024-05-27","459","460","445.2","450","-1.34 %","78,300.00"
"SHL","2024-05-26","452","460","445","456.1","1.69 %","219,886.00"
"SHL","2024-05-22","444","455","442","448.5","1.01 %","112,870.00"
"SHL","2024-05-21","448.9","449","434.7","444","0.00 %","55,493.00"
"SHL","2024-05-20","449.6","451.4","435","444","0.23 %","74,041.00"
"SHL","2024-05-19","440","449","437.1","443","1.40 %","74,909.00"
"SHL","2024-05-16","451","451","430","436.9","-1.62 %","126,187.00"
"SHL","2024-05-15","452.6","452.7","436.1","444.1","0.02 %","53,023.00"
"SHL","2024-05-14","450","452.5","436.6","444","0.07 %","53,596.00"
"SHL","2024-05-13","448.8","448.8","439.9","443.7","-0.07 %","86,024.00"
"SHL","2024-05-12","470.2","470.2","436.1","444","-3.69 %","146,954.00"
"SHL","2024-05-09","437.7","464.5","434","461","7.41 %","318,419.00"
"SHL","2024-05-08","430.5","432","427.1","429.2","-0.19 %","20,196.00"
"SHL","2024-05-07","433","439","428.2","430","-0.44 %","14,148.00"
"SHL","2024-05-06","432","434.4","427.2","431.9","-0.02 %","23,446.00"
"SHL","2024-05-05","440","440","427","432","-1.82 %","32,470.00"
"SHL","2024-05-02","441","445","433.4","440","-0.90 %","58,405.00"
"SHL","2024-04-30","429","455","420.5","444","3.50 %","52,235.00"
"SHL","2024-04-29","430","432","422","429","-0.67 %","19,815.00"
"SHL","2024-04-28","435","435","423.4","431.9","0.21 %","18,704.00"
"SHL","2024-04-25","429","431","420","431","0.47 %","26,248.00"
"SHL","2024-04-24","435","435","428.3","429","-0.23 %","29,267.00"
"SHL","2024-04-22","435","437","429.1","430","0.00 %","19,450.00"
"SHL","2024-04-21","426.3","435.9","417.8","430","0.00 %","25,730.00"
"SHL","2024-04-18","431.4","433","421.7","430","-0.39 %","23,161.00"
"SHL","2024-04-16","440","440","424.4","431.7","-1.12 %","44,301.00"
"SHL","2024-04-15","431.7","440.3","431.7","436.6","-0.77 %","12,806.00"
"SHL","2024-04-14","441","443","432.2","440","0.23 %","34,260.00"
"SHL","2024-04-10","437.1","444.9","437.1","439","-1.57 %","45,231.00"
"SHL","2024-04-09","449","449","434.7","446","-0.67 %","44,526.00"
"SHL","2024-04-07","438","450.7","438","449","2.56 %","48,693.00"
"SHL","2024-04-04","437.5","441","437","437.8","-0.27 %","31,434.00"
"SHL","2024-04-03","436.4","439.5","428.8","439","0.92 %","29,508.00"
"SHL","2024-04-02","439.9","439.9","433","435","0.23 %","46,085.00"
"SHL","2024-04-01","434","436.5","432.7","434","0.23 %","28,707.00"
"SHL","2024-03-31","436.2","440","427","433","-1.14 %","34,904.00"
"SHL","2024-03-28","438","441.9","426","438","0.00 %","49,955.00"
"SHL","2024-03-27","442","446.5","436.1","438","-0.90 %","22,753.00"
"SHL","2024-03-26","437.1","447.7","434.3","442","0.68 %","44,432.00"
"SHL","2024-03-25","444.5","445","427.4","439","-0.90 %","31,276.00"
"SHL","2024-03-21","444.1","452","440","443","-0.78 %","31,457.00"
"SHL","2024-03-20","450.1","454","441","446.5","-1.41 %","16,285.00"
"SHL","2024-03-19","451","458.9","442","452.9","0.42 %","31,571.00"
"SHL","2024-03-18","448","453.9","447","451","0.87 %","52,648.00"
"SHL","2024-03-17","453.1","457.9","441","447.1","-1.95 %","46,668.00"
"SHL","2024-03-14","464","464","452.1","456","-1.49 %","45,249.00"
"SHL","2024-03-13","470","470","452.8","462.9","-0.43 %","128,683.00"
"SHL","2024-03-12","452.8","469","437.1","464.9","4.71 %","135,840.00"
"SHL","2024-03-10","437.2","453.4","427.6","444","1.60 %","41,254.00"
"SHL","2024-03-07","435","450","435","437","-1.13 %","31,188.00"
"SHL","2024-03-06","430.1","450","428","442","0.91 %","75,278.00"
"SHL","2024-03-05","460","460","438","438","-4.16 %","37,220.00"
"SHL","2024-03-04","440.6","457","440.6","457","5.79 %","2,635.00"
"SHL","2024-03-03","428.5","435","426.1","432","0.82 %","36,893.00"
"SHL","2024-02-29","440","441","428.3","428.5","-2.61 %","33,334.00"
"SHL","2024-02-28","435","443","433.2","440","0.66 %","21,604.00"
"SHL","2024-02-27","440","445","435.2","437.1","-1.02 %","17,987.00"
"SHL","2024-02-26","433.1","443","432","441.6","1.99 %","20,224.00"
"SHL","2024-02-25","433","445","432","433","-1.59 %","32,429.00"
"SHL","2024-02-22","453.6","453.6","436","440","-1.57 %","41,416.00"
"SHL","2024-02-21","456.5","456.5","439.5","447","-0.56 %","35,901.00"
"SHL","2024-02-20","452","454.8","448","449.5","-0.07 %","34,012.00"
"SHL","2024-02-18","461","461","440.9","449.8","-0.51 %","33,837.00"
"SHL","2024-02-15","454.1","458","446","452.1","-0.22 %","64,029.00"
"SHL","2024-02-14","454","459","444","453.1","-0.20 %","52,903.00"
"SHL","2024-02-13","456","461","447.2","454","-2.30 %","67,454.00"
"SHL","2024-02-12","462","466.5","459.3","464.7","-0.06 %","37,991.00"
"SHL","2024-02-11","479.6","479.6","461.5","465","-1.11 %","71,112.00"
"SHL","2024-02-08","470","473","464","470.2","0.47 %","79,676.00"
"SHL","2024-02-07","462","473","460","468","1.69 %","110,431.00"
"SHL","2024-02-06","464.6","464.6","456.1","460.2","0.70 %","23,978.00"
"SHL","2024-02-05","458","465","449.9","457","0.02 %","61,194.00"
"SHL","2024-02-04","446.3","460","440","456.9","0.62 %","35,190.00"
"SHL","2024-02-01","460","460","452.4","454.1","0.02 %","60,780.00"
"SHL","2024-01-31","463.1","468","451.2","454","-1.56 %","94,199.00"
"SHL","2024-01-30","464","465","460","461.2","-0.19 %","73,253.00"
"SHL","2024-01-29","468","470","459.6","462.1","0.57 %","58,265.00"
"SHL","2024-01-28","460","469","451","459.5","-0.33 %","66,350.00"
"SHL","2024-01-25","468","472","455.7","461","-1.35 %","62,533.00"
"SHL","2024-01-24","483","483","463.3","467.3","-1.41 %","170,197.00"
"SHL","2024-01-23","465","475","460","474","2.82 %","124,374.00"
"SHL","2024-01-22","460.1","475","455.8","461","-0.52 %","97,443.00"
"SHL","2024-01-21","469","478","461","463.4","-1.19 %","144,246.00"
"SHL","2024-01-18","475","480","463","469","-1.86 %","150,927.00"
"SHL","2024-01-17","490","494","470","477.9","-1.48 %","207,694.00"
"SHL","2024-01-16","483","492","476.3","485.1","1.49 %","160,856.00"
"SHL","2024-01-14","483","488.4","473","478","0.08 %","88,633.00"
