"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBBL","2024-08-11","907","948","907","933","4.83 %","59,489.00"
"SLBBL","2024-08-08","901","915","885","890","-2.51 %","17,165.00"
"SLBBL","2024-08-07","880","912.9","863","912.9","4.93 %","28,380.00"
"SLBBL","2024-08-06","910","920","868","870","-3.87 %","17,148.00"
"SLBBL","2024-08-05","914.2","914.2","890","905","-1.00 %","19,714.00"
"SLBBL","2024-08-01","931","941.9","914","914.1","0.12 %","30,936.00"
"SLBBL","2024-07-31","917","931","912","913","1.44 %","42,193.00"
"SLBBL","2024-07-30","906.9","933.2","880","900","1.12 %","33,181.00"
"SLBBL","2024-07-29","934","934","885","890","-3.58 %","34,356.00"
"SLBBL","2024-07-28","935","965","900.6","923","-1.28 %","40,476.00"
"SLBBL","2024-07-25","899","945","890.5","935","5.53 %","55,819.00"
"SLBBL","2024-07-24","918","918","877.7","886","-3.49 %","28,628.00"
"SLBBL","2024-07-23","887","920","887","918","1.94 %","26,216.00"
"SLBBL","2024-07-22","918","918","880","900.5","-0.06 %","9,999.00"
"SLBBL","2024-07-21","893","911.9","876","901","0.90 %","25,618.00"
"SLBBL","2024-07-18","888","907","874","893","1.94 %","38,356.00"
"SLBBL","2024-07-17","870","876","855","876","1.93 %","25,536.00"
"SLBBL","2024-07-16","867","867","843","859.4","0.99 %","6,137.00"
"SLBBL","2024-07-15","879","879","845","851","-1.29 %","12,315.00"
"SLBBL","2024-07-14","876.1","909","860","862.1","0.36 %","18,868.00"
"SLBBL","2024-07-11","876","877","849","859","-0.14 %","16,226.00"
"SLBBL","2024-07-10","865","884","850","860.2","0.37 %","20,832.00"
"SLBBL","2024-07-09","840","865","830.1","857","2.88 %","33,142.00"
"SLBBL","2024-07-08","831","833.9","821","833","1.83 %","15,340.00"
"SLBBL","2024-07-07","810","826","805","818","1.24 %","20,699.00"
"SLBBL","2024-07-04","811","815","800","808","0.75 %","6,891.00"
"SLBBL","2024-07-03","810","810","798","802","-0.88 %","9,871.00"
"SLBBL","2024-07-02","813.9","846","800","809.1","1.39 %","3,231.00"
"SLBBL","2024-07-01","775.1","800","775.1","798","1.76 %","5,865.00"
"SLBBL","2024-06-30","795.2","809","784","784.2","-2.46 %","10,656.00"
"SLBBL","2024-06-27","821","822","799","804","-1.03 %","10,778.00"
"SLBBL","2024-06-26","811","829.9","811","812.4","0.30 %","8,269.00"
"SLBBL","2024-06-25","820","824.8","810","810","-0.86 %","7,764.00"
"SLBBL","2024-06-24","820","826.9","813.2","817","1.49 %","13,809.00"
"SLBBL","2024-06-23","810","815","802.3","805","-0.49 %","9,048.00"
