"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBSL","2024-08-11","1273.8","1294.9","1270","1282","2.64 %","2,276.00"
"SLBSL","2024-08-08","1250","1289","1238","1249","0.97 %","3,384.00"
"SLBSL","2024-08-07","1213","1285","1213","1237","0.08 %","2,405.00"
"SLBSL","2024-08-06","1256","1299","1236","1236","-3.29 %","4,823.00"
"SLBSL","2024-08-05","1344","1344","1260","1278","-4.91 %","5,965.00"
"SLBSL","2024-08-01","1351","1365","1323.2","1344","-1.89 %","4,479.00"
"SLBSL","2024-07-31","1375","1380","1345.3","1369.9","-0.01 %","5,384.00"
"SLBSL","2024-07-30","1355","1382","1347.5","1370","-0.36 %","4,884.00"
"SLBSL","2024-07-29","1382","1399","1360.1","1374.9","-2.49 %","5,354.00"
"SLBSL","2024-07-28","1420","1448","1388.1","1410","-0.91 %","2,499.00"
"SLBSL","2024-07-25","1402.5","1423","1381","1422.9","3.48 %","8,756.00"
"SLBSL","2024-07-24","1379","1425","1370","1375","-2.27 %","4,941.00"
"SLBSL","2024-07-23","1430","1434","1392","1407","-0.21 %","4,912.00"
"SLBSL","2024-07-22","1406","1421","1384","1410","0.28 %","8,533.00"
"SLBSL","2024-07-21","1400","1417.9","1372","1406","0.86 %","8,383.00"
"SLBSL","2024-07-18","1392.3","1448","1386.7","1394","2.12 %","5,558.00"
"SLBSL","2024-07-17","1330","1370","1304","1365","4.68 %","9,791.00"
"SLBSL","2024-07-16","1270.1","1304","1266.1","1304","1.40 %","3,189.00"
"SLBSL","2024-07-15","1295","1296","1270","1286","-1.46 %","1,444.00"
"SLBSL","2024-07-14","1326.2","1326.2","1290.1","1305","0.37 %","4,730.00"
"SLBSL","2024-07-11","1309","1310","1292.1","1300.2","-0.67 %","3,270.00"
"SLBSL","2024-07-10","1280","1331","1275.1","1309","2.83 %","10,593.00"
"SLBSL","2024-07-09","1227.3","1275","1227.3","1273","4.43 %","5,138.00"
"SLBSL","2024-07-08","1192","1219","1192","1219","0.58 %","2,011.00"
"SLBSL","2024-07-07","1187","1234.9","1187","1212","0.41 %","2,524.00"
"SLBSL","2024-07-04","1224","1248","1181","1207","-1.39 %","1,866.00"
"SLBSL","2024-07-03","1214.3","1224","1159","1224","-0.39 %","2,664.00"
"SLBSL","2024-07-02","1254.5","1304","1215","1228.8","-0.10 %","1,830.00"
"SLBSL","2024-07-01","1200.6","1230","1200.5","1230","0.41 %","2,073.00"
"SLBSL","2024-06-30","1220","1225","1201.5","1225","-1.19 %","668.00"
"SLBSL","2024-06-27","1225","1265","1225","1239.8","-0.42 %","2,216.00"
"SLBSL","2024-06-26","1229","1275","1229","1245","-0.72 %","3,731.00"
"SLBSL","2024-06-25","1253","1265","1212.2","1254","2.03 %","6,635.00"
"SLBSL","2024-06-24","1220","1318","1215","1229","-1.13 %","3,979.00"
"SLBSL","2024-06-23","1239","1263.6","1220","1243","-1.66 %","4,179.00"
"SLBSL","2024-06-20","1186","1300","1186","1264","4.45 %","7,214.00"
"SLBSL","2024-06-19","1175.1","1224","1175.1","1210.1","1.95 %","5,706.00"
"SLBSL","2024-06-18","1180","1194","1180","1187","-0.42 %","1,398.00"
"SLBSL","2024-06-16","1190","1228","1182.1","1192","-1.49 %","5,358.00"
"SLBSL","2024-06-13","1210","1230","1187.1","1210","1.00 %","8,261.00"
"SLBSL","2024-06-12","1200","1219","1185.1","1198","-0.17 %","3,742.00"
"SLBSL","2024-06-11","1157","1223","1157","1200","1.78 %","2,050.00"
"SLBSL","2024-06-10","1138","1228","1136.7","1179","1.66 %","1,965.00"
"SLBSL","2024-06-09","1180","1180","1137.2","1159.8","-2.13 %","3,932.00"
"SLBSL","2024-06-06","1185.1","1232","1167","1185","-1.99 %","5,542.00"
"SLBSL","2024-06-05","1230","1230","1190","1209","-1.78 %","3,109.00"
"SLBSL","2024-06-04","1223","1263.9","1179","1230.9","0.65 %","4,760.00"
"SLBSL","2024-06-03","1195","1252.4","1177","1223","2.51 %","6,358.00"
"SLBSL","2024-06-02","1135","1203.6","1135","1193","6.91 %","5,314.00"
"SLBSL","2024-05-30","1155.2","1170","1099.9","1115.9","-5.03 %","4,135.00"
"SLBSL","2024-05-29","1249","1250","1175","1175","-4.37 %","2,618.00"
"SLBSL","2024-05-27","1224.1","1245","1152.6","1228.7","-1.55 %","7,047.00"
"SLBSL","2024-05-26","1319.8","1423.4","1200.1","1248","-3.55 %","14,833.00"
"SLBSL","2024-05-22","1199.9","1294","1199.9","1294","10.00 %","4,393.00"
"SLBSL","2024-05-21","1090.8","1176.4","1090.8","1176.4","10.00 %","423.00"
"SLBSL","2024-05-20","972","1069.5","972","1069.5","10.00 %","501.00"
"SLBSL","2024-05-19","901.6","972.3","901.6","972.3","9.99 %","722.00"
"SLBSL","2024-03-06","760.2","804","760.2","804","3.74 %","1,103.00"
"SLBSL","2024-03-05","782","797.6","775","775","-0.04 %","135.00"
"SLBSL","2024-03-03","760","785.4","760","775.3","0.69 %","891.00"
"SLBSL","2024-02-29","778.2","832.3","770","770","0.92 %","2,090.00"
"SLBSL","2024-02-28","780","806","721","763","-3.47 %","1,915.00"
"SLBSL","2024-02-27","822","822","774","790.4","-1.92 %","1,424.00"
"SLBSL","2024-02-26","775.7","805.9","760.6","805.9","1.82 %","329.00"
"SLBSL","2024-02-25","775.2","791.5","760","791.5","0.15 %","710.00"
"SLBSL","2024-02-22","836.4","836.4","778","790.3","-3.62 %","3,468.00"
"SLBSL","2024-02-21","855.6","855.6","755.1","820","-2.25 %","770.00"
"SLBSL","2024-02-20","844.5","844.5","782","838.9","1.32 %","1,164.00"
