"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLCF","2024-08-11","9.07","9.3","8.9","9.3","0.54 %","55,070.00"
"SLCF","2024-08-08","9.12","9.34","9.12","9.25","-0.43 %","30,289.00"
"SLCF","2024-08-07","8.82","9.3","8.82","9.29","3.22 %","71,219.00"
"SLCF","2024-08-06","9","9.37","9","9","-1.85 %","103,320.00"
"SLCF","2024-08-05","9.17","9.36","8.83","9.17","-1.93 %","79,190.00"
"SLCF","2024-08-01","9.3","9.48","9.12","9.35","1.52 %","103,495.00"
"SLCF","2024-07-31","9.1","9.25","9.01","9.21","1.21 %","82,070.00"
"SLCF","2024-07-30","9.2","9.2","9.03","9.1","-0.98 %","18,610.00"
"SLCF","2024-07-29","9.18","9.38","9.01","9.19","0.11 %","83,699.00"
"SLCF","2024-07-28","9.13","9.18","8.89","9.18","2.46 %","13,017.00"
"SLCF","2024-07-25","8.7","9.03","8.7","8.96","2.75 %","74,430.00"
"SLCF","2024-07-24","8.83","9","8.66","8.72","-3.11 %","91,700.00"
"SLCF","2024-07-23","8.83","9.07","8.52","9","0.00 %","41,590.00"
"SLCF","2024-07-22","8.82","9","8.68","9","2.16 %","27,085.00"
"SLCF","2024-07-21","8.73","9","8.66","8.81","0.11 %","39,810.00"
"SLCF","2024-07-18","8.7","8.97","8.3","8.8","0.92 %","58,950.00"
"SLCF","2024-07-17","8.51","8.72","8.39","8.72","0.46 %","5,700.00"
"SLCF","2024-07-16","9.13","9.28","8.68","8.68","-6.57 %","2,900.00"
"SLCF","2024-07-15","8.73","9.29","8.33","9.29","8.40 %","24,360.00"
"SLCF","2024-07-14","8.2","8.57","8.2","8.57","4.13 %","29,699.00"
"SLCF","2024-07-11","8","8.26","8","8.23","1.11 %","23,900.00"
"SLCF","2024-07-10","8.17","8.17","8.14","8.14","-0.12 %","4,901.00"
"SLCF","2024-07-09","8.15","8.15","8.15","8.15","1.49 %","2,200.00"
"SLCF","2024-07-08","7.84","8.26","7.84","8.03","0.37 %","8,720.00"
"SLCF","2024-07-07","7.9","8","7.9","8","-0.74 %","11,500.00"
"SLCF","2024-07-04","8.06","8.26","8.06","8.06","1.90 %","8,200.00"
"SLCF","2024-07-03","7.86","7.91","7.86","7.91","-1.00 %","4,200.00"
"SLCF","2024-07-02","7.97","7.99","7.97","7.99","-1.36 %","1,300.00"
"SLCF","2024-07-01","7.97","8.1","7.97","8.1","1.50 %","2,900.00"
"SLCF","2024-06-30","7.92","8.07","7.92","7.98","-1.24 %","4,400.00"
"SLCF","2024-06-27","7.93","8.08","7.93","8.08","1.89 %","2,700.00"
"SLCF","2024-06-26","7.87","7.93","7.86","7.93","-0.88 %","2,900.00"
"SLCF","2024-06-25","7.92","8.07","7.92","8","-0.99 %","13,600.00"
"SLCF","2024-06-24","7.95","8.08","7.93","8.08","1.00 %","1,850.00"
"SLCF","2024-06-23","7.9","8","7.9","8","-0.37 %","14,750.00"
"SLCF","2024-06-20","8","8.03","8","8.03","-0.37 %","1,600.00"
"SLCF","2024-06-19","8.06","8.06","8","8.06","-0.62 %","1,670.00"
"SLCF","2024-06-18","8.06","8.11","8.06","8.11","0.00 %","3,120.00"
"SLCF","2024-06-16","8.1","8.11","8.1","8.11","0.50 %","2,800.00"
"SLCF","2024-06-13","7.95","8.16","7.95","8.07","0.50 %","4,695.00"
