"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLK","2024-08-07","11.86","11.86","11.86","11.86","0.00 %","0.00"
"SLK","2024-07-31","12.07","12.07","12.07","12.07","0.00 %","0.00"
"SLK","2024-07-16","10.26","10.26","10.26","10.26","0.00 %","0.00"
"SLK","2024-07-01","10.02","10.02","10.02","10.02","0.00 %","0.00"
"SLK","2024-06-24","10.29","10.29","10.29","10.29","0.00 %","0.00"
"SLK","2024-06-10","10.12","10.12","10.12","10.12","0.00 %","0.00"
"SLK","2024-06-03","10.2","10.2","10.2","10.2","0.00 %","0.00"
"SLK","2024-05-20","9.98","9.98","9.98","9.98","0.00 %","0.00"
"SLK","2024-05-16","9.82","9.82","9.82","9.82","0.00 %","0.00"
"SLK","2024-04-30","9.81","9.81","9.81","9.81","0.00 %","0.00"
"SLK","2024-04-25","10","10","10","10","0.00 %","0.00"
"SLK","2024-04-22","10","10","10","10","0.00 %","0.00"
"SLK","2024-04-01","10.08","10.08","10.08","10.08","0.00 %","0.00"
"SLK","2024-03-18","10.14","10.14","10.14","10.14","0.00 %","0.00"
"SLK","2024-03-10","9.72","9.72","9.72","9.72","0.00 %","0.00"
"SLK","2024-01-24","10.49","10.49","10.49","10.49","0.00 %","0.00"
"SLK","2023-12-28","10.2","10.2","10.2","10.2","0.00 %","0.00"
"SLK","2023-12-18","9.96","9.96","9.96","9.96","0.00 %","0.00"
"SLK","2023-12-11","9.5","9.5","9.5","9.5","0.00 %","0.00"
"SLK","2023-12-10","9.47","9.47","9.47","9.47","0.00 %","0.00"
"SLK","2023-11-02","9.63","9.63","9.63","9.63","0.00 %","0.00"
"SLK","2023-10-31","9.8","9.8","9.8","9.8","0.00 %","0.00"
"SLK","2023-10-09","9.8","9.8","9.8","9.8","0.00 %","0.00"
"SLK","2023-09-25","9.98","9.98","9.98","9.98","0.00 %","0.00"
"SLK","2023-09-18","9.81","9.81","9.81","9.81","0.00 %","0.00"
"SLK","2023-09-13","9.55","9.55","9.55","9.55","0.00 %","0.00"
"SLK","2023-09-07","9.75","9.75","9.75","9.75","0.00 %","0.00"
"SLK","2023-08-30","9.82","9.82","9.82","9.82","0.00 %","0.00"
"SLK","2023-08-22","9.89","9.89","9.89","9.89","0.00 %","0.00"
"SLK","2023-08-20","9.98","9.98","9.98","9.98","0.00 %","0.00"
"SLK","2023-08-09","9.96","9.96","9.96","9.96","0.00 %","0.00"
"SLK","2023-07-31","10.12","10.12","10.12","10.12","0.00 %","0.00"
"SLK","2023-07-25","10.3","10.3","10.3","10.3","0.00 %","0.00"
"SLK","2023-07-18","10.03","10.03","10.03","10.03","0.00 %","0.00"
