"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMFBS","2024-08-11","1521","1614","1501","1527","2.35 %","3,386.00"
"SMFBS","2024-08-08","1471","1620","1471","1492","-0.53 %","1,976.00"
"SMFBS","2024-08-07","1492","1540","1489","1500","2.38 %","1,209.00"
"SMFBS","2024-08-06","1559","1559","1461","1465.2","-4.30 %","1,849.00"
"SMFBS","2024-08-05","1560","1650","1504.3","1531","0.07 %","2,101.00"
"SMFBS","2024-08-01","1550.4","1644","1525","1529.9","0.65 %","2,839.00"
"SMFBS","2024-07-31","1590","1650","1519","1520","-2.50 %","3,382.00"
"SMFBS","2024-07-30","1560","1565.7","1506.1","1559","-0.19 %","3,450.00"
"SMFBS","2024-07-29","1610","1773","1545","1562","-4.76 %","2,482.00"
"SMFBS","2024-07-28","1718","1780","1630","1640","-2.66 %","1,350.00"
"SMFBS","2024-07-25","1633","1761","1611","1684.9","5.23 %","6,354.00"
"SMFBS","2024-07-24","1700.3","1720","1590.1","1601.1","-5.15 %","1,300.00"
"SMFBS","2024-07-23","1665","1696","1619","1688","-0.64 %","2,585.00"
"SMFBS","2024-07-22","1698","1700","1630.9","1698.9","0.05 %","917.00"
"SMFBS","2024-07-21","1693.2","1761.5","1635","1698","2.29 %","2,224.00"
"SMFBS","2024-07-18","1575.1","1765","1575","1660","3.43 %","3,115.00"
"SMFBS","2024-07-17","1721","1721","1594.3","1605","-4.97 %","1,141.00"
"SMFBS","2024-07-16","1599","1729","1599","1689","5.63 %","1,225.00"
"SMFBS","2024-07-15","1617","1617","1554","1599","0.86 %","1,167.00"
"SMFBS","2024-07-14","1613","1712.2","1548.1","1585.3","0.21 %","1,030.00"
"SMFBS","2024-07-11","1518","1637.9","1510.9","1582","6.25 %","5,341.00"
"SMFBS","2024-07-10","1480","1530","1470","1489","1.99 %","6,394.00"
"SMFBS","2024-07-09","1403","1489","1403","1460","6.02 %","729.00"
"SMFBS","2024-07-08","1460","1480","1377.1","1377.1","-3.90 %","890.00"
"SMFBS","2024-07-07","1470","1499","1385","1433","-1.10 %","6,878.00"
"SMFBS","2024-07-04","1426","1452","1372","1449","3.57 %","956.00"
"SMFBS","2024-07-03","1469","1469","1382.8","1399","-3.32 %","1,552.00"
"SMFBS","2024-07-02","1453.6","1479","1425","1447","1.54 %","344.00"
"SMFBS","2024-07-01","1454.4","1468","1412","1425.1","-3.97 %","2,940.00"
"SMFBS","2024-06-30","1539","1539","1431","1484","-1.66 %","1,515.00"
"SMFBS","2024-06-27","1525","1553","1480","1509","-0.98 %","1,998.00"
"SMFBS","2024-06-26","1450","1560","1450","1524","5.10 %","4,705.00"
"SMFBS","2024-06-25","1407.3","1460","1407.3","1450","1.40 %","3,747.00"
"SMFBS","2024-06-24","1377","1449","1323","1430","5.93 %","1,563.00"
"SMFBS","2024-06-23","1358","1425","1350","1350","1.35 %","300.00"
"SMFBS","2024-06-20","1426","1426","1332","1332","-4.79 %","1,797.00"
"SMFBS","2024-06-19","1399","1399","1365","1399","0.65 %","477.00"
"SMFBS","2024-06-18","1417","1417","1363","1390","0.00 %","430.00"
"SMFBS","2024-06-16","1386","1390","1362","1390","-1.42 %","714.00"
"SMFBS","2024-06-13","1466","1466","1386","1410","-2.02 %","1,388.00"
"SMFBS","2024-06-12","1446","1474","1400","1439","1.48 %","812.00"
"SMFBS","2024-06-11","1399","1429","1399","1418","1.36 %","769.00"
"SMFBS","2024-06-10","1380","1400","1359","1399","1.08 %","1,403.00"
"SMFBS","2024-06-09","1429","1457","1377.2","1384","-1.21 %","469.00"
"SMFBS","2024-06-06","1440","1465","1401","1401","-4.56 %","1,627.00"
"SMFBS","2024-06-05","1430","1474","1371","1468","1.52 %","1,790.00"
"SMFBS","2024-06-04","1370","1450","1370","1446","3.73 %","6,166.00"
"SMFBS","2024-06-03","1345","1394","1305","1394","5.45 %","2,147.00"
"SMFBS","2024-06-02","1290","1322","1290","1322","2.58 %","561.00"
"SMFBS","2024-05-30","1347","1372","1264","1288.8","-2.44 %","1,625.00"
"SMFBS","2024-05-29","1340","1340","1321","1321","-1.34 %","1,062.00"
"SMFBS","2024-05-27","1311.1","1355","1309","1339","0.30 %","1,065.00"
"SMFBS","2024-05-26","1438.8","1450","1333","1335","-5.36 %","947.00"
"SMFBS","2024-05-22","1382","1410.6","1331","1410.6","0.11 %","3,443.00"
"SMFBS","2024-05-21","1381.8","1409","1355","1409","-0.07 %","1,691.00"
"SMFBS","2024-05-20","1444","1444","1335","1410","-0.56 %","4,052.00"
"SMFBS","2024-05-19","1405","1430","1305","1418","0.93 %","2,104.00"
"SMFBS","2024-05-16","1254","1405","1254","1405","9.94 %","9,672.00"
"SMFBS","2024-05-15","1325","1325","1275","1278","-1.69 %","3,728.00"
"SMFBS","2024-05-14","1232.9","1325.9","1232.9","1300","3.34 %","4,869.00"
"SMFBS","2024-05-13","1221","1285","1215.2","1258","1.45 %","1,857.00"
"SMFBS","2024-05-12","1266.8","1266.8","1218","1240","-0.17 %","2,008.00"
"SMFBS","2024-05-09","1280","1290","1242.1","1242.1","-3.94 %","3,376.00"
"SMFBS","2024-05-08","1283.1","1308.8","1280","1293","0.77 %","321.00"
"SMFBS","2024-05-07","1265.3","1295","1265.3","1283.1","-0.61 %","1,681.00"
"SMFBS","2024-05-06","1287.8","1291","1266.3","1291","-1.75 %","1,880.00"
"SMFBS","2024-05-05","1292","1348.4","1285","1314","-0.30 %","5,366.00"
"SMFBS","2024-05-02","1270","1318","1235","1318","3.37 %","4,143.00"
"SMFBS","2024-04-30","1246.5","1275","1176","1275","0.24 %","1,899.00"
"SMFBS","2024-04-29","1198.3","1271.9","1175","1271.9","4.02 %","3,435.00"
"SMFBS","2024-04-28","1250","1250","1154","1222.7","-0.27 %","1,106.00"
"SMFBS","2024-04-25","1169","1226","1126","1226","6.79 %","590.00"
"SMFBS","2024-04-24","1124.1","1185","1124.1","1148.1","0.10 %","953.00"
"SMFBS","2024-04-22","1111","1199","1111","1147","1.23 %","919.00"
"SMFBS","2024-04-21","1111","1189","1111","1133.1","-0.01 %","1,476.00"
"SMFBS","2024-04-18","1128","1178","1128","1133.2","-2.56 %","506.00"
"SMFBS","2024-04-16","1138","1199.9","1115.3","1163","0.16 %","1,588.00"
"SMFBS","2024-04-15","1194.7","1238","1148.5","1161.2","-4.74 %","2,018.00"
"SMFBS","2024-04-14","1191","1228","1145","1219","0.35 %","3,307.00"
"SMFBS","2024-04-10","1218","1218","1124.8","1214.8","1.66 %","1,411.00"
"SMFBS","2024-04-09","1133.9","1225","1113","1195","3.28 %","3,637.00"
"SMFBS","2024-04-07","1192.1","1260","1145.5","1157","-1.01 %","4,600.00"
"SMFBS","2024-04-04","1205","1276.9","1155.3","1168.8","-3.00 %","5,773.00"
"SMFBS","2024-04-03","1141.7","1206","1096.9","1205","3.43 %","5,515.00"
"SMFBS","2024-04-02","1115.7","1165","1051.1","1165","6.50 %","4,119.00"
"SMFBS","2024-04-01","1055.8","1093.9","1038","1093.9","1.54 %","3,172.00"
"SMFBS","2024-03-31","1099.6","1099.6","1050","1077.3","-3.98 %","548.00"
"SMFBS","2024-03-28","1080","1122","1061","1122","1.91 %","1,097.00"
"SMFBS","2024-03-27","1101","1191.2","1060.1","1101","0.00 %","1,090.00"
"SMFBS","2024-03-26","1089.2","1101","1070","1101","3.10 %","366.00"
"SMFBS","2024-03-25","1089.8","1090","1047.8","1067.9","-3.97 %","1,258.00"
"SMFBS","2024-03-21","1104.5","1112","1084","1112","-1.33 %","2,129.00"
"SMFBS","2024-03-20","1078","1173","1078","1127","2.45 %","3,577.00"
"SMFBS","2024-03-19","1074","1100","1026","1100","3.97 %","2,654.00"
"SMFBS","2024-03-18","1038","1058","997","1058","1.93 %","3,235.00"
"SMFBS","2024-03-17","951","1040","948","1038","7.43 %","5,236.00"
"SMFBS","2024-03-14","1007.6","1008","966.2","966.2","-6.02 %","1,026.00"
