"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPHL","2024-08-11","666.4","698.6","666.4","696","2.35 %","20,120.00"
"SPHL","2024-08-08","706.8","706.8","669.6","680","-1.88 %","19,292.00"
"SPHL","2024-08-07","669","715","661","693","3.43 %","11,348.00"
"SPHL","2024-08-06","692","720","646.8","670","-1.47 %","38,307.00"
"SPHL","2024-08-05","650","690","630","680","2.70 %","28,283.00"
"SPHL","2024-08-01","661.5","690","655.1","662.1","-1.91 %","16,592.00"
"SPHL","2024-07-31","650","702","640.2","675","5.30 %","25,301.00"
"SPHL","2024-07-30","624","650","624","641","2.07 %","12,851.00"
"SPHL","2024-07-29","620","642.6","617.4","628","1.29 %","13,663.00"
"SPHL","2024-07-28","637.6","662","612.5","620","-0.82 %","5,010.00"
"SPHL","2024-07-25","646.6","646.6","625","625.1","-1.40 %","9,509.00"
"SPHL","2024-07-24","630","642.6","617","634","0.63 %","17,678.00"
"SPHL","2024-07-23","640","642","620","630","0.02 %","16,975.00"
"SPHL","2024-07-22","636","636","611.1","629.9","0.96 %","6,538.00"
"SPHL","2024-07-21","605.1","627.3","605","623.9","1.45 %","11,969.00"
"SPHL","2024-07-18","642.6","642.6","615","615","-2.38 %","22,047.00"
"SPHL","2024-07-17","642.6","655","618","630","0.00 %","20,315.00"
"SPHL","2024-07-16","605","649","605","630","5.02 %","19,527.00"
"SPHL","2024-07-15","595","606","585","599.9","2.34 %","17,255.00"
"SPHL","2024-07-14","594","605","580","586.2","0.55 %","9,169.00"
"SPHL","2024-07-11","573","585","573","583","1.92 %","12,917.00"
"SPHL","2024-07-10","561","575","561","572","1.06 %","5,422.00"
"SPHL","2024-07-09","552","569.1","552","566","1.43 %","8,999.00"
"SPHL","2024-07-08","562","570","556.3","558","-0.71 %","5,408.00"
"SPHL","2024-07-07","564","569","555","562","-0.46 %","6,272.00"
"SPHL","2024-07-04","558.5","573","558.5","564.6","-0.90 %","4,225.00"
"SPHL","2024-07-03","560.9","569.7","555","569.7","-0.42 %","10,517.00"
"SPHL","2024-07-02","575.2","586","564","572.1","1.44 %","13,988.00"
"SPHL","2024-07-01","569","569","556","564","0.00 %","3,475.00"
"SPHL","2024-06-30","555","580","555","564","1.81 %","7,333.00"
"SPHL","2024-06-27","565","567","550","554","-1.28 %","15,146.00"
"SPHL","2024-06-26","575","580","560","561.2","-2.91 %","11,171.00"
"SPHL","2024-06-25","567.8","583","563","578","3.77 %","13,715.00"
"SPHL","2024-06-24","547","559","540.6","557","3.63 %","14,644.00"
"SPHL","2024-06-23","528.5","539","528.5","537.5","0.66 %","4,345.00"
"SPHL","2024-06-20","554.3","554.3","533.2","534","-1.75 %","6,215.00"
"SPHL","2024-06-19","539","546.1","534.1","543.5","0.83 %","8,073.00"
"SPHL","2024-06-18","535","545","531.2","539","-0.54 %","5,928.00"
"SPHL","2024-06-16","536","552","532","541.9","1.48 %","10,718.00"
"SPHL","2024-06-13","543","546","525.4","534","0.19 %","12,612.00"
"SPHL","2024-06-12","558","567","533","533","-4.48 %","17,795.00"
"SPHL","2024-06-11","550","570","550","558","0.90 %","10,105.00"
"SPHL","2024-06-10","539","585.4","539","553","2.60 %","28,842.00"
"SPHL","2024-06-09","503","544","500","539","8.95 %","37,565.00"
"SPHL","2024-06-06","482","502","482","494.7","2.46 %","7,373.00"
"SPHL","2024-06-05","499.1","499.1","480.3","482.8","-1.47 %","3,210.00"
"SPHL","2024-06-04","486","505.7","486","490","-1.17 %","3,206.00"
"SPHL","2024-06-03","499.6","506","495.1","495.8","-2.40 %","4,592.00"
"SPHL","2024-06-02","505","510","494","508","1.60 %","7,837.00"
"SPHL","2024-05-30","504","513","486.1","500","1.01 %","8,156.00"
"SPHL","2024-05-29","502","531","484","495","0.41 %","11,876.00"
"SPHL","2024-05-27","481.1","503.8","477.1","493","0.65 %","10,815.00"
"SPHL","2024-05-26","503","503","481.2","489.8","-2.35 %","8,558.00"
"SPHL","2024-05-22","501.2","509.9","500","501.6","-0.24 %","13,098.00"
"SPHL","2024-05-21","483.3","503","483.3","502.8","5.87 %","21,779.00"
