"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRBL","2023-07-13","170","175","170","173.1","2.97 %","44,618.00"
"SRBL","2023-07-12","173","173","168.1","168.1","-1.41 %","52,888.00"
"SRBL","2023-07-11","172","172","167.7","170.5","-0.58 %","75,841.00"
"SRBL","2023-07-10","170","173","170","171.5","0.88 %","27,052.00"
"SRBL","2023-07-09","170","174.9","168.2","170","1.19 %","32,658.00"
"SRBL","2023-07-06","172","175","167.7","168","-2.33 %","66,268.00"
"SRBL","2023-07-05","172","173.6","170.4","172","-1.04 %","34,022.00"
"SRBL","2023-07-04","175","175","171","173.8","-0.11 %","40,888.00"
"SRBL","2023-07-03","172","175.9","171.2","174","0.00 %","35,236.00"
"SRBL","2023-07-02","181","181","172.6","174","-3.33 %","44,584.00"
"SRBL","2023-06-28","179","189","178.2","180","1.47 %","63,403.00"
"SRBL","2023-06-27","171.1","183.1","171.1","177.4","2.90 %","93,479.00"
"SRBL","2023-06-26","173","175","171.9","172.4","-0.58 %","29,384.00"
"SRBL","2023-06-25","170","173.4","170","173.4","0.81 %","30,359.00"
"SRBL","2023-06-22","173","174.5","171","172","-0.52 %","37,112.00"
"SRBL","2023-06-21","175","176","172","172.9","-1.31 %","39,595.00"
"SRBL","2023-06-20","175.1","177.9","175","175.2","-0.45 %","19,015.00"
"SRBL","2023-06-19","176.2","178.5","176","176","-0.79 %","23,120.00"
"SRBL","2023-06-18","178","178.9","176.2","177.4","-0.34 %","33,211.00"
"SRBL","2023-06-15","180","180","178","178","0.00 %","11,653.00"
"SRBL","2023-06-14","179","183","175.5","178","0.00 %","56,231.00"
"SRBL","2023-06-13","176","179","175","178","0.00 %","58,852.00"
"SRBL","2023-06-12","177","179","175.6","178","1.60 %","21,070.00"
"SRBL","2023-06-11","177.7","179","174.6","175.2","0.34 %","14,180.00"
"SRBL","2023-06-08","179","179","174","174.6","-1.91 %","64,974.00"
"SRBL","2023-06-07","178.5","179","175.6","178","0.79 %","28,317.00"
"SRBL","2023-06-06","177.9","178","174.9","176.6","-0.73 %","13,768.00"
"SRBL","2023-06-05","180","181","176.5","177.9","-0.06 %","12,828.00"
"SRBL","2023-06-04","173.8","182.2","173.8","178","1.42 %","49,586.00"
"SRBL","2023-06-01","175","180.8","174","175.5","-0.28 %","43,327.00"
"SRBL","2023-05-31","178","180.9","175","176","-1.95 %","38,554.00"
"SRBL","2023-05-30","180","180","176","179.5","-1.43 %","15,539.00"
"SRBL","2023-05-28","181.3","184.6","180.1","182.1","-0.76 %","35,023.00"
"SRBL","2023-05-24","184","184","180.4","183.5","-0.22 %","20,912.00"
"SRBL","2023-05-23","181","183.9","180","183.9","1.60 %","63,326.00"
"SRBL","2023-05-22","180","181","179.2","181","0.06 %","10,111.00"
