"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TMDBL","2020-10-15","202","206","196","197","-1.01 %","16,666.00"
"TMDBL","2020-10-14","202","206","199","199","-2.93 %","19,068.00"
"TMDBL","2020-10-13","214","215","204","205","-2.38 %","36,856.00"
"TMDBL","2020-10-12","211","215","197","210","4.48 %","41,490.00"
"TMDBL","2020-10-11","205","208","200","201","-3.83 %","22,691.00"
"TMDBL","2020-10-08","215","226","206","209","-0.95 %","49,727.00"
"TMDBL","2020-10-07","193","211","190","211","9.90 %","82,824.00"
"TMDBL","2020-10-06","191","193","190","192","2.13 %","29,798.00"
"TMDBL","2020-10-05","191","193","187","188","-1.05 %","34,163.00"
"TMDBL","2020-10-04","193","196","187","190","0.00 %","37,223.00"
"TMDBL","2020-10-01","183","192","183","190","4.97 %","35,608.00"
"TMDBL","2020-09-30","170","188","170","181","1.69 %","30,165.00"
"TMDBL","2020-09-29","177","180","177","178","-1.11 %","5,575.00"
"TMDBL","2020-09-28","171","184","171","180","0.00 %","9,440.00"
"TMDBL","2020-09-27","177","182","176","180","2.27 %","18,494.00"
"TMDBL","2020-09-24","178","180","175","176","-1.12 %","11,826.00"
"TMDBL","2020-09-23","173","178","172","178","1.14 %","6,029.00"
"TMDBL","2020-09-22","187","187","173","176","-1.68 %","7,620.00"
"TMDBL","2020-09-21","178","181","175","179","-1.10 %","8,887.00"
"TMDBL","2020-09-20","186","187","180","181","-1.09 %","12,749.00"
"TMDBL","2020-09-17","175","191","175","183","2.81 %","41,504.00"
"TMDBL","2020-09-16","178","178","176","178","1.14 %","4,419.00"
"TMDBL","2020-09-15","176","181","175","176","-0.56 %","2,907.00"
"TMDBL","2020-09-14","176","184","173","177","2.31 %","29,483.00"
"TMDBL","2020-09-13","168","177","167","173","1.17 %","22,694.00"
"TMDBL","2020-09-10","166","171","165","171","2.40 %","6,581.00"
"TMDBL","2020-09-09","168","168","167","167","-0.60 %","499.00"
"TMDBL","2020-09-08","168","171","168","168","-1.18 %","3,640.00"
"TMDBL","2020-09-07","169","170","169","170","0.00 %","1,091.00"
"TMDBL","2020-09-06","171","172","169","170","-0.58 %","2,670.00"
"TMDBL","2020-09-03","171","174","169","171","-1.72 %","6,679.00"
"TMDBL","2020-09-02","172","174","169","174","2.35 %","11,775.00"
"TMDBL","2020-08-31","170","179","170","170","0.59 %","14,385.00"
"TMDBL","2020-08-30","166","172","167","169","1.81 %","22,180.00"
"TMDBL","2020-08-27","168","168","166","166","-1.19 %","2,771.00"
"TMDBL","2020-08-26","168","170","167","168","0.60 %","3,460.00"
"TMDBL","2020-08-25","169","169","166","167","0.60 %","7,532.00"
"TMDBL","2020-08-24","168","168","165","166","0.61 %","3,369.00"
"TMDBL","2020-08-23","165","166","164","165","-0.60 %","4,496.00"
"TMDBL","2020-08-20","164","166","164","166","0.61 %","4,523.00"
"TMDBL","2020-08-19","167","167","164","165","-0.60 %","7,211.00"
"TMDBL","2020-08-18","164","166","164","166","0.00 %","1,763.00"
"TMDBL","2020-08-17","164","166","163","166","1.22 %","7,799.00"
"TMDBL","2020-08-16","163","164","160","164","-1.20 %","924.00"
"TMDBL","2020-08-13","166","169","164","166","0.00 %","9,281.00"
"TMDBL","2020-08-12","167","169","166","166","-2.35 %","4,931.00"
"TMDBL","2020-08-11","172","172","167","170","-0.58 %","5,684.00"
"TMDBL","2020-08-10","163","170","163","170","4.29 %","9,343.00"
"TMDBL","2020-08-09","167","167","161","163","-0.61 %","5,043.00"
"TMDBL","2020-08-06","158","164","157","164","3.14 %","4,391.00"
"TMDBL","2020-08-05","161","161","157","160","-1.84 %","14,671.00"
"TMDBL","2020-08-03","165","165","160","163","0.00 %","12,338.00"
"TMDBL","2020-08-02","168","168","162","163","-2.98 %","18,843.00"
