"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TPC","2024-08-11","535.1","567.5","535.1","565","3.48 %","21,437.00"
"TPC","2024-08-08","556.5","578","543","546","-1.80 %","11,576.00"
"TPC","2024-08-07","537","576","528.3","556","2.24 %","10,075.00"
"TPC","2024-08-06","575","576","518.7","543.8","-5.34 %","14,956.00"
"TPC","2024-08-05","565","585","557","574.5","1.68 %","10,564.00"
"TPC","2024-08-01","570.2","586","560.8","565","-1.76 %","17,434.00"
"TPC","2024-07-31","591.8","592","573.3","575.1","-0.88 %","22,400.00"
"TPC","2024-07-30","584.9","595","570","580.2","0.40 %","15,256.00"
"TPC","2024-07-29","575","588","565","577.9","0.50 %","17,624.00"
"TPC","2024-07-28","582","582","554","575","-1.12 %","15,174.00"
"TPC","2024-07-25","612","612","580","581.5","-3.08 %","18,925.00"
"TPC","2024-07-24","577","615","577","600","5.63 %","33,635.00"
"TPC","2024-07-23","540","577","540","568","4.37 %","23,045.00"
"TPC","2024-07-22","556.1","560","539.1","544.2","-1.95 %","8,326.00"
"TPC","2024-07-21","555","560","540","555","0.27 %","19,298.00"
"TPC","2024-07-18","558","566","543","553.5","-0.90 %","19,124.00"
"TPC","2024-07-17","562","564","548.2","558.5","1.27 %","20,989.00"
"TPC","2024-07-16","544.4","554","520","551.5","2.76 %","21,443.00"
"TPC","2024-07-15","540.9","540.9","525","536.7","1.21 %","15,580.00"
"TPC","2024-07-14","543.5","553","526","530.3","-0.49 %","11,128.00"
"TPC","2024-07-11","540.6","557","531.4","532.9","-1.13 %","17,118.00"
"TPC","2024-07-10","555.9","560","530.2","539","-1.10 %","3,065.00"
"TPC","2024-07-09","540","571.2","540","545","0.00 %","14,105.00"
"TPC","2024-07-08","515","560","514","545","4.01 %","28,940.00"
"TPC","2024-07-07","528","530","523.1","524","-1.11 %","3,880.00"
"TPC","2024-07-04","521","529.9","518","529.9","1.51 %","6,528.00"
"TPC","2024-07-03","525","530.4","517","522","0.38 %","4,612.00"
"TPC","2024-07-02","530.4","550","518","520","0.00 %","6,252.00"
"TPC","2024-07-01","530","539.9","520","520","-2.05 %","3,625.00"
"TPC","2024-06-30","527.4","537","520","530.9","-1.32 %","3,583.00"
"TPC","2024-06-27","542","545","534.1","538","-0.63 %","3,586.00"
"TPC","2024-06-26","567.9","568.1","541.4","541.4","-2.80 %","13,864.00"
"TPC","2024-06-25","535","558.9","535","557","3.05 %","20,589.00"
"TPC","2024-06-24","535","550","530.1","540.5","1.05 %","14,791.00"
"TPC","2024-06-23","520","535","515.1","534.9","3.66 %","10,031.00"
"TPC","2024-06-20","521","525.1","511.9","516","-1.19 %","5,513.00"
"TPC","2024-06-19","520","528.9","511.1","522.2","0.42 %","5,382.00"
"TPC","2024-06-18","515","533","494.7","520","-0.91 %","6,832.00"
"TPC","2024-06-16","535.5","535.5","513.2","524.8","-0.04 %","5,092.00"
"TPC","2024-06-13","530.6","530.6","513.1","525","0.92 %","4,254.00"
"TPC","2024-06-12","544","551","515.5","520.2","-4.38 %","11,117.00"
"TPC","2024-06-11","545","545","537.1","544","-0.55 %","5,768.00"
"TPC","2024-06-10","522","556","512.9","547","6.88 %","17,829.00"
"TPC","2024-06-09","488","514","483.2","511.8","4.86 %","9,212.00"
"TPC","2024-06-06","502.8","511","486.2","488.1","-0.99 %","2,776.00"
"TPC","2024-06-05","487.2","499.9","487.2","493","-0.50 %","2,311.00"
"TPC","2024-06-04","501","512","495.5","495.5","-1.49 %","3,802.00"
"TPC","2024-06-03","513","513","497.8","503","-1.57 %","3,784.00"
"TPC","2024-06-02","492","512","492","511","3.55 %","8,489.00"
"TPC","2024-05-30","493.1","513","493.1","493.5","-1.89 %","2,760.00"
"TPC","2024-05-29","520.2","520.2","496","503","-1.37 %","3,974.00"
"TPC","2024-05-27","491.2","510","491.2","510","1.80 %","2,928.00"
"TPC","2024-05-26","496","515","490.2","501","0.20 %","5,012.00"
"TPC","2024-05-22","513.2","534","500","500","-2.57 %","10,289.00"
"TPC","2024-05-21","476","520","476","513.2","6.92 %","18,812.00"
"TPC","2024-05-20","465.1","494.7","465.1","480","1.27 %","3,843.00"
"TPC","2024-05-19","465","477","465","474","0.85 %","2,120.00"
"TPC","2024-05-16","470.4","487.9","464.6","470","-2.08 %","3,627.00"
"TPC","2024-05-15","489","490","475","480","-0.19 %","6,760.00"
"TPC","2024-05-14","460","482","455.8","480.9","5.46 %","5,656.00"
