"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TSHL","2024-08-11","765","856","765","856","9.88 %","43,207.00"
"TSHL","2024-08-08","769","810","756","779","1.30 %","27,898.00"
"TSHL","2024-08-07","769","799","741","769","1.89 %","25,975.00"
"TSHL","2024-08-06","675","754.7","675","754.7","10.00 %","84,559.00"
"TSHL","2024-08-05","668","703.8","668","686.1","0.75 %","23,185.00"
"TSHL","2024-08-01","675","738","664","681","-1.00 %","34,574.00"
"TSHL","2024-07-31","708.9","720","680","687.9","-1.02 %","23,450.00"
"TSHL","2024-07-30","664","702.9","664","695","6.76 %","34,398.00"
"TSHL","2024-07-29","627","689.7","627","651","3.83 %","70,900.00"
"TSHL","2024-07-28","629.8","629.9","605","627","1.54 %","18,964.00"
"TSHL","2024-07-25","630","644","611","617.5","-0.56 %","20,553.00"
"TSHL","2024-07-24","670","672.9","617.1","621","-5.91 %","23,576.00"
"TSHL","2024-07-23","668","685","649","660","-1.35 %","26,988.00"
"TSHL","2024-07-22","662.5","715","653","669","-1.04 %","28,579.00"
"TSHL","2024-07-21","675.4","705","650.3","676","2.08 %","26,420.00"
"TSHL","2024-07-18","592","662.2","592","662.2","10.00 %","46,365.00"
"TSHL","2024-07-17","615","615","593","602","-1.31 %","17,764.00"
"TSHL","2024-07-16","595","610.4","585","610","3.39 %","18,914.00"
"TSHL","2024-07-15","583","598","583","590","-0.67 %","16,576.00"
"TSHL","2024-07-14","589.5","601.2","568.3","594","2.77 %","27,402.00"
"TSHL","2024-07-11","583","584.8","572","578","-0.26 %","18,085.00"
"TSHL","2024-07-10","579","583.9","572.1","579.5","0.43 %","10,106.00"
"TSHL","2024-07-09","582","582","568.5","577","0.70 %","7,357.00"
"TSHL","2024-07-08","590.5","595","568","573","-1.04 %","15,820.00"
"TSHL","2024-07-07","545.4","582","545.4","579","4.51 %","24,897.00"
"TSHL","2024-07-04","542","562","542","554","2.21 %","16,369.00"
"TSHL","2024-07-03","537.1","547","537.1","542","-0.35 %","5,116.00"
"TSHL","2024-07-02","549.7","560.6","531.1","543.9","0.91 %","7,821.00"
"TSHL","2024-07-01","526.8","544","526.6","539","0.32 %","2,510.00"
"TSHL","2024-06-30","527","546","527","537.3","0.06 %","7,222.00"
"TSHL","2024-06-27","555","555","536.5","537","-1.81 %","9,335.00"
"TSHL","2024-06-26","569","570","540","546.9","-2.51 %","22,992.00"
"TSHL","2024-06-25","557.8","566","546.7","561","2.56 %","23,733.00"
"TSHL","2024-06-24","561","570","546","547","-2.30 %","17,648.00"
"TSHL","2024-06-23","548.4","564","538","559.9","4.07 %","33,773.00"
"TSHL","2024-06-20","521","563","521","538","2.67 %","30,769.00"
"TSHL","2024-06-19","519","530","519","524","0.38 %","9,852.00"
"TSHL","2024-06-18","523","525","518.2","522","-0.36 %","5,777.00"
"TSHL","2024-06-16","524","532.4","518.4","523.9","-0.21 %","9,320.00"
"TSHL","2024-06-13","525","531","517.1","525","-1.87 %","11,406.00"
"TSHL","2024-06-12","549.7","549.7","517","535","-0.74 %","17,979.00"
"TSHL","2024-06-11","535.5","540","529","539","0.75 %","11,259.00"
"TSHL","2024-06-10","523","550","516","535","3.88 %","29,045.00"
"TSHL","2024-06-09","499.2","523","499","515","3.00 %","14,881.00"
"TSHL","2024-06-06","508","511","500","500","0.00 %","5,069.00"
"TSHL","2024-06-05","501.3","510","499","500","-1.57 %","3,987.00"
"TSHL","2024-06-04","507","514.1","504","508","0.18 %","3,864.00"
"TSHL","2024-06-03","525","525","507","507.1","-1.53 %","8,738.00"
"TSHL","2024-06-02","514.5","525.3","502.2","515","1.98 %","5,196.00"
"TSHL","2024-05-30","510","510","500","505","-1.17 %","11,660.00"
"TSHL","2024-05-29","515.1","522","505.1","511","-0.66 %","7,784.00"
"TSHL","2024-05-27","509.6","540","509.6","514.4","-1.08 %","5,510.00"
"TSHL","2024-05-26","531.2","540","510.3","520","-4.06 %","17,561.00"
"TSHL","2024-05-22","524.3","564","504","542","1.31 %","45,768.00"
"TSHL","2024-05-21","512","541","495","535","6.19 %","30,659.00"
"TSHL","2024-05-20","498.9","513","489","503.8","-1.02 %","8,398.00"
"TSHL","2024-05-19","499.9","520.2","499.9","509","-0.20 %","19,874.00"
"TSHL","2024-05-16","494.2","534","493.1","510","2.00 %","12,127.00"
"TSHL","2024-05-15","503.8","540","496","500","-2.72 %","7,352.00"
"TSHL","2024-05-14","497","516.9","497","514","1.38 %","11,139.00"
"TSHL","2024-05-13","497.9","527","488","507","-0.20 %","6,342.00"
"TSHL","2024-05-12","509.6","529","490","508","-2.31 %","8,939.00"
"TSHL","2024-05-09","506.7","536","499.9","520","0.58 %","5,028.00"
"TSHL","2024-05-08","507","517","497","517","1.37 %","15,372.00"
"TSHL","2024-05-07","499.8","519","499.8","510","0.00 %","9,517.00"
"TSHL","2024-05-06","505","510","475.4","510","0.99 %","8,582.00"
"TSHL","2024-05-05","487","519.9","487","505","3.70 %","9,263.00"
"TSHL","2024-05-02","500","517","487","487","-2.40 %","9,689.00"
"TSHL","2024-04-30","507.9","507.9","489","499","0.20 %","6,723.00"
"TSHL","2024-04-29","496","506.1","493.1","498","0.38 %","22,305.00"
"TSHL","2024-04-28","517","521","496.1","496.1","-2.15 %","7,128.00"
"TSHL","2024-04-25","520","529.9","500.1","507","-2.87 %","13,747.00"
"TSHL","2024-04-24","519","523","505","522","0.19 %","8,894.00"
"TSHL","2024-04-22","530","535.5","515.1","521","-3.52 %","2,815.00"
"TSHL","2024-04-21","510","545","506","540","4.85 %","8,375.00"
"TSHL","2024-04-18","519","527","510.2","515","-2.68 %","3,401.00"
"TSHL","2024-04-16","566.1","566.1","529.2","529.2","-4.65 %","8,135.00"
"TSHL","2024-04-15","567.1","567.1","539.3","555","-0.18 %","14,894.00"
"TSHL","2024-04-14","533","556","533","556","2.89 %","20,074.00"
"TSHL","2024-04-10","553","559","540.1","540.4","-2.10 %","14,881.00"
"TSHL","2024-04-09","511","554","511","552","6.36 %","28,537.00"
"TSHL","2024-04-07","495","529","495","519","4.01 %","4,701.00"
"TSHL","2024-04-04","500","503","493.5","499","-0.20 %","7,715.00"
"TSHL","2024-04-03","501","518.1","500","500","-1.57 %","5,917.00"
"TSHL","2024-04-02","500","520","500","508","-0.39 %","2,865.00"
"TSHL","2024-04-01","515","518","505","510","-0.97 %","6,083.00"
"TSHL","2024-03-31","540","545.7","513","515","-5.33 %","11,834.00"
"TSHL","2024-03-28","531","544.9","529","544","1.12 %","10,245.00"
"TSHL","2024-03-27","536.6","556.9","531.1","538","2.26 %","21,809.00"
"TSHL","2024-03-26","502.6","534.9","493","526.1","6.76 %","23,640.00"
"TSHL","2024-03-25","480.2","509","480.2","492.8","0.57 %","7,120.00"
"TSHL","2024-03-21","494","500","480","490","0.41 %","10,598.00"
"TSHL","2024-03-20","497.9","498.7","479.1","488","-0.20 %","10,937.00"
"TSHL","2024-03-19","495.1","500","486","489","-1.39 %","7,063.00"
"TSHL","2024-03-18","486.5","497","486.5","495.9","0.38 %","6,596.00"
"TSHL","2024-03-17","480","499","480","494","1.21 %","3,027.00"
"TSHL","2024-03-14","488.3","526.4","488.1","488.1","-1.59 %","7,088.00"
"TSHL","2024-03-13","492.6","496","480.5","496","2.69 %","9,794.00"
"TSHL","2024-03-12","477.9","493","477.9","483","-0.39 %","12,657.00"
"TSHL","2024-03-10","496","496","465.6","484.9","-0.43 %","10,652.00"
"TSHL","2024-03-07","487.5","499","472.1","487","1.88 %","10,183.00"
"TSHL","2024-03-06","491.5","499","472.1","478","-0.81 %","9,045.00"
"TSHL","2024-03-05","516.1","516.1","467","481.9","-4.78 %","13,148.00"
"TSHL","2024-03-04","467.7","506.1","467.7","506.1","6.06 %","110.00"
"TSHL","2024-03-03","470","488.9","460.6","477.2","-0.38 %","3,892.00"
"TSHL","2024-02-29","490","499.8","472.4","479","-4.20 %","8,119.00"
"TSHL","2024-02-28","498.9","508","480.5","500","-1.77 %","5,080.00"
"TSHL","2024-02-27","500","519","490","509","0.00 %","4,487.00"
"TSHL","2024-02-26","485","509","475.3","509","3.88 %","10,373.00"
"TSHL","2024-02-25","540.6","540.6","489.1","490","-7.55 %","5,660.00"
"TSHL","2024-02-22","525","544.9","509","530","-0.93 %","7,477.00"
"TSHL","2024-02-21","532","542.8","521.9","535","0.47 %","15,178.00"
"TSHL","2024-02-20","511","540.6","503","532.5","2.21 %","9,937.00"
"TSHL","2024-02-18","531.4","539","512","521","-3.91 %","12,623.00"
"TSHL","2024-02-15","557","557","541","542.2","-3.18 %","7,051.00"
"TSHL","2024-02-14","543","579.9","540","560","1.08 %","11,451.00"
"TSHL","2024-02-13","558.6","572","537","554","-2.81 %","21,922.00"
"TSHL","2024-02-12","553.7","571","553.7","570","0.88 %","10,384.00"
"TSHL","2024-02-11","548.8","596","548.8","565","0.89 %","10,813.00"
"TSHL","2024-02-08","547","571.3","547","560","0.36 %","8,500.00"
"TSHL","2024-02-07","532","579","532","558","2.80 %","14,159.00"
"TSHL","2024-02-06","525","542.9","515","542.8","1.46 %","3,500.00"
"TSHL","2024-02-05","540","540","518","535","0.96 %","3,070.00"
"TSHL","2024-02-04","520","531","520","529.9","1.90 %","11,729.00"
"TSHL","2024-02-01","547","547","520","520","-6.14 %","20,978.00"
"TSHL","2024-01-31","557","574.5","550","554","-2.46 %","15,734.00"
"TSHL","2024-01-30","543.9","574.5","543.9","568","2.34 %","18,822.00"
"TSHL","2024-01-29","547.4","586","547.4","555","-0.63 %","18,855.00"
"TSHL","2024-01-28","545.8","569.9","538","558.5","0.29 %","7,157.00"
"TSHL","2024-01-25","541","559","532.2","556.9","2.86 %","10,941.00"
"TSHL","2024-01-24","548.8","566.1","539","541.4","-3.32 %","13,897.00"
"TSHL","2024-01-23","535.1","600","535.1","560","2.56 %","25,219.00"
"TSHL","2024-01-22","555.3","615","535.1","546","-3.64 %","21,734.00"
"TSHL","2024-01-21","582.2","636.6","563","566.6","-4.61 %","10,856.00"
"TSHL","2024-01-18","627.2","627.2","576.1","594","-7.19 %","31,804.00"
"TSHL","2024-01-17","588","642.6","559","640","6.67 %","33,084.00"
"TSHL","2024-01-16","597.8","655","574.2","600","-1.64 %","28,751.00"
"TSHL","2024-01-14","563.5","632.5","534.1","610","6.09 %","27,433.00"
"TSHL","2024-01-11","523","575","513.7","575","9.73 %","28,970.00"
"TSHL","2024-01-10","530","560.6","517","524","-2.78 %","30,522.00"
"TSHL","2024-01-09","545.7","565","527.1","539","0.75 %","19,111.00"
"TSHL","2024-01-08","518","558.8","500","535","5.31 %","34,197.00"
"TSHL","2024-01-07","490","520","479.3","508","3.89 %","34,807.00"
"TSHL","2024-01-04","482","499","482","489","-0.20 %","21,076.00"
"TSHL","2024-01-03","455","490","438","490","6.04 %","14,571.00"
"TSHL","2024-01-02","464","484","458","462.1","-2.30 %","9,746.00"
"TSHL","2024-01-01","475.4","496.6","460","473","-2.47 %","22,757.00"
"TSHL","2023-12-28","479.1","497.7","479.1","485","-0.61 %","15,546.00"
"TSHL","2023-12-27","478","521.4","460.6","488","2.95 %","33,184.00"
"TSHL","2023-12-24","494.2","511.7","474","474","-5.95 %","29,088.00"
"TSHL","2023-12-21","537.4","537.4","490.1","504","-4.35 %","25,724.00"
"TSHL","2023-12-20","488","526.9","463.6","526.9","10.00 %","22,481.00"
"TSHL","2023-12-19","466.1","482.3","461.1","479","1.05 %","21,991.00"
"TSHL","2023-12-18","477.9","507.1","468.8","474","1.15 %","44,644.00"
"TSHL","2023-12-17","417.5","468.6","417.5","468.6","10.00 %","39,207.00"
"TSHL","2023-12-14","400","445.2","399.1","426","4.67 %","18,495.00"
"TSHL","2023-12-13","410","423","402","407","-0.02 %","15,610.00"
"TSHL","2023-12-12","410","421.4","392","407.1","0.27 %","18,153.00"
"TSHL","2023-12-11","411","419.2","397","406","0.69 %","24,434.00"
"TSHL","2023-12-10","380","403.2","380","403.2","7.23 %","50.00"
"TSHL","2023-12-07","380","388.1","372.9","376","0.78 %","8,886.00"
"TSHL","2023-12-06","382.5","385.9","368.2","373.1","-0.51 %","2,885.00"
"TSHL","2023-12-05","389","395","369.8","375","-3.85 %","10,765.00"
"TSHL","2023-12-04","379.3","407","372","390","0.78 %","18,648.00"
"TSHL","2023-12-03","353","388.3","350.5","387","9.63 %","18,571.00"
"TSHL","2023-11-30","365","371.9","350","353","-3.29 %","7,241.00"
"TSHL","2023-11-29","375","388","363.7","365","-2.67 %","5,080.00"
"TSHL","2023-11-28","379","380","368.1","375","-0.03 %","6,089.00"
"TSHL","2023-11-27","390","390","374.6","375.1","-3.82 %","12,119.00"
"TSHL","2023-11-26","386.1","396","374.5","390","2.34 %","18,096.00"
"TSHL","2023-11-23","344","385","341","381.1","8.58 %","19,895.00"
"TSHL","2023-11-22","326","351.8","312","351","9.72 %","15,796.00"
"TSHL","2023-11-21","314","329.9","314","319.9","0.00 %","7,990.00"
"TSHL","2023-11-20","314","327.8","310.1","319.9","3.63 %","6,150.00"
"TSHL","2023-11-09","315","319","307.8","308.7","-3.53 %","2,970.00"
"TSHL","2023-11-08","320","326","311.1","320","0.00 %","1,530.00"
"TSHL","2023-11-07","316","328","310.3","320","1.17 %","2,633.00"
"TSHL","2023-11-06","311.3","323.1","311.3","316.3","-0.22 %","2,230.00"
"TSHL","2023-11-05","309.7","317","300.3","317","0.32 %","2,639.00"
"TSHL","2023-11-02","325","325","310","316","-0.94 %","4,243.00"
"TSHL","2023-11-01","317","329","317","319","-1.24 %","3,166.00"
"TSHL","2023-10-31","324","326","317","323","-2.09 %","2,022.00"
"TSHL","2023-10-30","315.9","330","315","329.9","2.36 %","2,580.00"
"TSHL","2023-10-29","328.3","328.3","315.4","322.3","-3.76 %","4,285.00"
"TSHL","2023-10-19","330","346","330","334.9","-0.33 %","3,786.00"
"TSHL","2023-10-18","330","340.6","330","336","1.82 %","2,270.00"
"TSHL","2023-10-17","349.5","356","327","330","-3.71 %","6,540.00"
"TSHL","2023-10-16","343","349","330","342.7","-2.09 %","9,757.00"
"TSHL","2023-10-12","352","366","341","350","-1.21 %","7,649.00"
"TSHL","2023-10-11","351","372","351","354.3","-1.03 %","6,217.00"
"TSHL","2023-10-10","368.1","377.4","357","358","-4.53 %","8,607.00"
"TSHL","2023-10-09","352","392.6","352","375","4.46 %","13,904.00"
