"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UIC","2023-05-28","515","515","515","515","-0.75 %","150.00"
"UIC","2023-05-24","478.3","518.9","476","518.9","6.33 %","42,167.00"
"UIC","2023-05-23","470","488","470","488","4.30 %","29,122.00"
"UIC","2023-05-22","461","473.8","457","467.9","1.28 %","15,600.00"
"UIC","2023-05-21","460","465","455","462","0.63 %","8,466.00"
"UIC","2023-05-18","448","465","447","459.1","1.91 %","16,375.00"
"UIC","2023-05-17","431","450.5","431","450.5","2.62 %","13,254.00"
"UIC","2023-05-16","423.1","440","421.4","439","2.09 %","6,006.00"
"UIC","2023-05-15","430","434","418.9","430","-0.01 %","2,372.00"
"UIC","2023-05-14","425","434","425","433.7","0.05 %","464.00"
"UIC","2023-05-11","429","435","426.4","433.5","0.86 %","2,009.00"
"UIC","2023-05-10","425","430","420.2","429.8","0.89 %","3,281.00"
"UIC","2023-05-09","420","441","416","426","1.67 %","6,759.00"
"UIC","2023-05-08","428.3","428.3","416.2","419","-4.12 %","13,143.00"
"UIC","2023-05-07","430.2","439.6","430","437","-0.23 %","1,975.00"
"UIC","2023-05-04","430","438","426.7","438","1.86 %","1,145.00"
"UIC","2023-05-03","434.3","437","427.6","430","-2.93 %","8,658.00"
"UIC","2023-05-02","445","445","436.1","443","-0.43 %","1,394.00"
"UIC","2023-04-30","445","445","437","444.9","-0.47 %","1,293.00"
"UIC","2023-04-27","440.1","447","433.4","447","-0.45 %","1,498.00"
"UIC","2023-04-26","454.9","454.9","441","449","0.67 %","3,382.00"
"UIC","2023-04-25","450.9","451","441","446","0.02 %","14,581.00"
"UIC","2023-04-24","438.5","448","438.4","445.9","-0.02 %","1,555.00"
"UIC","2023-04-23","442.9","446","440","446","-1.31 %","2,982.00"
"UIC","2023-04-20","450","455","445","451.9","0.42 %","3,214.00"
"UIC","2023-04-19","450","458","445.1","450","0.02 %","3,760.00"
"UIC","2023-04-18","449","455","441.7","449.9","1.81 %","7,172.00"
"UIC","2023-04-17","441","449","432.6","441.9","-1.80 %","4,526.00"
"UIC","2023-04-16","440","455","431.3","450","0.76 %","5,713.00"
"UIC","2023-04-13","453.8","459","445","446.6","-3.54 %","5,142.00"
"UIC","2023-04-12","434","463","431.5","463","7.67 %","13,374.00"
"UIC","2023-04-11","420","430","420","430","1.90 %","7,217.00"
"UIC","2023-04-10","415.2","424.5","415","422","-0.24 %","3,270.00"
"UIC","2023-04-09","427.3","428","415","423","-2.98 %","5,359.00"
"UIC","2023-04-06","428","439","425.5","436","0.44 %","6,464.00"
"UIC","2023-04-05","438","438","430","434.1","-0.89 %","3,256.00"
"UIC","2023-04-04","435","442","427","438","-0.90 %","2,535.00"
"UIC","2023-04-03","435.1","448.9","435.1","442","-0.41 %","8,789.00"
"UIC","2023-04-02","438","454.9","432","443.8","1.32 %","11,320.00"
"UIC","2023-03-30","440","447","435.2","438","-0.45 %","3,169.00"
"UIC","2023-03-29","430","440","429.3","440","0.46 %","6,298.00"
"UIC","2023-03-28","425","440","424","438","3.06 %","3,153.00"
"UIC","2023-03-27","420.1","425","416.6","425","1.19 %","1,868.00"
"UIC","2023-03-26","426","426","417.5","420","-1.34 %","753.00"
"UIC","2023-03-23","433.1","433.1","420.1","425.7","-1.69 %","3,287.00"
"UIC","2023-03-22","446.5","446.5","427.6","433","-1.12 %","4,800.00"
"UIC","2023-03-20","431","439","423","437.9","1.62 %","4,150.00"
"UIC","2023-03-19","434.9","434.9","425","430.9","0.91 %","4,514.00"
"UIC","2023-03-16","430","430","413.6","427","-2.51 %","2,253.00"
"UIC","2023-03-15","414.2","438","406.1","438","3.82 %","11,615.00"
"UIC","2023-03-14","420","425","415","421.9","0.57 %","3,015.00"
"UIC","2023-03-13","425","425","413","419.5","-3.23 %","2,906.00"
"UIC","2023-03-12","432","440","417.1","433.5","0.35 %","6,819.00"
"UIC","2023-03-09","425.3","432","417","432","3.60 %","8,919.00"
"UIC","2023-03-07","405.1","429.1","405.1","417","1.09 %","210.00"
"UIC","2023-03-05","417.5","420","401.8","412.5","-2.94 %","6,607.00"
"UIC","2023-03-02","430","430","418","425","-0.93 %","1,550.00"
"UIC","2023-03-01","428.3","429","421","429","-1.83 %","2,627.00"
"UIC","2023-02-28","435","437","431","437","0.69 %","2,431.00"
"UIC","2023-02-27","430.1","442.9","422.8","434","-0.91 %","9,893.00"
"UIC","2023-02-26","429.5","438","416","438","2.34 %","9,378.00"
"UIC","2023-02-23","433.3","438","428","428","-3.17 %","10,618.00"
"UIC","2023-02-22","436.5","444","430","442","3.27 %","3,464.00"
