"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UMRH","2024-08-11","536","583.4","536","583.4","9.99 %","304,716.00"
"UMRH","2024-08-08","549.7","554.6","527","530.4","-1.60 %","181,562.00"
"UMRH","2024-08-07","500","540.1","499","539","7.84 %","222,915.00"
"UMRH","2024-08-06","519","539","493","499.8","-1.79 %","344,492.00"
"UMRH","2024-08-05","475.5","510","461","508.9","8.86 %","333,168.00"
"UMRH","2024-08-01","493.9","493.9","466","467.5","-3.81 %","120,883.00"
"UMRH","2024-07-31","477","494.5","476.1","486","1.89 %","164,496.00"
"UMRH","2024-07-30","440.1","478.9","440.1","477","6.24 %","248,994.00"
"UMRH","2024-07-29","463","472","449","449","-1.32 %","133,562.00"
"UMRH","2024-07-28","461","469.9","448","455","0.66 %","107,002.00"
"UMRH","2024-07-25","468.1","468.1","449.8","452","-1.53 %","136,592.00"
"UMRH","2024-07-24","480","480","455","459","-2.55 %","183,200.00"
"UMRH","2024-07-23","463","474.9","456","471","3.74 %","269,275.00"
"UMRH","2024-07-22","449.8","469","440","454","2.95 %","212,385.00"
"UMRH","2024-07-21","445","452","433","441","0.25 %","173,636.00"
"UMRH","2024-07-18","456","456","435","439.9","-1.68 %","151,338.00"
"UMRH","2024-07-17","457.9","457.9","443","447.4","-0.40 %","113,398.00"
"UMRH","2024-07-16","437","452","429.2","449.2","4.47 %","152,572.00"
"UMRH","2024-07-15","445.6","445.6","426","430","-1.58 %","83,031.00"
"UMRH","2024-07-14","440.6","448","430","436.9","1.13 %","75,820.00"
"UMRH","2024-07-11","433.8","438","426.2","432","1.41 %","82,999.00"
"UMRH","2024-07-10","413.6","437","413.6","426","0.95 %","62,568.00"
"UMRH","2024-07-09","430","430","421.7","422","-1.15 %","32,963.00"
"UMRH","2024-07-08","423","430","420","426.9","-0.26 %","47,057.00"
"UMRH","2024-07-07","435","437","424","428","-0.47 %","91,448.00"
"UMRH","2024-07-04","442","442","430","430","-1.15 %","109,307.00"
"UMRH","2024-07-03","441","445","432","435","-2.25 %","103,354.00"
"UMRH","2024-07-02","450.7","475","440","445","0.70 %","237,511.00"
"UMRH","2024-07-01","442","448.8","436","441.9","-0.02 %","189,669.00"
"UMRH","2024-06-30","437","452","437","442","1.47 %","233,263.00"
"UMRH","2024-06-27","422","440","420","435.6","3.71 %","279,871.00"
"UMRH","2024-06-26","422.4","427","415","420","1.40 %","138,614.00"
"UMRH","2024-06-25","414","422","408","414.2","1.52 %","75,871.00"
"UMRH","2024-06-24","408.1","409","401.3","408","1.97 %","50,101.00"
"UMRH","2024-06-23","404","412","400","400.1","-0.99 %","61,613.00"
"UMRH","2024-06-20","421.7","421.7","404","404.1","-2.49 %","61,295.00"
"UMRH","2024-06-19","415","422","414.3","414.4","-0.60 %","57,607.00"
"UMRH","2024-06-18","425","428","416.9","416.9","-1.91 %","116,746.00"
"UMRH","2024-06-16","421","438","417.9","425","2.36 %","180,821.00"
"UMRH","2024-06-13","428.4","430","411.7","415.2","-1.14 %","163,416.00"
"UMRH","2024-06-12","400","439.5","400","420","3.40 %","243,304.00"
"UMRH","2024-06-11","412","412.5","403","406.2","0.32 %","107,969.00"
"UMRH","2024-06-10","398","415","394","404.9","3.32 %","307,397.00"
"UMRH","2024-06-09","370.2","392","363.3","391.9","7.93 %","186,839.00"
"UMRH","2024-06-06","364","371","361.1","363.1","-0.25 %","38,775.00"
"UMRH","2024-06-05","369","369","362","364","-1.36 %","29,320.00"
"UMRH","2024-06-04","377","377","365.1","369","-0.27 %","38,764.00"
"UMRH","2024-06-03","375","381.8","370","370","0.00 %","107,608.00"
"UMRH","2024-06-02","370.9","373.2","362.2","370","1.37 %","53,352.00"
"UMRH","2024-05-30","366.7","373.9","357","365","1.39 %","44,330.00"
"UMRH","2024-05-29","371.4","375","356.3","360","-1.15 %","51,210.00"
"UMRH","2024-05-27","363","370","361.9","364.2","0.33 %","35,756.00"
"UMRH","2024-05-26","370","375","360","363","-1.63 %","33,733.00"
