"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"VLBS","2024-08-11","1006","1039.6","1006","1035","2.97 %","10,329.00"
"VLBS","2024-08-08","1035","1040","995.1","1005.1","-3.08 %","9,495.00"
"VLBS","2024-08-07","1000","1039.2","981","1037","1.78 %","19,437.00"
"VLBS","2024-08-06","1057.7","1057.7","990","1018.9","-2.03 %","12,690.00"
"VLBS","2024-08-05","1040","1050","1019.5","1040","0.39 %","14,804.00"
"VLBS","2024-08-01","1080","1090","1010","1036","-4.07 %","19,009.00"
"VLBS","2024-07-31","1055.1","1083","1014.3","1080","2.66 %","23,682.00"
"VLBS","2024-07-30","1025","1089","1014.3","1052","1.81 %","17,718.00"
"VLBS","2024-07-29","1089","1089","1029","1033.3","-5.11 %","17,961.00"
"VLBS","2024-07-28","1150.5","1150.5","1046.7","1089","-3.46 %","21,285.00"
"VLBS","2024-07-25","1062","1149.5","1062","1128","6.16 %","26,581.00"
"VLBS","2024-07-24","1092","1111","1062","1062.5","-2.52 %","19,196.00"
"VLBS","2024-07-23","1095","1109.5","1085.1","1090","-0.27 %","11,423.00"
"VLBS","2024-07-22","1105","1128.9","1090","1093","-2.84 %","17,571.00"
"VLBS","2024-07-21","1122","1174","1102","1125","0.45 %","24,371.00"
"VLBS","2024-07-18","1068","1154","1067","1120","6.68 %","73,289.00"
"VLBS","2024-07-17","1059.9","1080","1040","1049.9","-0.94 %","7,110.00"
"VLBS","2024-07-16","1050","1059.9","1029.2","1059.9","1.91 %","4,199.00"
"VLBS","2024-07-15","1088","1109.7","1023.9","1040","-2.50 %","25,211.00"
"VLBS","2024-07-14","1095.4","1095.4","1029","1066.7","-0.68 %","27,552.00"
"VLBS","2024-07-11","1088.8","1088.9","1035.2","1074","0.28 %","14,301.00"
"VLBS","2024-07-10","1060","1082","1050","1071","2.00 %","43,270.00"
"VLBS","2024-07-09","1050","1070","1025.3","1050","1.94 %","26,976.00"
"VLBS","2024-07-08","1048","1048","1017","1030","0.10 %","8,612.00"
"VLBS","2024-07-07","1028","1030","1003","1029","2.08 %","10,917.00"
"VLBS","2024-07-04","1033","1033","1000","1008","-0.88 %","4,083.00"
"VLBS","2024-07-03","1000","1034","986","1017","0.28 %","6,642.00"
"VLBS","2024-07-02","1024","1044","1005.1","1014.2","1.02 %","24,000.00"
"VLBS","2024-07-01","1000","1024","1000","1004","-1.10 %","4,889.00"
"VLBS","2024-06-30","1012","1031.3","1010","1015.2","-0.67 %","9,623.00"
"VLBS","2024-06-27","1018","1023.9","1010.1","1022","-1.53 %","18,338.00"
"VLBS","2024-06-26","1044","1060","1025.1","1037.9","1.16 %","21,746.00"
"VLBS","2024-06-25","1050","1050","1015","1026","-0.66 %","9,084.00"
"VLBS","2024-06-24","986","1037","986","1032.8","5.16 %","25,483.00"
"VLBS","2024-06-23","1007.1","1018","982.1","982.1","-2.38 %","6,471.00"
"VLBS","2024-06-20","1010.3","1027","1006","1006","-2.14 %","6,032.00"
"VLBS","2024-06-19","1061","1061","1025","1028","-1.63 %","7,217.00"
"VLBS","2024-06-18","1025","1045","1006","1045","0.00 %","14,911.00"
"VLBS","2024-06-16","1033","1069.9","1032","1045","-0.85 %","28,102.00"
"VLBS","2024-06-13","1095","1095","1050","1054","-4.01 %","27,912.00"
"VLBS","2024-06-12","1076.5","1100","1067","1098","1.20 %","30,283.00"
"VLBS","2024-06-11","1098.5","1098.5","1060.1","1085","0.74 %","23,322.00"
"VLBS","2024-06-10","1036","1080","1022.1","1077","3.66 %","35,389.00"
"VLBS","2024-06-09","1089","1089","1022","1039","-2.90 %","48,481.00"
"VLBS","2024-06-06","1062.9","1110","1050","1070","-1.34 %","23,776.00"
"VLBS","2024-06-05","985","1086","985","1084.5","7.90 %","55,584.00"
"VLBS","2024-06-04","935","1031.9","935","1005.1","5.47 %","88,773.00"
"VLBS","2024-06-03","907.3","955","907.3","953","3.59 %","24,496.00"
"VLBS","2024-06-02","910","941.8","905.3","920","0.09 %","11,330.00"
"VLBS","2024-05-30","928","953","919.2","919.2","-1.90 %","24,696.00"
"VLBS","2024-05-29","955","965","921.4","937","-1.88 %","20,057.00"
"VLBS","2024-05-27","949","955","919","955","-0.16 %","23,318.00"
"VLBS","2024-05-26","946","956.5","901.1","956.5","3.07 %","24,514.00"
"VLBS","2024-05-22","978.9","978.9","924","928","-3.33 %","8,507.00"
"VLBS","2024-05-21","915.1","960","901","960","4.92 %","26,826.00"
"VLBS","2024-05-20","966","966","902","915","-3.48 %","27,190.00"
"VLBS","2024-05-19","920","950","885","948","4.29 %","17,870.00"
"VLBS","2024-05-16","868","928","868","909","4.97 %","39,636.00"
"VLBS","2024-05-15","880","888","855","866","-2.15 %","15,354.00"
"VLBS","2024-05-14","853","900","836.1","885","4.14 %","25,666.00"
"VLBS","2024-05-13","811","849.8","811","849.8","3.07 %","8,333.00"
"VLBS","2024-05-12","854","854","810","824.5","-2.76 %","10,252.00"
"VLBS","2024-05-09","875","875","826.1","847.9","-1.52 %","10,412.00"
"VLBS","2024-05-08","853.8","864.9","826","861","2.50 %","14,712.00"
"VLBS","2024-05-07","795","853","795","840","4.35 %","16,739.00"
"VLBS","2024-05-06","800.7","813","778","805","-1.46 %","13,666.00"
"VLBS","2024-05-05","816","857","800","816.9","2.11 %","36,310.00"
"VLBS","2024-05-02","743","802.1","743","800","9.71 %","23,266.00"
"VLBS","2024-04-30","721","744","721","729.2","1.28 %","4,798.00"
"VLBS","2024-04-29","723","728.1","712.6","720","0.85 %","4,406.00"
"VLBS","2024-04-28","715","718","700","713.9","0.45 %","5,717.00"
"VLBS","2024-04-25","714.5","714.5","700.6","710.7","0.81 %","3,356.00"
"VLBS","2024-04-24","691","733.1","691","705","2.03 %","2,216.00"
"VLBS","2024-04-22","711","715","691","691","-2.81 %","7,630.00"
"VLBS","2024-04-21","710","721","670","711","1.41 %","8,519.00"
"VLBS","2024-04-18","725","725","697","701.1","-3.30 %","1,823.00"
"VLBS","2024-04-16","722.2","744","715","725","-1.36 %","2,666.00"
"VLBS","2024-04-15","755","769.9","727","735","-1.61 %","8,129.00"
"VLBS","2024-04-14","728.5","767","716.4","747","2.54 %","8,980.00"
"VLBS","2024-04-10","750","756","719","728.5","-1.82 %","8,052.00"
"VLBS","2024-04-09","755","785","739.9","742","-3.64 %","10,921.00"
"VLBS","2024-04-07","780","794","756.4","770","-1.28 %","17,640.00"
"VLBS","2024-04-04","742","805","735","780","5.12 %","36,394.00"
"VLBS","2024-04-03","700.2","759","700.2","742","5.85 %","36,632.00"
"VLBS","2024-04-02","685","714","674","701","2.86 %","25,905.00"
"VLBS","2024-04-01","680.3","692.8","653.7","681.5","2.17 %","3,809.00"
"VLBS","2024-03-31","690","690","661","667","-1.62 %","3,629.00"
"VLBS","2024-03-28","683","684.9","666","678","1.18 %","6,623.00"
"VLBS","2024-03-27","682.9","684.8","668.5","670.1","0.01 %","6,258.00"
"VLBS","2024-03-26","680.3","680.3","667.2","670","0.45 %","3,305.00"
"VLBS","2024-03-25","681","681","660","667","-2.64 %","5,898.00"
"VLBS","2024-03-21","714","714","685.1","685.1","-2.14 %","7,974.00"
"VLBS","2024-03-20","690","719.8","674","700.1","3.40 %","50,097.00"
"VLBS","2024-03-19","665","692","665","677.1","3.22 %","9,830.00"
"VLBS","2024-03-18","641.1","657","641.1","656","1.08 %","3,422.00"
"VLBS","2024-03-17","652","660","631","649","1.41 %","4,220.00"
"VLBS","2024-03-14","660","666","640","640","-4.18 %","4,414.00"
"VLBS","2024-03-13","667","673","657","667.9","0.86 %","5,061.00"
"VLBS","2024-03-12","653.8","673","648","662.2","3.31 %","6,502.00"
"VLBS","2024-03-10","612","650","612","641","4.24 %","5,900.00"
"VLBS","2024-03-07","612","624","607.2","614.9","2.48 %","2,454.00"
"VLBS","2024-03-06","592.3","604.2","592.2","600","1.28 %","1,636.00"
"VLBS","2024-03-05","605","613.8","582","592.4","-1.76 %","1,036.00"
"VLBS","2024-03-04","591.6","603","591.6","603","3.97 %","20.00"
"VLBS","2024-03-03","590","590","564.9","580","-1.36 %","2,861.00"
"VLBS","2024-02-29","585","600","580.3","588","-0.54 %","1,250.00"
"VLBS","2024-02-28","587","603","587","591.2","-1.14 %","2,189.00"
"VLBS","2024-02-27","608","608","590","598","0.00 %","1,282.00"
"VLBS","2024-02-26","585.1","598","585.1","598","0.67 %","334.00"
"VLBS","2024-02-25","605.1","607","592.8","594","-1.79 %","1,777.00"
"VLBS","2024-02-22","617","617","604.8","604.8","-1.98 %","1,832.00"
"VLBS","2024-02-21","605","639.8","605","617","2.83 %","2,848.00"
"VLBS","2024-02-20","610","613","600","600","-1.15 %","6,519.00"
"VLBS","2024-02-18","636","636","606","607","-2.80 %","2,730.00"
"VLBS","2024-02-15","624.1","630","624","624.5","-1.81 %","1,474.00"
"VLBS","2024-02-14","630","636.1","624","636","0.00 %","2,701.00"
"VLBS","2024-02-13","652","652","617","636","-0.93 %","1,848.00"
"VLBS","2024-02-12","624","642","624","642","1.73 %","1,898.00"
"VLBS","2024-02-11","630","640","630","631.1","-1.39 %","1,243.00"
"VLBS","2024-02-08","640","645","633","640","0.02 %","1,961.00"
"VLBS","2024-02-07","652","652","627.2","639.9","-0.02 %","2,119.00"
"VLBS","2024-02-06","638","645.9","637.5","640","2.04 %","2,539.00"
"VLBS","2024-02-05","635","642","623.4","627.2","-1.23 %","305.00"
"VLBS","2024-02-04","635","635","622.1","635","1.88 %","1,748.00"
"VLBS","2024-02-01","628","639","623.3","623.3","-2.00 %","1,234.00"
"VLBS","2024-01-31","648","648","636","636","-2.30 %","2,095.00"
"VLBS","2024-01-30","651","664","645.2","651","1.88 %","4,720.00"
"VLBS","2024-01-29","655","655","628","639","-1.39 %","681.00"
"VLBS","2024-01-28","626","648","620","648","1.87 %","887.00"
"VLBS","2024-01-25","640","646","635","636.1","-2.14 %","1,613.00"
"VLBS","2024-01-24","659.5","659.5","633.7","650","0.53 %","1,203.00"
"VLBS","2024-01-23","636","647.9","633.1","646.6","1.63 %","1,134.00"
"VLBS","2024-01-22","660","660","636.2","636.2","-2.59 %","2,129.00"
"VLBS","2024-01-21","674.8","675.5","648","653.1","-5.14 %","5,587.00"
"VLBS","2024-01-18","659.7","688.5","646.8","688.5","2.29 %","8,886.00"
"VLBS","2024-01-17","692","705","673","673.1","-1.01 %","12,796.00"
"VLBS","2024-01-16","641.1","683","641.1","680","4.45 %","12,552.00"
"VLBS","2024-01-14","656","656","637","651","0.62 %","2,998.00"
"VLBS","2024-01-11","655","659","627.6","647","-0.77 %","3,279.00"
"VLBS","2024-01-10","650","665","637","652","1.88 %","5,738.00"
"VLBS","2024-01-09","610","640","607.6","640","3.23 %","5,574.00"
"VLBS","2024-01-08","637","637","605","620","-0.80 %","5,222.00"
"VLBS","2024-01-07","612.5","625","600","625","0.16 %","1,443.00"
"VLBS","2024-01-04","626","644","595.9","624","-1.67 %","10,898.00"
"VLBS","2024-01-03","634","634.6","598","634.6","1.89 %","2,478.00"
"VLBS","2024-01-02","615.7","624.5","605","622.8","1.10 %","2,258.00"
"VLBS","2024-01-01","634.9","647","616","616","-1.04 %","1,884.00"
"VLBS","2023-12-28","636","649","620","622.5","-0.32 %","4,740.00"
"VLBS","2023-12-27","642","642","620","624.5","-2.50 %","2,968.00"
"VLBS","2023-12-24","655","660","618","640.5","-0.39 %","9,065.00"
"VLBS","2023-12-21","673","673","642","643","-2.58 %","5,493.00"
"VLBS","2023-12-20","662.9","668","650","660","0.76 %","7,275.00"
"VLBS","2023-12-19","649.9","663","629","655","2.63 %","2,423.00"
"VLBS","2023-12-18","622.1","654.7","615","638.2","4.62 %","10,801.00"
"VLBS","2023-12-17","625","631.9","603","610","-1.61 %","2,058.00"
"VLBS","2023-12-14","612.5","661","602.2","620","-0.80 %","7,510.00"
"VLBS","2023-12-13","617.4","666","609","625","-0.79 %","6,014.00"
"VLBS","2023-12-12","663","663","595","630","-3.08 %","2,850.00"
"VLBS","2023-12-11","607.5","650","578.8","650","7.00 %","9,547.00"
"VLBS","2023-12-10","595.6","607.5","595.6","607.5","4.02 %","20.00"
"VLBS","2023-12-07","617","617","570","584","-5.19 %","1,871.00"
"VLBS","2023-12-06","559","616","558.6","616","8.07 %","2,288.00"
"VLBS","2023-12-05","610.9","610.9","570","570","-4.98 %","657.00"
"VLBS","2023-12-04","577.3","600","566.5","599.9","1.85 %","908.00"
"VLBS","2023-12-03","590","590","580","589","-0.39 %","363.00"
"VLBS","2023-11-30","643.9","643.9","591.3","591.3","-10.00 %","3,780.00"
"VLBS","2023-11-29","597.9","657","576.5","657","9.88 %","1,395.00"
"VLBS","2023-11-28","614.7","614.7","568.1","597.9","-4.67 %","6,371.00"
"VLBS","2023-11-27","640","640","627.2","627.2","-2.32 %","113.00"
"VLBS","2023-11-26","594.9","642.1","567","642.1","9.99 %","5,069.00"
"VLBS","2023-11-23","573.3","584","562","583.8","-0.21 %","680.00"
"VLBS","2023-11-22","570","589.9","570","585","1.04 %","526.00"
"VLBS","2023-11-21","564","579","555","579","0.66 %","3,042.00"
"VLBS","2023-11-20","560.1","579.8","552.8","575.2","0.91 %","1,461.00"
"VLBS","2023-11-09","582","593","570","570","-2.06 %","588.00"
"VLBS","2023-11-08","593.6","593.6","582","582","-0.51 %","379.00"
"VLBS","2023-11-07","602","602","575","585","-1.02 %","1,371.00"
"VLBS","2023-11-06","577","623","556","591","4.23 %","796.00"
"VLBS","2023-11-05","546.1","567","546.1","567","1.98 %","941.00"
"VLBS","2023-11-02","557.2","557.2","556","556","-0.89 %","111.00"
"VLBS","2023-11-01","562","580","561","561","-1.41 %","484.00"
"VLBS","2023-10-31","575","575","553","569","-2.32 %","3,937.00"
"VLBS","2023-10-30","575.2","582.5","575.2","582.5","0.09 %","538.00"
"VLBS","2023-10-29","593","593","575","582","-3.80 %","2,291.00"
"VLBS","2023-10-19","598.8","608.9","587","605","-0.98 %","1,414.00"
"VLBS","2023-10-18","590","611","587","611","2.35 %","793.00"
"VLBS","2023-10-17","590.5","597","578.8","597","3.11 %","1,941.00"
"VLBS","2023-10-16","583.4","583.4","557","579","-0.75 %","3,368.00"
"VLBS","2023-10-12","595","595","583.4","583.4","-1.95 %","1,002.00"
"VLBS","2023-10-11","581.7","595","581.7","595","2.29 %","3,330.00"
"VLBS","2023-10-10","582.2","588.8","580.2","581.7","-1.74 %","1,349.00"
"VLBS","2023-10-09","591","595","590.2","592","-0.67 %","1,408.00"
"VLBS","2023-10-08","597.9","600","596","596","-2.30 %","902.00"
"VLBS","2023-10-05","618","618","600.2","610","-0.34 %","875.00"
"VLBS","2023-10-04","615.6","634.4","611","612.1","1.41 %","1,533.00"
"VLBS","2023-10-03","632.9","632.9","603.6","603.6","-2.96 %","690.00"
"VLBS","2023-10-02","600","622","589","622","4.01 %","1,719.00"
"VLBS","2023-10-01","605","605","586.5","598","-3.06 %","1,372.00"
"VLBS","2023-09-27","612","621","602.1","616.9","-0.64 %","937.00"
"VLBS","2023-09-26","608","621.9","600.1","620.9","3.78 %","1,004.00"
"VLBS","2023-09-25","598","608","598","598.3","-1.76 %","1,152.00"
"VLBS","2023-09-24","590","616","590","609","2.01 %","1,970.00"
"VLBS","2023-09-21","585.4","605","585.4","597","3.99 %","4,127.00"
"VLBS","2023-09-19","581.4","581.4","574.1","574.1","0.72 %","536.00"
"VLBS","2023-09-18","570.1","570.1","568","570","-0.02 %","319.00"
"VLBS","2023-09-17","590","590","567","570.1","-2.55 %","1,618.00"
"VLBS","2023-09-13","575","585","566.2","585","2.63 %","4,034.00"
"VLBS","2023-09-12","580","580","570","570","-2.73 %","491.00"
"VLBS","2023-09-11","570","597","570","586","3.53 %","2,713.00"
"VLBS","2023-09-10","570","575","560","566","-0.53 %","2,873.00"
"VLBS","2023-09-07","572","572","565","569","-0.70 %","1,871.00"
"VLBS","2023-09-05","572","573","567","573","-0.85 %","673.00"
"VLBS","2023-09-04","568.4","580","563.5","577.9","-0.36 %","859.00"
"VLBS","2023-09-03","579","589","578.2","580","-1.69 %","557.00"
"VLBS","2023-08-30","585","595","580","590","-0.61 %","532.00"
"VLBS","2023-08-29","585.1","593.6","580","593.6","1.45 %","308.00"
"VLBS","2023-08-28","581.2","589","581.2","585.1","1.23 %","682.00"
"VLBS","2023-08-27","598.9","598.9","570","578","-2.53 %","1,566.00"
"VLBS","2023-08-24","610","613","591","593","-2.79 %","1,417.00"
"VLBS","2023-08-23","610","613","601","610","0.66 %","1,086.00"
"VLBS","2023-08-22","595","606","590","606","-0.16 %","2,772.00"
"VLBS","2023-08-21","606","607","600","607","0.17 %","351.00"
"VLBS","2023-08-20","607","611.5","600","606","-2.02 %","1,162.00"
"VLBS","2023-08-17","600.1","618.5","600.1","618.5","1.08 %","367.00"
"VLBS","2023-08-16","620","620","591","611.9","-1.31 %","2,391.00"
"VLBS","2023-08-15","603","622","602","620","0.94 %","1,679.00"
"VLBS","2023-08-14","623","632","612","614.2","-1.41 %","582.00"
"VLBS","2023-08-13","635","635","610.6","623","-1.89 %","3,645.00"
"VLBS","2023-08-10","623","645","616","635","0.00 %","479.00"
"VLBS","2023-08-09","625","647","613.1","635","1.60 %","874.00"
"VLBS","2023-08-08","659","660.3","625","625","-6.99 %","3,580.00"
"VLBS","2023-08-07","717.6","717.6","657.1","672","-4.48 %","3,119.00"
"VLBS","2023-07-13","721","723","712","713","0.76 %","1,820.00"
