"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AHL","2024-08-11","690","733","682","720","4.35 %","38,058.00"
"AHL","2024-08-08","731.3","732","682.2","690","-3.77 %","21,453.00"
"AHL","2024-08-07","690","735","688","717","3.54 %","12,872.00"
"AHL","2024-08-06","715","740","691","692.5","-4.75 %","27,938.00"
"AHL","2024-08-05","733.1","758.9","720","727","-0.83 %","30,992.00"
"AHL","2024-08-01","773.2","773.2","730.1","733.1","-3.54 %","41,975.00"
"AHL","2024-07-31","777","823","713","760","-4.04 %","73,475.00"
"AHL","2024-07-30","862.4","904","792","792","-10.00 %","104,377.00"
"AHL","2024-07-29","815.4","880","748.9","880","5.77 %","62,183.00"
"AHL","2024-07-28","770","832","710","832","9.65 %","55,071.00"
"AHL","2024-07-25","703.6","758.8","703.6","758.8","9.99 %","43,235.00"
"AHL","2024-07-24","627.2","689.9","627.2","689.9","10.00 %","33,768.00"
"AHL","2024-07-23","601","648","585","627.2","6.31 %","58,146.00"
"AHL","2024-07-22","591.6","595","560.1","590","1.72 %","42,882.00"
"AHL","2024-07-21","552","590","545.2","580","5.07 %","34,695.00"
"AHL","2024-07-18","550.1","563","548","552","0.91 %","25,748.00"
"AHL","2024-07-17","550","559.9","536","547","1.11 %","30,273.00"
"AHL","2024-07-16","521","562","521","541","3.98 %","32,072.00"
"AHL","2024-07-15","533","537","520","520.3","-2.38 %","13,490.00"
"AHL","2024-07-14","540.6","551","528","533","0.57 %","19,487.00"
"AHL","2024-07-11","524","540","524","530","1.15 %","35,295.00"
"AHL","2024-07-10","530.9","530.9","518","524","0.52 %","9,369.00"
"AHL","2024-07-09","520","527","517","521.3","0.83 %","9,636.00"
"AHL","2024-07-08","527.3","535","516.5","517","0.00 %","25,752.00"
"AHL","2024-07-07","526.9","536","515","517","0.08 %","8,760.00"
"AHL","2024-07-04","524","534.1","515","516.6","0.41 %","13,952.00"
"AHL","2024-07-03","500.8","520","500.8","514.5","0.68 %","9,946.00"
"AHL","2024-07-02","520.2","550","509","511","0.20 %","11,158.00"
"AHL","2024-07-01","493","513","493","510","1.39 %","6,102.00"
"AHL","2024-06-30","524","524","501.1","503","-2.14 %","10,515.00"
"AHL","2024-06-27","523","523","482.6","514","0.18 %","14,016.00"
"AHL","2024-06-26","538.5","538.5","513","513.1","-2.82 %","13,040.00"
"AHL","2024-06-25","512","536","509.2","528","3.29 %","32,349.00"
"AHL","2024-06-24","518","518","508","511.2","0.63 %","19,283.00"
"AHL","2024-06-23","505","525.3","500","508","1.60 %","19,648.00"
"AHL","2024-06-20","518","518","497","500","-1.57 %","34,334.00"
"AHL","2024-06-19","499","519","497.9","508","1.60 %","20,609.00"
"AHL","2024-06-18","505","508.9","492","500","0.60 %","16,996.00"
"AHL","2024-06-16","504","534.6","497","497","-1.39 %","17,820.00"
"AHL","2024-06-13","516.1","519.9","490.9","504","-0.40 %","25,468.00"
"AHL","2024-06-12","530","540","496.9","506","-2.69 %","35,547.00"
"AHL","2024-06-11","530.4","547","516","520","0.00 %","22,918.00"
"AHL","2024-06-10","500","529.3","485.1","520","5.48 %","29,179.00"
"AHL","2024-06-09","475","500","473","493","5.34 %","37,564.00"
"AHL","2024-06-06","472.9","487","464.5","468","-1.06 %","6,083.00"
"AHL","2024-06-05","480","490.6","464","473","0.21 %","7,299.00"
"AHL","2024-06-04","495.8","499.8","472","472","-2.90 %","12,601.00"
"AHL","2024-06-03","480.3","509.5","480.3","486.1","-0.80 %","18,536.00"
"AHL","2024-06-02","453","490.5","453","490","6.06 %","29,227.00"
"AHL","2024-05-30","464.2","471.9","446.2","462","1.52 %","11,732.00"
"AHL","2024-05-29","478.3","478.3","451.1","455.1","-2.96 %","6,536.00"
"AHL","2024-05-27","471.2","480","455","469","1.52 %","8,651.00"
"AHL","2024-05-26","486","488","455","462","-3.55 %","9,347.00"
"AHL","2024-05-22","464","501.6","453","479","5.04 %","26,535.00"
"AHL","2024-05-21","445","463","431.4","456","2.70 %","29,425.00"
"AHL","2024-05-20","444.9","451","432.1","444","1.63 %","12,588.00"
"AHL","2024-05-19","435","443","426.1","436.9","1.79 %","6,724.00"
"AHL","2024-05-16","449","451","428","429.2","-3.12 %","16,194.00"
"AHL","2024-05-15","455","464","433","443","-1.27 %","11,701.00"
"AHL","2024-05-14","444","449.6","428","448.7","2.94 %","12,310.00"
"AHL","2024-05-13","431.3","444","427","435.9","-0.89 %","8,450.00"
"AHL","2024-05-12","428.8","441.6","428.8","439.8","0.87 %","1,530.00"
"AHL","2024-05-09","437","440","427.3","436","1.58 %","1,362.00"
"AHL","2024-05-08","441","446","429.2","429.2","-2.23 %","3,337.00"
"AHL","2024-05-07","445","445","431","439","-0.18 %","1,987.00"
"AHL","2024-05-06","448.9","448.9","432","439.8","-0.27 %","2,170.00"
"AHL","2024-05-05","430.5","452.7","428.1","441","1.33 %","7,743.00"
"AHL","2024-05-02","455","474.3","435.2","435.2","-2.64 %","3,781.00"
"AHL","2024-04-30","432","468","432","447","2.52 %","9,756.00"
"AHL","2024-04-29","454","454","435","436","-2.24 %","5,658.00"
"AHL","2024-04-28","454.9","463","438","446","0.00 %","2,815.00"
"AHL","2024-04-25","454.8","454.8","439","446","0.02 %","7,599.00"
"AHL","2024-04-24","444.7","455","438","445.9","2.27 %","6,374.00"
"AHL","2024-04-22","450","458","436","436","-3.11 %","11,391.00"
"AHL","2024-04-21","444.7","450","432.1","450","3.21 %","7,302.00"
"AHL","2024-04-18","443","443","426.2","436","-1.58 %","3,514.00"
