"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPW","2024-03-06","1200","1200","1140.1","1141.5","-3.04 %","1,900.00"
"BPW","2024-03-05","1275","1279.9","1177.3","1177.3","-8.31 %","1,506.00"
"BPW","2024-03-04","1235","1284","1235","1284","5.93 %","80.00"
"BPW","2024-03-03","1326","1326","1200","1212.1","-6.76 %","338.00"
"BPW","2024-02-29","1290","1395","1290","1300","2.43 %","4,235.00"
"BPW","2024-02-28","1176.9","1269.2","1176.9","1269.2","9.99 %","663.00"
"BPW","2024-02-27","1069.9","1153.9","1050","1153.9","10.00 %","1,398.00"
"BPW","2024-02-26","1128","1128","1035","1049","-8.77 %","2,300.00"
"BPW","2024-02-25","1220","1220","1140","1149.9","-5.82 %","1,613.00"
"BPW","2024-02-22","1255","1260","1205","1221","-4.61 %","2,562.00"
"BPW","2024-02-21","1290","1298.9","1280","1280","-0.40 %","1,338.00"
"BPW","2024-02-20","1300","1300","1280","1285.1","-1.15 %","323.00"
"BPW","2024-02-18","1300","1300","1277","1300","0.00 %","1,315.00"
"BPW","2024-02-15","1373.9","1390","1300","1300","-3.56 %","1,089.00"
"BPW","2024-02-14","1350","1350","1320","1348","-0.96 %","672.00"
"BPW","2024-02-13","1300","1361.9","1300","1361","2.61 %","572.00"
"BPW","2024-02-12","1335","1360.1","1326.4","1326.4","-1.82 %","1,565.00"
"BPW","2024-02-11","1370","1396","1336","1351","-2.17 %","2,078.00"
"BPW","2024-02-08","1396.5","1414.7","1370","1381","-3.09 %","5,108.00"
"BPW","2024-02-07","1413","1444","1413","1425","0.99 %","328.00"
"BPW","2024-02-06","1433","1434.1","1406.3","1411.1","0.36 %","100.00"
"BPW","2024-02-05","1447","1447","1405","1406","-2.83 %","429.00"
"BPW","2024-02-04","1370","1447","1350","1447","3.79 %","767.00"
"BPW","2024-02-01","1430","1450","1388","1394.2","-0.84 %","562.00"
"BPW","2024-01-31","1434.1","1434.1","1406","1406","0.00 %","727.00"
"BPW","2024-01-30","1458.6","1487.7","1403.4","1406","-1.69 %","940.00"
"BPW","2024-01-29","1430.2","1455","1430","1430.1","0.36 %","530.00"
"BPW","2024-01-28","1417","1444","1411","1425","0.62 %","395.00"
"BPW","2024-01-25","1440","1450","1416.2","1416.2","-1.03 %","420.00"
"BPW","2024-01-24","1405.2","1457","1405.2","1431","0.18 %","505.00"
"BPW","2024-01-23","1487","1487","1400.5","1428.5","-2.04 %","770.00"
"BPW","2024-01-22","1488","1495","1458.3","1458.3","-2.00 %","457.00"
"BPW","2024-01-21","1500","1500","1465","1488","1.09 %","1,915.00"
"BPW","2024-01-18","1465","1516","1465","1472","-1.41 %","1,495.00"
"BPW","2024-01-17","1496","1530","1485","1493.1","-0.92 %","2,793.00"
"BPW","2024-01-16","1500","1544","1492","1507","-0.34 %","2,715.00"
"BPW","2024-01-14","1509.6","1555.5","1495","1512.1","2.17 %","1,562.00"
"BPW","2024-01-11","1494","1523","1470","1480","1.02 %","655.00"
"BPW","2024-01-10","1515","1525","1460","1465","-1.41 %","766.00"
"BPW","2024-01-09","1480","1524","1480","1486","0.75 %","1,577.00"
"BPW","2024-01-08","1477","1480","1460","1475","1.72 %","606.00"
"BPW","2024-01-07","1464.4","1500","1446","1450","-2.95 %","1,360.00"
"BPW","2024-01-04","1505","1510","1477","1494.1","-2.66 %","1,963.00"
"BPW","2024-01-03","1535","1565","1500","1535","1.78 %","1,160.00"
"BPW","2024-01-02","1476","1600","1476","1508.2","2.18 %","4,474.00"
"BPW","2024-01-01","1337.2","1500.8","1337.2","1476","8.18 %","4,369.00"
"BPW","2023-12-28","1485.7","1485.7","1364.4","1364.4","-10.00 %","3,084.00"
"BPW","2023-12-27","1718","1718","1516","1516","-10.00 %","1,691.00"
"BPW","2023-12-24","1561.9","1684.4","1561.9","1684.4","10.00 %","2,488.00"
"BPW","2023-12-21","1419.9","1531.3","1419.9","1531.3","10.00 %","6,953.00"
"BPW","2023-12-20","1290.9","1392.1","1290.9","1392.1","10.00 %","1,102.00"
"BPW","2023-12-19","1173.6","1265.6","1173.6","1265.6","9.99 %","2,575.00"
"BPW","2023-12-18","1051","1150.6","1050","1150.6","10.00 %","2,424.00"
"BPW","2023-12-17","1081","1081","1041.1","1046","-3.24 %","828.00"
"BPW","2023-12-14","1040.1","1081","1040.1","1081","1.99 %","995.00"
"BPW","2023-12-13","1041","1089","1019.2","1059.9","1.91 %","1,188.00"
"BPW","2023-12-12","1025","1046.5","1025","1040","1.65 %","670.00"
"BPW","2023-12-11","980.2","1057.1","980.2","1023.1","6.46 %","1,411.00"
"BPW","2023-12-10","961","961","961","961","0.52 %","10.00"
"BPW","2023-12-07","971","1004","956","956","0.42 %","200.00"
"BPW","2023-12-06","971","971","952","952","-1.96 %","30.00"
"BPW","2023-12-05","965","971","951.6","971","0.00 %","355.00"
"BPW","2023-12-04","966","971","966","971","-1.42 %","60.00"
"BPW","2023-12-03","972","991","972","985","0.00 %","320.00"
"BPW","2023-11-30","985","995","980","985","-1.99 %","390.00"
"BPW","2023-11-29","991.4","1005","991.4","1005","-0.05 %","438.00"
"BPW","2023-11-28","1060","1081","1005","1005.5","-3.32 %","602.00"
"BPW","2023-11-27","1060","1117.9","1020","1040","0.00 %","495.00"
"BPW","2023-11-26","1010","1040","1000","1040","4.00 %","755.00"
"BPW","2023-11-23","980","1006.7","980","1000","1.31 %","642.00"
"BPW","2023-11-22","999.9","1010","980.2","987.1","-0.69 %","210.00"
"BPW","2023-11-21","943","1013","943","994","7.46 %","2,634.00"
"BPW","2023-11-20","894.7","925","884.7","925","5.45 %","380.00"
"BPW","2023-11-09","860","877.2","843.3","877.2","2.00 %","50.00"
"BPW","2023-11-08","855","877.3","855","860","-0.35 %","50.00"
"BPW","2023-11-07","863","863","863","863","-1.93 %","50.00"
"BPW","2023-11-06","887.4","887.4","865","880","1.15 %","179.00"
"BPW","2023-11-05","885","885","870","870","-3.62 %","340.00"
"BPW","2023-11-02","891.8","902.7","875","902.7","-0.80 %","135.00"
"BPW","2023-11-01","906.1","910","906","910","-1.30 %","109.00"
"BPW","2023-10-31","960","960","916","922","-4.36 %","136.00"
"BPW","2023-10-30","928","989.9","900","964","3.21 %","354.00"
"BPW","2023-10-29","890","944","875","934","5.62 %","1,005.00"
"BPW","2023-10-19","850.3","884.3","850","884.3","4.76 %","593.00"
"BPW","2023-10-18","868","905","840","844.1","-4.62 %","801.00"
"BPW","2023-10-17","889.6","907","885","885","1.47 %","111.00"
"BPW","2023-10-16","879","897.6","845","872.2","-2.66 %","397.00"
"BPW","2023-10-12","912.7","912.7","883","896","-3.66 %","1,225.00"
"BPW","2023-10-11","951","952.9","930","930","-3.23 %","538.00"
"BPW","2023-10-10","1009","1020","936","961","-4.76 %","220.00"
"BPW","2023-10-09","1000","1026","980","1009","0.10 %","540.00"
"BPW","2023-10-08","1021.5","1021.5","1007.1","1008","-3.11 %","251.00"
"BPW","2023-10-05","1044.6","1044.6","1020.1","1040.4","-2.39 %","576.00"
"BPW","2023-10-04","1078","1099","1031.9","1065.9","-3.10 %","930.00"
"BPW","2023-10-03","1116.3","1116.3","1029.8","1100","-3.42 %","419.00"
"BPW","2023-10-02","1086","1139","1010","1139","4.02 %","1,330.00"
"BPW","2023-10-01","1130","1130","1087.9","1095","-3.52 %","385.00"
"BPW","2023-09-27","1135.9","1145","1115.2","1135","-0.08 %","322.00"
"BPW","2023-09-26","1159","1210","1135.9","1135.9","-0.53 %","448.00"
"BPW","2023-09-25","1130","1143.4","1110","1142","1.06 %","392.00"
"BPW","2023-09-24","1119","1174","1119","1130","-0.88 %","440.00"
"BPW","2023-09-21","1122","1162","1118","1140","0.00 %","611.00"
"BPW","2023-09-19","1120","1140","1110","1140","0.00 %","403.00"
"BPW","2023-09-18","1130","1147","1108","1140","0.88 %","155.00"
"BPW","2023-09-17","1140","1140","1088.2","1130","-0.88 %","795.00"
"BPW","2023-09-13","1173","1265","1120","1140","-0.87 %","747.00"
"BPW","2023-09-12","1160","1160","1115","1150","0.04 %","70.00"
"BPW","2023-09-11","1104","1160","1104","1149.5","2.27 %","307.00"
"BPW","2023-09-10","1104.5","1149","1100","1124","-0.27 %","271.00"
"BPW","2023-09-07","1127","1127","1111","1127","-2.00 %","415.00"
"BPW","2023-09-05","1116.3","1150","1105","1150","0.97 %","280.00"
"BPW","2023-09-04","1171.9","1243.5","1122.8","1139","-0.87 %","285.00"
"BPW","2023-09-03","1150","1150","1102","1149","-1.87 %","400.00"
"BPW","2023-08-30","1172","1196.4","1148","1170.9","1.82 %","260.00"
"BPW","2023-08-29","1110.1","1150","1099","1150","3.16 %","234.00"
"BPW","2023-08-28","1111.2","1130","1093","1114.8","-1.09 %","690.00"
"BPW","2023-08-27","1150","1150","1127.1","1127.1","-2.00 %","490.00"
"BPW","2023-08-24","1190","1195","1150","1150.1","-3.60 %","551.00"
"BPW","2023-08-23","1164.3","1210","1164.3","1193","0.42 %","620.00"
"BPW","2023-08-22","1195.8","1195.8","1156.6","1188","1.28 %","433.00"
"BPW","2023-08-21","1160","1180","1147.1","1173","0.26 %","602.00"
"BPW","2023-08-20","1190","1190","1151","1170","-1.68 %","350.00"
"BPW","2023-08-17","1152","1194.4","1152","1190","1.88 %","110.00"
"BPW","2023-08-16","1177","1200","1168","1168","-2.67 %","445.00"
"BPW","2023-08-15","1172","1200","1161","1200","1.69 %","520.00"
"BPW","2023-08-14","1170","1193.4","1170","1180","-0.84 %","190.00"
"BPW","2023-08-13","1210","1270","1187","1190","-0.58 %","360.00"
"BPW","2023-08-10","1240","1287","1197","1197","-1.89 %","1,150.00"
"BPW","2023-08-09","1175","1220","1170","1220","3.39 %","411.00"
"BPW","2023-08-08","1194.7","1200","1180","1180","-3.20 %","726.00"
"BPW","2023-08-07","1215","1262","1166.1","1219","-1.53 %","981.00"
"BPW","2023-08-06","1222","1239.3","1204","1237.9","-0.58 %","513.00"
"BPW","2023-08-03","1237","1279.7","1237","1245.1","-0.77 %","548.00"
"BPW","2023-08-02","1226","1275","1226","1254.7","0.38 %","443.00"
"BPW","2023-08-01","1265","1290","1241","1250","-1.19 %","1,442.00"
"BPW","2023-07-31","1250","1375","1230","1265","1.20 %","1,215.00"
"BPW","2023-07-30","1291","1300.1","1250","1250","-4.14 %","984.00"
"BPW","2023-07-27","1300","1393.9","1290","1304","-0.84 %","966.00"
"BPW","2023-07-26","1341.1","1350","1301","1315","-3.02 %","1,213.00"
"BPW","2023-07-25","1402.2","1402.2","1350","1356","-5.23 %","1,403.00"
"BPW","2023-07-24","1353","1460","1303","1430.8","3.66 %","2,503.00"
"BPW","2023-07-23","1476.9","1476.9","1375","1380.3","-4.68 %","2,743.00"
"BPW","2023-07-20","1510","1519.9","1389","1448","-2.86 %","3,428.00"
"BPW","2023-07-19","1355.2","1490.7","1345","1490.7","10.00 %","3,497.00"
"BPW","2023-07-18","1256.6","1355.2","1256.6","1355.2","10.00 %","3,410.00"
"BPW","2023-07-17","1116","1232","1116","1232","10.00 %","2,003.00"
"BPW","2023-07-16","1117","1135","1113.1","1120","-1.15 %","820.00"
"BPW","2023-07-13","1117.1","1182","1117.1","1133","-0.38 %","1,010.00"
"BPW","2023-07-12","1117.2","1140","1108","1137.3","-0.24 %","1,174.00"
"BPW","2023-07-11","1127","1158","1127","1140","-0.87 %","818.00"
"BPW","2023-07-10","1155","1201","1142","1150","-0.17 %","1,661.00"
"BPW","2023-07-09","1182","1324.9","1150","1152","-4.43 %","1,593.00"
"BPW","2023-07-06","1234.4","1234.4","1133.6","1205.4","-4.30 %","4,658.00"
"BPW","2023-07-05","1371.5","1371.5","1259.5","1259.5","-10.00 %","2,572.00"
"BPW","2023-07-04","1585.8","1710","1399.4","1399.4","-9.99 %","2,480.00"
"BPW","2023-07-03","1441.7","1554.8","1441.7","1554.8","10.00 %","2,730.00"
"BPW","2023-07-02","1310.7","1413.5","1310.7","1413.5","10.00 %","4,213.00"
"BPW","2023-06-28","1191.5","1285","1191.5","1285","10.00 %","2,618.00"
"BPW","2023-06-27","1083.2","1168.2","1083.2","1168.2","10.00 %","120.00"
"BPW","2023-06-26","984.8","1062","984.8","1062","9.99 %","324.00"
"BPW","2023-06-25","895.3","965.5","895.3","965.5","9.99 %","130.00"
"BPW","2023-06-22","813.9","877.8","813.9","877.8","10.00 %","70.00"
"BPW","2023-06-21","767.1","798","767.1","798","6.10 %","30.00"
"BPW","2023-06-20","697.4","752.1","697.4","752.1","9.99 %","70.00"
"BPW","2023-06-19","634.1","683.8","634.1","683.8","9.99 %","313.00"
"BPW","2023-06-18","621.7","621.7","621.7","621.7","1.98 %","10.00"
"BPW","2023-06-15","574.6","609.6","574.6","609.6","8.20 %","60.00"
"BPW","2023-06-14","552.4","563.4","552.4","563.4","4.03 %","20.00"
"BPW","2023-06-13","520.6","541.6","520.6","541.6","6.11 %","30.00"
"BPW","2023-06-12","500.4","510.4","500.4","510.4","4.04 %","20.00"
"BPW","2023-06-11","481","490.6","481","490.6","4.03 %","40.00"
"BPW","2023-06-08","453.4","471.6","453.4","471.6","6.07 %","30.00"
"BPW","2023-06-06","435.9","444.6","435.9","444.6","4.02 %","20.00"
"BPW","2023-06-05","419.1","427.4","419.1","427.4","4.02 %","30.00"
"BPW","2023-06-04","410.9","410.9","410.9","410.9","1.99 %","20.00"
"BPW","2023-06-01","387.3","402.9","387.3","402.9","6.08 %","30.00"
"BPW","2023-05-31","379.8","379.8","379.8","379.8","1.99 %","10.00"
"BPW","2023-05-30","338","372.4","338","372.4","9.98 %","80.00"
"BPW","2023-05-28","332","338.6","332","338.6","2.05 %","30.00"
"BPW","2023-05-24","325.3","331.8","325.3","331.8","4.01 %","20.00"
"BPW","2023-05-23","312.8","319","312.8","319","4.01 %","20.00"
"BPW","2023-05-22","300.7","306.7","300.7","306.7","4.00 %","20.00"
"BPW","2023-05-21","289.2","294.9","289.2","294.9","3.98 %","20.00"
