"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DORDI","2024-08-11","496","535.5","496","524.9","5.85 %","82,074.00"
"DORDI","2024-08-08","504.5","507","489","495.9","0.24 %","80,825.00"
"DORDI","2024-08-07","478","503.9","464.1","494.7","3.93 %","53,988.00"
"DORDI","2024-08-06","485.2","499","456.7","476","-2.86 %","57,466.00"
"DORDI","2024-08-05","476","494.7","466.5","490","2.94 %","52,019.00"
"DORDI","2024-08-01","482","498","475","476","-2.86 %","60,842.00"
"DORDI","2024-07-31","502.5","502.5","484.3","490","-0.55 %","58,857.00"
"DORDI","2024-07-30","485","495","473","492.7","2.65 %","61,917.00"
"DORDI","2024-07-29","477","493","470","480","0.00 %","60,322.00"
"DORDI","2024-07-28","483.1","498.7","461","480","1.24 %","35,323.00"
"DORDI","2024-07-25","473.5","485","472.5","474.1","-1.70 %","29,042.00"
"DORDI","2024-07-24","511","512","475","482.3","-4.10 %","50,889.00"
"DORDI","2024-07-23","490","505","485","502.9","4.34 %","79,858.00"
"DORDI","2024-07-22","465","488.6","465","482","3.88 %","85,002.00"
"DORDI","2024-07-21","470","473.9","460.1","464","-0.22 %","45,779.00"
"DORDI","2024-07-18","465","473.9","457","465","-0.85 %","51,251.00"
"DORDI","2024-07-17","473","480","461","469","-0.64 %","51,444.00"
"DORDI","2024-07-16","459","473","446","472","4.77 %","47,006.00"
"DORDI","2024-07-15","446.9","464","446.9","450.5","-1.21 %","24,456.00"
"DORDI","2024-07-14","455","472","445","456","1.56 %","38,159.00"
"DORDI","2024-07-11","465","465","443","449","-2.39 %","66,786.00"
"DORDI","2024-07-10","467.1","478","441","460","-2.95 %","62,499.00"
"DORDI","2024-07-09","468.5","483","466.1","474","-0.84 %","23,062.00"
"DORDI","2024-07-08","446","478","446","478","5.03 %","44,249.00"
"DORDI","2024-07-07","455","465","452","455.1","-1.28 %","35,211.00"
"DORDI","2024-07-04","477.2","493.6","461","461","-4.75 %","76,112.00"
"DORDI","2024-07-03","479.3","488","470","484","-1.02 %","47,090.00"
"DORDI","2024-07-02","483.4","502.8","468","489","3.16 %","59,864.00"
"DORDI","2024-07-01","428.3","475","428.3","474","8.47 %","162,262.00"
"DORDI","2024-06-30","438","448.2","426.6","437","0.46 %","45,621.00"
"DORDI","2024-06-27","419.5","435","419.5","435","1.64 %","13,167.00"
"DORDI","2024-06-26","441","449","424","428","-1.15 %","13,457.00"
"DORDI","2024-06-25","418","446","415.5","433","3.79 %","22,738.00"
"DORDI","2024-06-24","421","429.4","412.7","417.2","-0.67 %","10,790.00"
"DORDI","2024-06-23","411","422","410.2","420","0.96 %","11,238.00"
"DORDI","2024-06-20","420","423.1","416","416","-0.95 %","9,846.00"
"DORDI","2024-06-19","427","427","415","420","0.24 %","8,737.00"
"DORDI","2024-06-18","416.5","425","416.5","419","-1.41 %","16,849.00"
"DORDI","2024-06-16","430","435","425","425","-1.16 %","16,548.00"
"DORDI","2024-06-13","427.1","439","425","430","-0.69 %","20,786.00"
"DORDI","2024-06-12","438","445","430","433","-1.37 %","22,072.00"
"DORDI","2024-06-11","439","451","435","439","0.00 %","24,374.00"
"DORDI","2024-06-10","435.3","453","420","439","2.83 %","82,486.00"
"DORDI","2024-06-09","424","437","424","426.9","0.68 %","15,537.00"
"DORDI","2024-06-06","426.3","429.9","411","424","1.44 %","36,660.00"
"DORDI","2024-06-05","422","427.5","418","418","-2.79 %","10,645.00"
"DORDI","2024-06-04","439","442","427.1","430","-1.15 %","18,128.00"
"DORDI","2024-06-03","425","438.6","422.1","435","3.57 %","57,310.00"
"DORDI","2024-06-02","415","424","411.1","420","1.45 %","16,331.00"
"DORDI","2024-05-30","410","439","406","414","0.00 %","8,253.00"
"DORDI","2024-05-29","421.2","424.9","406.1","414","0.24 %","9,107.00"
"DORDI","2024-05-27","415","420","407.3","413","0.22 %","5,238.00"
"DORDI","2024-05-26","427","427","408","412.1","-2.58 %","9,127.00"
"DORDI","2024-05-22","441","441","422.1","423","-2.31 %","20,065.00"
"DORDI","2024-05-21","423","434","417","433","4.34 %","27,951.00"
"DORDI","2024-05-20","410","416","402.1","415","3.23 %","28,659.00"
"DORDI","2024-05-19","407","407","396.5","402","-0.25 %","13,963.00"
"DORDI","2024-05-16","400","404","398.6","403","-0.74 %","10,383.00"
"DORDI","2024-05-15","412","419.9","405.4","406","-1.46 %","8,760.00"
"DORDI","2024-05-14","405","413","392.3","412","3.26 %","16,210.00"
"DORDI","2024-05-13","393","400","393","399","0.25 %","8,439.00"
"DORDI","2024-05-12","396","405","396","398","0.51 %","7,348.00"
"DORDI","2024-05-09","410","410.9","395","396","-1.74 %","14,645.00"
"DORDI","2024-05-08","396.4","408","396","403","0.00 %","4,304.00"
"DORDI","2024-05-07","400","419","399","403","-1.23 %","5,557.00"
"DORDI","2024-05-06","399","417","399","408","0.49 %","8,400.00"
"DORDI","2024-05-05","404","412","403","406","-1.46 %","6,363.00"
"DORDI","2024-05-02","408","416","408","412","1.45 %","9,237.00"
"DORDI","2024-04-30","410","418","404.3","406.1","-0.95 %","15,521.00"
"DORDI","2024-04-29","414","417.8","408","410","-1.01 %","6,264.00"
"DORDI","2024-04-28","419","426.9","412","414.2","-1.38 %","6,488.00"
"DORDI","2024-04-25","401","423","401","420","3.45 %","24,343.00"
