"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EBL","2024-08-11","690","695","679","692.5","1.54 %","243,151.00"
"EBL","2024-08-08","690","695","675","682","-0.12 %","125,871.00"
"EBL","2024-08-07","673","686","660","682.8","1.46 %","268,169.00"
"EBL","2024-08-06","690","700.5","670","673","-2.17 %","401,087.00"
"EBL","2024-08-05","683.5","707","683","687.9","2.66 %","285,021.00"
"EBL","2024-08-01","688","688","670","670.1","-1.02 %","278,830.00"
"EBL","2024-07-31","668.9","681.8","665","677","1.80 %","228,076.00"
"EBL","2024-07-30","668","670","650","665","0.15 %","182,913.00"
"EBL","2024-07-29","692","700","660","664","-2.14 %","332,829.00"
"EBL","2024-07-28","629.2","678.5","629.2","678.5","9.99 %","368,776.00"
"EBL","2024-07-25","619","619","600.1","616.9","1.13 %","159,802.00"
"EBL","2024-07-24","616","620","600","610","-0.81 %","216,469.00"
"EBL","2024-07-23","615","615","603","615","1.23 %","133,980.00"
"EBL","2024-07-22","615.4","617","600","607.5","-1.19 %","102,363.00"
"EBL","2024-07-21","610","621","598","614.8","0.79 %","131,301.00"
"EBL","2024-07-18","592","618","587.3","610","3.88 %","162,266.00"
"EBL","2024-07-17","575","590","571","587.2","2.50 %","102,276.00"
"EBL","2024-07-16","556","573","556","572.9","2.30 %","44,666.00"
"EBL","2024-07-15","569","575","552","560","-1.41 %","96,569.00"
"EBL","2024-07-14","564","575","558.2","568","2.71 %","59,158.00"
"EBL","2024-07-11","550","556","547.7","553","0.91 %","83,055.00"
"EBL","2024-07-10","540.1","548.7","540","548","1.48 %","40,800.00"
"EBL","2024-07-09","535.1","540","534.2","540","0.41 %","16,393.00"
"EBL","2024-07-08","542","542","535.5","537.8","-0.59 %","23,102.00"
"EBL","2024-07-07","542","545","538.2","541","-0.18 %","33,158.00"
"EBL","2024-07-04","540","544.2","536","542","0.74 %","44,284.00"
"EBL","2024-07-03","530","538","526.4","538","0.19 %","23,887.00"
"EBL","2024-07-02","529","570","529","537","3.47 %","34,288.00"
"EBL","2024-07-01","518","519","511","519","0.19 %","15,298.00"
"EBL","2024-06-30","519","519","517.1","518","-0.56 %","15,540.00"
"EBL","2024-06-27","523","523","518.1","520.9","-0.59 %","11,467.00"
"EBL","2024-06-26","526","529","520","524","-0.38 %","25,334.00"
"EBL","2024-06-25","520.6","528.5","520.6","526","0.59 %","9,844.00"
"EBL","2024-06-24","528","528","520.1","522.9","0.19 %","22,845.00"
"EBL","2024-06-23","529","529","521.2","521.9","-1.16 %","28,362.00"
"EBL","2024-06-20","539.4","539.4","526","528","-0.17 %","15,835.00"
"EBL","2024-06-19","530","530","525","528.9","-0.53 %","21,637.00"
"EBL","2024-06-18","527","532","525","531.7","0.32 %","11,520.00"
"EBL","2024-06-16","532.9","532.9","526.1","530","-0.56 %","18,004.00"
"EBL","2024-06-13","534","534","530.6","533","-0.36 %","16,504.00"
"EBL","2024-06-12","535","540","532","534.9","0.73 %","21,639.00"
"EBL","2024-06-11","539.8","539.8","525.1","531","0.32 %","25,098.00"
"EBL","2024-06-10","537.5","537.5","520","529.3","0.44 %","30,420.00"
"EBL","2024-06-09","538.5","538.5","525","527","-0.19 %","25,534.00"
"EBL","2024-06-06","528.1","528.1","521.2","528","-0.17 %","27,100.00"
"EBL","2024-06-05","520","531","520","528.9","-0.30 %","17,664.00"
"EBL","2024-06-04","527.8","530.5","524.3","530.5","0.51 %","31,818.00"
"EBL","2024-06-03","526.7","528","522.2","527.8","0.21 %","12,259.00"
"EBL","2024-06-02","523","528","520","526.7","0.71 %","16,905.00"
"EBL","2024-05-30","530","530","522","523","-1.13 %","30,166.00"
"EBL","2024-05-29","549.9","549.9","528.3","529","-2.04 %","37,485.00"
"EBL","2024-05-27","550","550","538.5","540","-1.26 %","53,168.00"
"EBL","2024-05-26","555","556","541.2","546.9","-0.73 %","70,491.00"
"EBL","2024-05-22","542","559","537.3","550.9","1.66 %","131,084.00"
"EBL","2024-05-21","542","542","532","541.9","1.86 %","63,560.00"
"EBL","2024-05-20","527","544","522","532","2.90 %","103,898.00"
"EBL","2024-05-19","522.2","523","509","517","0.98 %","52,012.00"
"EBL","2024-05-16","505","512","502.5","512","0.39 %","21,450.00"
"EBL","2024-05-15","521","521","507","510","-0.20 %","17,063.00"
"EBL","2024-05-14","519.8","519.8","508","511","0.22 %","23,270.00"
"EBL","2024-05-13","502","512","500","509.9","1.98 %","29,128.00"
"EBL","2024-05-12","501","503","494","500","0.20 %","33,282.00"
"EBL","2024-05-09","495.1","499.5","495.1","499","-0.60 %","13,206.00"
"EBL","2024-05-08","498","505","496","502","0.48 %","9,557.00"
"EBL","2024-05-07","500","500","496","499.6","0.34 %","20,651.00"
"EBL","2024-05-06","503","503","492.1","497.9","-0.42 %","28,543.00"
"EBL","2024-05-05","505","508","500","500","-1.07 %","22,588.00"
"EBL","2024-05-02","519.1","519.1","504.1","505.4","-0.71 %","19,183.00"
"EBL","2024-04-30","515.1","515.1","505","509","0.79 %","15,772.00"
"EBL","2024-04-29","505","506","502.2","505","0.00 %","14,002.00"
"EBL","2024-04-28","505","506","498.2","505","0.00 %","30,043.00"
"EBL","2024-04-25","505.9","505.9","500","505","-0.18 %","10,713.00"
"EBL","2024-04-24","501.1","506","501.1","505.9","0.20 %","13,536.00"
"EBL","2024-04-22","504.1","509.8","503","504.9","-0.22 %","16,174.00"
"EBL","2024-04-21","505","508","499.5","506","1.81 %","18,528.00"
"EBL","2024-04-18","498.9","500","494","497","0.00 %","7,434.00"
"EBL","2024-04-16","495.3","500","495.3","497","-0.60 %","10,227.00"
"EBL","2024-04-15","504.7","504.7","498.2","500","-0.75 %","16,601.00"
"EBL","2024-04-14","509","509","498","503.8","-0.24 %","25,363.00"
"EBL","2024-04-10","502","505","500.2","505","0.22 %","20,985.00"
"EBL","2024-04-09","510","510","500","503.9","0.78 %","12,671.00"
"EBL","2024-04-07","493","500","487.3","500","1.42 %","17,202.00"
"EBL","2024-04-04","493","496","490.6","493","-0.20 %","35,709.00"
"EBL","2024-04-03","497","506","490.5","494","-0.60 %","39,455.00"
"EBL","2024-04-02","498.1","500","492","497","0.20 %","33,711.00"
"EBL","2024-04-01","498","503","494","496","-0.80 %","28,099.00"
"EBL","2024-03-31","510","510","498","500","-0.73 %","29,864.00"
"EBL","2024-03-28","504.5","508.8","503","503.7","-0.26 %","23,558.00"
"EBL","2024-03-27","507.9","508","502.5","505","-0.26 %","23,873.00"
"EBL","2024-03-26","505","509","503.4","506.3","0.66 %","16,132.00"
"EBL","2024-03-25","510","511","502.3","503","-1.97 %","29,900.00"
"EBL","2024-03-21","512","518","511.2","513.1","-0.19 %","15,525.00"
"EBL","2024-03-20","522","522","512.2","514.1","0.25 %","13,640.00"
"EBL","2024-03-19","515","518","512.6","512.8","-0.81 %","19,048.00"
"EBL","2024-03-18","516.5","520","515.9","517","0.19 %","24,541.00"
"EBL","2024-03-17","510","521","510","516","-0.19 %","20,016.00"
"EBL","2024-03-14","515","520","514.1","517","-0.96 %","13,637.00"
"EBL","2024-03-13","536.5","536.5","516","522","-0.76 %","15,620.00"
"EBL","2024-03-12","524.1","528","515","526","2.35 %","27,965.00"
"EBL","2024-03-10","515","515","510","513.9","1.16 %","11,123.00"
"EBL","2024-03-07","519.1","520","507.3","508","-0.20 %","14,957.00"
"EBL","2024-03-06","517","517","502.2","509","0.24 %","23,145.00"
"EBL","2024-03-05","530","530","498","507.8","-3.09 %","24,249.00"
"EBL","2024-03-04","503.8","524","503.8","524","6.07 %","30.00"
"EBL","2024-03-03","500","504.9","490","494","-1.02 %","31,759.00"
"EBL","2024-02-29","495","509.9","495","499.1","-0.66 %","18,995.00"
"EBL","2024-02-28","510","510","500","502.4","-1.49 %","18,434.00"
"EBL","2024-02-27","498","512","498","510","1.59 %","17,908.00"
"EBL","2024-02-26","499","508","499","502","0.60 %","19,334.00"
"EBL","2024-02-25","512","512","498.5","499","-2.60 %","49,205.00"
"EBL","2024-02-22","515","519.3","511.2","512.3","-0.72 %","14,574.00"
"EBL","2024-02-21","520","524","515.2","516","-0.39 %","13,463.00"
"EBL","2024-02-20","519","524.7","511","518","-0.19 %","13,578.00"
"EBL","2024-02-18","522","522","517","519","-0.57 %","22,430.00"
"EBL","2024-02-15","522.1","528","519.1","522","-0.95 %","11,587.00"
"EBL","2024-02-14","525","528","521","527","1.15 %","34,100.00"
"EBL","2024-02-13","522.2","523.9","515","521","-0.76 %","35,056.00"
"EBL","2024-02-12","522","525","521.6","525","0.69 %","27,227.00"
"EBL","2024-02-11","530","532","521.4","521.4","-1.16 %","21,792.00"
"EBL","2024-02-08","529","534","525","527.5","-1.20 %","20,479.00"
"EBL","2024-02-07","539.5","539.5","530","533.9","0.93 %","22,970.00"
"EBL","2024-02-06","536.5","536.5","527","529","0.19 %","24,504.00"
"EBL","2024-02-05","535","535","525","528","-0.02 %","24,905.00"
"EBL","2024-02-04","527","531.8","522.2","528.1","0.21 %","25,855.00"
"EBL","2024-02-01","530","539","526","527","-1.31 %","39,795.00"
"EBL","2024-01-31","540","540","530","534","-1.11 %","47,569.00"
"EBL","2024-01-30","549.5","549.5","537","540","-0.52 %","39,286.00"
"EBL","2024-01-29","537.1","544","532","542.8","0.93 %","60,388.00"
"EBL","2024-01-28","532","538.1","532","537.8","1.45 %","55,869.00"
"EBL","2024-01-25","526","535","523.3","530.1","0.78 %","49,908.00"
