"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EDBL","2024-08-11","530","550","526","539.9","3.75 %","55,233.00"
"EDBL","2024-08-08","524","534","511","520.4","0.70 %","101,489.00"
"EDBL","2024-08-07","490.1","519.1","481","516.8","5.45 %","69,535.00"
"EDBL","2024-08-06","525","525","490","490.1","-7.00 %","72,219.00"
"EDBL","2024-08-05","525","534","512","527","0.57 %","58,277.00"
"EDBL","2024-08-01","543","545","520","524","-3.50 %","102,587.00"
"EDBL","2024-07-31","535","562","535","543","1.55 %","105,873.00"
"EDBL","2024-07-30","520","540.6","512.3","534.7","1.89 %","92,931.00"
"EDBL","2024-07-29","531","540","519.4","524.8","-2.81 %","116,794.00"
"EDBL","2024-07-28","528.5","549","510","540","4.15 %","65,534.00"
"EDBL","2024-07-25","513","535","513","518.5","1.07 %","83,107.00"
"EDBL","2024-07-24","530","560","510.5","513","-3.93 %","108,503.00"
"EDBL","2024-07-23","517","549.6","517","534","1.71 %","85,933.00"
"EDBL","2024-07-22","522","530","510","525","0.96 %","160,215.00"
"EDBL","2024-07-21","502.1","529.6","495","520","1.56 %","126,947.00"
"EDBL","2024-07-18","500","529.9","500","512","2.40 %","116,257.00"
"EDBL","2024-07-17","488.3","502","468.1","500","4.43 %","167,397.00"
"EDBL","2024-07-16","462","480","451","478.8","5.70 %","69,885.00"
"EDBL","2024-07-15","474.3","474.3","449","453","-2.58 %","38,686.00"
"EDBL","2024-07-14","472.1","500","455","465","0.45 %","58,409.00"
"EDBL","2024-07-11","460","467.9","451","462.9","0.63 %","67,629.00"
"EDBL","2024-07-10","452.8","475","452.8","460","-0.43 %","55,448.00"
"EDBL","2024-07-09","460.1","479.4","460.1","462","-0.65 %","163,386.00"
"EDBL","2024-07-08","445","477","435","465","3.33 %","140,421.00"
"EDBL","2024-07-07","447.7","454","438.8","450","2.51 %","59,282.00"
"EDBL","2024-07-04","420","448","420","439","6.01 %","145,984.00"
"EDBL","2024-07-03","385","415.9","383.4","414.1","5.88 %","120,570.00"
"EDBL","2024-07-02","392.4","400","384","391.1","1.64 %","37,029.00"
"EDBL","2024-07-01","371.3","388","371.3","384.8","1.58 %","13,493.00"
"EDBL","2024-06-30","374.4","383","374.4","378.8","-0.84 %","18,044.00"
"EDBL","2024-06-27","373.4","383","373.4","382","0.26 %","34,213.00"
"EDBL","2024-06-26","383","390.4","380","381","-1.52 %","15,264.00"
"EDBL","2024-06-25","387.6","395","383","386.9","1.82 %","37,248.00"
"EDBL","2024-06-24","384.5","391","377","380","0.29 %","36,010.00"
"EDBL","2024-06-23","375.5","379","371","378.9","0.80 %","26,391.00"
"EDBL","2024-06-20","371.5","386.4","371.5","375.9","-0.82 %","11,727.00"
"EDBL","2024-06-19","376.9","383","376.1","379","-1.30 %","9,624.00"
"EDBL","2024-06-18","377.7","386.9","377.7","384","0.00 %","8,631.00"
"EDBL","2024-06-16","398","398.8","384","384","-1.79 %","30,156.00"
"EDBL","2024-06-13","384.6","412","378.2","391","3.19 %","43,196.00"
"EDBL","2024-06-12","376","386.5","376","378.9","-0.81 %","19,207.00"
"EDBL","2024-06-11","382","386","371","382","1.62 %","30,585.00"
"EDBL","2024-06-10","382","382","367.7","375.9","0.24 %","15,549.00"
"EDBL","2024-06-09","372","378.5","370","375","-1.16 %","16,701.00"
"EDBL","2024-06-06","382.3","384.5","370","379.4","-0.29 %","4,327.00"
"EDBL","2024-06-05","387","387","374.2","380.5","0.13 %","8,150.00"
"EDBL","2024-06-04","387.6","387.6","375.2","380","0.00 %","12,466.00"
"EDBL","2024-06-03","373","395.7","373","380","0.00 %","12,738.00"
"EDBL","2024-06-02","380","387","373","380","0.00 %","18,793.00"
"EDBL","2024-05-30","378","388.9","375","380","-1.30 %","13,620.00"
"EDBL","2024-05-29","398.8","398.8","378.5","385","-1.53 %","21,178.00"
"EDBL","2024-05-27","383","401.6","383","391","0.49 %","18,584.00"
"EDBL","2024-05-26","388","394.8","384.2","389.1","-0.74 %","23,965.00"
"EDBL","2024-05-22","399.8","399.8","387.1","392","0.00 %","34,400.00"
"EDBL","2024-05-21","387","393.3","380","392","0.26 %","27,574.00"
"EDBL","2024-05-20","396.5","400","388","391","-1.01 %","38,543.00"
"EDBL","2024-05-19","399.2","399.2","390","395","0.92 %","39,075.00"
"EDBL","2024-05-16","387","395","385","391.4","-0.84 %","145,227.00"
"EDBL","2024-05-15","390","403.9","389.3","394.7","-0.05 %","71,326.00"
"EDBL","2024-05-14","393","395.1","386","394.9","1.91 %","34,267.00"
"EDBL","2024-05-13","382","393","382","387.5","0.03 %","22,074.00"
"EDBL","2024-05-12","390","396","375","387.4","0.68 %","63,085.00"
"EDBL","2024-05-09","377","386","373","384.8","4.00 %","38,615.00"
"EDBL","2024-05-08","374","374.1","365.1","370","0.82 %","14,549.00"
"EDBL","2024-05-07","362","376.5","362","367","0.27 %","12,789.00"
"EDBL","2024-05-06","361.1","375","361","366","-0.54 %","68,638.00"
"EDBL","2024-05-05","374.1","380","367","368","-3.41 %","42,206.00"
"EDBL","2024-05-02","383.1","395","378","381","-1.04 %","30,266.00"
"EDBL","2024-04-30","379.8","400","379","385","2.69 %","114,331.00"
"EDBL","2024-04-29","368","377","360.7","374.9","3.36 %","39,159.00"
