"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GFCL","2024-08-11","836","914.8","819.3","890","6.46 %","221,802.00"
"GFCL","2024-08-08","814.5","877","814.5","836","4.68 %","192,559.00"
"GFCL","2024-08-07","736","798.6","711.5","798.6","10.00 %","142,374.00"
"GFCL","2024-08-06","761.5","780","700","726","-6.56 %","267,562.00"
"GFCL","2024-08-05","828.2","828.2","770.8","777","-4.31 %","211,363.00"
"GFCL","2024-08-01","865.4","880","796.2","812","-4.30 %","178,486.00"
"GFCL","2024-07-31","809","855","795","848.5","6.68 %","131,794.00"
"GFCL","2024-07-30","779.8","808","763","795.4","3.43 %","105,618.00"
"GFCL","2024-07-29","742.4","800.6","716","769","5.65 %","185,882.00"
"GFCL","2024-07-28","739.5","739.5","707.1","727.9","0.40 %","77,704.00"
"GFCL","2024-07-25","688","764","688","725","3.59 %","116,201.00"
"GFCL","2024-07-24","682.1","714","673","699.9","2.61 %","153,414.00"
"GFCL","2024-07-23","663.4","696","652.1","682.1","4.87 %","109,093.00"
"GFCL","2024-07-22","664.9","668.8","646.9","650.4","-2.05 %","64,513.00"
"GFCL","2024-07-21","658.9","665","646","664","2.15 %","93,293.00"
"GFCL","2024-07-18","669.8","685","650","650","-2.40 %","114,795.00"
"GFCL","2024-07-17","645","670","640","666","4.72 %","65,162.00"
"GFCL","2024-07-16","639.5","640","620","636","1.44 %","58,511.00"
"GFCL","2024-07-15","649.7","652.8","603","627","-1.57 %","101,925.00"
"GFCL","2024-07-14","642.6","667","637","637","1.11 %","51,061.00"
"GFCL","2024-07-11","641.9","665","629.1","630","-3.82 %","75,644.00"
"GFCL","2024-07-10","638","659.9","630.1","655","4.63 %","110,515.00"
"GFCL","2024-07-09","617.3","645","617.3","626","-0.60 %","75,600.00"
"GFCL","2024-07-08","635","644.6","627","629.8","-0.51 %","93,903.00"
"GFCL","2024-07-07","664.4","669.9","633","633","-6.62 %","178,692.00"
"GFCL","2024-07-04","684.9","690","645","677.9","-1.02 %","162,866.00"
"GFCL","2024-07-03","632.1","686","632.1","684.9","6.19 %","158,548.00"
"GFCL","2024-07-02","622.2","660.1","603","645","5.74 %","174,026.00"
"GFCL","2024-07-01","577","634","565.1","610","3.74 %","116,411.00"
"GFCL","2024-06-30","598","619.3","587","588","-1.84 %","118,836.00"
