"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GRDBL","2024-08-11","573","590","569","580","3.20 %","27,234.00"
"GRDBL","2024-08-08","580","594.9","561","562","-1.75 %","49,472.00"
"GRDBL","2024-08-07","555","587.5","546.2","572","3.04 %","28,403.00"
"GRDBL","2024-08-06","600","600","538","555.1","-6.97 %","35,848.00"
"GRDBL","2024-08-05","591","603.8","576.3","596.7","0.96 %","34,808.00"
"GRDBL","2024-08-01","592.9","612","575","591","-2.31 %","46,136.00"
"GRDBL","2024-07-31","594","630","582","605","3.77 %","42,333.00"
"GRDBL","2024-07-30","568","590","564","583","2.80 %","31,521.00"
"GRDBL","2024-07-29","560.1","580.9","557","567.1","0.37 %","54,917.00"
"GRDBL","2024-07-28","557.9","569.4","537.1","565","3.29 %","41,927.00"
"GRDBL","2024-07-25","535","555","535","547","2.45 %","29,226.00"
"GRDBL","2024-07-24","543","552","530","533.9","-1.09 %","35,787.00"
"GRDBL","2024-07-23","535","540","526.3","539.8","1.66 %","29,625.00"
"GRDBL","2024-07-22","523.1","534","515","531","0.55 %","36,246.00"
"GRDBL","2024-07-21","535.5","545","525","528.1","-1.38 %","38,766.00"
"GRDBL","2024-07-18","550","559","535.1","535.5","-2.64 %","28,832.00"
"GRDBL","2024-07-17","550.9","561","540.1","550","1.83 %","46,830.00"
"GRDBL","2024-07-16","497.9","540.1","489","540.1","10.00 %","57,151.00"
"GRDBL","2024-07-15","505","505","489","491","-1.21 %","15,351.00"
"GRDBL","2024-07-14","508.1","508.1","497","497","-0.24 %","21,719.00"
"GRDBL","2024-07-11","493","505.5","493","498.2","1.08 %","25,605.00"
"GRDBL","2024-07-10","511","511","490","492.9","-2.12 %","22,534.00"
"GRDBL","2024-07-09","498","512","491.1","503.6","2.36 %","28,538.00"
"GRDBL","2024-07-08","489.4","495","480.3","492","0.61 %","21,001.00"
"GRDBL","2024-07-07","500","508","487","489","-2.78 %","37,160.00"
"GRDBL","2024-07-04","496.6","515","490","503","3.31 %","36,403.00"
"GRDBL","2024-07-03","465","494","447.5","486.9","6.45 %","68,476.00"
"GRDBL","2024-07-02","454","472.2","442.1","457.4","2.58 %","25,800.00"
"GRDBL","2024-07-01","447.7","453","439","445.9","1.57 %","7,113.00"
"GRDBL","2024-06-30","440","448","438.5","439","-0.23 %","7,175.00"
"GRDBL","2024-06-27","444.1","458","440","440","-0.70 %","20,382.00"
"GRDBL","2024-06-26","457","457","442","443.1","-2.62 %","21,936.00"
"GRDBL","2024-06-25","450","463","446.2","455","1.13 %","32,115.00"
"GRDBL","2024-06-24","442.9","461","441.1","449.9","1.40 %","26,393.00"
"GRDBL","2024-06-23","424.1","443.7","424.1","443.7","5.57 %","17,750.00"
"GRDBL","2024-06-20","442","442","420.2","420.3","-4.04 %","11,490.00"
"GRDBL","2024-06-19","442.1","445","433.3","438","1.04 %","2,795.00"
"GRDBL","2024-06-18","449.7","449.7","432.1","433.5","-2.36 %","13,234.00"
"GRDBL","2024-06-16","438","454.9","435.3","444","-0.45 %","14,101.00"
"GRDBL","2024-06-13","444.8","470","427.3","446","2.27 %","35,533.00"
"GRDBL","2024-06-12","431.2","443","431.2","436.1","-0.89 %","10,213.00"
"GRDBL","2024-06-11","435.5","443","421.2","440","3.04 %","12,986.00"
"GRDBL","2024-06-10","432","439.9","417","427","0.71 %","9,057.00"
"GRDBL","2024-06-09","428","436.5","422","424","-0.75 %","7,891.00"
"GRDBL","2024-06-06","425.4","442","425.4","427.2","-1.57 %","6,772.00"
"GRDBL","2024-06-05","423","434","423","434","1.40 %","7,234.00"
"GRDBL","2024-06-04","430","442.5","428","428","-1.38 %","7,722.00"
"GRDBL","2024-06-03","440","445.9","430","434","-0.91 %","9,697.00"
"GRDBL","2024-06-02","434.9","438","422.5","438","1.98 %","12,314.00"
"GRDBL","2024-05-30","419","429.5","419","429.5","1.30 %","6,539.00"
"GRDBL","2024-05-29","437.9","438.4","424","424","-1.40 %","9,154.00"
"GRDBL","2024-05-27","425.1","438.8","425","430","-0.46 %","5,388.00"
"GRDBL","2024-05-26","432.4","439","429","432","-1.82 %","8,058.00"
"GRDBL","2024-05-22","439","446","435","440","0.23 %","23,433.00"
"GRDBL","2024-05-21","435","440","431","439","0.94 %","10,043.00"
"GRDBL","2024-05-20","443.7","443.7","428","434.9","-0.02 %","20,602.00"
"GRDBL","2024-05-19","441.6","441.6","424.4","435","0.46 %","40,987.00"
"GRDBL","2024-05-16","439.9","439.9","426.3","433","0.23 %","16,707.00"
"GRDBL","2024-05-15","443.6","443.6","429","432","-0.69 %","21,102.00"
"GRDBL","2024-05-14","432.2","448.8","432.2","435","-1.36 %","15,002.00"
"GRDBL","2024-05-13","430.2","457","423.5","441","0.48 %","35,172.00"
"GRDBL","2024-05-12","428.1","453","428.1","438.9","0.67 %","28,515.00"
"GRDBL","2024-05-09","440.5","444.9","428","436","0.00 %","45,509.00"
"GRDBL","2024-05-08","436.5","437.9","425","436","1.42 %","22,666.00"
"GRDBL","2024-05-07","440","440","421.4","429.9","-0.72 %","14,169.00"
"GRDBL","2024-05-06","413","441","412","433","3.61 %","50,153.00"
"GRDBL","2024-05-05","435","438.5","408.3","417.9","-3.64 %","67,387.00"
"GRDBL","2024-05-02","450","454.5","432.5","433.7","-5.10 %","30,083.00"
"GRDBL","2024-04-30","430.3","464.2","430","457","8.29 %","82,353.00"
"GRDBL","2024-04-29","415.1","427","406.8","422","3.69 %","52,655.00"
"GRDBL","2024-04-28","395","410","395","407","1.78 %","33,122.00"
"GRDBL","2024-04-25","390","407","390","399.9","0.50 %","27,491.00"
"GRDBL","2024-04-24","382.2","408","382.2","397.9","2.03 %","20,257.00"
"GRDBL","2024-04-22","410.9","410.9","386.2","390","-3.47 %","7,234.00"
"GRDBL","2024-04-21","408","408","387.2","404","1.00 %","23,770.00"
"GRDBL","2024-04-18","403.1","410","395.3","400","-1.96 %","13,365.00"
"GRDBL","2024-04-16","396.2","417.8","389","408","5.02 %","89,808.00"
"GRDBL","2024-04-15","375","408","375","388.5","2.78 %","32,306.00"
"GRDBL","2024-04-14","372.1","386.9","372.1","378","-0.40 %","12,827.00"
"GRDBL","2024-04-10","387","387","371.3","379.5","-0.34 %","22,177.00"
"GRDBL","2024-04-09","380","385","372.4","380.8","1.82 %","16,175.00"
"GRDBL","2024-04-07","371.4","378","365","374","2.69 %","10,708.00"
"GRDBL","2024-04-04","370","370","360","364.2","0.19 %","4,007.00"
"GRDBL","2024-04-03","358","370.7","358","363.5","0.00 %","2,681.00"
"GRDBL","2024-04-02","372.3","372.3","363.5","363.5","-0.41 %","9,061.00"
"GRDBL","2024-04-01","378.9","378.9","365","365","-2.38 %","10,905.00"
"GRDBL","2024-03-31","361","373.9","360","373.9","2.41 %","14,976.00"
"GRDBL","2024-03-28","368","372","362","365.1","0.83 %","6,206.00"
"GRDBL","2024-03-27","366.1","378","361","362.1","-1.74 %","8,321.00"
"GRDBL","2024-03-26","368.4","378","366","368.5","1.21 %","13,759.00"
"GRDBL","2024-03-25","368","369","362.5","364.1","0.44 %","7,779.00"
"GRDBL","2024-03-21","375.6","384.8","370.1","376.3","0.19 %","16,794.00"
"GRDBL","2024-03-20","383","392","375.3","375.6","-2.82 %","16,743.00"
"GRDBL","2024-03-19","401","401","386.3","386.5","-1.75 %","14,876.00"
"GRDBL","2024-03-18","399.8","402","390","393.4","0.36 %","19,169.00"
"GRDBL","2024-03-17","370","400","370","392","6.78 %","58,791.00"
"GRDBL","2024-03-14","366","374","366","367.1","-1.05 %","10,569.00"
"GRDBL","2024-03-13","380","380","370","371","-1.33 %","5,527.00"
"GRDBL","2024-03-12","374","379.9","370.1","376","0.48 %","9,524.00"
"GRDBL","2024-03-10","368","374.2","358.7","374.2","3.66 %","13,607.00"
"GRDBL","2024-03-07","358","367.2","358","361","-1.10 %","8,524.00"
"GRDBL","2024-03-06","341.1","365.9","341","365","4.89 %","17,050.00"
"GRDBL","2024-03-05","370.2","370.2","348","348","-4.13 %","8,702.00"
"GRDBL","2024-03-04","355.9","363","355.9","363","4.01 %","80.00"
"GRDBL","2024-03-03","350","350","340.1","349","0.03 %","3,014.00"
"GRDBL","2024-02-29","364","364","343","348.9","-2.24 %","7,044.00"
"GRDBL","2024-02-28","359.9","359.9","347.5","356.9","-0.31 %","4,964.00"
"GRDBL","2024-02-27","360","364.9","349","358","-0.56 %","10,743.00"
"GRDBL","2024-02-26","352.8","364.4","352.3","360","0.03 %","4,483.00"
"GRDBL","2024-02-25","352.2","365","341","359.9","0.39 %","16,538.00"
"GRDBL","2024-02-22","362.9","364.2","351.3","358.5","0.06 %","12,143.00"
"GRDBL","2024-02-21","368","368","346.5","358.3","-1.48 %","10,059.00"
"GRDBL","2024-02-20","365","368","356.9","363.7","0.78 %","5,341.00"
"GRDBL","2024-02-18","366.6","371.9","358","360.9","-3.50 %","43,731.00"
"GRDBL","2024-02-15","367.1","376.9","367","374","-0.11 %","8,675.00"
"GRDBL","2024-02-14","365.6","383","365.6","374.4","4.38 %","12,880.00"
"GRDBL","2024-02-13","369.5","373","358.7","358.7","-4.85 %","15,078.00"
"GRDBL","2024-02-12","370.3","379.8","365.1","377","1.84 %","17,661.00"
