"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HDHPC","2024-08-11","185","203.2","184","203.2","9.96 %","2,037,542.00"
"HDHPC","2024-08-08","189","194","184","184.8","-1.70 %","655,414.00"
"HDHPC","2024-08-07","177","189.5","174","188","5.92 %","611,083.00"
"HDHPC","2024-08-06","194.8","194.8","177.3","177.5","-7.07 %","823,872.00"
"HDHPC","2024-08-05","194.1","196.5","188","191","0.37 %","753,037.00"
"HDHPC","2024-08-01","195.8","197","189","190.3","-0.89 %","863,508.00"
"HDHPC","2024-07-31","187","197.5","185","192","3.78 %","1,123,010.00"
"HDHPC","2024-07-30","188.1","188.1","179.2","185","0.27 %","699,870.00"
"HDHPC","2024-07-29","187.1","191","183","184.5","-0.81 %","653,454.00"
"HDHPC","2024-07-28","188","200.9","182.3","186","0.76 %","687,623.00"
"HDHPC","2024-07-25","185","190","180","184.6","-0.22 %","615,615.00"
"HDHPC","2024-07-24","185.5","193","179.7","185","1.65 %","1,234,364.00"
"HDHPC","2024-07-23","168.9","182","167","182","7.76 %","1,071,826.00"
"HDHPC","2024-07-22","168","171","161.7","168.9","1.62 %","637,091.00"
"HDHPC","2024-07-21","163","172.3","162","166.2","0.00 %","873,502.00"
"HDHPC","2024-07-18","169.9","171","163.6","166.2","-0.24 %","868,353.00"
"HDHPC","2024-07-17","162","167","158","166.6","4.19 %","1,229,884.00"
"HDHPC","2024-07-16","151.9","160","147.1","159.9","7.32 %","810,209.00"
"HDHPC","2024-07-15","149","158","147.2","149","1.98 %","747,260.00"
"HDHPC","2024-07-14","135.5","146.1","135.5","146.1","9.93 %","523,297.00"
"HDHPC","2024-07-11","132.9","133.7","131.5","132.9","1.37 %","156,549.00"
"HDHPC","2024-07-10","130.5","131.6","130.1","131.1","0.85 %","77,845.00"
"HDHPC","2024-07-09","130.1","131.9","128","130","-0.08 %","84,322.00"
"HDHPC","2024-07-08","130.1","131.9","129.7","130.1","-0.54 %","67,611.00"
"HDHPC","2024-07-07","130","131.3","129","130.8","0.62 %","104,232.00"
"HDHPC","2024-07-04","131","132","129","130","-0.23 %","88,650.00"
"HDHPC","2024-07-03","134.1","134.1","129","130.3","-0.91 %","78,093.00"
"HDHPC","2024-07-02","127.5","137","127.5","131.5","5.20 %","258,025.00"
"HDHPC","2024-07-01","125","126.4","123.9","125","0.16 %","69,351.00"
"HDHPC","2024-06-30","123.3","128","123.3","124.8","-0.79 %","66,139.00"
"HDHPC","2024-06-27","128.3","128.3","125.8","125.8","-0.94 %","73,174.00"
"HDHPC","2024-06-26","129.3","129.3","127","127","-0.70 %","54,796.00"
"HDHPC","2024-06-25","127.2","129.5","127.2","127.9","0.00 %","53,977.00"
"HDHPC","2024-06-24","129.7","129.7","127","127.9","0.00 %","87,198.00"
"HDHPC","2024-06-23","128","129.8","127.3","127.9","-0.16 %","72,538.00"
"HDHPC","2024-06-20","129.5","130","128","128.1","-1.08 %","114,673.00"
"HDHPC","2024-06-19","131.7","131.7","129.3","129.5","-0.38 %","36,215.00"
"HDHPC","2024-06-18","130.1","132.5","130","130","-1.52 %","65,516.00"
"HDHPC","2024-06-16","130.9","134.4","127.5","132","2.25 %","212,187.00"
"HDHPC","2024-06-13","132.5","132.5","129.1","129.1","-2.57 %","79,683.00"
"HDHPC","2024-06-12","134","134","131.6","132.5","0.38 %","81,407.00"
"HDHPC","2024-06-11","132","133.5","130","132","1.23 %","127,953.00"
"HDHPC","2024-06-10","126.5","131.3","126.5","130.4","2.11 %","143,999.00"
"HDHPC","2024-06-09","129.7","130","126.5","127.7","-0.08 %","66,898.00"
"HDHPC","2024-06-06","129","129.5","127","127.8","-0.70 %","83,147.00"
"HDHPC","2024-06-05","126.5","130.5","126.5","128.7","-0.23 %","94,671.00"
"HDHPC","2024-06-04","131.8","131.8","128.5","129","-0.62 %","87,451.00"
"HDHPC","2024-06-03","129.1","131.4","129.1","129.8","-0.46 %","84,281.00"
"HDHPC","2024-06-02","130","132.5","130","130.4","0.15 %","47,833.00"
"HDHPC","2024-05-30","133.1","133.1","129.8","130.2","-0.23 %","118,272.00"
"HDHPC","2024-05-29","135.5","136","130.1","130.5","-1.81 %","100,615.00"
"HDHPC","2024-05-27","133.9","134.5","131.9","132.9","0.68 %","78,181.00"
"HDHPC","2024-05-26","135.6","135.6","132","132","-1.20 %","66,848.00"
"HDHPC","2024-05-22","137","137","133","133.6","-1.04 %","121,239.00"
"HDHPC","2024-05-21","134.5","136","132","135","0.60 %","96,640.00"
"HDHPC","2024-05-20","133","137.4","133","134.2","0.90 %","89,907.00"
"HDHPC","2024-05-19","136","136","132.3","133","-0.30 %","73,495.00"
"HDHPC","2024-05-16","133.5","134.2","131.3","133.4","0.23 %","51,010.00"
"HDHPC","2024-05-15","135","137","133","133.1","-0.37 %","80,808.00"
"HDHPC","2024-05-14","133.1","134.5","131.2","133.6","1.60 %","81,367.00"
"HDHPC","2024-05-13","128.5","132.8","128.5","131.5","0.38 %","61,139.00"
"HDHPC","2024-05-12","132","132","129","131","0.08 %","64,116.00"
"HDHPC","2024-05-09","132","132","128","130.9","1.08 %","58,107.00"
"HDHPC","2024-05-08","132","132","128.5","129.5","-0.38 %","53,327.00"
"HDHPC","2024-05-07","132.6","132.6","129.5","130","0.00 %","33,161.00"
"HDHPC","2024-05-06","127.5","132.5","127.5","130","-0.08 %","45,870.00"
"HDHPC","2024-05-05","129.8","134","129.1","130.1","-1.51 %","65,567.00"
"HDHPC","2024-05-02","135","135","132","132.1","-0.75 %","77,490.00"
"HDHPC","2024-04-30","129","141.5","129","133.1","2.38 %","118,820.00"
"HDHPC","2024-04-29","131.1","131.9","130","130","0.00 %","33,335.00"
"HDHPC","2024-04-28","131","132","129.6","130","0.70 %","86,818.00"
"HDHPC","2024-04-25","129.4","132","129.1","129.1","-0.84 %","79,496.00"
