"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HLI","2024-08-11","493","533","489.4","524","8.04 %","750,619.00"
"HLI","2024-08-08","490.5","506","480","485","-1.12 %","415,537.00"
"HLI","2024-08-07","466","491","459","490.5","5.71 %","410,840.00"
"HLI","2024-08-06","500","507","462","464","-7.20 %","540,312.00"
"HLI","2024-08-05","486","509","486","500","2.69 %","514,188.00"
"HLI","2024-08-01","455","508","455","486.9","5.39 %","665,029.00"
"HLI","2024-07-31","455","469","453.8","462","2.67 %","380,081.00"
"HLI","2024-07-30","446","458","440","450","0.45 %","317,124.00"
"HLI","2024-07-29","473.2","473.2","446.9","448","-3.45 %","387,970.00"
"HLI","2024-07-28","457.4","475.3","432.2","464","3.46 %","331,626.00"
"HLI","2024-07-25","438","455.9","430.6","448.5","3.29 %","552,095.00"
"HLI","2024-07-24","444.7","453","430","434.2","-0.41 %","334,340.00"
"HLI","2024-07-23","422","438.9","417.2","436","3.54 %","352,804.00"
"HLI","2024-07-22","432","433","418","421.1","-1.61 %","226,136.00"
"HLI","2024-07-21","422","431.4","416.2","428","1.42 %","271,677.00"
"HLI","2024-07-18","410","425.1","410","422","1.47 %","351,971.00"
"HLI","2024-07-17","417.9","419.9","405","415.9","1.39 %","199,399.00"
"HLI","2024-07-16","396.9","410.2","390.2","410.2","4.91 %","150,726.00"
"HLI","2024-07-15","401","404","390.1","391","-1.86 %","123,906.00"
"HLI","2024-07-14","400","401","393","398.4","1.19 %","176,481.00"
"HLI","2024-07-11","388","394.9","385.1","393.7","2.53 %","106,720.00"
"HLI","2024-07-10","381.5","387.5","381.5","384","0.79 %","56,541.00"
"HLI","2024-07-09","380","385","378.1","381","0.03 %","69,853.00"
"HLI","2024-07-08","390","390","379","380.9","-1.58 %","84,866.00"
"HLI","2024-07-07","386","391","386","387","0.44 %","87,510.00"
"HLI","2024-07-04","381","385.3","377","385.3","1.66 %","118,996.00"
"HLI","2024-07-03","379","382","374.2","379","0.00 %","30,787.00"
"HLI","2024-07-02","380","400","375.5","379","1.72 %","65,377.00"
"HLI","2024-07-01","369","375","369","372.6","0.98 %","38,475.00"
"HLI","2024-06-30","364.1","376","364.1","369","-0.67 %","65,794.00"
"HLI","2024-06-27","368","378.9","368","371.5","-0.91 %","68,059.00"
"HLI","2024-06-26","375","379","373","374.9","-0.61 %","41,736.00"
"HLI","2024-06-25","377","383","376.1","377.2","-0.08 %","30,121.00"
"HLI","2024-06-24","378","382.1","374.6","377.5","-0.13 %","49,528.00"
"HLI","2024-06-23","377.1","382","376","378","0.00 %","49,276.00"
"HLI","2024-06-20","386.9","386.9","377.4","378","-0.37 %","47,058.00"
"HLI","2024-06-19","380","386","379","379.4","-0.24 %","57,167.00"
"HLI","2024-06-18","386","389.9","378.8","380.3","-0.52 %","81,945.00"
"HLI","2024-06-16","383.1","389.8","381.3","382.3","-0.70 %","67,110.00"
"HLI","2024-06-13","396","396","384","385","-1.03 %","53,614.00"
"HLI","2024-06-12","392","400","388","389","-0.28 %","130,230.00"
"HLI","2024-06-11","390.6","393.7","384","390.1","1.85 %","52,649.00"
"HLI","2024-06-10","390.6","390.6","382","383","0.00 %","41,744.00"
"HLI","2024-06-09","392.7","392.7","382","383","-0.52 %","48,605.00"
"HLI","2024-06-06","386","390","383.2","385","-0.26 %","44,907.00"
