"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"IHL","2024-08-11","520","555","517","548","5.40 %","52,313.00"
"IHL","2024-08-08","512","535","507","519.9","0.58 %","31,696.00"
"IHL","2024-08-07","504","520","487.1","516.9","4.42 %","25,193.00"
"IHL","2024-08-06","530","541","489","495","-6.59 %","38,327.00"
"IHL","2024-08-05","529","538.4","519","529.9","0.17 %","31,294.00"
"IHL","2024-08-01","542","550","520","529","-2.56 %","36,196.00"
"IHL","2024-07-31","544","550","533","542.9","0.84 %","40,332.00"
"IHL","2024-07-30","503","538.4","501","538.4","7.04 %","57,385.00"
"IHL","2024-07-29","512","525","502","503","-2.33 %","17,313.00"
"IHL","2024-07-28","527","537","511","515","-0.39 %","15,531.00"
"IHL","2024-07-25","516","526","511.1","517","-1.15 %","26,632.00"
"IHL","2024-07-24","530","540","508.2","523","-1.69 %","28,285.00"
"IHL","2024-07-23","516","545","516","532","3.10 %","43,579.00"
"IHL","2024-07-22","495","529.5","490.1","516","5.31 %","50,167.00"
"IHL","2024-07-21","491","499","488","490","-1.80 %","32,828.00"
"IHL","2024-07-18","506","518","487","499","0.30 %","39,137.00"
"IHL","2024-07-17","484.2","513","484.2","497.5","0.71 %","25,981.00"
"IHL","2024-07-16","450","494.8","442.1","494","9.78 %","42,886.00"
"IHL","2024-07-15","447.1","462","447.1","450","0.45 %","23,261.00"
"IHL","2024-07-14","459","468.1","446","448","-0.44 %","20,821.00"
"IHL","2024-07-11","447.1","460","444.2","450","0.22 %","21,930.00"
"IHL","2024-07-10","451.6","460","446","449","-1.94 %","8,968.00"
"IHL","2024-07-09","446.1","461","446.1","457.9","1.31 %","15,841.00"
"IHL","2024-07-08","455","462","446.2","452","-0.66 %","17,504.00"
"IHL","2024-07-07","445","455.1","445","455","1.56 %","30,380.00"
"IHL","2024-07-04","442","450","437","448","1.82 %","19,605.00"
"IHL","2024-07-03","434","440","430.1","440","1.17 %","23,659.00"
"IHL","2024-07-02","435.5","452.9","428.6","434.9","1.85 %","19,923.00"
"IHL","2024-07-01","421.2","432.6","421.2","427","0.47 %","13,211.00"
