"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JALPA","2024-07-10","1465","1480","1430","1442.1","0.15 %","6,339.00"
"JALPA","2024-07-09","1330","1460","1315.1","1440","8.27 %","10,456.00"
"JALPA","2024-07-08","1304","1330","1304","1330","1.99 %","2,146.00"
"JALPA","2024-07-07","1279","1320","1279","1304","-0.08 %","2,038.00"
"JALPA","2024-07-04","1326","1326","1295","1305","0.38 %","1,236.00"
"JALPA","2024-07-03","1300","1315","1281","1300","-0.54 %","1,412.00"
"JALPA","2024-07-02","1302.5","1328.5","1302","1307.1","2.36 %","2,116.00"
"JALPA","2024-07-01","1260","1291","1260","1277","0.08 %","1,106.00"
"JALPA","2024-06-30","1300","1300","1276","1276","-3.26 %","1,438.00"
"JALPA","2024-06-27","1320","1340","1290","1319","-0.08 %","1,509.00"
"JALPA","2024-06-26","1275","1345.9","1275","1320","1.94 %","2,089.00"
"JALPA","2024-06-25","1325","1325.4","1274","1294.9","-0.39 %","1,777.00"
"JALPA","2024-06-24","1310","1365","1279","1300","-1.22 %","5,606.00"
"JALPA","2024-06-23","1350","1350.1","1315.1","1316.1","-3.58 %","2,649.00"
"JALPA","2024-06-20","1399","1399","1352.4","1365","-1.09 %","2,688.00"
"JALPA","2024-06-19","1350","1382.5","1350","1380","0.96 %","2,341.00"
"JALPA","2024-06-18","1345","1380","1345","1366.9","1.25 %","4,481.00"
"JALPA","2024-06-16","1362","1370","1340","1350","-2.81 %","4,315.00"
"JALPA","2024-06-13","1423","1423","1344","1389","-4.34 %","15,368.00"
"JALPA","2024-06-12","1499.4","1500","1451","1452","-1.22 %","2,463.00"
"JALPA","2024-06-11","1476.9","1536","1420","1470","1.52 %","2,672.00"
"JALPA","2024-06-10","1489","1489","1425","1448","-0.82 %","4,265.00"
"JALPA","2024-06-09","1502","1503","1460","1460","-3.82 %","2,185.00"
"JALPA","2024-06-06","1505","1535","1490","1518","0.86 %","4,951.00"
"JALPA","2024-06-05","1460","1507","1440","1505","3.79 %","4,688.00"
"JALPA","2024-06-04","1450","1510","1425","1450","0.14 %","5,567.00"
"JALPA","2024-06-03","1411.9","1451.9","1395","1448","4.55 %","1,870.00"
"JALPA","2024-06-02","1400","1404","1370","1385","-1.07 %","4,075.00"
"JALPA","2024-05-30","1422","1430","1390","1400","-2.44 %","3,984.00"
"JALPA","2024-05-29","1494","1522","1435","1435","-2.05 %","2,784.00"
"JALPA","2024-05-27","1445.1","1480","1430","1465","1.38 %","3,812.00"
"JALPA","2024-05-26","1486","1486","1421","1445.1","-2.69 %","5,180.00"
"JALPA","2024-05-22","1502","1560.6","1485","1485","-2.94 %","2,711.00"
"JALPA","2024-05-21","1545.3","1550","1490","1530","0.99 %","3,440.00"
"JALPA","2024-05-20","1585","1670","1513","1515","-4.11 %","6,906.00"
"JALPA","2024-05-19","1598","1628","1550.2","1580","-0.46 %","7,644.00"
"JALPA","2024-05-16","1430","1587.3","1403","1587.3","10.00 %","12,988.00"
"JALPA","2024-05-15","1420","1496.8","1420","1443","2.98 %","7,508.00"
"JALPA","2024-05-14","1315","1430","1310","1401.3","6.56 %","8,122.00"
"JALPA","2024-05-13","1281","1339","1281","1315","1.15 %","2,796.00"
"JALPA","2024-05-12","1305","1323","1280","1300","-2.26 %","2,115.00"
"JALPA","2024-05-09","1321","1374","1320","1330","0.00 %","4,979.00"
"JALPA","2024-05-08","1264","1346","1264","1330","3.26 %","5,698.00"
"JALPA","2024-05-07","1259","1297","1217","1288","4.29 %","999.00"
"JALPA","2024-05-06","1272","1272","1230","1235","-2.91 %","1,136.00"
"JALPA","2024-05-05","1287","1335","1250","1272","-1.02 %","5,604.00"
"JALPA","2024-05-02","1196","1331.8","1196","1285.1","5.73 %","6,996.00"
"JALPA","2024-04-30","1200.1","1238","1190","1215.5","0.45 %","3,261.00"
"JALPA","2024-04-29","1263","1263","1200.1","1210","-2.34 %","732.00"
"JALPA","2024-04-28","1215.2","1239","1196","1239","-0.08 %","980.00"
"JALPA","2024-04-25","1215","1258.9","1215","1240","0.08 %","588.00"
"JALPA","2024-04-24","1205","1269","1200","1239","2.72 %","1,067.00"
"JALPA","2024-04-22","1221","1251.5","1203.1","1206.2","-0.26 %","661.00"
"JALPA","2024-04-21","1220","1268","1195.6","1209.4","-2.78 %","949.00"
"JALPA","2024-04-18","1234","1255","1209.5","1244","-1.11 %","1,304.00"
"JALPA","2024-04-16","1276","1299.5","1257","1258","-1.33 %","1,314.00"
"JALPA","2024-04-15","1255","1305","1250","1275","2.00 %","2,874.00"
"JALPA","2024-04-14","1255","1285","1230","1250","1.54 %","1,932.00"
"JALPA","2024-04-10","1291","1342","1230","1231","-2.76 %","3,132.00"
"JALPA","2024-04-09","1270","1330","1265","1266","0.48 %","3,339.00"
"JALPA","2024-04-07","1279","1307","1248","1260","0.48 %","5,466.00"
"JALPA","2024-04-04","1175","1283","1160","1254","6.72 %","4,810.00"
"JALPA","2024-04-03","1174","1210","1155","1175","-1.84 %","1,877.00"
"JALPA","2024-04-02","1145","1197.4","1141.7","1197","2.75 %","1,805.00"
"JALPA","2024-04-01","1175.5","1175.5","1152","1165","-0.89 %","1,189.00"
"JALPA","2024-03-31","1220","1220","1172.5","1175.5","-2.04 %","1,266.00"
"JALPA","2024-03-28","1191.5","1230","1191.5","1200","-0.41 %","1,687.00"
"JALPA","2024-03-27","1200","1215","1198.1","1205","-0.41 %","1,523.00"
"JALPA","2024-03-26","1195","1243.2","1195","1210","1.51 %","1,156.00"
"JALPA","2024-03-25","1220","1230","1192","1192","-3.95 %","2,054.00"
"JALPA","2024-03-21","1265","1290","1240","1241","-1.90 %","1,401.00"
"JALPA","2024-03-20","1288","1310","1260","1265","0.17 %","4,911.00"
"JALPA","2024-03-19","1242.7","1271","1225","1262.8","3.51 %","1,770.00"
"JALPA","2024-03-18","1212","1236","1190","1220","0.65 %","1,772.00"
"JALPA","2024-03-17","1230","1250","1200","1212.1","-3.03 %","2,651.00"
"JALPA","2024-03-14","1320","1320","1235","1250","-5.66 %","6,460.00"
"JALPA","2024-03-13","1288.4","1389","1288.4","1325","4.89 %","9,024.00"
"JALPA","2024-03-12","1171.2","1263.2","1171.2","1263.2","10.00 %","8,129.00"
"JALPA","2024-03-10","1064.8","1148.4","1064.8","1148.4","10.00 %","4,129.00"
"JALPA","2024-03-07","1044","1050","1020","1044","1.95 %","745.00"
"JALPA","2024-03-06","1005.1","1040","1005","1024","0.10 %","694.00"
"JALPA","2024-03-05","1021","1035","1000.6","1023","2.20 %","870.00"
"JALPA","2024-03-04","1001","1001","1001","1001","0.11 %","11.00"
"JALPA","2024-03-03","1000","1020","980","999.9","-1.97 %","1,119.00"
"JALPA","2024-02-29","1039","1040.4","1001","1020","0.00 %","1,473.00"
"JALPA","2024-02-28","1041","1041","1010","1020","-3.77 %","2,526.00"
"JALPA","2024-02-27","1038.2","1074","1037.9","1060","0.09 %","396.00"
"JALPA","2024-02-26","1030.1","1065","1030.1","1059","0.86 %","270.00"
"JALPA","2024-02-25","1055.1","1090","1042","1050","-1.87 %","457.00"
"JALPA","2024-02-22","1071","1080","1052","1070","-1.83 %","634.00"
"JALPA","2024-02-21","1080","1090","1071","1089.9","-0.01 %","530.00"
"JALPA","2024-02-20","1090","1100","1080","1090","-0.91 %","460.00"
"JALPA","2024-02-18","1100","1105","1090","1100","-0.90 %","766.00"
"JALPA","2024-02-15","1104.1","1115","1104.1","1110","0.27 %","1,005.00"
"JALPA","2024-02-14","1110.1","1129","1088.5","1107","-1.95 %","985.00"
"JALPA","2024-02-13","1139","1140","1116","1129","-1.73 %","813.00"
"JALPA","2024-02-12","1122.1","1160","1122.1","1148.9","0.34 %","456.00"
"JALPA","2024-02-11","1135.2","1157","1135.2","1145","0.72 %","841.00"
"JALPA","2024-02-08","1155","1160","1132","1136.8","-1.58 %","423.00"
"JALPA","2024-02-07","1156","1156","1133","1155","1.85 %","402.00"
"JALPA","2024-02-06","1152.6","1155","1130","1134","0.35 %","745.00"
"JALPA","2024-02-05","1111","1160","1111","1130","1.71 %","936.00"
"JALPA","2024-02-04","1098","1114","1098","1111","-0.80 %","918.00"
"JALPA","2024-02-01","1130","1140","1111","1120","-2.78 %","769.00"
"JALPA","2024-01-31","1147","1165","1126.3","1152","-1.54 %","2,383.00"
"JALPA","2024-01-30","1175","1191.1","1170","1170","0.17 %","763.00"
"JALPA","2024-01-29","1150","1186","1150","1168","0.95 %","373.00"
"JALPA","2024-01-28","1160","1165","1138","1157","-0.70 %","1,166.00"
"JALPA","2024-01-25","1160","1199","1152.5","1165.1","-0.93 %","505.00"
"JALPA","2024-01-24","1165","1212","1165","1176","-0.34 %","1,273.00"
"JALPA","2024-01-23","1160","1183","1158","1180","0.60 %","741.00"
"JALPA","2024-01-22","1220","1220","1161","1173","-4.63 %","2,163.00"
"JALPA","2024-01-21","1290.5","1290.5","1230","1230","-4.67 %","2,239.00"
"JALPA","2024-01-18","1281","1320","1270","1290.3","0.73 %","3,321.00"
"JALPA","2024-01-17","1290","1390","1281","1281","0.87 %","5,351.00"
"JALPA","2024-01-16","1200","1293.3","1198","1270","6.72 %","3,252.00"
"JALPA","2024-01-14","1170","1194","1162","1190","3.03 %","3,266.00"
"JALPA","2024-01-11","1160.1","1166","1140","1155","-0.43 %","1,088.00"
"JALPA","2024-01-10","1095.1","1180","1095.1","1160","5.93 %","3,727.00"
"JALPA","2024-01-09","1072","1114.9","1072","1095.1","1.40 %","1,780.00"
"JALPA","2024-01-08","1085","1106.7","1077.5","1080","-1.37 %","1,227.00"
"JALPA","2024-01-07","1092.1","1118","1090","1095","-1.56 %","431.00"
"JALPA","2024-01-04","1107","1150","1100","1112.3","2.42 %","768.00"
"JALPA","2024-01-03","1065","1086","1064.5","1086","0.00 %","617.00"
"JALPA","2024-01-02","1123","1127","1065","1086","-1.36 %","871.00"
"JALPA","2024-01-01","1130","1130","1090","1101","-2.57 %","1,000.00"
"JALPA","2023-12-28","1110","1137.3","1108","1130","0.00 %","442.00"
"JALPA","2023-12-27","1155","1160","1111","1130","-3.42 %","1,344.00"
"JALPA","2023-12-24","1190","1190","1151","1170","-2.90 %","1,975.00"
"JALPA","2023-12-21","1262","1262","1196","1205","-4.52 %","2,347.00"
"JALPA","2023-12-20","1209.7","1278.8","1209.7","1262","6.41 %","2,587.00"
"JALPA","2023-12-19","1122","1220","1122","1186","5.96 %","2,647.00"
