"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JFL","2024-08-11","720","740","714.1","720","0.70 %","107,487.00"
"JFL","2024-08-08","729.1","740","710","715","-3.88 %","153,874.00"
"JFL","2024-08-07","690.9","771","690","743.9","5.52 %","97,769.00"
"JFL","2024-08-06","754.6","755","700","705","-8.44 %","210,782.00"
"JFL","2024-08-05","815","825","740","770","-5.52 %","217,951.00"
"JFL","2024-08-01","855","879","799.7","815","-4.68 %","209,170.00"
"JFL","2024-07-31","815","880","808","855","5.82 %","154,997.00"
"JFL","2024-07-30","780.4","819.9","765","808","5.61 %","166,212.00"
"JFL","2024-07-29","727","782","715","765.1","6.80 %","288,963.00"
"JFL","2024-07-28","730","731.8","705.6","716.4","-0.15 %","65,084.00"
"JFL","2024-07-25","732","733","717","717.5","-0.21 %","119,520.00"
"JFL","2024-07-24","730","739","718","719","0.11 %","129,772.00"
"JFL","2024-07-23","715","730","701","718.2","0.45 %","129,744.00"
"JFL","2024-07-22","716","737.9","708.6","715","-1.38 %","150,360.00"
"JFL","2024-07-21","730","749","710","725","0.14 %","119,184.00"
"JFL","2024-07-18","731.1","777.7","710.6","724","-2.95 %","244,049.00"
"JFL","2024-07-17","703.7","765","703.7","746","3.90 %","179,535.00"
"JFL","2024-07-16","727.7","743.5","686","718","-3.30 %","238,075.00"
"JFL","2024-07-15","808.5","808.5","742.5","742.5","-10.00 %","256,658.00"
"JFL","2024-07-14","750","831","700","825","9.16 %","327,343.00"
"JFL","2024-07-11","681.1","755.8","681.1","755.8","8.76 %","164,026.00"
"JFL","2024-07-10","663","700","663","694.9","6.91 %","216,090.00"
"JFL","2024-07-09","680","720","632","650","-3.26 %","203,525.00"
"JFL","2024-07-08","693.8","693.8","641","671.9","-1.22 %","232,869.00"
"JFL","2024-07-07","649","680.2","635.1","680.2","4.66 %","132,309.00"
"JFL","2024-07-04","674","682","643","649.9","-3.70 %","134,769.00"
"JFL","2024-07-03","620","679","620","674.9","6.94 %","188,866.00"
"JFL","2024-07-02","617.1","653.8","605","631.1","4.31 %","115,372.00"
"JFL","2024-07-01","584.1","624.8","584.1","605","1.51 %","160,641.00"
"JFL","2024-06-30","573.3","620","573.3","596","1.88 %","198,254.00"
"JFL","2024-06-27","570","599","570","585","1.21 %","135,665.00"
"JFL","2024-06-26","588","596.2","566.2","578","0.17 %","63,462.00"
"JFL","2024-06-25","587.1","615.9","577","577","-3.67 %","77,650.00"
"JFL","2024-06-24","581","612","565","599","5.09 %","218,206.00"
"JFL","2024-06-23","566","575.7","555","570","2.70 %","100,731.00"
"JFL","2024-06-20","543.9","566.4","543.9","555","0.00 %","74,762.00"
"JFL","2024-06-19","524.3","565","524.3","555","3.74 %","123,945.00"
"JFL","2024-06-18","557.7","557.7","534","535","-2.16 %","36,852.00"
"JFL","2024-06-16","550","552.7","536.2","546.8","1.26 %","111,072.00"
"JFL","2024-06-13","543","563","540","540","-2.53 %","121,220.00"
"JFL","2024-06-12","572","577.3","554","554","-3.30 %","143,110.00"
"JFL","2024-06-11","552.3","576","541","572.9","1.67 %","190,124.00"
"JFL","2024-06-10","605","605","555.3","563.5","-8.67 %","299,651.00"
"JFL","2024-06-09","559","617","548","617","8.26 %","106,457.00"
"JFL","2024-06-06","570","600","556","569.9","-1.62 %","87,170.00"
"JFL","2024-06-05","557","609","557","579.3","2.01 %","86,293.00"
"JFL","2024-06-04","550.1","571.2","548","567.9","1.23 %","97,138.00"
"JFL","2024-06-03","581.2","581.2","550","561","-1.56 %","73,393.00"
"JFL","2024-06-02","560","576.1","540","569.9","1.79 %","138,500.00"
"JFL","2024-05-30","554.9","571.2","544.1","559.9","2.04 %","242,731.00"
"JFL","2024-05-29","540.6","570","532.2","548.7","3.53 %","112,337.00"
"JFL","2024-05-27","519","544","519","530","0.55 %","30,015.00"
"JFL","2024-05-26","554.8","554.8","525.7","527.1","-3.11 %","42,536.00"
"JFL","2024-05-22","550.6","569.9","541","544","0.72 %","101,732.00"
"JFL","2024-05-21","481.2","540.1","481.2","540.1","10.00 %","184,552.00"
"JFL","2024-05-20","502","512","490.2","491","-3.35 %","42,445.00"
"JFL","2024-05-19","520.2","520.2","505.2","508","-0.39 %","23,665.00"
"JFL","2024-05-16","505.7","550","500","510","-1.16 %","37,934.00"
"JFL","2024-05-15","512.7","526.3","503","516","0.64 %","50,573.00"
"JFL","2024-05-14","500","520","500","512.7","0.53 %","40,874.00"
"JFL","2024-05-13","500.8","521","500.8","510","-0.20 %","31,507.00"
"JFL","2024-05-12","516","528","509","511","-0.97 %","28,449.00"
"JFL","2024-05-09","526.9","539.9","515","516","-0.41 %","76,205.00"
"JFL","2024-05-08","506.8","528.2","496","518.1","4.06 %","47,934.00"
"JFL","2024-05-07","495","517","486","497.9","-0.84 %","33,109.00"
"JFL","2024-05-06","510","534","471","502.1","-2.32 %","120,169.00"
"JFL","2024-05-05","545","552.5","510","514","-5.69 %","80,133.00"
"JFL","2024-05-02","540","558","521.1","545","1.87 %","94,100.00"
"JFL","2024-04-30","527.3","568","520","535","3.48 %","164,002.00"
"JFL","2024-04-29","479.4","517","458.9","517","10.00 %","187,580.00"
"JFL","2024-04-28","464.1","478","455.2","470","3.30 %","62,028.00"
"JFL","2024-04-25","455","471","448.5","455","1.65 %","68,179.00"
"JFL","2024-04-24","441","460","426","447.6","3.32 %","46,087.00"
"JFL","2024-04-22","450","457","431.4","433.2","-3.73 %","19,006.00"
"JFL","2024-04-21","430.3","474","418.2","450","2.51 %","35,479.00"
"JFL","2024-04-18","438.5","456.8","437.2","439","2.33 %","47,518.00"
"JFL","2024-04-16","432","440.6","426.6","429","-2.46 %","23,822.00"
"JFL","2024-04-15","468","468","438","439.8","-4.18 %","31,662.00"
"JFL","2024-04-14","471","471","455","459","-0.65 %","40,416.00"
"JFL","2024-04-10","471.4","483","453","462","-0.04 %","96,678.00"
"JFL","2024-04-09","428.6","462.2","428.6","462.2","10.00 %","148,118.00"
"JFL","2024-04-07","380.1","420.2","380","420.2","10.00 %","133,480.00"
"JFL","2024-04-04","388.9","388.9","381.2","382","0.00 %","5,941.00"
"JFL","2024-04-03","392","392","381","382","-1.04 %","6,074.00"
"JFL","2024-04-02","387.8","396.2","383.2","386","1.31 %","5,486.00"
"JFL","2024-04-01","382.9","390","380.1","381","-0.76 %","7,570.00"
"JFL","2024-03-31","385","389.5","380.2","383.9","-0.78 %","11,690.00"
"JFL","2024-03-28","379","389.5","378.1","386.9","0.49 %","7,920.00"
"JFL","2024-03-27","395.7","395.7","381","385","-0.77 %","10,357.00"
"JFL","2024-03-26","396","396","384.2","388","-0.51 %","11,080.00"
"JFL","2024-03-25","387.1","399.8","381.1","390","-1.02 %","10,402.00"
"JFL","2024-03-21","390","410","390","394","1.03 %","35,417.00"
"JFL","2024-03-20","406","406","387.1","390","-2.33 %","15,117.00"
"JFL","2024-03-19","397","413","397","399.3","2.52 %","61,308.00"
"JFL","2024-03-18","390","408","386.3","389.5","1.17 %","14,516.00"
"JFL","2024-03-17","385","391.9","382.1","385","0.00 %","5,252.00"
"JFL","2024-03-14","385","396.7","378","385","-0.80 %","17,290.00"
"JFL","2024-03-13","386.9","394.7","381","388.1","2.13 %","18,982.00"
"JFL","2024-03-12","377","384.4","370","380","2.65 %","15,511.00"
"JFL","2024-03-10","376.9","376.9","369.4","370.2","0.08 %","7,392.00"
"JFL","2024-03-07","375","375","364.3","369.9","0.52 %","5,165.00"
"JFL","2024-03-06","376","376","355","368","-0.59 %","11,204.00"
"JFL","2024-03-05","372.4","379.8","360.1","370.2","1.40 %","9,898.00"
"JFL","2024-03-04","358","365.1","358","365.1","4.02 %","20.00"
"JFL","2024-03-03","350","355","350","351","-0.85 %","4,219.00"
"JFL","2024-02-29","370","370","352.3","354","-2.48 %","13,665.00"
"JFL","2024-02-28","365","370.6","362","363","-0.85 %","4,731.00"
"JFL","2024-02-27","365","369.9","365","366.1","-0.76 %","1,809.00"
"JFL","2024-02-26","370","370","363","368.9","1.63 %","4,493.00"
"JFL","2024-02-25","370.2","377.4","356.1","363","0.00 %","21,450.00"
"JFL","2024-02-22","373","383.5","361.2","363","-0.82 %","20,151.00"
"JFL","2024-02-21","371.1","374","366","366","-1.08 %","5,927.00"
"JFL","2024-02-20","376","376","365.6","370","0.27 %","2,840.00"
"JFL","2024-02-18","380","385","365.6","369","-2.38 %","8,427.00"
"JFL","2024-02-15","380.1","389.9","374","378","-2.07 %","9,435.00"
"JFL","2024-02-14","370.2","395","369.1","386","6.34 %","59,521.00"
"JFL","2024-02-13","377","377","363","363","-2.13 %","9,212.00"
"JFL","2024-02-12","380","380","367.5","370.9","-0.48 %","4,590.00"
"JFL","2024-02-11","365.5","378","365.4","372.7","0.84 %","15,485.00"
"JFL","2024-02-08","375","375","363","369.6","0.43 %","2,072.00"
"JFL","2024-02-07","375.8","375.8","368","368","-0.81 %","6,322.00"
"JFL","2024-02-06","362","375","362","371","0.54 %","2,514.00"
"JFL","2024-02-05","360.3","371.2","360.3","369","1.57 %","5,546.00"
"JFL","2024-02-04","357","371","357","363.3","-0.19 %","5,017.00"
"JFL","2024-02-01","358","374","357.7","364","1.11 %","20,454.00"
"JFL","2024-01-31","366.1","373","360","360","-3.23 %","10,674.00"
"JFL","2024-01-30","360","374","360","372","1.36 %","4,310.00"
"JFL","2024-01-29","370","370","362.6","367","0.58 %","3,555.00"
"JFL","2024-01-28","363.9","370","359","364.9","0.55 %","5,705.00"
"JFL","2024-01-25","352.8","362.9","352.8","362.9","1.37 %","8,870.00"
"JFL","2024-01-24","370.9","370.9","358","358","-1.92 %","8,713.00"
"JFL","2024-01-23","368.3","368.5","361","365","1.08 %","6,440.00"
"JFL","2024-01-22","367.5","379","361","361.1","-2.96 %","6,811.00"
"JFL","2024-01-21","375","388.6","372","372.1","-1.95 %","13,134.00"
"JFL","2024-01-18","375","385","373.6","379.5","-0.13 %","16,028.00"
"JFL","2024-01-17","391","408","379.4","380","-2.31 %","55,570.00"
"JFL","2024-01-16","380","392.5","380","389","3.73 %","38,519.00"
"JFL","2024-01-14","372.3","378.3","370.1","375","2.74 %","10,645.00"
"JFL","2024-01-11","378","380","360","365","-2.41 %","13,724.00"
"JFL","2024-01-10","384","388.5","374","374","-0.77 %","15,791.00"
"JFL","2024-01-09","364","380","361.1","376.9","5.57 %","22,260.00"
"JFL","2024-01-08","352","360.9","352","357","3.12 %","6,772.00"
"JFL","2024-01-07","334.2","363","334.2","346.2","1.52 %","14,016.00"
"JFL","2024-01-04","360","365","341","341","-5.28 %","6,956.00"
"JFL","2024-01-03","359","364","355","360","0.87 %","5,165.00"
"JFL","2024-01-02","355","358","351.1","356.9","-0.31 %","3,876.00"
"JFL","2024-01-01","366","370","358","358","-0.50 %","10,336.00"
"JFL","2023-12-28","363.1","363.1","355.7","359.8","-0.85 %","16,549.00"
"JFL","2023-12-27","366.9","370","355.5","362.9","-1.09 %","6,172.00"
"JFL","2023-12-24","370","375","366.6","366.9","-0.57 %","10,078.00"
"JFL","2023-12-21","387","394.6","369","369","-4.65 %","15,973.00"
"JFL","2023-12-20","385.1","398","380","387","-1.02 %","13,165.00"
"JFL","2023-12-19","392","394.5","380","391","1.56 %","18,037.00"
"JFL","2023-12-18","385","399.8","375","385","1.32 %","26,478.00"
"JFL","2023-12-17","365.5","380","362","380","3.26 %","17,055.00"
"JFL","2023-12-14","364","370","362.1","368","0.79 %","5,585.00"
"JFL","2023-12-13","360","372","360","365.1","1.98 %","17,225.00"
"JFL","2023-12-12","345","365","345","358","2.58 %","17,371.00"
"JFL","2023-12-11","362","362","343.1","349","-1.80 %","5,958.00"
"JFL","2023-12-10","341.7","355.4","341.7","355.4","6.09 %","200.00"
"JFL","2023-12-07","330.1","336.6","327","335","1.52 %","2,515.00"
"JFL","2023-12-06","330","333","330","330","-1.05 %","1,565.00"
"JFL","2023-12-05","336","336","330","333.5","-0.45 %","793.00"
"JFL","2023-12-04","334.8","339","333","335","0.03 %","2,522.00"
"JFL","2023-12-03","320","334.9","320","334.9","2.73 %","5,061.00"
"JFL","2023-11-30","328.6","334","325","326","1.18 %","2,304.00"
"JFL","2023-11-29","336","336","322.2","322.2","-3.53 %","2,833.00"
"JFL","2023-11-28","343.9","343.9","334","334","-1.79 %","3,239.00"
"JFL","2023-11-27","333","343","333","340.1","0.47 %","3,086.00"
"JFL","2023-11-26","336.6","343","336.1","338.5","2.58 %","3,726.00"
"JFL","2023-11-23","328.3","340","328.3","330","-1.46 %","4,984.00"
"JFL","2023-11-22","325","334.9","320","334.9","1.95 %","3,049.00"
"JFL","2023-11-21","320","329.9","316.7","328.5","1.55 %","2,787.00"
"JFL","2023-11-20","335","337","323.5","323.5","-2.41 %","2,969.00"
"JFL","2023-11-09","330.2","334","330","331.5","-1.04 %","2,255.00"
