"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KDL","2024-08-11","1278","1313","1274","1289.8","-0.40 %","30,410.00"
"KDL","2024-08-08","1325","1325","1255","1295","-2.26 %","15,949.00"
"KDL","2024-08-07","1273.5","1325","1268","1325","1.97 %","44,008.00"
"KDL","2024-08-06","1374.9","1374.9","1274","1299.4","-3.61 %","30,696.00"
"KDL","2024-08-05","1346.4","1355","1300","1348","2.12 %","28,503.00"
"KDL","2024-08-01","1363","1381","1313.3","1320","-2.51 %","37,231.00"
"KDL","2024-07-31","1365.2","1379","1331.1","1354","1.16 %","33,305.00"
"KDL","2024-07-30","1275","1375","1275","1338.5","3.28 %","42,057.00"
"KDL","2024-07-29","1280","1303","1266.2","1296","-0.31 %","26,503.00"
"KDL","2024-07-28","1264.2","1315.1","1264.2","1300","0.78 %","16,547.00"
"KDL","2024-07-25","1297","1310.7","1261.2","1290","0.39 %","24,967.00"
"KDL","2024-07-24","1302.1","1360","1260.1","1285","-1.53 %","36,436.00"
"KDL","2024-07-23","1236","1365","1236","1305","3.49 %","52,652.00"
"KDL","2024-07-22","1273","1298","1250","1261","-0.94 %","16,101.00"
"KDL","2024-07-21","1286","1297","1256","1273","-1.01 %","30,800.00"
"KDL","2024-07-18","1225","1301","1225","1286","5.07 %","37,169.00"
"KDL","2024-07-17","1200","1244.4","1200","1224","2.00 %","29,382.00"
"KDL","2024-07-16","1155","1210","1155","1200","2.48 %","14,292.00"
"KDL","2024-07-15","1221","1221","1171","1171","-2.42 %","18,550.00"
"KDL","2024-07-14","1225.1","1248","1180","1200","-0.09 %","10,412.00"
"KDL","2024-07-11","1161.3","1201.1","1160","1201.1","2.22 %","18,130.00"
"KDL","2024-07-10","1165","1188","1150","1175","0.95 %","8,868.00"
"KDL","2024-07-09","1151.7","1197","1150","1164","-0.95 %","16,107.00"
"KDL","2024-07-08","1187","1210","1175.1","1175.2","-2.71 %","13,739.00"
"KDL","2024-07-07","1209.9","1225","1193","1207.9","-0.17 %","9,021.00"
"KDL","2024-07-04","1180","1227","1165","1210","2.54 %","11,995.00"
"KDL","2024-07-03","1208.5","1208.5","1161","1180","-0.42 %","5,214.00"
"KDL","2024-07-02","1202.4","1249.9","1161","1185","0.52 %","17,003.00"
"KDL","2024-07-01","1185","1185","1152","1178.9","1.09 %","10,391.00"
"KDL","2024-06-30","1175","1190","1152","1166.2","-2.25 %","10,787.00"
"KDL","2024-06-27","1160","1193","1149.1","1193","1.36 %","11,997.00"
"KDL","2024-06-26","1170","1177","1147","1177","2.35 %","13,124.00"
"KDL","2024-06-25","1105","1193","1105","1150","2.22 %","17,228.00"
"KDL","2024-06-24","1127","1168.9","1104.7","1125","-2.09 %","7,176.00"
"KDL","2024-06-23","1147","1179.7","1105.3","1149","-1.79 %","13,205.00"
"KDL","2024-06-20","1200","1200","1101.3","1170","-2.41 %","9,553.00"
"KDL","2024-06-19","1225","1225","1180","1198.9","-0.59 %","11,198.00"
"KDL","2024-06-18","1191.1","1229","1191.1","1206","0.08 %","11,495.00"
