"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KRBL","2024-08-11","663","700","615","673.2","-0.49 %","208,459.00"
"KRBL","2024-08-08","616","676.5","585","676.5","10.00 %","165,897.00"
"KRBL","2024-08-07","570.8","615","540","615","9.88 %","89,671.00"
"KRBL","2024-08-06","595","595","547.5","559.7","-4.16 %","68,700.00"
"KRBL","2024-08-05","538.1","589","538.1","584","6.38 %","92,827.00"
"KRBL","2024-08-01","550.8","597","544.4","549","-2.31 %","83,395.00"
"KRBL","2024-07-31","556.6","590","556","562","-1.04 %","89,188.00"
"KRBL","2024-07-30","558.6","581","556.3","567.9","-0.35 %","72,353.00"
"KRBL","2024-07-29","534","577","534","569.9","4.61 %","154,561.00"
"KRBL","2024-07-28","520.2","544.9","505","544.8","6.82 %","153,682.00"
"KRBL","2024-07-25","495","515","495","510","3.03 %","52,222.00"
"KRBL","2024-07-24","513","518","490.1","495","-2.17 %","56,299.00"
"KRBL","2024-07-23","507.9","515","498","506","1.40 %","55,390.00"
"KRBL","2024-07-22","507.1","510","493","499","-1.56 %","39,701.00"
"KRBL","2024-07-21","507","517","497","506.9","-0.02 %","53,742.00"
"KRBL","2024-07-18","511","533","505","507","-2.69 %","69,809.00"
"KRBL","2024-07-17","519","525","498","521","2.18 %","80,415.00"
"KRBL","2024-07-16","489","515","482.2","509.9","5.37 %","46,638.00"
"KRBL","2024-07-15","497.7","497.7","481.1","483.9","-0.84 %","30,413.00"
"KRBL","2024-07-14","499.2","509","485","488","-0.31 %","31,727.00"
"KRBL","2024-07-11","495.2","500","484","489.5","-1.11 %","50,618.00"
"KRBL","2024-07-10","502","505","490.2","495","-1.20 %","36,051.00"
"KRBL","2024-07-09","490.9","515","488.2","501","2.50 %","58,389.00"
"KRBL","2024-07-08","494.9","494.9","477","488.8","0.58 %","53,292.00"
"KRBL","2024-07-07","495.5","500","485","486","-2.02 %","72,634.00"
"KRBL","2024-07-04","487.5","515","487.5","496","1.74 %","136,948.00"
"KRBL","2024-07-03","470.2","487.5","441.6","487.5","5.75 %","147,601.00"
"KRBL","2024-07-02","458.4","494","450","461","2.56 %","36,773.00"
"KRBL","2024-07-01","452","452.4","442.1","449.5","1.01 %","21,098.00"
"KRBL","2024-06-30","438","472.1","438","445","0.00 %","38,929.00"
"KRBL","2024-06-27","457","460","445","445","-2.37 %","26,404.00"
"KRBL","2024-06-26","464.9","464.9","444","455.8","-0.04 %","37,316.00"
"KRBL","2024-06-25","460","467.8","450","456","0.64 %","40,541.00"
"KRBL","2024-06-24","445","460","444","453.1","2.28 %","37,445.00"
"KRBL","2024-06-23","444.7","479.6","427.3","443","1.61 %","53,765.00"
"KRBL","2024-06-20","450","450","435","436","-1.27 %","17,297.00"
"KRBL","2024-06-19","452.8","452.8","441","441.6","-0.54 %","28,376.00"
"KRBL","2024-06-18","441.1","459","438","444","-1.33 %","29,078.00"
"KRBL","2024-06-16","467","467","444","450","-1.92 %","39,704.00"
"KRBL","2024-06-13","451.8","475","425.4","458.8","3.57 %","134,868.00"
"KRBL","2024-06-12","438","454.6","438","443","0.96 %","32,646.00"
"KRBL","2024-06-11","440","445","432","438.8","1.57 %","20,188.00"
"KRBL","2024-06-10","427","442","425","432","1.65 %","40,418.00"
"KRBL","2024-06-09","432.2","444","423","425","-1.62 %","78,499.00"
"KRBL","2024-06-06","435.3","435.3","423.1","432","0.93 %","15,764.00"
"KRBL","2024-06-05","428","433","425.1","428","0.23 %","19,106.00"
"KRBL","2024-06-04","428.4","429.5","422","427","1.67 %","10,242.00"
"KRBL","2024-06-03","438","438","420","420","-2.30 %","20,472.00"
"KRBL","2024-06-02","427","435","420.6","429.9","2.60 %","12,226.00"
"KRBL","2024-05-30","418.1","426","418","419","-1.39 %","13,841.00"
"KRBL","2024-05-29","435.4","435.4","419.3","424.9","-0.49 %","16,266.00"
"KRBL","2024-05-27","418.1","435","418.1","427","0.95 %","11,103.00"
"KRBL","2024-05-26","432","439.7","420.5","423","-2.08 %","20,764.00"
"KRBL","2024-05-22","431","464.7","430","432","-0.46 %","37,647.00"
"KRBL","2024-05-21","430","442","425.1","434","0.98 %","24,459.00"
"KRBL","2024-05-20","440","440","425","429.8","-0.97 %","37,042.00"
"KRBL","2024-05-19","433.5","442","425.5","434","2.12 %","28,171.00"
"KRBL","2024-05-16","430","436.9","425","425","-2.32 %","50,288.00"
"KRBL","2024-05-15","457.9","457.9","435","435.1","-3.10 %","18,514.00"
"KRBL","2024-05-14","448","451","442","449","-1.32 %","37,773.00"
"KRBL","2024-05-13","430.1","479","430.1","455","4.33 %","209,088.00"
"KRBL","2024-05-12","436","452","436","436.1","0.48 %","50,284.00"
"KRBL","2024-05-09","433","444","424.4","434","1.78 %","49,814.00"
"KRBL","2024-05-08","431.8","431.8","416","426.4","0.71 %","13,307.00"
"KRBL","2024-05-07","420","428","420","423.4","0.33 %","27,051.00"
"KRBL","2024-05-06","411.6","429","411.6","422","0.48 %","27,676.00"
"KRBL","2024-05-05","445.7","445.7","418","420","-3.89 %","25,443.00"
"KRBL","2024-05-02","445","446","425","437","-0.68 %","50,593.00"
"KRBL","2024-04-30","438.6","461","430","440","2.33 %","100,626.00"
"KRBL","2024-04-29","412","430","410.9","430","4.88 %","94,739.00"
"KRBL","2024-04-28","399","414","399","410","4.30 %","31,480.00"
"KRBL","2024-04-25","398.8","414.8","385.1","393.1","0.54 %","10,885.00"
"KRBL","2024-04-24","397.8","408","386.2","391","0.23 %","7,297.00"
"KRBL","2024-04-22","400","406","390.1","390.1","-3.68 %","15,309.00"
"KRBL","2024-04-21","403.9","408","390","405","2.02 %","10,600.00"
"KRBL","2024-04-18","405","405","396.9","397","-1.98 %","9,679.00"
"KRBL","2024-04-16","404.1","418.9","400","405","-1.51 %","32,020.00"
"KRBL","2024-04-15","422","425","411.2","411.2","-2.56 %","13,355.00"
"KRBL","2024-04-14","411","430","410.1","422","2.93 %","41,204.00"
"KRBL","2024-04-10","417.9","424","405","410","-0.97 %","37,441.00"
"KRBL","2024-04-09","410","417","406.6","414","1.97 %","76,445.00"
"KRBL","2024-04-07","399.8","424.1","388.5","406","3.57 %","53,129.00"
"KRBL","2024-04-04","400","400","392","392","-0.25 %","13,921.00"
"KRBL","2024-04-03","397.5","403","388.1","393","-1.50 %","17,661.00"
"KRBL","2024-04-02","401.1","406","399","399","-1.92 %","29,934.00"
"KRBL","2024-04-01","414","414","397.3","406.8","-0.15 %","19,526.00"
"KRBL","2024-03-31","405","418","400","407.4","-1.36 %","12,116.00"
"KRBL","2024-03-28","401.1","413","400","413","1.28 %","59,764.00"
"KRBL","2024-03-27","422","422","401","407.8","-1.50 %","16,840.00"
"KRBL","2024-03-26","422.9","422.9","410.2","414","-0.72 %","34,177.00"
"KRBL","2024-03-25","433.6","433.6","411.9","417","-5.74 %","39,033.00"
"KRBL","2024-03-21","410","442.4","398","442.4","9.23 %","101,170.00"
"KRBL","2024-03-20","415.1","416","394","405","-0.49 %","46,572.00"
"KRBL","2024-03-19","429","429","406.3","407","-3.53 %","71,691.00"
"KRBL","2024-03-18","419","424.9","413","421.9","0.93 %","100,164.00"
"KRBL","2024-03-17","403.8","425","394","418","3.49 %","115,491.00"
"KRBL","2024-03-14","368","403.9","368","403.9","7.71 %","176,844.00"
"KRBL","2024-03-13","386.5","386.5","375","375","-1.06 %","13,131.00"
"KRBL","2024-03-12","377.7","379.9","370.4","379","2.35 %","8,863.00"
"KRBL","2024-03-10","380","381.4","370","370.3","-0.99 %","10,815.00"
"KRBL","2024-03-07","374.1","377","366.2","374","1.08 %","15,111.00"
"KRBL","2024-03-06","366.8","373","352.4","370","2.78 %","40,061.00"
"KRBL","2024-03-05","378.4","378.4","352.8","360","-2.96 %","15,805.00"
"KRBL","2024-03-04","357.1","371","357.1","371","5.97 %","50.00"
"KRBL","2024-03-03","359","364.9","348","350.1","-1.32 %","7,874.00"
"KRBL","2024-02-29","368","368","350","354.8","-1.72 %","16,275.00"
"KRBL","2024-02-28","368","375","360.7","361","-2.93 %","14,216.00"
"KRBL","2024-02-27","374.9","374.9","360","371.9","1.06 %","13,808.00"
"KRBL","2024-02-26","372","379.6","361.3","368","0.82 %","11,880.00"
"KRBL","2024-02-25","367","376","359.1","365","-0.52 %","24,087.00"
"KRBL","2024-02-22","380","380","366.7","366.9","-1.90 %","30,599.00"
"KRBL","2024-02-21","375.3","375.3","369.3","374","1.63 %","19,340.00"
"KRBL","2024-02-20","377.5","378","368","368","-1.18 %","13,328.00"
"KRBL","2024-02-18","375","379.8","372.4","372.4","-2.00 %","24,847.00"
"KRBL","2024-02-15","385","389","374","380","-2.31 %","23,784.00"
"KRBL","2024-02-14","365","408","365","389","4.85 %","92,382.00"
"KRBL","2024-02-13","386.2","387","371","371","-5.84 %","33,319.00"
