"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBL","2023-07-13","175.3","177.9","170","173","0.58 %","21,479.00"
"LBL","2023-07-12","168.1","172","168","172","1.36 %","20,969.00"
"LBL","2023-07-11","170","172","167.5","169.7","-0.18 %","36,774.00"
"LBL","2023-07-10","173","173","169.6","170","-0.06 %","21,929.00"
"LBL","2023-07-09","172","173.9","170","170.1","-0.41 %","13,425.00"
"LBL","2023-07-06","170","172","170","170.8","-0.12 %","32,485.00"
"LBL","2023-07-05","172.4","173","170.2","171","-1.04 %","21,676.00"
"LBL","2023-07-04","175.9","176","172","172.8","0.00 %","9,153.00"
"LBL","2023-07-03","174","176","172.1","172.8","-1.48 %","24,720.00"
"LBL","2023-07-02","175","179.6","173","175.4","-0.90 %","20,368.00"
"LBL","2023-06-28","185.5","186.4","172.5","177","-2.69 %","51,982.00"
"LBL","2023-06-27","176","182","170.6","181.9","4.54 %","63,765.00"
"LBL","2023-06-26","171.1","175.9","171.1","174","0.12 %","27,069.00"
"LBL","2023-06-25","173.2","174.8","170.2","173.8","0.58 %","67,736.00"
"LBL","2023-06-22","173","175","170.7","172.8","-0.46 %","33,104.00"
"LBL","2023-06-21","176","176","173.6","173.6","-1.36 %","30,264.00"
"LBL","2023-06-20","177","177.9","175","176","0.86 %","21,036.00"
"LBL","2023-06-19","181.5","181.5","174","174.5","-1.97 %","32,695.00"
"LBL","2023-06-18","177.1","180.6","175","178","-1.11 %","24,940.00"
"LBL","2023-06-15","178","182","177.3","180","-0.28 %","22,683.00"
"LBL","2023-06-14","175.2","182.2","175.2","180.5","3.03 %","54,703.00"
"LBL","2023-06-13","179","180.4","175.1","175.2","-1.30 %","73,088.00"
"LBL","2023-06-12","178","178","175.2","177.5","0.28 %","49,574.00"
"LBL","2023-06-11","175","178","174","177","1.61 %","38,040.00"
"LBL","2023-06-08","179","180","174.2","174.2","-2.13 %","101,043.00"
"LBL","2023-06-07","177","180","176.5","178","0.62 %","66,824.00"
"LBL","2023-06-06","178","180.9","176","176.9","-0.62 %","68,860.00"
"LBL","2023-06-05","181","181","177.8","178","-1.87 %","8,352.00"
"LBL","2023-06-04","181.2","188.4","177.5","181.4","2.08 %","10,135.00"
"LBL","2023-06-01","177.5","177.7","174","177.7","1.20 %","11,713.00"
"LBL","2023-05-31","175.4","180","175","175.6","-1.35 %","22,081.00"
"LBL","2023-05-30","180.1","181","177.2","178","-1.93 %","22,677.00"
"LBL","2023-05-28","183.5","184.6","181.1","181.5","0.22 %","37,746.00"
"LBL","2023-05-24","182.1","184.8","181.1","181.1","-1.25 %","30,202.00"
"LBL","2023-05-23","182","187.6","180.2","183.4","0.77 %","27,783.00"
"LBL","2023-05-22","182.9","182.9","180","182","0.44 %","22,366.00"
"LBL","2023-05-21","185","185","181.2","181.2","-0.44 %","25,347.00"
"LBL","2023-05-18","180","184","180","182","2.02 %","23,773.00"
"LBL","2023-05-17","180","181.9","177","178.4","-0.45 %","22,681.00"
"LBL","2023-05-16","176","182.9","176","179.2","1.82 %","9,473.00"
"LBL","2023-05-15","173.7","179","173","176","0.01 %","86,993.00"
