"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LSL","2024-08-11","230","239.7","227.3","236","4.42 %","432,006.00"
"LSL","2024-08-08","232.2","234.5","225.3","226","-1.74 %","195,818.00"
"LSL","2024-08-07","221","235.5","216.7","230","2.22 %","292,001.00"
"LSL","2024-08-06","238","238","220.5","225","-4.66 %","534,970.00"
"LSL","2024-08-05","241.2","250.8","236","236","-0.21 %","402,573.00"
"LSL","2024-08-01","237.1","243","235.1","236.5","-2.23 %","326,907.00"
"LSL","2024-07-31","235.2","247","232.1","241.9","2.94 %","539,047.00"
"LSL","2024-07-30","241.7","241.7","220","235","-0.84 %","500,269.00"
"LSL","2024-07-29","247","256","236","237","-2.15 %","897,894.00"
"LSL","2024-07-28","224.6","242.2","224.6","242.2","9.99 %","896,490.00"
"LSL","2024-07-25","215","221","212.2","220.2","2.42 %","708,291.00"
"LSL","2024-07-24","216","225.7","211.7","215","-0.28 %","889,743.00"
"LSL","2024-07-23","206","216.2","203","215.6","4.15 %","962,650.00"
"LSL","2024-07-22","210","212","203.5","207","-0.96 %","1,032,557.00"
"LSL","2024-07-21","202","211","196","209","3.72 %","681,038.00"
"LSL","2024-07-18","187.5","204.6","186.4","201.5","8.33 %","783,753.00"
"LSL","2024-07-17","183.5","186","180.5","186","2.76 %","464,668.00"
"LSL","2024-07-16","177","182.5","172.2","181","3.43 %","208,799.00"
"LSL","2024-07-15","180","180","173.5","175","-1.13 %","360,456.00"
"LSL","2024-07-14","171.2","178","168","177","5.42 %","287,328.00"
"LSL","2024-07-11","165","170","165","167.9","1.76 %","121,786.00"
"LSL","2024-07-10","165.2","165.2","161","165","1.85 %","72,499.00"
"LSL","2024-07-09","160","162.2","158.2","162","0.93 %","94,437.00"
"LSL","2024-07-08","163.5","163.5","160","160.5","-0.68 %","81,272.00"
"LSL","2024-07-07","163.8","163.9","158.6","161.6","0.12 %","69,151.00"
"LSL","2024-07-04","159","162","156.8","161.4","0.94 %","96,110.00"
"LSL","2024-07-03","158","160","153.6","159.9","2.11 %","131,440.00"
"LSL","2024-07-02","156","167","155","156.6","2.35 %","161,736.00"
"LSL","2024-07-01","150","155.4","147.7","153","2.07 %","106,683.00"
"LSL","2024-06-30","150","152","148.4","149.9","-0.73 %","62,032.00"
"LSL","2024-06-27","151.8","151.8","148.9","151","1.27 %","35,453.00"
"LSL","2024-06-26","153","153","149","149.1","-2.55 %","172,190.00"
"LSL","2024-06-25","152.9","156","150","153","-1.92 %","183,647.00"
"LSL","2024-06-24","154","156","152","156","0.97 %","51,883.00"
"LSL","2024-06-23","153","155","153","154.5","-0.19 %","44,889.00"
"LSL","2024-06-20","157.5","157.5","152.9","154.8","0.19 %","52,629.00"
"LSL","2024-06-19","155","155.9","152.7","154.5","-0.19 %","72,361.00"
"LSL","2024-06-18","157","159.9","152","154.8","-2.03 %","321,379.00"
"LSL","2024-06-16","161","161","157","158","-1.25 %","40,901.00"
"LSL","2024-06-13","157","161","157","160","0.00 %","60,320.00"
"LSL","2024-06-12","160.2","161.9","159","160","0.31 %","180,048.00"
"LSL","2024-06-11","160.1","160.1","152.3","159.5","1.59 %","202,222.00"
"LSL","2024-06-10","159.6","159.6","155","157","0.32 %","38,341.00"
"LSL","2024-06-09","163.6","163.6","156.4","156.5","-2.43 %","48,563.00"
"LSL","2024-06-06","164.2","164.2","157","160.4","-1.35 %","135,211.00"
"LSL","2024-06-05","163","164","160","162.6","-0.31 %","218,223.00"
"LSL","2024-06-04","165","165","162","163.1","-1.15 %","90,305.00"
"LSL","2024-06-03","164.5","165","159.6","165","1.23 %","145,466.00"
"LSL","2024-06-02","161","165.7","159.3","163","3.16 %","73,570.00"
"LSL","2024-05-30","164","166.7","156.9","158","-3.36 %","142,419.00"
"LSL","2024-05-29","171","171.8","163.1","163.5","-2.97 %","113,464.00"
"LSL","2024-05-27","171","171.9","164","168.5","-0.88 %","126,339.00"
"LSL","2024-05-26","172","174.9","168.6","170","-1.16 %","146,968.00"
"LSL","2024-05-22","168.5","177","166.2","172","2.08 %","229,648.00"
"LSL","2024-05-21","165","170.2","165","168.5","1.08 %","86,232.00"
"LSL","2024-05-20","164.3","173.4","162","166.7","2.90 %","212,691.00"
"LSL","2024-05-19","160.1","164.9","157","162","3.18 %","190,155.00"
"LSL","2024-05-16","157","163.7","153","157","1.95 %","98,545.00"
"LSL","2024-05-15","157.9","157.9","152.2","154","-1.85 %","63,913.00"
"LSL","2024-05-14","152","156.9","150","156.9","1.95 %","110,289.00"
"LSL","2024-05-13","145","161.1","144.3","153.9","5.05 %","108,247.00"
"LSL","2024-05-12","149.1","149.1","143.8","146.5","0.21 %","60,782.00"
"LSL","2024-05-09","145","146.2","143.6","146.2","0.90 %","39,228.00"
"LSL","2024-05-08","145","146","144.4","144.9","-0.21 %","35,908.00"
"LSL","2024-05-07","146","147.8","145","145.2","-0.89 %","28,786.00"
"LSL","2024-05-06","148","148","144.9","146.5","-0.14 %","42,484.00"
"LSL","2024-05-05","147","149","146.1","146.7","-0.34 %","33,271.00"
"LSL","2024-05-02","152.2","152.2","147","147.2","-1.41 %","37,629.00"
"LSL","2024-04-30","151.7","151.7","145.9","149.3","0.34 %","40,473.00"
"LSL","2024-04-29","151.9","151.9","145","148.8","-0.13 %","91,888.00"
"LSL","2024-04-28","148","150.9","145.1","149","0.68 %","189,465.00"
"LSL","2024-04-25","149","150.9","147","148","-0.67 %","123,175.00"
"LSL","2024-04-24","147","149.2","146","149","0.20 %","171,328.00"
"LSL","2024-04-22","152","152","148","148.7","-0.87 %","88,133.00"
"LSL","2024-04-21","152","152","147.9","150","-0.60 %","115,866.00"
"LSL","2024-04-18","152.8","152.8","149.1","150.9","0.60 %","193,160.00"
"LSL","2024-04-16","153.4","153.4","149","150","-0.60 %","35,532.00"
"LSL","2024-04-15","155","155","150","150.9","-1.24 %","41,865.00"
"LSL","2024-04-14","154.4","154.4","151","152.8","0.39 %","64,956.00"
"LSL","2024-04-10","153","155.4","152.2","152.2","-0.65 %","64,615.00"
"LSL","2024-04-09","154.5","155.2","151.7","153.2","0.13 %","35,484.00"
"LSL","2024-04-07","153","154","150","153","-0.39 %","80,734.00"
"LSL","2024-04-04","155.1","156","153.6","153.6","-1.22 %","41,147.00"
"LSL","2024-04-03","155.1","158","154.5","155.5","-0.83 %","76,632.00"
"LSL","2024-04-02","160.1","160.1","156","156.8","-0.13 %","20,541.00"
"LSL","2024-04-01","157.2","158","156.9","157","-1.88 %","44,858.00"
"LSL","2024-03-31","161","161","157.8","160","0.00 %","37,329.00"
"LSL","2024-03-28","158","168.6","157","160","1.27 %","34,077.00"
"LSL","2024-03-27","160","162","158","158","-1.25 %","27,390.00"
"LSL","2024-03-26","159","160","157.5","160","0.76 %","25,939.00"
"LSL","2024-03-25","160","161","158.8","158.8","-1.67 %","25,144.00"
"LSL","2024-03-21","160.1","162","160.1","161.5","-0.31 %","34,621.00"
"LSL","2024-03-20","163","165","161.1","162","-0.49 %","28,382.00"
"LSL","2024-03-19","167","167","162.8","162.8","-1.87 %","18,437.00"
"LSL","2024-03-18","164","167","162.1","165.9","0.55 %","31,417.00"
"LSL","2024-03-17","163.3","168","163.3","165","-0.96 %","64,208.00"
"LSL","2024-03-14","169.5","169.5","163","166.6","0.24 %","92,378.00"
"LSL","2024-03-13","168.8","169.3","165","166.2","0.36 %","45,742.00"
"LSL","2024-03-12","162.1","165.6","162.1","165.6","2.16 %","45,451.00"
"LSL","2024-03-10","165","165","162.1","162.1","-0.55 %","38,069.00"
"LSL","2024-03-07","160","165","160","163","0.68 %","110,503.00"
"LSL","2024-03-06","166.1","166.1","160","161.9","-0.61 %","54,162.00"
"LSL","2024-03-05","166.1","168","160.1","162.9","-3.61 %","51,273.00"
"LSL","2024-03-04","161.3","169","161.3","169","6.29 %","7,662.00"
"LSL","2024-03-03","157","160","157","159","0.57 %","47,890.00"
"LSL","2024-02-29","160.9","161","158","158.1","-0.57 %","57,766.00"
"LSL","2024-02-28","157.2","160.3","157.2","159","-0.63 %","7,700.00"
"LSL","2024-02-27","159","160.9","157.6","160","0.63 %","63,348.00"
