"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MAKAR","2024-08-11","585","595","552.3","588","1.73 %","104,910.00"
"MAKAR","2024-08-08","600","636","570","578","-3.67 %","112,010.00"
"MAKAR","2024-08-07","550","600","545.9","600","9.91 %","49,362.00"
"MAKAR","2024-08-06","589","612","545.9","545.9","-9.17 %","120,107.00"
"MAKAR","2024-08-05","569","610","557.7","601","5.62 %","143,726.00"
"MAKAR","2024-08-01","510.1","572","510.1","569","9.32 %","124,382.00"
"MAKAR","2024-07-31","482","520.5","482","520.5","10.00 %","110,082.00"
"MAKAR","2024-07-30","464.1","490","464.1","473.2","0.77 %","57,223.00"
"MAKAR","2024-07-29","475","487","469.6","469.6","-0.95 %","37,062.00"
"MAKAR","2024-07-28","480","489","466.3","474.1","-1.23 %","16,726.00"
"MAKAR","2024-07-25","489.8","489.8","473","480","-0.21 %","37,900.00"
"MAKAR","2024-07-24","510","515","480.2","481","-5.69 %","56,955.00"
"MAKAR","2024-07-23","491.1","521","488","510","4.29 %","52,551.00"
"MAKAR","2024-07-22","485","504.7","485","489","0.72 %","49,202.00"
"MAKAR","2024-07-21","482","490","470","485.5","1.15 %","36,955.00"
"MAKAR","2024-07-18","473.2","489.5","470.4","480","0.00 %","47,163.00"
"MAKAR","2024-07-17","480","486","466.6","480","1.05 %","45,826.00"
"MAKAR","2024-07-16","454.3","486","454.3","475","4.56 %","39,881.00"
"MAKAR","2024-07-15","465","465","450","454.3","-2.30 %","24,609.00"
"MAKAR","2024-07-14","469.2","478","460","465","1.09 %","17,710.00"
"MAKAR","2024-07-11","471.7","471.7","457","460","-0.63 %","23,490.00"
"MAKAR","2024-07-10","467","467","456.3","462.9","1.07 %","11,037.00"
"MAKAR","2024-07-09","450.1","476.9","450.1","458","0.66 %","18,802.00"
"MAKAR","2024-07-08","469.2","469.2","452.3","455","-1.09 %","18,384.00"
"MAKAR","2024-07-07","452.8","472","452.8","460","-0.43 %","35,667.00"
"MAKAR","2024-07-04","455.8","468","455.8","462","-0.67 %","28,007.00"
"MAKAR","2024-07-03","466","470.9","460","465.1","-2.08 %","18,511.00"
"MAKAR","2024-07-02","469.2","495","458","475","3.26 %","53,308.00"
"MAKAR","2024-07-01","454","465","454","460","1.32 %","38,271.00"
"MAKAR","2024-06-30","450","474","450","454","1.29 %","39,372.00"
"MAKAR","2024-06-27","468.4","468.4","445","448.2","-2.42 %","115,901.00"
"MAKAR","2024-06-26","478.9","479","450","459.3","-2.50 %","43,818.00"
"MAKAR","2024-06-25","434.9","471.1","434.9","471.1","9.99 %","118,917.00"
"MAKAR","2024-06-24","394.1","432","394.1","428.3","7.21 %","104,502.00"
"MAKAR","2024-06-23","400","405","395.5","399.5","-0.62 %","16,865.00"
"MAKAR","2024-06-20","413.1","413.1","400.1","402","-0.74 %","17,840.00"
"MAKAR","2024-06-19","409.9","409.9","401.8","405","0.72 %","11,571.00"
"MAKAR","2024-06-18","416.1","416.1","402.1","402.1","-1.45 %","30,116.00"
"MAKAR","2024-06-16","408","421.2","401","408","2.00 %","38,766.00"
"MAKAR","2024-06-13","391","410.9","391","400","0.50 %","41,430.00"
"MAKAR","2024-06-12","410","411","395.3","398","-1.00 %","20,500.00"
"MAKAR","2024-06-11","400","415.3","399","402","0.50 %","25,927.00"
"MAKAR","2024-06-10","399.9","412.9","395","400","1.27 %","39,815.00"
"MAKAR","2024-06-09","393","404","390.2","395","-0.75 %","37,104.00"
"MAKAR","2024-06-06","389","403","386.1","398","2.31 %","22,736.00"
"MAKAR","2024-06-05","405.9","405.9","381.1","389","-2.26 %","40,788.00"
"MAKAR","2024-06-04","405.2","419","394","398","-1.73 %","29,138.00"
"MAKAR","2024-06-03","417","434","399.9","405","-1.29 %","77,496.00"
"MAKAR","2024-06-02","380.4","410.3","380.4","410.3","10.00 %","112,110.00"
"MAKAR","2024-05-30","357.7","378.9","357.7","373","2.19 %","24,947.00"
"MAKAR","2024-05-29","368","385","363","365","-2.64 %","33,656.00"
"MAKAR","2024-05-27","365.6","377.2","365.6","374.9","2.71 %","13,953.00"
"MAKAR","2024-05-26","374.4","383.9","365","365","-4.45 %","22,038.00"
"MAKAR","2024-05-22","384.5","399.9","378.2","382","-0.65 %","15,642.00"
"MAKAR","2024-05-21","375","391","371.2","384.5","3.95 %","46,195.00"
"MAKAR","2024-05-20","363","373.3","362.6","369.9","1.07 %","30,731.00"
"MAKAR","2024-05-19","365","372","354.2","366","0.27 %","21,621.00"
"MAKAR","2024-05-16","366.5","379.9","352.2","365","-2.38 %","9,795.00"
"MAKAR","2024-05-15","375","387","368.2","373.9","-1.79 %","10,522.00"
"MAKAR","2024-05-14","352","380.7","352","380.7","8.18 %","21,417.00"
"MAKAR","2024-05-13","357","363.5","351","351.9","-1.43 %","6,760.00"
"MAKAR","2024-05-12","352.5","363.2","352.5","357","0.56 %","25,530.00"
"MAKAR","2024-05-09","342","355","342","355","2.60 %","14,562.00"
"MAKAR","2024-05-08","344.9","353","343","346","-1.68 %","9,845.00"
"MAKAR","2024-05-07","352.3","365","350.1","351.9","-2.09 %","9,598.00"
"MAKAR","2024-05-06","358.2","364","353.6","359.4","-1.51 %","4,367.00"
"MAKAR","2024-05-05","358.2","370","358.2","364.9","-0.03 %","10,725.00"
"MAKAR","2024-05-02","363.8","377","362","365","-1.62 %","13,728.00"
"MAKAR","2024-04-30","359","385","358.7","371","2.20 %","11,337.00"
"MAKAR","2024-04-29","370","374","360","363","-2.68 %","15,325.00"
"MAKAR","2024-04-28","370","381","366","373","-0.53 %","17,120.00"
"MAKAR","2024-04-25","381.1","394","375","375","-3.10 %","13,490.00"
"MAKAR","2024-04-24","383","402","379","387","-0.77 %","5,589.00"
"MAKAR","2024-04-22","392","399","383","390","-2.48 %","12,069.00"
"MAKAR","2024-04-21","382.5","400","382.5","399.9","2.54 %","9,532.00"
"MAKAR","2024-04-18","388.6","397.8","383","390","-1.02 %","4,849.00"
"MAKAR","2024-04-16","411.9","411.9","391.2","394","-2.72 %","4,870.00"
"MAKAR","2024-04-15","394.1","411","394.1","405","1.25 %","19,470.00"
"MAKAR","2024-04-14","391","406.7","390.3","400","0.50 %","57,966.00"
"MAKAR","2024-04-10","402","404.4","388","398","0.76 %","14,926.00"
"MAKAR","2024-04-09","402","404.9","392","395","0.03 %","37,602.00"
"MAKAR","2024-04-07","380.5","394.9","380.5","394.9","1.78 %","5,720.00"
"MAKAR","2024-04-04","386.1","395.6","385","388","-0.51 %","13,178.00"
"MAKAR","2024-04-03","390.1","403.5","387.3","390","-1.27 %","6,680.00"
"MAKAR","2024-04-02","415","415","395","395","-3.42 %","9,420.00"
"MAKAR","2024-04-01","400","412","400","409","2.00 %","25,661.00"
"MAKAR","2024-03-31","399","404","392.1","401","1.13 %","21,971.00"
"MAKAR","2024-03-28","386.2","405","386.2","396.5","0.63 %","21,202.00"
"MAKAR","2024-03-27","375","394","374.2","394","3.96 %","17,137.00"
"MAKAR","2024-03-26","372","390","367.6","379","2.35 %","6,372.00"
"MAKAR","2024-03-25","368.5","375","368.5","370.3","-1.52 %","1,945.00"
"MAKAR","2024-03-21","372","391","372","376","0.00 %","4,225.00"
"MAKAR","2024-03-20","376.2","384.1","376","376","-1.05 %","6,070.00"
"MAKAR","2024-03-19","381","390","375.4","380","-1.04 %","4,922.00"
"MAKAR","2024-03-18","375.2","384","375","384","2.05 %","6,361.00"
"MAKAR","2024-03-17","384.1","390","375.1","376.3","-3.51 %","12,192.00"
"MAKAR","2024-03-14","392","400.9","386.1","390","-2.45 %","7,439.00"
"MAKAR","2024-03-13","411","411","394.1","399.8","-0.79 %","14,584.00"
"MAKAR","2024-03-12","397.1","409","397.1","403","-0.47 %","25,069.00"
"MAKAR","2024-03-10","400.6","408","396","404.9","1.23 %","11,557.00"
"MAKAR","2024-03-07","396.2","401","382","400","-0.72 %","12,005.00"
"MAKAR","2024-03-06","372.1","402.9","365","402.9","6.59 %","25,629.00"
"MAKAR","2024-03-05","393","393","375.6","378","-3.47 %","14,331.00"
"MAKAR","2024-03-04","377.4","391.6","377.4","391.6","5.84 %","70.00"
"MAKAR","2024-03-03","378","378","362.7","370","-0.27 %","12,450.00"
"MAKAR","2024-02-29","402.9","402.9","370.1","371","-6.08 %","9,795.00"
"MAKAR","2024-02-28","385.1","397","385.1","395","1.80 %","11,172.00"
"MAKAR","2024-02-27","388.1","405","388","388","-2.02 %","12,430.00"
"MAKAR","2024-02-26","405.9","405.9","393.1","396","-0.50 %","5,732.00"
"MAKAR","2024-02-25","412.6","422","398","398","-5.46 %","29,407.00"
"MAKAR","2024-02-22","401.8","427","395.1","421","2.68 %","18,590.00"
"MAKAR","2024-02-21","406.5","422.4","401.8","410","-1.01 %","16,970.00"
"MAKAR","2024-02-20","421.4","428","414.1","414.2","-3.67 %","24,983.00"
"MAKAR","2024-02-18","450","450","423","430","-4.44 %","29,050.00"
"MAKAR","2024-02-15","442","451.9","427","450","3.45 %","60,627.00"
"MAKAR","2024-02-14","420","438","420","435","2.11 %","30,242.00"
"MAKAR","2024-02-13","418","450","418","426","0.24 %","37,503.00"
"MAKAR","2024-02-12","416","434","409","425","0.24 %","30,689.00"
"MAKAR","2024-02-11","425","435.3","421.5","424","-1.40 %","33,668.00"
"MAKAR","2024-02-08","437.1","454","428.4","430","-3.59 %","29,947.00"
"MAKAR","2024-02-07","440","449","422","446","3.17 %","53,327.00"
"MAKAR","2024-02-06","425","442.6","425","432.3","0.77 %","17,495.00"
"MAKAR","2024-02-05","415","440","415","429","2.14 %","22,130.00"
"MAKAR","2024-02-04","430","430","413.1","420","-1.59 %","75,448.00"
"MAKAR","2024-02-01","421.4","432.4","406.7","426.8","-0.74 %","44,831.00"
"MAKAR","2024-01-31","438","438.5","423","430","0.02 %","50,071.00"
"MAKAR","2024-01-30","400","431","397","429.9","7.47 %","102,197.00"
"MAKAR","2024-01-29","369","404","368.5","400","6.38 %","80,935.00"
"MAKAR","2024-01-28","369.1","387","369.1","376","0.51 %","27,796.00"
"MAKAR","2024-01-25","361.6","387","347.4","374.1","5.50 %","120,451.00"
"MAKAR","2024-01-24","348","367","348","354.6","-0.11 %","15,474.00"
"MAKAR","2024-01-23","347","370","344","355","0.28 %","20,497.00"
