"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2024-08-11","305","318.2","295","312","4.31 %","242,280.00"
"MEL","2024-08-08","310","314.2","296","299.1","-3.17 %","151,031.00"
"MEL","2024-08-07","283","309","278","308.9","8.42 %","193,223.00"
"MEL","2024-08-06","290","308.9","275.1","284.9","-1.08 %","469,972.00"
"MEL","2024-08-05","283.6","295.8","274.5","288","3.52 %","157,040.00"
"MEL","2024-08-01","291","291","276","278.2","-4.40 %","167,436.00"
"MEL","2024-07-31","293.9","305","285","291","0.97 %","148,320.00"
"MEL","2024-07-30","287.1","291","276","288.2","2.38 %","174,015.00"
"MEL","2024-07-29","272","291.7","270","281.5","3.49 %","308,350.00"
"MEL","2024-07-28","280.3","290","266.1","272","-1.05 %","98,514.00"
"MEL","2024-07-25","266","280","262","274.9","2.57 %","191,830.00"
"MEL","2024-07-24","287.6","287.6","266.1","268","-4.96 %","212,540.00"
"MEL","2024-07-23","265.1","285","264","282","6.37 %","197,248.00"
"MEL","2024-07-22","269.2","271","256","265.1","0.42 %","166,893.00"
"MEL","2024-07-21","255","269.3","247.1","264","5.39 %","235,042.00"
"MEL","2024-07-18","253.5","257.8","245.2","250.5","0.60 %","194,916.00"
"MEL","2024-07-17","252","257","244.5","249","-0.80 %","184,012.00"
"MEL","2024-07-16","237.5","251.7","230","251","7.31 %","237,403.00"
"MEL","2024-07-15","237.6","237.6","228","233.9","0.39 %","66,472.00"
"MEL","2024-07-14","231.2","237","227","233","2.78 %","109,431.00"
"MEL","2024-07-11","222.4","229","222.4","226.7","1.25 %","60,110.00"
"MEL","2024-07-10","220.1","225","220.1","223.9","0.04 %","37,703.00"
"MEL","2024-07-09","218.5","223.8","218.5","223.8","0.40 %","51,914.00"
"MEL","2024-07-08","227.7","227.7","219","222.9","-0.22 %","33,801.00"
"MEL","2024-07-07","215.8","227.9","215.8","223.4","1.45 %","30,779.00"
"MEL","2024-07-04","228","228","219.7","220.2","-1.70 %","37,140.00"
"MEL","2024-07-03","228.4","228.4","219","224","-0.44 %","33,013.00"
"MEL","2024-07-02","225.2","238","221","225","1.90 %","36,173.00"
"MEL","2024-07-01","215","223","215","220.8","0.82 %","17,329.00"
"MEL","2024-06-30","217","223.3","216","219","0.00 %","33,859.00"
"MEL","2024-06-27","220","225","219","219","-1.79 %","19,722.00"
"MEL","2024-06-26","223","230.5","221","223","-1.50 %","24,964.00"
"MEL","2024-06-25","218.3","227.4","218.3","226.4","1.71 %","37,908.00"
"MEL","2024-06-24","221","229","221","222.6","-1.07 %","20,731.00"
"MEL","2024-06-23","222.4","226.8","221.4","225","0.45 %","28,520.00"
"MEL","2024-06-20","222.5","229.3","222.5","224","-1.32 %","22,500.00"
"MEL","2024-06-19","221","229","221","227","0.89 %","37,941.00"
"MEL","2024-06-18","227.1","229.5","223.5","225","-0.92 %","32,253.00"
"MEL","2024-06-16","226","233.5","226","227.1","-1.52 %","52,112.00"
"MEL","2024-06-13","223.5","239","223.5","230.6","1.14 %","43,419.00"
"MEL","2024-06-12","228.2","235","226.9","228","-2.06 %","69,691.00"
"MEL","2024-06-11","226","234","224.5","232.8","3.01 %","73,298.00"
"MEL","2024-06-10","216.2","228.4","216.2","226","2.45 %","46,319.00"
"MEL","2024-06-09","219.6","229","219.6","220.6","-1.52 %","27,174.00"
"MEL","2024-06-06","218.7","230","218.7","224","0.45 %","47,041.00"
"MEL","2024-06-05","222.6","229","222.6","223","-1.76 %","26,615.00"
"MEL","2024-06-04","228","229.8","225","227","-0.44 %","31,038.00"
"MEL","2024-06-03","227.3","234","225.1","228","0.35 %","33,773.00"
"MEL","2024-06-02","228","232","225","227.2","-0.35 %","29,091.00"
"MEL","2024-05-30","225","235","225","228","0.93 %","78,269.00"
"MEL","2024-05-29","227","231.5","224","225.9","-0.48 %","46,518.00"
"MEL","2024-05-27","228","230","226","227","-0.44 %","24,080.00"
"MEL","2024-05-26","228.1","232.5","227","228","-1.08 %","57,989.00"
"MEL","2024-05-22","234.9","237","229","230.5","-0.65 %","42,188.00"
"MEL","2024-05-21","225","235.5","225","232","2.07 %","69,784.00"
"MEL","2024-05-20","234.6","238","227","227.3","-1.17 %","49,177.00"
"MEL","2024-05-19","228","235","226","230","1.01 %","43,449.00"
"MEL","2024-05-16","230","233.5","226.2","227.7","-0.57 %","28,970.00"
"MEL","2024-05-15","231","236.7","228","229","-2.55 %","46,699.00"
"MEL","2024-05-14","230","237.6","226.2","235","2.62 %","77,764.00"
"MEL","2024-05-13","227","232.7","226.4","229","-0.74 %","32,537.00"
"MEL","2024-05-12","234.6","234.6","225","230.7","0.30 %","31,487.00"
"MEL","2024-05-09","226.4","231.5","224.2","230","-0.43 %","41,941.00"
"MEL","2024-05-08","233","234.2","226","231","0.57 %","39,245.00"
"MEL","2024-05-07","230","238","228.5","229.7","-0.99 %","38,161.00"
"MEL","2024-05-06","234","239.7","229.5","232","-1.61 %","31,841.00"
"MEL","2024-05-05","245","248.1","233","235.8","-3.36 %","82,776.00"
"MEL","2024-05-02","248.8","249.9","243.1","244","0.00 %","123,684.00"
"MEL","2024-04-30","228","247","228","244","5.22 %","177,429.00"
"MEL","2024-04-29","239.4","239.4","228","231.9","-1.24 %","39,436.00"
"MEL","2024-04-28","230","235","227","234.8","2.67 %","48,210.00"
"MEL","2024-04-25","235.1","235.1","226.3","228.7","-0.78 %","16,574.00"
"MEL","2024-04-24","230","237","228","230.5","-0.65 %","21,882.00"
"MEL","2024-04-22","236","238.9","228","232","-1.69 %","41,176.00"
"MEL","2024-04-21","225","238.6","224.1","236","4.29 %","69,489.00"
"MEL","2024-04-18","229","230","224.6","226.3","-1.61 %","25,513.00"
"MEL","2024-04-16","238","238","228","230","-1.71 %","55,542.00"
"MEL","2024-04-15","244","248.9","233","234","-3.86 %","120,664.00"
"MEL","2024-04-14","228.9","243.4","228","243.4","6.24 %","158,240.00"
"MEL","2024-04-10","229","232.9","223.9","229.1","1.78 %","100,725.00"
"MEL","2024-04-09","220","230","220","225.1","1.44 %","70,642.00"
"MEL","2024-04-07","216.5","221.9","216.5","221.9","0.86 %","29,399.00"
"MEL","2024-04-04","220","224","217.4","220","-1.65 %","32,052.00"
"MEL","2024-04-03","220.5","227","220.5","223.7","-0.53 %","25,490.00"
"MEL","2024-04-02","234","234","222","224.9","-2.22 %","33,116.00"
"MEL","2024-04-01","218","234","218","230","3.46 %","120,687.00"
"MEL","2024-03-31","215","226.5","213.6","222.3","2.40 %","71,994.00"
"MEL","2024-03-28","214.5","226","211.4","217.1","1.35 %","41,098.00"
"MEL","2024-03-27","220","222","214.1","214.2","-2.19 %","18,812.00"
"MEL","2024-03-26","212","221.3","211.9","219","3.30 %","44,473.00"
"MEL","2024-03-25","218","218","211.3","212","-1.49 %","15,746.00"
"MEL","2024-03-21","217","221","215","215.2","-0.88 %","41,291.00"
"MEL","2024-03-20","224","226","217","217.1","-3.08 %","37,803.00"
"MEL","2024-03-19","221","225","220","224","1.36 %","28,914.00"
"MEL","2024-03-18","220","224","218.6","221","-0.05 %","24,890.00"
"MEL","2024-03-17","228","230","221","221.1","-1.95 %","33,531.00"
"MEL","2024-03-14","223.5","231","222","225.5","0.67 %","72,869.00"
"MEL","2024-03-13","228.4","228.4","220.2","224","0.00 %","38,189.00"
"MEL","2024-03-12","226.4","227","220","224","0.90 %","48,956.00"
"MEL","2024-03-10","222.9","226","219.6","222","0.45 %","39,504.00"
"MEL","2024-03-07","217.5","226","217","221","1.61 %","56,997.00"
"MEL","2024-03-06","215","224.9","211.1","217.5","0.97 %","69,286.00"
"MEL","2024-03-05","232.5","232.5","214","215.4","-5.53 %","89,514.00"
"MEL","2024-03-04","213","229.5","213","228","9.09 %","1,482.00"
"MEL","2024-03-03","212.1","212.1","203","209","0.48 %","35,702.00"
"MEL","2024-02-29","213","216","207.1","208","-4.15 %","50,916.00"
"MEL","2024-02-28","225","225","214","217","-1.63 %","34,040.00"
"MEL","2024-02-27","218.5","222.8","216.2","220.6","-0.63 %","55,276.00"
"MEL","2024-02-26","220.3","223","214.1","222","2.78 %","37,241.00"
"MEL","2024-02-25","221","225","215.1","216","-2.26 %","56,718.00"
"MEL","2024-02-22","221","234.4","221","221","-1.87 %","78,756.00"
"MEL","2024-02-21","224.3","232.5","224","225.2","-1.23 %","53,393.00"
"MEL","2024-02-20","227","233","226.1","228","-1.30 %","81,286.00"
"MEL","2024-02-18","238.1","242","230","231","-2.98 %","84,375.00"
"MEL","2024-02-15","233.5","245","233.5","238.1","0.25 %","99,332.00"
"MEL","2024-02-14","234","246.9","234","237.5","-0.42 %","63,533.00"
"MEL","2024-02-13","239","247.7","234.3","238.5","-1.81 %","176,137.00"
"MEL","2024-02-12","236.3","245","236.1","242.9","2.79 %","74,376.00"
"MEL","2024-02-11","242.5","247","236.3","236.3","-0.71 %","146,754.00"
"MEL","2024-02-08","233","242.9","226","238","3.57 %","154,308.00"
"MEL","2024-02-07","222.1","232.3","222.1","229.8","3.05 %","54,955.00"
"MEL","2024-02-06","220","229.2","218.2","223","0.22 %","33,751.00"
"MEL","2024-02-05","226.4","226.4","220","222.5","0.23 %","49,186.00"
"MEL","2024-02-04","220","227","220","222","-0.85 %","34,108.00"
"MEL","2024-02-01","230","232","223.2","223.9","-3.07 %","75,948.00"
"MEL","2024-01-31","236.5","241.5","229.5","231","-3.14 %","64,527.00"
"MEL","2024-01-30","230","239.7","230","238.5","4.61 %","99,084.00"
"MEL","2024-01-29","234","238","228","228","-0.87 %","73,028.00"
"MEL","2024-01-28","229","234","226.1","230","1.68 %","48,830.00"
"MEL","2024-01-25","225","234.5","225","226.2","-0.92 %","52,092.00"
"MEL","2024-01-24","229.3","239","228","228.3","-2.39 %","69,439.00"
"MEL","2024-01-23","229.1","239.9","229.1","233.9","0.39 %","64,694.00"
"MEL","2024-01-22","235","247.7","231","233","-2.47 %","106,746.00"
"MEL","2024-01-21","242","254.8","238.2","238.9","-1.28 %","191,038.00"
"MEL","2024-01-18","223","249.1","220","242","6.65 %","231,430.00"
"MEL","2024-01-17","248.3","248.3","226.5","226.9","-6.82 %","226,218.00"
"MEL","2024-01-16","243","260.1","238","243.5","1.88 %","204,019.00"
"MEL","2024-01-14","243","250.9","237","239","-1.24 %","163,087.00"
"MEL","2024-01-11","235","246.9","229","242","4.31 %","193,739.00"
"MEL","2024-01-10","237","244","228.1","232","-1.69 %","160,810.00"
"MEL","2024-01-09","237.8","254","228","236","1.20 %","334,224.00"
"MEL","2024-01-08","212","233.2","211","233.2","10.00 %","290,067.00"
"MEL","2024-01-07","207","218.2","200","212","4.43 %","221,098.00"
"MEL","2024-01-04","202","209.1","200.6","203","0.50 %","105,154.00"
"MEL","2024-01-03","190","205","190","202","5.21 %","79,414.00"
"MEL","2024-01-02","200","200","190.2","192","-2.54 %","53,823.00"
"MEL","2024-01-01","202.2","207","196","197","-2.57 %","77,379.00"
"MEL","2023-12-28","196","210","196","202.2","1.61 %","76,068.00"
"MEL","2023-12-27","205","210","196.5","199","-2.45 %","107,868.00"
"MEL","2023-12-24","200","212","199.1","204","0.00 %","115,113.00"
"MEL","2023-12-21","216.2","216.2","202","204","-3.77 %","102,576.00"
"MEL","2023-12-20","204.5","218","204.5","212","2.81 %","160,725.00"
"MEL","2023-12-19","198.2","210","198.2","206.2","1.98 %","98,865.00"
"MEL","2023-12-18","213.1","216.2","200","202.2","-4.62 %","146,485.00"
"MEL","2023-12-17","194","213.1","186.5","212","7.12 %","144,136.00"
"MEL","2023-12-14","194","201.2","185.5","197.9","3.34 %","86,893.00"
"MEL","2023-12-13","201","202.9","187","191.5","-3.28 %","92,825.00"
"MEL","2023-12-12","180","200","178.5","198","8.79 %","134,953.00"
"MEL","2023-12-11","190","191.7","176","182","-3.19 %","107,894.00"
"MEL","2023-12-10","177","190","177","188","8.05 %","13,646.00"
"MEL","2023-12-07","169.3","174.1","163","174","4.82 %","53,440.00"
"MEL","2023-12-06","160.8","167","160.8","166","1.22 %","10,650.00"
"MEL","2023-12-05","169.3","169.3","161.9","164","-1.20 %","15,325.00"
"MEL","2023-12-04","161.6","168.5","161.6","166","0.73 %","25,520.00"
"MEL","2023-12-03","163","164.8","160.1","164.8","-0.72 %","10,065.00"
"MEL","2023-11-30","163","167.2","160.2","166","0.00 %","18,671.00"
"MEL","2023-11-29","168","174.4","163.1","166","-1.19 %","24,342.00"
"MEL","2023-11-28","166","170","163.3","168","0.90 %","20,036.00"
"MEL","2023-11-27","169","177","165.1","166.5","-1.42 %","27,810.00"
"MEL","2023-11-26","156.8","170","156.8","168.9","5.63 %","35,639.00"
"MEL","2023-11-23","158","160","153","159.9","1.20 %","12,918.00"
"MEL","2023-11-22","150","158","149","158","4.29 %","10,768.00"
"MEL","2023-11-21","152.2","154","149.6","151.5","-2.01 %","13,983.00"
"MEL","2023-11-20","156","160.5","153","154.6","-0.90 %","16,820.00"
"MEL","2023-11-09","157.3","160","155.4","156","-2.62 %","10,135.00"
"MEL","2023-11-08","156","161","156","160.2","0.75 %","7,265.00"
"MEL","2023-11-07","152.3","162.2","152.3","159","2.58 %","17,827.00"
"MEL","2023-11-06","150","157","150","155","1.31 %","12,755.00"
"MEL","2023-11-05","156","157","152","153","-2.55 %","22,041.00"
"MEL","2023-11-02","161","163","156.7","157","-2.00 %","16,831.00"
