"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEN","2024-08-11","790","800","775","780","0.19 %","438,413.00"
"MEN","2024-08-08","790","802","775.2","778.5","-0.18 %","357,857.00"
"MEN","2024-08-07","718","783","715.2","779.9","8.61 %","401,967.00"
"MEN","2024-08-06","725","769","712","718.1","-0.13 %","542,512.00"
"MEN","2024-08-05","684.9","720","680","719","4.98 %","581,743.00"
"MEN","2024-08-01","681.1","715","681","684.9","-1.44 %","313,222.00"
"MEN","2024-07-31","675","700","666.2","694.9","4.65 %","594,614.00"
"MEN","2024-07-30","655","670","650.09","664","1.37 %","173,061.00"
"MEN","2024-07-29","673.2","673.2","655","655","-0.76 %","180,149.00"
"MEN","2024-07-28","670","693","650","660","0.30 %","190,872.00"
"MEN","2024-07-25","665.3","669","645","658","0.00 %","164,931.00"
"MEN","2024-07-24","666","679","650","658","-0.90 %","331,094.00"
"MEN","2024-07-23","645","669","640.1","664","2.79 %","262,631.00"
"MEN","2024-07-22","650","652.9","635","646","0.16 %","190,330.00"
"MEN","2024-07-21","650","655","640","645","-1.07 %","287,302.00"
"MEN","2024-07-18","650","667","645","652","0.31 %","279,402.00"
"MEN","2024-07-17","637","651","631","650","3.67 %","302,733.00"
"MEN","2024-07-16","600","630","597","627","5.03 %","218,699.00"
"MEN","2024-07-15","610","610","597","597","-1.26 %","109,712.00"
"MEN","2024-07-14","601","613","590","604.6","2.47 %","109,661.00"
"MEN","2024-07-11","589","593","585","590","1.20 %","134,851.00"
"MEN","2024-07-10","580","589","576","583","1.66 %","143,719.00"
"MEN","2024-07-09","580","580","573","573.5","-0.09 %","81,895.00"
"MEN","2024-07-08","580","583","573","574","-0.86 %","75,918.00"
"MEN","2024-07-07","582","588.9","577","579","0.00 %","134,214.00"
"MEN","2024-07-04","588","592","578","579","-0.34 %","105,060.00"
"MEN","2024-07-03","581.3","591","577","581","-0.70 %","69,202.00"
"MEN","2024-07-02","586.5","610","580.1","585.1","1.76 %","78,008.00"
"MEN","2024-07-01","575","582","573","575","-1.20 %","71,132.00"
"MEN","2024-06-30","570","582","566","582","0.33 %","108,346.00"
"MEN","2024-06-27","584.1","589","580.1","580.1","-0.68 %","49,908.00"
"MEN","2024-06-26","601","603","584.1","584.1","-1.67 %","45,593.00"
"MEN","2024-06-25","595","597.7","578","594","1.54 %","129,565.00"
"MEN","2024-06-24","610","610","580","585","-2.50 %","247,734.00"
"MEN","2024-06-23","609","619.9","598","600","-1.62 %","182,838.00"
"MEN","2024-06-20","605","619.9","599.1","609.9","0.81 %","281,168.00"
"MEN","2024-06-19","613","616","605","605","-1.31 %","95,501.00"
"MEN","2024-06-18","605","618.9","605","613","0.41 %","120,530.00"
